chr	start	end	cereb_average	all_brain_average	other_brain_avg	pref_average	leuk_average	white_matter	dist_to_other	dist_to_all_brain	chr	start	end	als.1.meth	als.1.unmeth	als.2.meth	als.2.unmeth	als.3.meth	als.3.unmeth	als.4.meth	als.4.unmeth	ctrl.1.meth	ctrl.1.unmeth	ctrl.2.meth	ctrl.2.unmeth	ctrl.3.meth	ctrl.3.unmeth	ctrl.4.meth	ctrl.4.unmeth
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234502	1234503	NA	NA	11	0	8	0	7	0	NA	NA	NA	NA	NA	NA	6	0
chr1	1234204	1234505	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.522011726	0.069447105	chr1	1234503	1234504	NA	NA	NA	NA	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234697	1234698	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234698	1234699	NA	NA	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234720	1234721	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234721	1234722	NA	NA	NA	NA	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234773	1234774	NA	NA	NA	NA	8	0	NA	NA	NA	NA	7	0	NA	NA	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234774	1234775	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234827	1234828	NA	NA	NA	NA	6	2	7	1	NA	NA	NA	NA	6	0	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234828	1234829	NA	NA	NA	NA	NA	NA	10	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234834	1234835	NA	NA	NA	NA	7	0	8	0	NA	NA	NA	NA	6	0	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234835	1234836	NA	NA	NA	NA	NA	NA	9	1	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234869	1234870	NA	NA	NA	NA	6	1	7	0	NA	NA	6	1	6	0	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234872	1234873	NA	NA	NA	NA	6	1	8	0	NA	NA	7	1	6	0	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234904	1234905	NA	NA	NA	NA	7	0	7	0	NA	NA	5	2	7	0	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234905	1234906	NA	NA	NA	NA	8	0	NA	NA	NA	NA	NA	NA	6	1	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234927	1234928	NA	NA	NA	NA	8	1	9	1	8	0	8	0	10	0	NA	NA
chr1	1234694	1234995	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.350397908	-0.001671579	chr1	1234928	1234929	NA	NA	6	0	8	0	9	1	11	0	NA	NA	8	1	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004821	2004822	NA	NA	9	0	8	0	6	2	6	0	6	1	10	1	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004822	2004823	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	7	1	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004867	2004868	NA	NA	7	1	13	5	7	3	8	0	NA	NA	10	3	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004868	2004869	NA	NA	NA	NA	5	3	5	1	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004877	2004878	NA	NA	6	2	16	2	8	2	8	1	NA	NA	14	0	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004878	2004879	NA	NA	NA	NA	9	0	NA	NA	NA	NA	NA	NA	5	1	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004896	2004897	NA	NA	8	0	16	3	10	1	8	1	NA	NA	11	2	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004897	2004898	NA	NA	NA	NA	8	0	NA	NA	NA	NA	NA	NA	8	0	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004909	2004910	NA	NA	10	0	14	3	10	1	7	0	6	0	12	0	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004910	2004911	NA	NA	NA	NA	10	0	NA	NA	NA	NA	NA	NA	7	0	5	1
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004931	2004932	NA	NA	6	7	7	7	5	6	5	3	NA	NA	6	5	4	2
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004932	2004933	NA	NA	NA	NA	7	3	NA	NA	NA	NA	NA	NA	5	4	5	1
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004939	2004940	NA	NA	11	3	11	3	7	4	6	2	6	0	12	1	5	1
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004940	2004941	NA	NA	5	2	9	3	NA	NA	NA	NA	NA	NA	8	4	7	0
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004981	2004982	NA	NA	12	0	8	5	5	4	6	2	8	0	10	2	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2004982	2004983	NA	NA	8	0	11	2	NA	NA	NA	NA	NA	NA	6	3	5	3
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005007	2005008	NA	NA	8	1	7	4	6	3	3	3	7	1	6	7	5	1
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005008	2005009	NA	NA	9	3	7	4	3	3	NA	NA	7	0	3	5	4	3
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005013	2005014	NA	NA	7	2	6	3	4	3	NA	NA	8	0	10	3	5	1
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005014	2005015	NA	NA	11	1	9	1	NA	NA	4	2	7	0	2	6	7	1
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005016	2005017	NA	NA	5	4	6	3	2	5	NA	NA	7	1	5	7	4	2
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005017	2005018	NA	NA	4	7	6	5	NA	NA	2	4	5	2	2	6	5	3
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005051	2005052	NA	NA	8	0	NA	NA	6	0	NA	NA	NA	NA	6	0	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005052	2005053	NA	NA	10	0	7	0	NA	NA	NA	NA	6	0	NA	NA	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005088	2005089	NA	NA	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005089	2005090	NA	NA	9	2	5	2	NA	NA	NA	NA	8	0	5	3	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005101	2005102	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005102	2005103	NA	NA	6	4	NA	NA	NA	NA	NA	NA	7	0	4	3	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005106	2005107	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005107	2005108	NA	NA	8	2	NA	NA	NA	NA	NA	NA	4	3	4	3	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005114	2005115	NA	NA	7	0	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2004818	2005119	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.537271019	-6.58E-07	chr1	2005115	2005116	NA	NA	5	3	NA	NA	NA	NA	NA	NA	3	3	3	4	NA	NA
chr1	2005882	2006183	0.1193	0.252405	0.856537975	0.33034	0.95315	0.236252632	0.620285343	0.016152368	chr1	2005894	2005895	NA	NA	19	0	8	5	NA	NA	9	0	20	0	NA	NA	NA	NA
chr1	2005882	2006183	0.1193	0.252405	0.856537975	0.33034	0.95315	0.236252632	0.620285343	0.016152368	chr1	2005927	2005928	NA	NA	12	0	8	0	NA	NA	4	2	13	4	NA	NA	NA	NA
chr1	2005882	2006183	0.1193	0.252405	0.856537975	0.33034	0.95315	0.236252632	0.620285343	0.016152368	chr1	2006009	2006010	4	3	4	3	5	1	NA	NA	6	1	8	6	5	2	6	2
chr1	2005882	2006183	0.1193	0.252405	0.856537975	0.33034	0.95315	0.236252632	0.620285343	0.016152368	chr1	2006010	2006011	NA	NA	11	2	8	2	NA	NA	NA	NA	6	3	NA	NA	NA	NA
chr1	2005882	2006183	0.1193	0.252405	0.856537975	0.33034	0.95315	0.236252632	0.620285343	0.016152368	chr1	2006055	2006056	8	0	13	2	6	5	8	1	8	0	19	1	12	1	5	2
chr1	2005882	2006183	0.1193	0.252405	0.856537975	0.33034	0.95315	0.236252632	0.620285343	0.016152368	chr1	2006056	2006057	NA	NA	NA	NA	7	4	4	2	NA	NA	7	3	7	0	NA	NA
chr1	2006315	2006616	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.547945237	-0.017119605	chr1	2006327	2006328	NA	NA	18	0	9	0	9	2	15	1	6	0	12	0	NA	NA
chr1	2006315	2006616	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.547945237	-0.017119605	chr1	2006328	2006329	NA	NA	NA	NA	7	0	9	0	NA	NA	6	0	NA	NA	NA	NA
chr1	2006315	2006616	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.547945237	-0.017119605	chr1	2006334	2006335	NA	NA	17	0	8	0	8	0	13	3	6	0	9	3	NA	NA
chr1	2006315	2006616	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.547945237	-0.017119605	chr1	2006335	2006336	NA	NA	NA	NA	7	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2006315	2006616	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.547945237	-0.017119605	chr1	2006375	2006376	6	0	16	0	7	3	7	1	7	2	NA	NA	13	1	6	1
chr1	2006315	2006616	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.547945237	-0.017119605	chr1	2006454	2006455	8	1	19	0	12	2	11	1	13	0	5	2	17	0	7	0
chr1	2006315	2006616	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.547945237	-0.017119605	chr1	2006455	2006456	NA	NA	NA	NA	9	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2006315	2006616	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.547945237	-0.017119605	chr1	2006463	2006464	9	0	14	4	11	3	13	0	12	0	7	0	18	1	6	1
chr1	2006315	2006616	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.547945237	-0.017119605	chr1	2006464	2006465	NA	NA	NA	NA	8	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2006315	2006616	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.547945237	-0.017119605	chr1	2006490	2006491	9	0	11	2	13	4	14	2	12	1	7	0	14	0	7	1
chr1	2006315	2006616	0.174466667	0.3299225	0.894987342	0.36334	0.9423125	0.347042105	0.547945237	-0.017119605	chr1	2006491	2006492	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2006746	2007047	0.269483333	0.3112475	0.917798718	0.37032	0.9433	0.2681	0.649698718	0.0431475	chr1	2006932	2006933	6	5	9	2	8	7	10	7	9	2	14	10	14	11	6	4
chr1	2006746	2007047	0.269483333	0.3112475	0.917798718	0.37032	0.9433	0.2681	0.649698718	0.0431475	chr1	2006933	2006934	5	3	15	2	11	5	12	0	6	4	9	4	6	6	3	4
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030316	2030317	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030317	2030318	NA	NA	NA	NA	7	2	NA	NA	NA	NA	6	1	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030320	2030321	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030321	2030322	NA	NA	NA	NA	9	0	NA	NA	NA	NA	4	3	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030323	2030324	NA	NA	6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030324	2030325	NA	NA	NA	NA	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030361	2030362	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030362	2030363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030404	2030405	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030405	2030406	NA	NA	NA	NA	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030410	2030411	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030411	2030412	NA	NA	NA	NA	NA	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030430	2030431	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030431	2030432	NA	NA	NA	NA	5	2	6	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030462	2030463	NA	NA	NA	NA	NA	NA	6	0	6	0	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030463	2030464	NA	NA	NA	NA	7	0	9	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030485	2030486	NA	NA	NA	NA	NA	NA	6	0	6	0	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030486	2030487	NA	NA	NA	NA	8	0	7	1	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030497	2030498	NA	NA	NA	NA	NA	NA	7	1	7	0	NA	NA	5	1	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030498	2030499	NA	NA	NA	NA	6	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030533	2030534	NA	NA	7	0	8	1	9	0	10	1	NA	NA	7	0	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030534	2030535	NA	NA	NA	NA	NA	NA	9	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030551	2030552	NA	NA	7	0	5	4	8	0	11	2	NA	NA	7	0	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030552	2030553	NA	NA	NA	NA	NA	NA	8	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030575	2030576	NA	NA	10	1	9	0	7	0	10	1	3	3	6	0	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030576	2030577	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	7	1	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030577	2030578	NA	NA	11	1	9	0	8	0	11	0	5	2	6	0	NA	NA
chr1	2030312	2030613	0.695283333	0.4697125	0.905968354	0.5219	0.96025	0.349652632	0.556315723	0.120059868	chr1	2030578	2030579	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	8	0	NA	NA
chr1	2030667	2030968	0.183133333	0.3024775	0.81673038	0.40774	0.9441125	0.254078947	0.562651432	0.048398553	chr1	2030673	2030674	7	0	12	2	11	0	9	0	11	2	7	2	6	0	NA	NA
