chr	start	end		cereb_average	all_brain_average	other_brain_avg	pref_average	leuk_average	white_matter	chr 	start	end	als.1	als.2	als.3	als.4	ctrl.1	ctrl.2	ctrl.3	ctrl.4
chr1	203768366	203768517		0.816633333	0.6107575	0.826092405	0.68934	0.9706	0.486505263	chr1	203768407	203768408	NA	NA	NA	57.14285714	NA	NA	NA	NA
chr1	203768366	203768517		0.816633333	0.6107575	0.826092405	0.68934	0.9706	0.486505263	chr1	203768430	203768431	NA	75	69.23076923	57.14285714	72.22222222	66.66666667	71.42857143	NA
chr1	203768366	203768517		0.816633333	0.6107575	0.826092405	0.68934	0.9706	0.486505263	chr1	203768431	203768432	NA	NA	NA	100	NA	NA	NA	NA
chr5	112182582	112182733		0.8868	0.6112425	0.827263291	0.6642	0.9647125	0.483684211	chr5	112182703	112182704	NA	91.66666667	60	64.28571429	58.33333333	53.84615385	72.72727273	83.33333333
chr5	112182582	112182733		0.8868	0.6112425	0.827263291	0.6642	0.9647125	0.483684211	chr5	112182704	112182705	NA	88.88888889	100	57.14285714	50	64.28571429	100	100
chr5	112182582	112182733		0.8868	0.6112425	0.827263291	0.6642	0.9647125	0.483684211	chr5	112182711	112182712	NA	66.66666667	78.57142857	75	84.61538462	76.92307692	100	100
chr5	112182582	112182733		0.8868	0.6112425	0.827263291	0.6642	0.9647125	0.483684211	chr5	112182712	112182713	NA	75	100	80	NA	85.71428571	100	100
chr12	110309488	110309639		0.874566667	0.6064225	0.823632911	0.65574	0.9562875	0.469005263	chr12	110309613	110309614	NA	100	10	25	57.14285714	90.90909091	68.75	33.33333333
chr12	110309488	110309639		0.874566667	0.6064225	0.823632911	0.65574	0.9562875	0.469005263	chr12	110309614	110309615	0	100	0	25	16.66666667	100	50	NA
chr14	78428332	78428483		0.8169	0.5962325	0.815782278	0.63022	0.92235	0.493257895	chr14	78428475	78428476	NA	66.66666667	85.71428571	NA	100	85.71428571	100	NA
chr14	78428332	78428483		0.8169	0.5962325	0.815782278	0.63022	0.92235	0.493257895	chr14	78428476	78428477	NA	NA	100	NA	NA	NA	100	NA
chr4	121770370	121770521		0.76305	0.60101	0.8231	0.67604	0.90675	0.490326316	.	-1	-1	.	.	.	.	.	.	.	.
chr6	134504448	134504599		0.845816667	0.5906675	0.815394937	0.68358	0.9059375	0.449163158	chr6	134504478	134504479	NA	NA	100	100	100	92.30769231	94.11764706	NA
chr6	134504448	134504599		0.845816667	0.5906675	0.815394937	0.68358	0.9059375	0.449163158	chr6	134504479	134504480	NA	100	NA	90.90909091	NA	71.42857143	100	NA
chr6	134504448	134504599		0.845816667	0.5906675	0.815394937	0.68358	0.9059375	0.449163158	chr6	134504573	134504574	NA	87.5	100	100	83.33333333	100	100	NA
chr6	134504448	134504599		0.845816667	0.5906675	0.815394937	0.68358	0.9059375	0.449163158	chr6	134504574	134504575	NA	NA	NA	100	NA	NA	NA	NA
chr1	200371173	200371324		0.753616667	0.60397	0.829303797	0.66768	0.914525	0.496636842	.	-1	-1	.	.	.	.	.	.	.	.
chr12	65961569	65961720		0.818233333	0.6070525	0.832920253	0.6891	0.9515625	0.473257895	chr12	65961582	65961583	NA	21.05263158	35.71428571	22.22222222	42.85714286	8.333333333	18.18181818	NA
chr12	65961569	65961720		0.818233333	0.6070525	0.832920253	0.6891	0.9515625	0.473257895	chr12	65961583	65961584	NA	0	6.25	NA	11.11111111	16.66666667	0	0
chr12	65961569	65961720		0.818233333	0.6070525	0.832920253	0.6891	0.9515625	0.473257895	chr12	65961649	65961650	75	100	93.33333333	100	87.5	100	66.66666667	100
chr12	65961569	65961720		0.818233333	0.6070525	0.832920253	0.6891	0.9515625	0.473257895	chr12	65961650	65961651	NA	81.81818182	83.33333333	NA	100	84.61538462	100	100
chr12	65961569	65961720		0.818233333	0.6070525	0.832920253	0.6891	0.9515625	0.473257895	chr12	65961660	65961661	60	78.57142857	58.82352941	90	86.66666667	NA	66.66666667	71.42857143
chr12	65961569	65961720		0.818233333	0.6070525	0.832920253	0.6891	0.9515625	0.473257895	chr12	65961661	65961662	NA	70	NA	NA	71.42857143	77.77777778	71.42857143	NA
chr1	204460116	204460267		0.8469	0.6125425	0.839374684	0.68072	0.937875	0.4834	chr1	204460119	204460120	83.33333333	NA	NA	NA	NA	100	NA	NA
chr1	204460116	204460267		0.8469	0.6125425	0.839374684	0.68072	0.937875	0.4834	chr1	204460120	204460121	NA	83.33333333	NA	NA	NA	NA	NA	NA
chr4	153807243	153807394		0.705483333	0.5847375	0.812681013	0.63388	0.948475	0.498931579	chr4	153807356	153807357	81.81818182	93.33333333	84.61538462	100	80.95238095	84.21052632	85.71428571	50
chr4	153807243	153807394		0.705483333	0.5847375	0.812681013	0.63388	0.948475	0.498931579	chr4	153807357	153807358	72.72727273	82.60869565	78.57142857	75	71.42857143	84.61538462	86.66666667	100
chr8	142217578	142217729		0.687416667	0.5738525	0.802249367	0.6234	0.91345	0.499336842	chr8	142217595	142217596	NA	75	50	NA	NA	85.71428571	80	NA
chr8	142217578	142217729		0.687416667	0.5738525	0.802249367	0.6234	0.91345	0.499336842	chr8	142217596	142217597	NA	100	63.63636364	72.72727273	NA	NA	77.77777778	NA
chr1	178420608	178420759		0.862216667	0.5816975	0.811250633	0.58212	0.9236	0.4839	chr1	178420748	178420749	100	85.71428571	91.66666667	75	80	100	100	NA
chr1	178420608	178420759		0.862216667	0.5816975	0.811250633	0.58212	0.9236	0.4839	chr1	178420749	178420750	85.71428571	92.30769231	91.66666667	87.5	85.71428571	100	83.33333333	NA
chr11	117373174	117373325		0.877366667	0.5782625	0.807840506	0.58368	0.934375	0.460157895	chr11	117373237	117373238	NA	100	100	100	100	100	100	NA
chr11	117373174	117373325		0.877366667	0.5782625	0.807840506	0.58368	0.934375	0.460157895	chr11	117373238	117373239	NA	100	NA	NA	NA	NA	NA	NA
chr11	117373174	117373325		0.877366667	0.5782625	0.807840506	0.58368	0.934375	0.460157895	chr11	117373259	117373260	NA	92.30769231	91.66666667	87.5	100	85.71428571	100	NA
chr11	117373174	117373325		0.877366667	0.5782625	0.807840506	0.58368	0.934375	0.460157895	chr11	117373291	117373292	100	90.90909091	92.85714286	NA	100	100	100	NA
chr11	117373174	117373325		0.877366667	0.5782625	0.807840506	0.58368	0.934375	0.460157895	chr11	117373292	117373293	NA	NA	100	NA	NA	87.5	NA	NA
chr11	117373174	117373325		0.877366667	0.5782625	0.807840506	0.58368	0.934375	0.460157895	chr11	117373323	117373324	100	87.5	95	NA	100	88.88888889	100	NA
chr11	117373174	117373325		0.877366667	0.5782625	0.807840506	0.58368	0.934375	0.460157895	chr11	117373324	117373325	NA	NA	90.90909091	NA	NA	100	NA	NA
chr10	127464938	127465089		0.846533333	0.6002575	0.83035443	0.62338	0.9402875	0.498415789	chr10	127464960	127464961	NA	100	90.90909091	NA	100	100	100	NA
chr10	127464938	127465089		0.846533333	0.6002575	0.83035443	0.62338	0.9402875	0.498415789	chr10	127464990	127464991	NA	100	80	NA	100	100	55.55555556	NA
chr10	127464938	127465089		0.846533333	0.6002575	0.83035443	0.62338	0.9402875	0.498415789	chr10	127465003	127465004	NA	92.30769231	100	NA	88.88888889	81.81818182	88.88888889	NA
chr10	127464938	127465089		0.846533333	0.6002575	0.83035443	0.62338	0.9402875	0.498415789	chr10	127465013	127465014	NA	0	81.81818182	NA	0	90.90909091	37.5	NA
chr10	127464938	127465089		0.846533333	0.6002575	0.83035443	0.62338	0.9402875	0.498415789	chr10	127465039	127465040	100	100	100	NA	100	100	85.71428571	NA
chr10	127464938	127465089		0.846533333	0.6002575	0.83035443	0.62338	0.9402875	0.498415789	chr10	127465047	127465048	NA	100	100	NA	90	100	100	NA
chr10	127464938	127465089		0.846533333	0.6002575	0.83035443	0.62338	0.9402875	0.498415789	chr10	127465066	127465067	NA	71.42857143	77.77777778	NA	75	NA	85.71428571	NA
chr1	94860220	94860371		0.880966667	0.58774	0.820681013	0.65906	0.9023625	0.469157895	.	-1	-1	.	.	.	.	.	.	.	.
chr3	114130754	114130905		0.838933333	0.5731425	0.807434177	0.57778	0.9400625	0.489926316	chr3	114130903	114130904	100	100	93.33333333	100	93.33333333	93.33333333	94.73684211	87.5
chr3	114130754	114130905		0.838933333	0.5731425	0.807434177	0.57778	0.9400625	0.489926316	chr3	114130904	114130905	NA	100	100	100	100	100	94.44444444	NA
chr17	79100143	79100294		0.862283333	0.5946375	0.829178481	0.64132	0.9628125	0.461852632	chr17	79100198	79100199	NA	NA	100	NA	NA	NA	NA	NA
chr17	79100143	79100294		0.862283333	0.5946375	0.829178481	0.64132	0.9628125	0.461852632	chr17	79100199	79100200	NA	90	85.71428571	66.66666667	NA	85.71428571	80	0
chr17	79100143	79100294		0.862283333	0.5946375	0.829178481	0.64132	0.9628125	0.461852632	chr17	79100256	79100257	NA	NA	NA	NA	NA	66.66666667	100	NA
chr17	79100143	79100294		0.862283333	0.5946375	0.829178481	0.64132	0.9628125	0.461852632	chr17	79100257	79100258	NA	87.5	100	92.85714286	NA	87.5	81.81818182	85.71428571
chr17	79100143	79100294		0.862283333	0.5946375	0.829178481	0.64132	0.9628125	0.461852632	chr17	79100293	79100294	NA	66.66666667	77.77777778	NA	NA	62.5	100	NA
chr7	9319190	9319341		0.858483333	0.6036075	0.838303797	0.68504	0.93455	0.466289474	chr7	9319298	9319299	69.23076923	NA	83.33333333	80	81.81818182	90	77.77777778	75
chr7	9319190	9319341		0.858483333	0.6036075	0.838303797	0.68504	0.93455	0.466289474	chr7	9319299	9319300	75	100	66.66666667	NA	62.5	NA	75	NA
chrX	33231078	33231229		0.73795	0.58824	0.82355	0.63838	0.91465	0.473084211	chrX	33231144	33231145	NA	NA	NA	60	40	NA	100	100
chrX	33231078	33231229		0.73795	0.58824	0.82355	0.63838	0.91465	0.473084211	chrX	33231145	33231146	NA	85.71428571	NA	90	45.45454545	NA	100	70
chrX	33231078	33231229		0.73795	0.58824	0.82355	0.63838	0.91465	0.473084211	chrX	33231156	33231157	NA	NA	85.71428571	100	100	NA	100	100
chrX	33231078	33231229		0.73795	0.58824	0.82355	0.63838	0.91465	0.473084211	chrX	33231157	33231158	NA	85.71428571	NA	100	76.92307692	100	83.33333333	81.81818182
chr19	12708154	12708305		0.74395	0.5825125	0.81805443	0.6211	0.915625	0.483231579	chr19	12708163	12708164	NA	100	100	100	100	NA	NA	NA
chr19	12708154	12708305		0.74395	0.5825125	0.81805443	0.6211	0.915625	0.483231579	chr19	12708164	12708165	NA	100	100	NA	100	71.42857143	100	NA
chr19	12708154	12708305		0.74395	0.5825125	0.81805443	0.6211	0.915625	0.483231579	chr19	12708242	12708243	NA	NA	100	100	NA	100	NA	NA
chr19	12708154	12708305		0.74395	0.5825125	0.81805443	0.6211	0.915625	0.483231579	chr19	12708243	12708244	NA	100	NA	NA	100	87.5	100	NA
chr8	111906428	111906579		0.887766667	0.57083	0.806805063	0.64446	0.924375	0.412889474	chr8	111906468	111906469	90	76.47058824	91.66666667	81.81818182	76.92307692	82.35294118	92.30769231	90.90909091
chr8	111906428	111906579		0.887766667	0.57083	0.806805063	0.64446	0.924375	0.412889474	chr8	111906469	111906470	85.71428571	77.77777778	80	NA	83.33333333	66.66666667	87.5	90
chr8	111906428	111906579		0.887766667	0.57083	0.806805063	0.64446	0.924375	0.412889474	chr8	111906493	111906494	66.66666667	70.58823529	83.33333333	66.66666667	69.23076923	94.11764706	58.33333333	69.23076923
chr8	111906428	111906579		0.887766667	0.57083	0.806805063	0.64446	0.924375	0.412889474	chr8	111906494	111906495	88.88888889	72.72727273	80	100	58.33333333	80	76.92307692	80
chr1	117117120	117117271		0.83025	0.6112575	0.847726582	0.64914	0.90835	0.499710526	chr1	117117146	117117147	NA	NA	NA	100	NA	100	62.5	NA
chr1	117117120	117117271		0.83025	0.6112575	0.847726582	0.64914	0.90835	0.499710526	chr1	117117147	117117148	NA	100	90.90909091	90	85.71428571	NA	100	83.33333333
chr6	64514932	64515083		0.8194	0.5829575	0.819641772	0.67376	0.93095	0.440521053	chr6	64514948	64514949	NA	46.66666667	83.33333333	88.23529412	90	100	86.66666667	NA
chr6	64514932	64515083		0.8194	0.5829575	0.819641772	0.67376	0.93095	0.440521053	chr6	64514949	64514950	NA	92.30769231	85.71428571	66.66666667	62.5	87.5	76.92307692	NA
chr6	52965125	52965276		0.789316667	0.588035	0.826063291	0.69134	0.9330375	0.454884211	chr6	52965141	52965142	77.77777778	100	92.85714286	85.71428571	100	100	100	NA
chr6	52965125	52965276		0.789316667	0.588035	0.826063291	0.69134	0.9330375	0.454884211	chr6	52965142	52965143	NA	NA	NA	100	NA	NA	NA	NA
chr6	52965125	52965276		0.789316667	0.588035	0.826063291	0.69134	0.9330375	0.454884211	chr6	52965163	52965164	88.88888889	100	93.33333333	85.71428571	100	91.66666667	100	NA
chr6	52965125	52965276		0.789316667	0.588035	0.826063291	0.69134	0.9330375	0.454884211	chr6	52965205	52965206	16.66666667	83.33333333	100	100	100	100	91.66666667	NA
chr6	52965125	52965276		0.789316667	0.588035	0.826063291	0.69134	0.9330375	0.454884211	chr6	52965206	52965207	NA	NA	100	100	NA	NA	NA	NA
chr3	197663753	197663904		0.823816667	0.6196225	0.858540506	0.72022	0.9320875	0.496931579	chr3	197663854	197663855	100	77.77777778	83.33333333	80	82.60869565	90	75	100
chr1	211999910	212000061		0.662983333	0.5871225	0.826225316	0.67284	0.905325	0.475547368	chr1	212000019	212000020	81.81818182	100	100	100	100	100	100	100
chr1	211999910	212000061		0.662983333	0.5871225	0.826225316	0.67284	0.905325	0.475547368	chr1	212000020	212000021	NA	100	NA	100	NA	NA	NA	NA
chr1	211999910	212000061		0.662983333	0.5871225	0.826225316	0.67284	0.905325	0.475547368	chr1	212000053	212000054	100	100	87.5	100	83.33333333	100	100	85.71428571
chr10	73770448	73770599		0.81605	0.56652	0.805975949	0.57346	0.924375	0.478736842	.	-1	-1	.	.	.	.	.	.	.	.
chr2	102388589	102388740		0.803916667	0.58657	0.827171795	0.61944	0.9309875	0.487394737	chr2	102388614	102388615	NA	NA	NA	100	NA	NA	NA	NA
chr2	102388589	102388740		0.803916667	0.58657	0.827171795	0.61944	0.9309875	0.487394737	chr2	102388615	102388616	91.66666667	100	100	80	100	100	100	NA
chr2	102388589	102388740		0.803916667	0.58657	0.827171795	0.61944	0.9309875	0.487394737	chr2	102388695	102388696	NA	88.88888889	100	100	NA	100	NA	NA
chr2	102388589	102388740		0.803916667	0.58657	0.827171795	0.61944	0.9309875	0.487394737	chr2	102388696	102388697	100	100	86.66666667	100	100	100	100	NA
chr2	102388589	102388740		0.803916667	0.58657	0.827171795	0.61944	0.9309875	0.487394737	chr2	102388709	102388710	NA	100	100	88.88888889	NA	87.5	NA	NA
chr2	102388589	102388740		0.803916667	0.58657	0.827171795	0.61944	0.9309875	0.487394737	chr2	102388710	102388711	100	87.5	100	90.90909091	90	100	100	NA
chr2	102388589	102388740		0.803916667	0.58657	0.827171795	0.61944	0.9309875	0.487394737	chr2	102388713	102388714	NA	100	100	88.88888889	NA	100	NA	NA
chr2	102388589	102388740		0.803916667	0.58657	0.827171795	0.61944	0.9309875	0.487394737	chr2	102388714	102388715	100	100	100	100	100	100	100	NA
chr16	23154862	23155013		0.804316667	0.5962675	0.836901266	0.63184	0.93085	0.486989474	.	-1	-1	.	.	.	.	.	.	.	.
chr21	33749697	33749848		0.866	0.6403925	0.881982278	0.72422	0.9429875	0.495305263	.	-1	-1	.	.	.	.	.	.	.	.
chr11	114312702	114312853		0.872233333	0.5917875	0.833616456	0.61264	0.9330125	0.499157895	chr11	114312764	114312765	NA	100	80	100	85.71428571	100	100	NA
chr11	114312702	114312853		0.872233333	0.5917875	0.833616456	0.61264	0.9330125	0.499157895	chr11	114312765	114312766	90.90909091	85.71428571	92.30769231	88.88888889	100	92.85714286	90.47619048	100
chr11	114312702	114312853		0.872233333	0.5917875	0.833616456	0.61264	0.9330125	0.499157895	chr11	114312775	114312776	NA	100	60	62.5	100	81.81818182	75	NA
chr11	114312702	114312853		0.872233333	0.5917875	0.833616456	0.61264	0.9330125	0.499157895	chr11	114312776	114312777	91.66666667	90.90909091	84.61538462	66.66666667	68.75	84.61538462	66.66666667	100
chr16	971481	971632		0.805683333	0.6103675	0.852682278	0.68012	0.9631125	0.492031579	chr16	971507	971508	NA	NA	NA	55.55555556	NA	NA	NA	NA
chr16	971481	971632		0.805683333	0.6103675	0.852682278	0.68012	0.9631125	0.492031579	chr16	971546	971547	NA	NA	NA	83.33333333	NA	NA	NA	NA
chr19	2249164	2249315		0.798883333	0.5983875	0.841340506	0.66902	0.9182375	0.487315789	chr19	2249215	2249216	NA	100	NA	NA	NA	NA	NA	NA
chr19	2249164	2249315		0.798883333	0.5983875	0.841340506	0.66902	0.9182375	0.487315789	chr19	2249216	2249217	NA	NA	NA	83.33333333	NA	NA	NA	NA
chr19	2249164	2249315		0.798883333	0.5983875	0.841340506	0.66902	0.9182375	0.487315789	chr19	2249218	2249219	NA	88.88888889	NA	NA	NA	NA	NA	NA
chr19	2249164	2249315		0.798883333	0.5983875	0.841340506	0.66902	0.9182375	0.487315789	chr19	2249238	2249239	NA	87.5	83.33333333	NA	NA	NA	NA	NA
chr19	2249164	2249315		0.798883333	0.5983875	0.841340506	0.66902	0.9182375	0.487315789	chr19	2249240	2249241	NA	62.5	NA	NA	NA	NA	NA	NA
chr19	2249164	2249315		0.798883333	0.5983875	0.841340506	0.66902	0.9182375	0.487315789	chr19	2249289	2249290	NA	NA	NA	100	NA	NA	NA	NA
chr19	2249164	2249315		0.798883333	0.5983875	0.841340506	0.66902	0.9182375	0.487315789	chr19	2249290	2249291	NA	NA	NA	57.14285714	NA	NA	NA	NA
chr15	57215483	57215634		0.8514	0.5920625	0.836732911	0.62086	0.947625	0.479815789	chr15	57215550	57215551	62.5	94.44444444	91.66666667	83.33333333	72.72727273	63.63636364	84	77.77777778
chr15	57215483	57215634		0.8514	0.5920625	0.836732911	0.62086	0.947625	0.479815789	chr15	57215551	57215552	44.44444444	57.14285714	100	92.30769231	83.33333333	100	100	NA
chr10	75411023	75411174		0.870983333	0.575795	0.820916456	0.6043	0.939075	0.461436842	chr10	75411052	75411053	50	100	NA	69.23076923	NA	NA	NA	NA
chr10	75411023	75411174		0.870983333	0.575795	0.820916456	0.6043	0.939075	0.461436842	chr10	75411053	75411054	100	53.84615385	73.33333333	100	66.66666667	81.25	76.92307692	57.14285714
chr10	75411023	75411174		0.870983333	0.575795	0.820916456	0.6043	0.939075	0.461436842	chr10	75411134	75411135	88.88888889	87.5	100	100	100	NA	100	100
chr10	75411023	75411174		0.870983333	0.575795	0.820916456	0.6043	0.939075	0.461436842	chr10	75411135	75411136	100	88.88888889	81.25	100	100	100	84.61538462	92.30769231
chr12	71835664	71835815		0.84335	0.556175	0.801506329	0.6267	0.9054375	0.411189474	chr12	71835794	71835795	NA	NA	NA	NA	NA	NA	100	NA
chr12	71835664	71835815		0.84335	0.556175	0.801506329	0.6267	0.9054375	0.411189474	chr12	71835795	71835796	NA	75	90.90909091	100	100	100	86.66666667	NA
chr6	10836228	10836379		0.8449	0.6186675	0.865122785	0.72844	0.9387875	0.483810526	chr6	10836303	10836304	NA	86.66666667	100	90.90909091	100	90.47619048	100	NA
chr6	10836228	10836379		0.8449	0.6186675	0.865122785	0.72844	0.9387875	0.483810526	chr6	10836304	10836305	100	93.33333333	100	100	94.11764706	90	100	100
chr5	79334692	79334843		0.833616667	0.5835425	0.830089873	0.62138	0.9056	0.478910526	chr5	79334781	79334782	42.85714286	60	100	25	9.090909091	57.14285714	42.10526316	100
chr5	79334692	79334843		0.833616667	0.5835425	0.830089873	0.62138	0.9056	0.478910526	chr5	79334782	79334783	50	40	100	71.42857143	0	22.22222222	33.33333333	100
chr19	53762764	53762915		0.807983333	0.592795	0.840058228	0.66956	0.921425	0.467268421	chr19	53762772	53762773	NA	NA	NA	NA	NA	66.66666667	NA	NA
chr19	53762764	53762915		0.807983333	0.592795	0.840058228	0.66956	0.921425	0.467268421	chr19	53762773	53762774	14.28571429	77.77777778	50	54.54545455	54.54545455	55.55555556	62.5	NA
chr19	53762764	53762915		0.807983333	0.592795	0.840058228	0.66956	0.921425	0.467268421	chr19	53762848	53762849	NA	NA	NA	NA	NA	83.33333333	NA	NA
chr19	53762764	53762915		0.807983333	0.592795	0.840058228	0.66956	0.921425	0.467268421	chr19	53762849	53762850	NA	100	81.81818182	100	100	100	88.88888889	NA
chr19	53762764	53762915		0.807983333	0.592795	0.840058228	0.66956	0.921425	0.467268421	chr19	53762888	53762889	NA	100	NA	NA	NA	100	NA	NA
chr19	53762764	53762915		0.807983333	0.592795	0.840058228	0.66956	0.921425	0.467268421	chr19	53762889	53762890	NA	100	75	75	NA	88.88888889	NA	NA
chr19	53762764	53762915		0.807983333	0.592795	0.840058228	0.66956	0.921425	0.467268421	chr19	53762900	53762901	NA	100	NA	NA	NA	100	NA	NA
chr19	53762764	53762915		0.807983333	0.592795	0.840058228	0.66956	0.921425	0.467268421	chr19	53762901	53762902	NA	100	100	100	NA	100	100	NA
chr19	53762764	53762915		0.807983333	0.592795	0.840058228	0.66956	0.921425	0.467268421	chr19	53762904	53762905	NA	100	NA	NA	NA	100	NA	NA
chr19	53762764	53762915		0.807983333	0.592795	0.840058228	0.66956	0.921425	0.467268421	chr19	53762905	53762906	NA	100	87.5	100	NA	100	100	NA
chr7	127837721	127837872		0.8515	0.5990425	0.846502532	0.658	0.9366875	0.478915789	chr7	127837865	127837866	100	100	87.5	100	100	100	100	100
chr7	127837721	127837872		0.8515	0.5990425	0.846502532	0.658	0.9366875	0.478915789	chr7	127837866	127837867	100	100	NA	88.88888889	100	100	100	NA
chr8	10878823	10878974		0.8608	0.5959625	0.843463291	0.6174	0.9058375	0.497521053	.	-1	-1	.	.	.	.	.	.	.	.
chr4	7374594	7374745		0.779366667	0.619005	0.866736709	0.69356	0.944225	0.496042105	chr4	7374599	7374600	100	75	64.28571429	70	76.47058824	75	71.42857143	NA
chr4	7374594	7374745		0.779366667	0.619005	0.866736709	0.69356	0.944225	0.496042105	chr4	7374625	7374626	83.33333333	100	83.33333333	90.90909091	87.5	54.54545455	90.90909091	66.66666667
chr4	7374594	7374745		0.779366667	0.619005	0.866736709	0.69356	0.944225	0.496042105	chr4	7374651	7374652	75	100	84.61538462	80	66.66666667	91.66666667	72.72727273	100
chr4	7374594	7374745		0.779366667	0.619005	0.866736709	0.69356	0.944225	0.496042105	chr4	7374671	7374672	87.5	100	100	100	90	100	100	100
chr4	7374594	7374745		0.779366667	0.619005	0.866736709	0.69356	0.944225	0.496042105	chr4	7374674	7374675	NA	NA	NA	100	NA	NA	NA	NA
chr4	7374594	7374745		0.779366667	0.619005	0.866736709	0.69356	0.944225	0.496042105	chr4	7374675	7374676	100	100	100	100	90	100	100	100
chr4	7374594	7374745		0.779366667	0.619005	0.866736709	0.69356	0.944225	0.496042105	chr4	7374731	7374732	NA	NA	NA	NA	NA	NA	100	NA
chr1	208891188	208891339		0.819016667	0.573235	0.821216456	0.62984	0.9284875	0.473247368	chr1	208891246	208891247	100	94.11764706	94.44444444	87.5	100	100	83.33333333	90
chr1	208891188	208891339		0.819016667	0.573235	0.821216456	0.62984	0.9284875	0.473247368	chr1	208891247	208891248	83.33333333	84.61538462	83.33333333	88.88888889	77.77777778	100	83.33333333	100
chr1	208891188	208891339		0.819016667	0.573235	0.821216456	0.62984	0.9284875	0.473247368	chr1	208891279	208891280	100	100	92.85714286	NA	63.63636364	100	92.30769231	NA
chr1	208891188	208891339		0.819016667	0.573235	0.821216456	0.62984	0.9284875	0.473247368	chr1	208891280	208891281	NA	81.81818182	NA	100	87.5	NA	92.85714286	100
chr4	41206121	41206272		0.855866667	0.5807275	0.829077215	0.61196	0.9023625	0.471989474	chr4	41206141	41206142	NA	100	100	100	100	80	95.23809524	NA
chr4	41206121	41206272		0.855866667	0.5807275	0.829077215	0.61196	0.9023625	0.471989474	chr4	41206142	41206143	NA	100	NA	100	NA	NA	100	NA
chr17	54962737	54962888		0.82675	0.5905575	0.839551899	0.64824	0.954975	0.478573684	.	-1	-1	.	.	.	.	.	.	.	.
chr2	236867610	236867761		0.877866667	0.6284425	0.878306329	0.73436	0.90345	0.458947368	chr2	236867650	236867651	90.90909091	86.66666667	94.73684211	100	85.71428571	100	100	NA
chr1	1731340	1731491		0.773366667	0.59294	0.842827848	0.67112	0.9027375	0.475731579	chr1	1731367	1731368	100	100	100	NA	100	NA	NA	NA
chr1	1731340	1731491		0.773366667	0.59294	0.842827848	0.67112	0.9027375	0.475731579	chr1	1731368	1731369	NA	NA	NA	NA	NA	83.33333333	NA	NA
chr12	83059182	83059333		0.860716667	0.61419	0.864525316	0.67218	0.9255875	0.485057895	chr12	83059301	83059302	27.27272727	58.33333333	30.76923077	44.44444444	80.95238095	44.44444444	42.85714286	85.71428571
chr12	83059182	83059333		0.860716667	0.61419	0.864525316	0.67218	0.9255875	0.485057895	chr12	83059302	83059303	72.72727273	45.45454545	38.46153846	50	78.57142857	22.22222222	72.22222222	NA
chr1	201531439	201531590		0.843166667	0.587185	0.837867089	0.64824	0.945825	0.448121053	chr1	201531444	201531445	NA	28.57142857	NA	25	0	0	0	NA
chr1	201531439	201531590		0.843166667	0.587185	0.837867089	0.64824	0.945825	0.448121053	chr1	201531462	201531463	NA	NA	NA	NA	NA	NA	66.66666667	NA
chr1	201531439	201531590		0.843166667	0.587185	0.837867089	0.64824	0.945825	0.448121053	chr1	201531463	201531464	NA	100	NA	57.14285714	71.42857143	37.5	83.33333333	NA
