chr	start	end	cereb_average	all_brain_average	other_brain_avg	pref_average	leuk_average	white_matter	dist_to_other	dist_to_all_brain
chr1	66458803	66458804	0.818833333	0.3406525	0.903451899	0.32034	0.963675	0.186042105	0.717409793	0.154610395
chr1	67001108	67001109	0.186183333	0.2647675	0.868179747	0.30976	0.9202625	0.253031579	0.615148168	0.011735921
chr1	77836400	77836401	0.361133333	0.3667125	0.806767089	0.52598	0.9218875	0.242673684	0.564093404	0.124038816
chr1	78031187	78031188	0.48235	0.450495	0.88251519	0.53924	0.9524375	0.346663158	0.535852032	0.103831842
chr1	83289714	83289715	0.655333333	0.477445	0.893126582	0.51256	0.9401375	0.386363158	0.506763424	0.091081842
chr1	86913263	86913264	0.792816667	0.46905	0.850208861	0.5755	0.9343125	0.280321053	0.569887808	0.188728947
chr1	90023237	90023238	0.777116667	0.40807	0.895418987	0.36912	0.9617625	0.315173684	0.580245303	0.092896316
chr1	90053734	90053735	0.6538	0.4785775	0.901163291	0.60134	0.940875	0.335836842	0.565326449	0.142740658
chr1	90297591	90297592	0.794866667	0.3950225	0.90708481	0.4349	0.9481625	0.218794737	0.688290073	0.176227763
chr1	107937181	107937182	0.806916667	0.3704675	0.83484557	0.41826	0.922725	0.19	0.64484557	0.1804675
chr1	109260678	109260679	0.7518	0.37972	0.858107595	0.38834	0.9209625	0.255473684	0.602633911	0.124246316
chr1	109772439	109772440	0.637916667	0.4398375	0.914810127	0.43094	0.9668625	0.392084211	0.522725916	0.047753289
chr1	109850562	109850563	0.178533333	0.3006075	0.811405063	0.41704	0.94105	0.249221053	0.562184011	0.051386447
chr1	111145889	111145890	0.202066667	0.2410275	0.867408861	0.29842	0.9337875	0.209563158	0.657845703	0.031464342
chr1	116961857	116961858	0.785083333	0.480561538	0.848174684	0.39948	0.91745	0.444127778	0.404046906	0.036433761
chr1	117671033	117671034	0.836633333	0.441115	0.844018987	0.40504	0.925375	0.3481	0.495918987	0.093015
chr1	151267394	151267395	0.826383333	0.463215	0.919839241	0.5185	0.9584125	0.294352632	0.625486609	0.168862368
chr1	155148157	155148158	0.190883333	0.371485	0.81168481	0.41676	0.9183625	0.393921053	0.417763757	-0.022436053
chr1	156359253	156359254	0.179533333	0.365875	0.872660759	0.48726	0.9162625	0.303873684	0.568787075	0.062001316
chr1	156370496	156370497	0.387266667	0.3529	0.844308861	0.45478	0.944925	0.251	0.593308861	0.1019
chr1	156564330	156564331	0.395066667	0.320755	0.914224051	0.36236	0.9724625	0.259589474	0.654634577	0.061165526
chr1	159111423	159111424	0.215733333	0.3378175	0.89660641	0.43436	0.9204625	0.324915789	0.571690621	0.012901711
chr1	161679921	161679922	0.624533333	0.4355225	0.812078481	0.50422	0.9183	0.316421053	0.495657428	0.119101447
chr1	161808327	161808328	0.625166667	0.447655	0.822864557	0.55438	0.942325	0.297352632	0.525511925	0.150302368
chr1	161927947	161927948	0.472316667	0.449835	0.835386076	0.51986	0.92515	0.404447368	0.430938708	0.045387632
chr1	164604806	164604807	0.631883333	0.39288	0.900126582	0.32476	0.926875	0.354863158	0.545263424	0.038016842
chr1	170253944	170253945	0.157066667	0.315135	0.808920253	0.42256	0.925875	0.274826316	0.534093937	0.040308684
chr1	174417175	174417176	0.411483333	0.432075	0.891308861	0.48378	0.9420375	0.399078947	0.492229913	0.032996053
chr1	174417375	174417376	0.60025	0.41903	0.90645	0.49758	0.9493125	0.298578947	0.607871053	0.120451053
chr1	178508868	178508869	0.19765	0.44865	0.858241772	0.59562	0.9542625	0.403610526	0.454631246	0.045039474
chr1	179891204	179891205	0.806783333	0.40693	0.848791139	0.48896	0.9148875	0.203957895	0.644833245	0.202972105
chr1	183952796	183952797	0.59555	0.27874	0.811873418	0.25692	0.922575	0.194231579	0.617641839	0.084508421
chr1	193150499	193150500	0.81465	0.4667825	0.858122785	0.4496	0.942925	0.385452632	0.472670153	0.081329868
chr1	198828060	198828061	0.788383333	0.4995625	0.907562025	0.62054	0.9392	0.314752632	0.592809394	0.184809868
chr1	199052402	199052403	0.7784	0.471225	0.838294937	0.56118	0.90915	0.289794737	0.5485002	0.181430263
chr1	201700486	201700487	0.854166667	0.49301	0.915373418	0.55746	0.9613625	0.331257895	0.584115523	0.161752105
chr1	201794425	201794426	0.330566667	0.359675	0.825407595	0.36994	0.9103	0.359136842	0.466270753	0.000538158
chr1	202092285	202092286	0.787083333	0.43707	0.851673418	0.47358	0.9294375	0.285889474	0.565783944	0.151180526
chr1	202537837	202537838	0.540783333	0.4230425	0.813048101	0.48732	0.9341	0.3205	0.492548101	0.1025425
chr1	203840145	203840146	0.80715	0.495035	0.822721519	0.4668	0.9418375	0.412657895	0.410063624	0.082377105
chr1	204339486	204339487	0.867266667	0.4538125	0.867965823	0.48432	0.933725	0.278215789	0.589750033	0.175596711
chr1	204518670	204518671	0.315366667	0.420095	0.809740506	0.54772	0.9523375	0.353957895	0.455782612	0.066137105
chr1	204985932	204985933	0.4219	0.4926875	0.95270641	0.67378	0.946375	0.363478947	0.589227463	0.129208553
chr1	205011227	205011228	0.16425	0.36839	0.816765823	0.52462	0.9336	0.306163158	0.510602665	0.062226842
chr1	205039083	205039084	0.305066667	0.4782275	0.900486076	0.7087	0.973025	0.355026316	0.54545976	0.123201184
chr1	205042927	205042928	0.510183333	0.478075	0.841006329	0.59882	0.9272125	0.371221053	0.469785276	0.106853947
chr1	205897809	205897810	0.86565	0.43434	0.845512658	0.493	0.9397	0.245410526	0.600102132	0.188929474
chr1	207992548	207992549	0.479083333	0.47607	0.85225443	0.44136	0.962225	0.499621053	0.352633378	-0.023551053
chr1	212002499	212002500	0.328933333	0.38641	0.80284557	0.45808	0.95555	0.344547368	0.458298201	0.041862632
chr1	212261297	212261298	0.7768	0.4564475	0.831611392	0.41932	0.9439	0.3929	0.438711392	0.0635475
chr1	213562740	213562741	0.0955	0.3765725	0.897773418	0.33394	0.9512	0.486147368	0.411626049	-0.109574868
chr1	214834360	214834361	0.235066667	0.4158875	0.841360759	0.42014	0.908925	0.466394737	0.374966023	-0.050507237
chr1	215773070	215773071	0.5204	0.393245	0.814101266	0.51002	0.9001625	0.260836842	0.553264424	0.132408158
chr1	221912247	221912248	0.838533333	0.4973975	0.840496203	0.55332	0.907175	0.339294737	0.501201466	0.158102763
chr1	223968151	223968152	0.897166667	0.4725975	0.922613924	0.545	0.9505375	0.281163158	0.641450766	0.191434342
chr1	224026237	224026238	0.793433333	0.4316025	0.803811392	0.47308	0.905075	0.280178947	0.523632445	0.151423553
chr1	227163427	227163428	0.209433333	0.2966825	0.825777215	0.4396	0.9648	0.194136842	0.631640373	0.102545658
chr1	227163700	227163701	0.226566667	0.3937875	0.858688608	0.49402	0.933	0.318715789	0.539972818	0.075071711
chr1	229475308	229475309	0.1639	0.4196625	0.870473418	0.46532	0.9409375	0.461868421	0.408604997	-0.042205921
chr1	230272306	230272307	0.163866667	0.3263125	0.842481013	0.32656	0.93735	0.365173684	0.477307328	-0.038861184
chr1	230272358	230272359	0.165516667	0.336365	0.835592405	0.35708	0.9643375	0.368768421	0.466823984	-0.032403421
chr1	230272611	230272612	0.133916667	0.3523425	0.83006962	0.33874	0.954725	0.428042105	0.402027515	-0.075699605
chr1	230272656	230272657	0.2101	0.417495	0.814498734	0.41274	0.94485	0.486921053	0.327577682	-0.069426053
chr1	230992843	230992844	0.835683333	0.3819725	0.875688608	0.433	0.9463375	0.178736842	0.696951765	0.203235658
chr1	234819745	234819746	0.808333333	0.4385275	0.843129114	0.5631	0.91955	0.218463158	0.624665956	0.220064342
chr1	234852797	234852798	0.89	0.4899125	0.837970886	0.55818	0.9561	0.307847368	0.530123518	0.182065132
chr1	242611826	242611827	0.1325	0.352655	0.827356962	0.51464	0.902525	0.307231579	0.520125383	0.045423421
chr1	243584861	243584862	0.560666667	0.2512575	0.8655	0.21244	0.9379	0.173431579	0.692068421	0.077825921
chr1	243877447	243877448	0.2356	0.24557	0.816981013	0.31382	0.94845	0.199284211	0.617696802	0.046285789
chr1	244217209	244217210	0.110983333	0.22468	0.897520253	0.31564	0.9578875	0.188173684	0.709346569	0.036506316
chr1	244217562	244217563	0.1055	0.227535	0.889003797	0.30378	0.9473375	0.204931579	0.684072219	0.022603421
chr1	244318867	244318868	0.64815	0.3994925	0.920382278	0.48462	0.96535	0.2488	0.671582278	0.1506925
chr1	244609066	244609067	0.831266667	0.438425	0.849277215	0.54466	0.9099625	0.231789474	0.617487742	0.206635526
chr1	245209111	245209112	0.2187	0.39291	0.809	0.54432	0.940425	0.316742105	0.492257895	0.076167895
chr1	245534821	245534822	0.12705	0.44745	0.826663291	0.6055	0.9542125	0.421321053	0.405342239	0.026128947
chr1	245581404	245581405	0.7701	0.4545	0.861674684	0.4609	0.9490125	0.324105263	0.53756942	0.130394737
chr1	245753302	245753303	0.304133333	0.3534625	0.881873418	0.42822	0.9360125	0.3087	0.573173418	0.0447625
chr2	681320	681321	0.538166667	0.454755	0.800891139	0.57516	0.9317	0.353610526	0.447280613	0.101144474
chr2	2328391	2328392	0.128066667	0.3896075	0.873082278	0.41834	0.928825	0.460189474	0.412892805	-0.070581974
chr2	2337093	2337094	0.148833333	0.3921325	0.837567089	0.41034	0.901	0.460773684	0.376793404	-0.068641184
chr2	3192911	3192912	0.889316667	0.49564	0.880197468	0.59888	0.9466	0.292678947	0.587518521	0.202961053
chr2	3270259	3270260	0.1614	0.3547125	0.881746835	0.4426	0.9651625	0.341136842	0.540609993	0.013575658
chr2	3285967	3285968	0.134716667	0.38081	0.878716456	0.4051	0.9756	0.435468421	0.443248035	-0.054658421
chr2	3292757	3292758	0.738316667	0.36961	0.91449359	0.37356	0.9659	0.235473684	0.679019906	0.134136316
chr2	3403300	3403301	0.4114	0.2251	0.816678481	0.25532	0.934475	0.140305263	0.676373218	0.084794737
chr2	3463558	3463559	0.335666667	0.4287275	0.817325316	0.52158	0.9537375	0.379152632	0.438172685	0.049574868
chr2	3480658	3480659	0.81555	0.3968	0.881210127	0.44116	0.97115	0.219536842	0.661673284	0.177263158
chr2	3704793	3704794	0.87535	0.46104	0.905053165	0.49748	0.9403875	0.295378947	0.609674217	0.165661053
chr2	6115711	6115712	0.80365	0.4838925	0.861902532	0.51972	0.9570375	0.349147368	0.512755163	0.134745132
chr2	6122798	6122799	0.829216667	0.4231975	0.851926582	0.3878	0.955975	0.324252632	0.527673951	0.098944868
chr2	6122814	6122815	0.835766667	0.4081575	0.868716456	0.4159	0.929375	0.253084211	0.615632245	0.155073289
chr2	7073095	7073096	0.488933333	0.379945	0.896424051	0.44846	0.9475375	0.294315789	0.602108261	0.085629211
chr2	7073129	7073130	0.80805	0.4782825	0.9074	0.51106	0.9171	0.3506	0.5568	0.1276825
chr2	9387472	9387473	0.22325	0.42083	0.800312658	0.45092	0.96115	0.449926316	0.350386342	-0.029096316
chr2	11989691	11989692	0.517483333	0.39205	0.872896203	0.47674	0.9258	0.288831579	0.584064624	0.103218421
chr2	16124662	16124663	0.193616667	0.34817	0.821856962	0.41854	0.9001375	0.336115789	0.485741173	0.012054211
chr2	16796185	16796186	0.881166667	0.4957025	0.829856962	0.45222	0.946875	0.404815789	0.425041173	0.090886711
chr2	16816994	16816995	0.684183333	0.43652	0.839143038	0.39758	0.924625	0.382989474	0.456153564	0.053530526
chr2	23879137	23879138	0.286583333	0.3028925	0.878379747	0.36676	0.9538125	0.260921053	0.617458694	0.041971447
chr2	24443636	24443637	0.839766667	0.3293575	0.899273418	0.32472	0.9622	0.168994737	0.730278681	0.160362763
chr2	25045211	25045212	0.4055	0.29747	0.860948101	0.37844	0.936675	0.193510526	0.667437575	0.103959474
chr2	29698784	29698785	0.499866667	0.3822425	0.804264557	0.47284	0.9066625	0.278142105	0.526122452	0.104100395
chr2	30041338	30041339	0.737666667	0.2993775	0.882264557	0.33926	0.90055	0.120457895	0.761806662	0.178919605
chr2	30796122	30796123	0.511666667	0.454845	0.895511392	0.59272	0.961825	0.338284211	0.557227182	0.116560789
chr2	33906282	33906283	0.626	0.3825325	0.816089873	0.40096	0.953325	0.2835	0.532589873	0.0990325
chr2	37734390	37734391	0.479483333	0.38702	0.846278481	0.50284	0.9497625	0.258263158	0.588015323	0.128756842
chr2	40377776	40377777	0.7053	0.4812625	0.872565823	0.52732	0.9196375	0.396478947	0.476086875	0.084783553
chr2	40646370	40646371	0.8458	0.4973425	0.803020253	0.43296	0.956025	0.446878947	0.356141306	0.050463553
chr2	43328657	43328658	0.821666667	0.44201	0.854968354	0.49046	0.9222125	0.268226316	0.586742039	0.173783684
chr2	44457733	44457734	0.305966667	0.374875	0.870643038	0.53696	0.919075	0.2775	0.593143038	0.097375
chr2	46621477	46621478	0.840216667	0.491135	0.815707595	0.60008	0.9272875	0.295463158	0.520244437	0.195671842
chr2	48677627	48677628	0.314416667	0.3320825	0.829208861	0.44274	0.9494875	0.245157895	0.584050966	0.086924605
chr2	51228125	51228126	0.842116667	0.45325	0.886705063	0.52696	0.91525	0.255905263	0.6307998	0.197344737
chr2	51254132	51254133	0.20745	0.380355	0.897550633	0.41374	0.9356	0.425015789	0.472534843	-0.044660789
chr2	51254170	51254171	0.198583333	0.30167	0.920429114	0.35302	0.91115	0.302768421	0.617660693	-0.001098421
chr2	54087517	54087518	0.46295	0.40337	0.841018987	0.46736	0.9270375	0.341036842	0.499982145	0.062333158
chr2	54087552	54087553	0.5816	0.4675	0.838837975	0.40888	0.9220375	0.4818	0.357037975	-0.0143
chr2	54292798	54292799	0.2006	0.4132175	0.858840506	0.5232	0.9638625	0.406694737	0.452145769	0.006522763
chr2	54611906	54611907	0.640983333	0.335965	0.83185443	0.46588	0.93975	0.137310526	0.694543904	0.198654474
chr2	54756247	54756248	0.7983	0.42688	0.849220253	0.45232	0.94545	0.296731579	0.552488674	0.130148421
chr2	55174473	55174474	0.247383333	0.26941	0.86178481	0.34638	0.950725	0.217257895	0.644526915	0.052152105
chr2	55199843	55199844	0.69415	0.4926225	0.808079747	0.52526	0.959275	0.415984211	0.392095536	0.076638289
chr2	61104882	61104883	0.765366667	0.4615525	0.834762025	0.56706	0.9236	0.293157895	0.541604131	0.168394605
chr2	64844761	64844762	0.605566667	0.464305	0.873363291	0.60458	0.9615125	0.311557895	0.561805396	0.152747105
chr2	66689807	66689808	0.231716667	0.302065	0.811798734	0.4068	0.948375	0.234578947	0.577219787	0.067486053
chr2	69662765	69662766	0.666766667	0.3914	0.867610127	0.43604	0.959725	0.264673684	0.602936442	0.126726316
chr2	70377064	70377065	0.741966667	0.4598875	0.8146	0.48072	0.9021375	0.3352	0.4794	0.1246875
chr2	71823484	71823485	0.676066667	0.3612775	0.807627848	0.42826	0.9629	0.199626316	0.608001532	0.161651184
chr2	71823517	71823518	0.772716667	0.3716575	0.826131646	0.45008	0.96705	0.168410526	0.657721119	0.203246974
chr2	73478549	73478550	0.330866667	0.412425	0.827203797	0.56668	0.9420375	0.324268421	0.502935376	0.088156579
chr2	74066962	74066963	0.283433333	0.4578925	0.872218987	0.60552	0.9356875	0.413568421	0.458650566	0.044324079
chr2	74602278	74602279	0.61695	0.4884025	0.862734177	0.46512	0.9625	0.468436842	0.394297335	0.019965658
chr2	74663482	74663483	0.475983333	0.4208325	0.816391139	0.46254	0.9594875	0.370847368	0.445543771	0.049985132
chr2	80060018	80060019	0.838833333	0.4818125	0.837610127	0.59282	0.925125	0.282468421	0.555141706	0.199344079
chr2	84662664	84662665	0.80335	0.4184825	0.849348101	0.50144	0.9493	0.222989474	0.626358628	0.195493026
chr2	97526497	97526498	0.39195	0.4896825	0.818978481	0.53626	0.9397875	0.4849	0.334078481	0.0047825
chr2	98858595	98858596	0.4678	0.2845525	0.839037975	0.32144	0.901175	0.190178947	0.648859027	0.094373553
chr2	100481106	100481107	0.835383333	0.4954875	0.87296962	0.58946	0.940475	0.308110526	0.564859094	0.187376974
chr2	101511926	101511927	0.859583333	0.4908075	0.891827848	0.51724	0.9624875	0.342505263	0.549322585	0.148302237
chr2	102326438	102326439	0.853433333	0.42705	0.812782278	0.4543	0.9254625	0.270731579	0.5420507	0.156318421
chr2	102410963	102410964	0.75985	0.487305	0.823240506	0.53798	0.903875	0.345236842	0.478003664	0.142068158
chr2	102460597	102460598	0.844933333	0.450655	0.884459494	0.4005	0.9653625	0.365468421	0.518991073	0.085186579
chr2	102475470	102475471	0.751816667	0.485615	0.877451899	0.56622	0.941175	0.341057895	0.536394004	0.144557105
chr2	105118572	105118573	0.445483333	0.3920425	0.884429114	0.39066	0.911525	0.388331579	0.496097535	0.003710921
chr2	105318274	105318275	0.220916667	0.268265	0.898567089	0.32984	0.9532875	0.217863158	0.680703931	0.050401842
chr2	106055450	106055451	0.718916667	0.4965875	0.811773418	0.49754	0.96075	0.434157895	0.377615523	0.062429605
chr2	106055458	106055459	0.77795	0.4909975	0.803051899	0.4746	0.971725	0.421668421	0.381383478	0.069329079
chr2	107679531	107679532	0.6787	0.33328	0.808122785	0.38658	0.93525	0.190015789	0.618106995	0.143264211
chr2	109177239	109177240	0.823433333	0.49532	0.819434177	0.58794	0.95765	0.312242105	0.507192072	0.183077895
chr2	114584240	114584241	0.485633333	0.321315	0.809091139	0.42742	0.927525	0.177231579	0.63185956	0.144083421
chr2	119987813	119987814	0.8149	0.466335	0.861867089	0.5728	0.9456875	0.277731579	0.58413551	0.188603421
chr2	121036705	121036706	0.611733333	0.4513125	0.882889873	0.57456	0.9597125	0.308094737	0.574795137	0.143217763
chr2	121545260	121545261	0.816	0.3932325	0.803531646	0.40098	0.910175	0.241526316	0.56200533	0.151706184
chr2	121741143	121741144	0.675866667	0.4183775	0.806287342	0.52194	0.9201875	0.264268421	0.542018921	0.154109079
chr2	127861092	127861093	0.187333333	0.3576275	0.826048101	0.51916	0.9516125	0.269205263	0.556842838	0.088422237
chr2	128403133	128403134	0.493333333	0.3644	0.888435443	0.455	0.9634125	0.245231579	0.643203864	0.119168421
chr2	130636142	130636143	0.265866667	0.3515725	0.878532911	0.39414	0.9657375	0.343963158	0.534569753	0.007609342
chr2	134357740	134357741	0.155616667	0.3072575	0.848526582	0.47514	0.9264125	0.223447368	0.625079214	0.083810132
chr2	135985164	135985165	0.470933333	0.39105	0.870151899	0.44794	0.9533875	0.326426316	0.543725583	0.064623684
chr2	145196972	145196973	0.822583333	0.450425	0.91171519	0.46254	0.9197875	0.316742105	0.594973085	0.133682895
chr2	148109723	148109724	0.16575	0.4222075	0.846262025	0.46212	0.92635	0.467536842	0.378725183	-0.045329342
