chr	start	end	cereb_average	all_brain_average	other_brain_avg	pref_average	leuk_average	white_matter	temporal	dist
chr1	161808327	161808328	0.625166667	0.447655	0.822864557	0.55438	0.942325	0.297352632	0.57336	0.375209557
chr1	161927947	161927948	0.472316667	0.449835	0.835386076	0.51986	0.92515	0.404447368	0.48757	0.385551076
chr1	164604806	164604807	0.631883333	0.39288	0.900126582	0.32476	0.926875	0.354863158	0.35577	0.507246582
chr1	167883298	167883299	0.884583333	0.6095125	0.892153165	0.6757	0.961325	0.469657895	0.6771	0.282640665
chr1	168215442	168215443	0.861933333	0.5392725	0.897901266	0.62138	0.9627	0.366252632	0.63336	0.358628766
chr1	170253944	170253945	0.157066667	0.315135	0.808920253	0.42256	0.925875	0.274826316	0.43285	0.493785253
chr1	174417175	174417176	0.411483333	0.432075	0.891308861	0.48378	0.9420375	0.399078947	0.48127	0.459233861
chr1	174417375	174417376	0.60025	0.41903	0.90645	0.49758	0.9493125	0.298578947	0.49988	0.48742
chr1	178420683	178420684	0.862216667	0.5816975	0.811250633	0.58212	0.9236	0.4839	0.59899	0.229553133
chr1	178508868	178508869	0.19765	0.44865	0.858241772	0.59562	0.9542625	0.403610526	0.61134	0.409591772
chr1	178992788	178992789	0.865366667	0.5765275	0.858986076	0.61086	0.9041125	0.452463158	0.62178	0.282458576
chr1	179891204	179891205	0.806783333	0.40693	0.848791139	0.48896	0.9148875	0.203957895	0.51165	0.441861139
chr1	181001877	181001878	0.625566667	0.56807	0.859603797	0.63818	0.9218875	0.486805263	0.65292	0.291533797
chr1	182642748	182642749	0.87105	0.51301	0.874581013	0.5462	0.915125	0.368842105	0.55551	0.361571013
chr1	183952796	183952797	0.59555	0.27874	0.811873418	0.25692	0.922575	0.194231579	0.26013	0.533133418
chr1	184544165	184544166	0.736166667	0.5099975	0.869410256	0.50192	0.9539125	0.454131579	0.48448	0.359412756
chr1	193150499	193150500	0.81465	0.4667825	0.858122785	0.4496	0.942925	0.385452632	0.42118	0.391340285
chr1	198828005	198828006	0.777066667	0.563085	0.881350633	0.68718	0.940925	0.398584211	0.6852	0.318265633
chr1	198828060	198828061	0.788383333	0.4995625	0.907562025	0.62054	0.9392	0.314752632	0.61692	0.407999525
chr1	199052402	199052403	0.7784	0.471225	0.838294937	0.56118	0.90915	0.289794737	0.58666	0.367069937
chr1	200371248	200371249	0.753616667	0.60397	0.829303797	0.66768	0.914525	0.496636842	0.68626	0.225333797
chr1	201531514	201531515	0.843166667	0.587185	0.837867089	0.64824	0.945825	0.448121053	0.66729	0.250682089
chr1	201700486	201700487	0.854166667	0.49301	0.915373418	0.55746	0.9613625	0.331257895	0.55142	0.422363418
chr1	201794425	201794426	0.330566667	0.359675	0.825407595	0.36994	0.9103	0.359136842	0.37303	0.465732595
chr1	202092285	202092286	0.787083333	0.43707	0.851673418	0.47358	0.9294375	0.285889474	0.49605	0.414603418
chr1	202537837	202537838	0.540783333	0.4230425	0.813048101	0.48732	0.9341	0.3205	0.51509	0.390005601
chr1	202894148	202894149	0.762616667	0.5778225	0.87484557	0.65586	0.9191625	0.459610526	0.65253	0.29702307
chr1	203768441	203768442	0.816633333	0.6107575	0.826092405	0.68934	0.9706	0.486505263	0.68402	0.215334905
chr1	203840145	203840146	0.80715	0.495035	0.822721519	0.4668	0.9418375	0.412657895	0.4784	0.327686519
chr1	204339486	204339487	0.867266667	0.4538125	0.867965823	0.48432	0.933725	0.278215789	0.52412	0.414153323
chr1	204446308	204446309	0.880966667	0.5435275	0.855493671	0.58402	0.9654125	0.3983	0.59675	0.311966171
chr1	204460191	204460192	0.8469	0.6125425	0.839374684	0.68072	0.937875	0.4834	0.68321	0.226832184
chr1	204518670	204518671	0.315366667	0.420095	0.809740506	0.54772	0.9523375	0.353957895	0.54478	0.389645506
chr1	204912819	204912820	0.894583333	0.6096575	0.884516456	0.69934	0.9173	0.446868421	0.70316	0.274858956
chr1	204985932	204985933	0.4219	0.4926875	0.95270641	0.67378	0.946375	0.363478947	0.69011	0.46001891
chr1	205011227	205011228	0.16425	0.36839	0.816765823	0.52462	0.9336	0.306163158	0.53099	0.448375823
chr1	205025861	205025862	0.56855	0.5805	0.85481519	0.66996	0.926575	0.497226316	0.70116	0.27431519
chr1	205039083	205039084	0.305066667	0.4782275	0.900486076	0.7087	0.973025	0.355026316	0.70097	0.422258576
chr1	205042927	205042928	0.510183333	0.478075	0.841006329	0.59882	0.9272125	0.371221053	0.60146	0.362931329
chr1	205114634	205114635	0.856	0.6156025	0.895656962	0.66338	0.9495125	0.491726316	0.68284	0.280054462
chr1	205585639	205585640	0.886433333	0.55435	0.920379747	0.6694	0.9733	0.355331579	0.67571	0.366029747
chr1	205897809	205897810	0.86565	0.43434	0.845512658	0.493	0.9397	0.245410526	0.50519	0.411172658
chr1	207992548	207992549	0.479083333	0.47607	0.85225443	0.44136	0.962225	0.499621053	0.44687	0.37618443
chr1	208891263	208891264	0.819016667	0.573235	0.821216456	0.62984	0.9284875	0.473247368	0.58744	0.247981456
chr1	210655903	210655904	0.84275	0.55606	0.831606329	0.61496	0.93365	0.412810526	0.62677	0.275546329
chr1	211667297	211667298	0.625016667	0.53088	0.821337975	0.61282	0.9408875	0.448957895	0.58908	0.290457975
chr1	211999985	211999986	0.662983333	0.5871225	0.826225316	0.67284	0.905325	0.475547368	0.71074	0.239102816
chr1	212002499	212002500	0.328933333	0.38641	0.80284557	0.45808	0.95555	0.344547368	0.4646	0.41643557
chr1	212202711	212202712	0.83695	0.5916475	0.864469231	0.67424	0.9620375	0.444968421	0.68186	0.272821731
chr1	212261297	212261298	0.7768	0.4564475	0.831611392	0.41932	0.9439	0.3929	0.40354	0.375163892
chr1	213562740	213562741	0.0955	0.3765725	0.897773418	0.33394	0.9512	0.486147368	0.35834	0.521200918
chr1	214834360	214834361	0.235066667	0.4158875	0.841360759	0.42014	0.908925	0.466394737	0.42629	0.425473259
chr1	215773070	215773071	0.5204	0.393245	0.814101266	0.51002	0.9001625	0.260836842	0.51014	0.420856266
chr1	220271059	220271060	0.8836	0.54166	0.930456962	0.63216	0.9640875	0.367610526	0.62194	0.388796962
chr1	221213052	221213053	0.644733333	0.50174	0.846413924	0.53824	0.916175	0.434694737	0.52508	0.344673924
chr1	221910211	221910212	0.824483333	0.5378525	0.862905063	0.5658	0.9479875	0.421815789	0.57237	0.325052563
chr1	221912247	221912248	0.838533333	0.4973975	0.840496203	0.55332	0.907175	0.339294737	0.56515	0.343098703
chr1	222168745	222168746	0.8796	0.5120775	0.9018	0.57818	0.9614875	0.341073684	0.58342	0.3897225
chr1	223968151	223968152	0.897166667	0.4725975	0.922613924	0.545	0.9505375	0.281163158	0.54538	0.450016424
chr1	224026237	224026238	0.793433333	0.4316025	0.803811392	0.47308	0.905075	0.280178947	0.48147	0.372208892
chr1	227163427	227163428	0.209433333	0.2966825	0.825777215	0.4396	0.9648	0.194136842	0.47241	0.529094715
chr1	227163700	227163701	0.226566667	0.3937875	0.858688608	0.49402	0.933	0.318715789	0.58664	0.464901108
chr1	227174076	227174077	0.749466667	0.55451	0.838593671	0.54014	0.920125	0.494278947	0.55916	0.284083671
chr1	227182615	227182616	0.82465	0.5173125	0.881486076	0.57488	0.90505	0.370726316	0.58264	0.364173576
chr1	229475308	229475309	0.1639	0.4196625	0.870473418	0.46532	0.9409375	0.461868421	0.4701	0.450810918
chr1	230272306	230272307	0.163866667	0.3263125	0.842481013	0.32656	0.93735	0.365173684	0.34982	0.516168513
chr1	230272358	230272359	0.165516667	0.336365	0.835592405	0.35708	0.9643375	0.368768421	0.36695	0.499227405
chr1	230272611	230272612	0.133916667	0.3523425	0.83006962	0.33874	0.954725	0.428042105	0.34637	0.47772712
chr1	230272656	230272657	0.2101	0.417495	0.814498734	0.41274	0.94485	0.486921053	0.4124	0.397003734
chr1	230992843	230992844	0.835683333	0.3819725	0.875688608	0.433	0.9463375	0.178736842	0.47038	0.493716108
chr1	233119362	233119363	0.677283333	0.5556225	0.904740506	0.67342	0.9639375	0.431078947	0.66036	0.349118006
chr1	234136308	234136309	0.787766667	0.535758974	0.88566962	0.62902	0.958	0.374988889	0.62731	0.349910646
chr1	234819745	234819746	0.808333333	0.4385275	0.843129114	0.5631	0.91955	0.218463158	0.57248	0.404601614
chr1	234852797	234852798	0.89	0.4899125	0.837970886	0.55818	0.9561	0.307847368	0.56165	0.348058386
chr1	234852892	234852893	0.854483333	0.5406125	0.85185443	0.60846	0.9691875	0.391768421	0.60117	0.31124193
chr1	235612115	235612116	0.87335	0.5659925	0.898131646	0.68422	0.957175	0.382442105	0.67121	0.332139146
chr1	236293045	236293046	0.8085	0.5154425	0.858882278	0.55932	0.9465375	0.392826316	0.55064	0.343439778
chr1	242611826	242611827	0.1325	0.352655	0.827356962	0.51464	0.902525	0.307231579	0.49006	0.474701962
chr1	243349667	243349668	0.873683333	0.58772	0.909950633	0.68972	0.952575	0.418726316	0.68623	0.322230633
chr1	243584861	243584862	0.560666667	0.2512575	0.8655	0.21244	0.9379	0.173431579	0.23289	0.6142425
chr1	243651750	243651751	0.828066667	0.5639475	0.898177215	0.58314	0.953125	0.467268421	0.57957	0.334229715
chr1	243877447	243877448	0.2356	0.24557	0.816981013	0.31382	0.94845	0.199284211	0.30537	0.571411013
chr1	244217209	244217210	0.110983333	0.22468	0.897520253	0.31564	0.9578875	0.188173684	0.31678	0.672840253
chr1	244217562	244217563	0.1055	0.227535	0.889003797	0.30378	0.9473375	0.204931579	0.30558	0.661468797
chr1	244318867	244318868	0.64815	0.3994925	0.920382278	0.48462	0.96535	0.2488	0.49405	0.520889778
chr1	244609066	244609067	0.831266667	0.438425	0.849277215	0.54466	0.9099625	0.231789474	0.54221	0.410852215
chr1	244806334	244806335	0.78785	0.5728275	0.85985	0.6068	0.9436375	0.481636842	0.60009	0.2870225
