File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF538VBI	bam	alignments	ENCSR022QUM	whole-genome shotgun bisulfite sequencing	UBERON:0002369	adrenal gland	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF235UNL, ENCFF246HVP"	2.39879E+11	ENCODE Processing Pipeline	54f2dfce7338623bf3c935fb78fa0666		https://www.encodeproject.org/files/ENCFF538VBI/@@download/ENCFF538VBI.bam	GRCh38			released				
ENCFF931UCU	bam	alignments	ENCSR022QUM	whole-genome shotgun bisulfite sequencing	UBERON:0002369	adrenal gland	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF046NSX, ENCFF246HVP"	51470595268	ENCODE Processing Pipeline	df860c888002257accca90ef34440c2e		https://www.encodeproject.org/files/ENCFF931UCU/@@download/ENCFF931UCU.bam	GRCh38			released				
ENCFF576YUB	bam	alignments	ENCSR022QUM	whole-genome shotgun bisulfite sequencing	UBERON:0002369	adrenal gland	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF451HQC"	52498051673	ENCODE Processing Pipeline	853d30da91f1d835da1bc04099c7826b		https://www.encodeproject.org/files/ENCFF576YUB/@@download/ENCFF576YUB.bam	GRCh38			released				
ENCFF703MUJ	bam	alignments	ENCSR675POY	whole-genome shotgun bisulfite sequencing	UBERON:0002369	adrenal gland	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF173EHC, ENCFF246HVP"	87435590298	ENCODE Processing Pipeline	ca71452ea6cca2f26304a4300e61fbcb		https://www.encodeproject.org/files/ENCFF703MUJ/@@download/ENCFF703MUJ.bam	GRCh38			released				
ENCFF675PWE	bam	alignments	ENCSR675POY	whole-genome shotgun bisulfite sequencing	UBERON:0002369	adrenal gland	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF276QEO"	90564760364	ENCODE Processing Pipeline	e55c50da391fad52492799c623f47637		https://www.encodeproject.org/files/ENCFF675PWE/@@download/ENCFF675PWE.bam	GRCh38			released				
ENCFF812REK	bam	alignments	ENCSR141JKC	whole-genome shotgun bisulfite sequencing	UBERON:0008450	psoas muscle	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF587BMR"	76488039908	ENCODE Processing Pipeline	c3be5ffc6dd7a04bf7a92c816b58e19a		https://www.encodeproject.org/files/ENCFF812REK/@@download/ENCFF812REK.bam	GRCh38			released				
ENCFF308URY	bam	alignments	ENCSR141JKC	whole-genome shotgun bisulfite sequencing	UBERON:0008450	psoas muscle	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF059ALK, ENCFF246HVP"	79312205442	ENCODE Processing Pipeline	9b132d35a4b4c84b5e78a2e934404d55		https://www.encodeproject.org/files/ENCFF308URY/@@download/ENCFF308URY.bam	GRCh38			released				
ENCFF296OAY	bam	alignments	ENCSR914REH	whole-genome shotgun bisulfite sequencing	UBERON:0002370	thymus	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF701FZZ"	3.2808E+11	ENCODE Processing Pipeline	66012aa153377dd07203543365bc9513		https://www.encodeproject.org/files/ENCFF296OAY/@@download/ENCFF296OAY.bam	GRCh38			released				
ENCFF674DYK	bam	alignments	ENCSR914REH	whole-genome shotgun bisulfite sequencing	UBERON:0002370	thymus	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF405CGC"	21260374060	ENCODE Processing Pipeline	98e0e30cd2f34576d9798dcbb6218082		https://www.encodeproject.org/files/ENCFF674DYK/@@download/ENCFF674DYK.bam	GRCh38			released				
ENCFF502RJT	bam	alignments	ENCSR608JPV	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF367HRQ"	85722841637	ENCODE Processing Pipeline	c6909cef72ec05ad774041bef0f861b2		https://www.encodeproject.org/files/ENCFF502RJT/@@download/ENCFF502RJT.bam	GRCh38			released				
ENCFF501PAS	bam	alignments	ENCSR608JPV	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF789ABO"	63740069224	ENCODE Processing Pipeline	85e9e711936402bf8c53f4c23855902f		https://www.encodeproject.org/files/ENCFF501PAS/@@download/ENCFF501PAS.bam	GRCh38			released				
ENCFF969EWC	bam	alignments	ENCSR357BWB	whole-genome shotgun bisulfite sequencing	UBERON:0002108	small intestine	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF730HKJ"	63695929538	ENCODE Processing Pipeline	d5f6ceafb700622a2d249d50987c3c89		https://www.encodeproject.org/files/ENCFF969EWC/@@download/ENCFF969EWC.bam	GRCh38			released				
ENCFF675AAS	bam	alignments	ENCSR357BWB	whole-genome shotgun bisulfite sequencing	UBERON:0002108	small intestine	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF199XDV, ENCFF246HVP"	67561510581	ENCODE Processing Pipeline	3e2eea51d4562979e101f887db4fca88		https://www.encodeproject.org/files/ENCFF675AAS/@@download/ENCFF675AAS.bam	GRCh38			released				
ENCFF724EVE	bam	alignments	ENCSR925GVY	whole-genome shotgun bisulfite sequencing	UBERON:0002078	right cardiac atrium	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF420KYF"	2.97082E+11	ENCODE Processing Pipeline	1badbf11b5132d90e89da811039a492e		https://www.encodeproject.org/files/ENCFF724EVE/@@download/ENCFF724EVE.bam	GRCh38			released				
ENCFF012ERG	bam	alignments	ENCSR925GVY	whole-genome shotgun bisulfite sequencing	UBERON:0002078	right cardiac atrium	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF280UDD"	26971171794	ENCODE Processing Pipeline	f84b3c684c9ce04c9ff0fe8280473c58		https://www.encodeproject.org/files/ENCFF012ERG/@@download/ENCFF012ERG.bam	GRCh38			released				
ENCFF735DJH	bam	alignments	ENCSR925GVY	whole-genome shotgun bisulfite sequencing	UBERON:0002078	right cardiac atrium	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF447JHA"	27794253428	ENCODE Processing Pipeline	c4bb205b6545650a1b1c60bf802aec35		https://www.encodeproject.org/files/ENCFF735DJH/@@download/ENCFF735DJH.bam	GRCh38			released				
ENCFF860VOZ	bam	alignments	ENCSR781LIC	whole-genome shotgun bisulfite sequencing	UBERON:0001264	pancreas	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF473TTY"	84605015424	ENCODE Processing Pipeline	13e6f6c11a5fd9ea16be3201bbafddb1		https://www.encodeproject.org/files/ENCFF860VOZ/@@download/ENCFF860VOZ.bam	GRCh38			released				
ENCFF129FXM	bam	alignments	ENCSR781LIC	whole-genome shotgun bisulfite sequencing	UBERON:0001264	pancreas	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF224NXJ, ENCFF246HVP"	2.88658E+11	ENCODE Processing Pipeline	078ccb9e49e9721e31bfcc2cde66594b		https://www.encodeproject.org/files/ENCFF129FXM/@@download/ENCFF129FXM.bam	GRCh38			released				
ENCFF231KBM	bam	alignments	ENCSR113KSF	whole-genome shotgun bisulfite sequencing	UBERON:0002108	small intestine	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF632ZUM"	77475302696	ENCODE Processing Pipeline	47fd02df42a0770087f6d54d1f8e7321		https://www.encodeproject.org/files/ENCFF231KBM/@@download/ENCFF231KBM.bam	GRCh38			released				
ENCFF109IEE	bam	alignments	ENCSR113KSF	whole-genome shotgun bisulfite sequencing	UBERON:0002108	small intestine	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF606MEY"	62783714049	ENCODE Processing Pipeline	e0c17946131fed859677ea7a3d6373cf		https://www.encodeproject.org/files/ENCFF109IEE/@@download/ENCFF109IEE.bam	GRCh38			released				
ENCFF076KAT	bam	alignments	ENCSR317JGM	whole-genome shotgun bisulfite sequencing	UBERON:0002106	spleen	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF106RQY, ENCFF246HVP"	83993396258	ENCODE Processing Pipeline	f7c8e088eeed094aa8f455167c9faf2d		https://www.encodeproject.org/files/ENCFF076KAT/@@download/ENCFF076KAT.bam	GRCh38			released				
ENCFF548BFU	bam	alignments	ENCSR317JGM	whole-genome shotgun bisulfite sequencing	UBERON:0002106	spleen	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF215QRU, ENCFF246HVP"	84663642994	ENCODE Processing Pipeline	12024855d531f81514c46d705fa0450f		https://www.encodeproject.org/files/ENCFF548BFU/@@download/ENCFF548BFU.bam	GRCh38			released				
ENCFF297RGZ	bam	alignments	ENCSR577RUU	whole-genome shotgun bisulfite sequencing	UBERON:0000945	stomach	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF645LKZ"	87104590460	ENCODE Processing Pipeline	8b486eb69873109a5bcaa80cec25a77e		https://www.encodeproject.org/files/ENCFF297RGZ/@@download/ENCFF297RGZ.bam	GRCh38			released				
ENCFF639KSF	bam	alignments	ENCSR577RUU	whole-genome shotgun bisulfite sequencing	UBERON:0000945	stomach	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF122YBA, ENCFF246HVP"	96294954595	ENCODE Processing Pipeline	16e992eacfdab80a01ae0bff86dca8d9		https://www.encodeproject.org/files/ENCFF639KSF/@@download/ENCFF639KSF.bam	GRCh38			released				
ENCFF689NEU	bam	alignments	ENCSR848CUY	whole-genome shotgun bisulfite sequencing	UBERON:0000945	stomach	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF853JHW"	91381514891	ENCODE Processing Pipeline	e34167da618b02ae69c2f5cd2f5d50cd		https://www.encodeproject.org/files/ENCFF689NEU/@@download/ENCFF689NEU.bam	GRCh38			released				
ENCFF146FBV	bam	alignments	ENCSR848CUY	whole-genome shotgun bisulfite sequencing	UBERON:0000945	stomach	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF452QUR"	79065483306	ENCODE Processing Pipeline	f00f7b1b6a22299e20b1e8925b8867d0		https://www.encodeproject.org/files/ENCFF146FBV/@@download/ENCFF146FBV.bam	GRCh38			released				
ENCFF247LYJ	bam	alignments	ENCSR634GFF	whole-genome shotgun bisulfite sequencing	UBERON:0001043	esophagus	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF390MNR"	73849951965	ENCODE Processing Pipeline	84772587304a9b29dea9abaf28aa453a		https://www.encodeproject.org/files/ENCFF247LYJ/@@download/ENCFF247LYJ.bam	GRCh38			released				
ENCFF794BXD	bam	alignments	ENCSR634GFF	whole-genome shotgun bisulfite sequencing	UBERON:0001043	esophagus	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF127QSZ, ENCFF246HVP"	82651048223	ENCODE Processing Pipeline	00cef549a0bb5681dc22d6babaacad09		https://www.encodeproject.org/files/ENCFF794BXD/@@download/ENCFF794BXD.bam	GRCh38			released				
ENCFF129CBM	bam	alignments	ENCSR652ELW	whole-genome shotgun bisulfite sequencing	UBERON:0002106	spleen	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF053MIA, ENCFF246HVP"	1.08861E+11	ENCODE Processing Pipeline	4572555b14d263c13debfa1dc4636109		https://www.encodeproject.org/files/ENCFF129CBM/@@download/ENCFF129CBM.bam	GRCh38			released				
