cpg.chr	cpg.start	cpg.end	not_leuk	leuk	als.chr	als.start	als.end	als.1	als.2	als.3	als.4	ctrl.1	ctrl.2	ctrl.3	ctrl.4
chr1	1564347	1564498	0.714015315	0.202	chr1	1564405	1564406	NA	NA	100	100	NA	NA	NA	NA
chr1	1564347	1564498	0.714015315	0.202	chr1	1564406	1564407	NA	62.5	100	NA	NA	100	100	100
chr1	1564347	1564498	0.714015315	0.202	chr1	1564431	1564432	NA	NA	100	88.88888889	NA	100	100	NA
chr1	1564347	1564498	0.714015315	0.202	chr1	1564432	1564433	NA	100	91.66666667	NA	83.33333333	100	80	83.33333333
chr1	1609313	1609464	0.634530631	0.123325	chr1	1609336	1609337	NA	75	100	100	NA	81.81818182	100	NA
chr1	1609313	1609464	0.634530631	0.123325	chr1	1609337	1609338	NA	100	NA	100	NA	100	NA	NA
chr1	1609313	1609464	0.634530631	0.123325	chr1	1609370	1609371	NA	100	100	NA	NA	100	100	NA
chr1	1609313	1609464	0.634530631	0.123325	chr1	1609371	1609372	NA	NA	NA	100	NA	100	NA	NA
chr1	1609313	1609464	0.634530631	0.123325	chr1	1609380	1609381	NA	100	100	NA	NA	100	84.61538462	NA
chr1	1609313	1609464	0.634530631	0.123325	chr1	1609381	1609382	NA	NA	NA	100	NA	100	NA	NA
chr1	1609313	1609464	0.634530631	0.123325	chr1	1609382	1609383	NA	100	100	NA	NA	100	100	NA
chr1	1609313	1609464	0.634530631	0.123325	chr1	1609383	1609384	NA	NA	NA	100	NA	83.33333333	NA	NA
chr1	1609313	1609464	0.634530631	0.123325	chr1	1609441	1609442	NA	83.33333333	90	100	NA	85.71428571	91.66666667	NA
chr1	2804760	2804911	0.67289009	0.1034125	chr1	2804821	2804822	NA	NA	NA	70	NA	NA	NA	NA
chr1	2804760	2804911	0.67289009	0.1034125	chr1	2804829	2804830	NA	NA	NA	77.77777778	NA	NA	NA	NA
chr1	2805075	2805226	0.584808108	0.07525	chr1	2805080	2805081	NA	NA	83.33333333	NA	NA	NA	NA	NA
chr1	2805075	2805226	0.584808108	0.07525	chr1	2805150	2805151	NA	NA	100	NA	NA	NA	NA	NA
chr1	2805075	2805226	0.584808108	0.07525	chr1	2805173	2805174	NA	NA	87.5	NA	NA	NA	NA	NA
chr1	3100881	3101032	0.72603964	0.2051125	chr1	3100887	3100888	100	83.33333333	92.30769231	NA	87.5	90	66.66666667	100
chr1	3100881	3101032	0.72603964	0.2051125	chr1	3100896	3100897	NA	83.33333333	100	NA	100	77.77777778	83.33333333	100
chr1	3100881	3101032	0.72603964	0.2051125	chr1	3100920	3100921	NA	81.81818182	84.61538462	NA	85.71428571	77.77777778	NA	88.88888889
chr1	3526035	3526186	0.774873874	0.2111125	chr1	3526077	3526078	NA	NA	NA	NA	NA	NA	100	NA
chr1	3526035	3526186	0.774873874	0.2111125	chr1	3526112	3526113	NA	NA	NA	100	NA	NA	100	NA
chr1	3526035	3526186	0.774873874	0.2111125	chr1	3526172	3526173	NA	100	NA	90	NA	100	NA	NA
chr1	3593737	3593888	0.67728018	0.0691875	chr1	3593745	3593746	NA	NA	NA	NA	NA	0	NA	NA
chr1	3593737	3593888	0.67728018	0.0691875	chr1	3593811	3593812	NA	NA	NA	0	NA	25	NA	NA
chr1	3593737	3593888	0.67728018	0.0691875	chr1	3593818	3593819	NA	0	16.66666667	0	NA	12.5	NA	NA
chr1	3806742	3806893	0.707369369	0.1527625	chr1	3806883	3806884	88.88888889	95.23809524	90.90909091	83.33333333	100	89.47368421	100	90.90909091
chr1	3806742	3806893	0.707369369	0.1527625	chr1	3806884	3806885	90	100	100	100	100	100	100	NA
chr1	6054792	6054943	0.611585586	0.0526375	chr1	6054836	6054837	NA	93.33333333	100	90	100	100	87.5	100
chr1	6054792	6054943	0.611585586	0.0526375	chr1	6054837	6054838	100	100	77.77777778	NA	100	100	71.42857143	NA
chr1	6054792	6054943	0.611585586	0.0526375	chr1	6054871	6054872	100	71.42857143	85.71428571	77.77777778	66.66666667	75	77.77777778	62.5
chr1	6054792	6054943	0.611585586	0.0526375	chr1	6054872	6054873	60	100	90	NA	50	100	75	NA
chr1	6054792	6054943	0.611585586	0.0526375	chr1	6054894	6054895	100	100	66.66666667	100	100	100	100	100
chr1	6054792	6054943	0.611585586	0.0526375	chr1	6054895	6054896	100	85.71428571	100	100	85.71428571	90	100	NA
chr1	6054792	6054943	0.611585586	0.0526375	chr1	6054937	6054938	83.33333333	88.88888889	NA	57.14285714	100	100	NA	NA
chr1	6054792	6054943	0.611585586	0.0526375	chr1	6054938	6054939	NA	100	100	100	NA	100	100	NA
chr1	6088475	6088626	0.646295495	0.0269375	chr1	6088527	6088528	NA	NA	NA	100	NA	100	100	NA
chr1	6088475	6088626	0.646295495	0.0269375	chr1	6088528	6088529	100	100	100	100	100	100	92.85714286	100
chr1	6088475	6088626	0.646295495	0.0269375	chr1	6088539	6088540	NA	NA	NA	100	NA	100	100	NA
chr1	6088475	6088626	0.646295495	0.0269375	chr1	6088540	6088541	NA	100	100	100	87.5	100	92.85714286	100
chr1	6651283	6651434	0.646916216	0.0886125	chr1	6651288	6651289	NA	NA	100	NA	NA	88.88888889	NA	NA
chr1	6651283	6651434	0.646916216	0.0886125	chr1	6651289	6651290	NA	83.33333333	100	100	100	100	NA	NA
chr1	6651283	6651434	0.646916216	0.0886125	chr1	6651332	6651333	NA	NA	83.33333333	NA	NA	100	100	NA
chr1	6651283	6651434	0.646916216	0.0886125	chr1	6651333	6651334	NA	100	NA	100	100	100	100	NA
chr1	6651283	6651434	0.646916216	0.0886125	chr1	6651381	6651382	NA	NA	NA	100	NA	NA	NA	NA
chr1	6651283	6651434	0.646916216	0.0886125	chr1	6651382	6651383	NA	NA	100	100	NA	75	100	NA
chr1	6651283	6651434	0.646916216	0.0886125	chr1	6651409	6651410	NA	NA	NA	90	NA	NA	NA	NA
chr1	6651283	6651434	0.646916216	0.0886125	chr1	6651410	6651411	NA	100	100	87.5	NA	100	100	NA
chr1	7029160	7029311	0.665011712	0.0557125	chr1	7029219	7029220	NA	NA	90	90	100	66.66666667	100	83.33333333
chr1	7029160	7029311	0.665011712	0.0557125	chr1	7029220	7029221	100	92.85714286	69.23076923	100	100	100	80	100
chr1	7029160	7029311	0.665011712	0.0557125	chr1	7029229	7029230	NA	NA	66.66666667	100	100	87.5	91.66666667	NA
chr1	7029160	7029311	0.665011712	0.0557125	chr1	7029230	7029231	100	100	84.61538462	100	100	93.75	100	83.33333333
chr1	7029160	7029311	0.665011712	0.0557125	chr1	7029239	7029240	NA	NA	100	100	66.66666667	100	91.66666667	NA
chr1	7029160	7029311	0.665011712	0.0557125	chr1	7029240	7029241	100	93.33333333	100	100	100	93.75	100	NA
chr1	7029160	7029311	0.665011712	0.0557125	chr1	7029272	7029273	NA	100	NA	100	100	100	90	NA
chr1	7029160	7029311	0.665011712	0.0557125	chr1	7029273	7029274	NA	100	NA	90.90909091	85.71428571	94.44444444	100	NA
chr1	7029160	7029311	0.665011712	0.0557125	chr1	7029297	7029298	NA	100	NA	100	83.33333333	90	100	NA
chr1	7029160	7029311	0.665011712	0.0557125	chr1	7029298	7029299	NA	100	NA	100	100	93.75	100	NA
chr1	7692246	7692397	0.698257658	0.1019125	.	-1	-1	.	.	.	.	.	.	.	.
chr1	7692250	7692401	0.643186486	0.0837375	chr1	7692398	7692399	NA	100	100	NA	NA	100	100	NA
chr1	7692250	7692401	0.643186486	0.0837375	chr1	7692399	7692400	NA	100	NA	NA	NA	100	NA	NA
chr1	7692292	7692443	0.62674955	0.0437875	chr1	7692398	7692399	NA	100	100	NA	NA	100	100	NA
chr1	7692292	7692443	0.62674955	0.0437875	chr1	7692399	7692400	NA	100	NA	NA	NA	100	NA	NA
chr1	7834734	7834885	0.717579279	0.204375	chr1	7834749	7834750	100	100	83.33333333	NA	100	NA	100	NA
chr1	7834734	7834885	0.717579279	0.204375	chr1	7834750	7834751	80	85.71428571	NA	90.90909091	88.88888889	100	100	NA
chr1	7842084	7842235	0.64670991	0.11995	chr1	7842153	7842154	100	100	100	100	NA	92.85714286	100	NA
chr1	7842084	7842235	0.64670991	0.11995	chr1	7842154	7842155	100	92.30769231	100	100	100	100	100	NA
chr1	7842084	7842235	0.64670991	0.11995	chr1	7842158	7842159	100	84.61538462	100	100	NA	92.85714286	100	NA
chr1	7842084	7842235	0.64670991	0.11995	chr1	7842159	7842160	88.88888889	100	92.30769231	100	80	100	100	NA
chr1	7842084	7842235	0.64670991	0.11995	chr1	7842228	7842229	NA	100	100	92.30769231	85.71428571	100	100	NA
chr1	7842084	7842235	0.64670991	0.11995	chr1	7842229	7842230	NA	100	100	100	88.88888889	NA	100	NA
chr1	7842084	7842235	0.64670991	0.11995	chr1	7842230	7842231	NA	100	100	92.30769231	85.71428571	100	92.85714286	NA
chr1	7842084	7842235	0.64670991	0.11995	chr1	7842231	7842232	NA	88.23529412	100	100	88.88888889	NA	100	NA
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991085	7991086	NA	NA	NA	100	NA	66.66666667	100	NA
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991086	7991087	71.42857143	78.57142857	81.81818182	91.66666667	62.5	92.30769231	91.66666667	NA
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991117	7991118	NA	NA	83.33333333	100	100	100	100	NA
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991118	7991119	NA	100	100	100	100	100	100	NA
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991149	7991150	NA	100	NA	100	90.90909091	100	NA	NA
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991150	7991151	NA	100	87.5	100	88.88888889	100	100	NA
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991161	7991162	NA	100	NA	NA	90.90909091	100	NA	NA
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991162	7991163	100	100	100	90.90909091	100	100	100	100
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991171	7991172	NA	100	100	NA	100	100	NA	NA
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991172	7991173	NA	100	100	100	100	100	100	100
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991173	7991174	NA	100	100	NA	100	83.33333333	NA	NA
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991174	7991175	NA	76.92307692	100	100	100	100	100	100
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991177	7991178	NA	100	100	100	100	100	100	NA
chr1	7991084	7991235	0.667135135	0.083875	chr1	7991178	7991179	NA	100	100	100	100	100	100	100
chr1	8164721	8164872	0.646821622	0.0764875	chr1	8164766	8164767	83.33333333	NA	100	100	100	NA	87.5	100
chr1	8164721	8164872	0.646821622	0.0764875	chr1	8164767	8164768	NA	83.33333333	84.61538462	100	85.71428571	100	89.47368421	90.90909091
chr1	8164721	8164872	0.646821622	0.0764875	chr1	8164782	8164783	NA	NA	83.33333333	100	NA	NA	NA	87.5
chr1	8164721	8164872	0.646821622	0.0764875	chr1	8164783	8164784	NA	90	100	50	100	100	88.88888889	100
chr1	8164721	8164872	0.646821622	0.0764875	chr1	8164801	8164802	NA	NA	NA	100	NA	NA	NA	83.33333333
chr1	8164721	8164872	0.646821622	0.0764875	chr1	8164802	8164803	100	100	100	100	93.33333333	100	90.47619048	90
chr1	8164721	8164872	0.646821622	0.0764875	chr1	8164842	8164843	85.71428571	100	85.71428571	100	83.33333333	62.5	85.71428571	85.71428571
chr1	8164721	8164872	0.646821622	0.0764875	chr1	8164856	8164857	85.71428571	100	94.11764706	100	92.30769231	100	86.66666667	100
chr1	8343500	8343651	0.636517117	0.111375	chr1	8343506	8343507	NA	90.90909091	89.47368421	77.77777778	90.90909091	100	90.90909091	66.66666667
chr1	8343500	8343651	0.636517117	0.111375	chr1	8343507	8343508	NA	62.5	70	100	71.42857143	71.42857143	55.55555556	NA
chr1	8343500	8343651	0.636517117	0.111375	chr1	8343511	8343512	NA	50	90	88.88888889	70	100	75	33.33333333
chr1	8343500	8343651	0.636517117	0.111375	chr1	8343512	8343513	NA	75	100	83.33333333	71.42857143	100	77.77777778	NA
chr1	8343500	8343651	0.636517117	0.111375	chr1	8343560	8343561	NA	NA	75	85.71428571	NA	100	100	57.14285714
chr1	8343500	8343651	0.636517117	0.111375	chr1	8343561	8343562	100	85.71428571	100	92.30769231	90.90909091	77.77777778	100	NA
chr1	8343500	8343651	0.636517117	0.111375	chr1	8343571	8343572	NA	NA	83.33333333	NA	NA	NA	83.33333333	50
chr1	8343500	8343651	0.636517117	0.111375	chr1	8343572	8343573	100	93.75	100	85.71428571	100	85.71428571	78.57142857	100
chr1	8343500	8343651	0.636517117	0.111375	chr1	8343620	8343621	NA	NA	100	NA	NA	NA	100	NA
chr1	8343500	8343651	0.636517117	0.111375	chr1	8343621	8343622	NA	100	100	100	100	100	100	NA
chr1	8343500	8343651	0.636517117	0.111375	chr1	8343638	8343639	NA	NA	NA	NA	NA	NA	100	NA
chr1	8343500	8343651	0.636517117	0.111375	chr1	8343639	8343640	100	90.90909091	100	100	100	100	100	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388336	8388337	NA	NA	62.5	0	NA	0	10	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388351	8388352	NA	NA	42.85714286	NA	NA	NA	NA	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388352	8388353	NA	NA	50	NA	NA	0	11.11111111	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388367	8388368	NA	NA	28.57142857	28.57142857	NA	NA	NA	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388368	8388369	NA	NA	50	22.22222222	NA	22.22222222	36.36363636	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388380	8388381	NA	NA	NA	33.33333333	NA	NA	NA	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388381	8388382	NA	NA	90	50	NA	66.66666667	50	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388389	8388390	NA	NA	70	37.5	NA	62.5	37.5	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388405	8388406	NA	NA	NA	16.66666667	NA	NA	NA	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388406	8388407	NA	NA	75	33.33333333	NA	77.77777778	NA	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388412	8388413	NA	NA	NA	12.5	NA	NA	NA	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388413	8388414	NA	NA	81.81818182	18.18181818	NA	77.77777778	NA	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388420	8388421	NA	NA	NA	0	NA	NA	NA	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388421	8388422	NA	33.33333333	69.23076923	18.18181818	NA	66.66666667	16.66666667	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388465	8388466	71.42857143	28.57142857	84.61538462	50	NA	66.66666667	NA	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388469	8388470	71.42857143	57.14285714	92.30769231	60	NA	58.33333333	NA	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388475	8388476	57.14285714	62.5	85.71428571	70	NA	70	NA	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388477	8388478	71.42857143	100	76.92307692	70	NA	60	NA	NA
chr1	8388336	8388487	0.785441441	0.2835375	chr1	8388481	8388482	75	62.5	91.66666667	70	NA	63.63636364	NA	NA
chr1	9031187	9031338	0.709485586	0.057575	chr1	9031268	9031269	NA	92.85714286	81.81818182	92.30769231	85.71428571	83.33333333	100	NA
chr1	9031187	9031338	0.709485586	0.057575	chr1	9031269	9031270	NA	NA	NA	100	NA	NA	NA	NA
chr1	9046932	9047083	0.714521622	0.17105	chr1	9046950	9046951	NA	100	27.27272727	80	90	90	88.88888889	85.71428571
chr1	9046932	9047083	0.714521622	0.17105	chr1	9046998	9046999	NA	NA	64.28571429	75	80	84.61538462	66.66666667	77.77777778
chr1	9460755	9460906	0.643917117	0.1404125	chr1	9460768	9460769	NA	78.57142857	92.85714286	NA	100	89.47368421	93.33333333	NA
chr1	9460755	9460906	0.643917117	0.1404125	chr1	9460769	9460770	NA	100	83.33333333	100	NA	NA	100	NA
chr1	9460755	9460906	0.643917117	0.1404125	chr1	9460780	9460781	NA	100	84.61538462	NA	100	78.94736842	100	NA
chr1	9460755	9460906	0.643917117	0.1404125	chr1	9460781	9460782	NA	83.33333333	100	100	NA	NA	100	NA
chr1	9486705	9486856	0.547117117	0.0325875	chr1	9486823	9486824	100	NA	NA	100	NA	NA	NA	NA
chr1	9486705	9486856	0.547117117	0.0325875	chr1	9486824	9486825	NA	NA	100	NA	85.71428571	88.88888889	NA	NA
chr1	9486705	9486856	0.547117117	0.0325875	chr1	9486833	9486834	100	100	NA	88.88888889	NA	83.33333333	NA	NA
chr1	9486705	9486856	0.547117117	0.0325875	chr1	9486834	9486835	NA	NA	NA	NA	NA	NA	100	NA
chr1	9486705	9486856	0.547117117	0.0325875	chr1	9486853	9486854	83.33333333	88.88888889	NA	100	NA	85.71428571	83.33333333	NA
chr1	9486705	9486856	0.547117117	0.0325875	chr1	9486854	9486855	NA	83.33333333	90	NA	80	85.71428571	88.88888889	NA
chr1	9486864	9487015	0.721458559	0.1602875	chr1	9486895	9486896	100	77.77777778	66.66666667	83.33333333	83.33333333	77.77777778	100	NA
chr1	9486864	9487015	0.721458559	0.1602875	chr1	9486896	9486897	NA	85.71428571	100	87.5	100	91.66666667	90.90909091	NA
chr1	9486864	9487015	0.721458559	0.1602875	chr1	9486924	9486925	66.66666667	66.66666667	66.66666667	40	NA	80	50	NA
chr1	9486864	9487015	0.721458559	0.1602875	chr1	9486925	9486926	42.85714286	55.55555556	57.14285714	50	81.81818182	46.15384615	54.54545455	85.71428571
chr1	9486864	9487015	0.721458559	0.1602875	chr1	9486926	9486927	83.33333333	66.66666667	100	80	NA	77.77777778	66.66666667	NA
chr1	9486864	9487015	0.721458559	0.1602875	chr1	9486927	9486928	85.71428571	88.88888889	85.71428571	75	69.23076923	38.46153846	100	71.42857143
chr1	9486864	9487015	0.721458559	0.1602875	chr1	9486960	9486961	100	50	42.85714286	87.5	NA	100	NA	NA
chr1	9486864	9487015	0.721458559	0.1602875	chr1	9486961	9486962	100	60	66.66666667	63.63636364	73.33333333	93.75	54.54545455	83.33333333
chr1	9689728	9689879	0.601221622	0.0351	chr1	9689740	9689741	NA	NA	NA	0	NA	NA	NA	NA
chr1	9689728	9689879	0.601221622	0.0351	chr1	9689744	9689745	NA	NA	NA	0	NA	NA	NA	NA
chr1	9689728	9689879	0.601221622	0.0351	chr1	9689750	9689751	NA	NA	NA	0	NA	NA	NA	NA
chr1	9689728	9689879	0.601221622	0.0351	chr1	9689759	9689760	NA	NA	NA	16.66666667	NA	NA	NA	NA
chr1	9689728	9689879	0.601221622	0.0351	chr1	9689862	9689863	NA	NA	NA	0	NA	NA	NA	NA
chr1	9689728	9689879	0.601221622	0.0351	chr1	9689868	9689869	NA	NA	NA	0	NA	NA	NA	NA
chr1	9711229	9711380	0.637448649	0.11365	chr1	9711238	9711239	NA	NA	NA	NA	NA	100	NA	NA
chr1	9711229	9711380	0.637448649	0.11365	chr1	9711239	9711240	100	83.33333333	100	NA	100	100	100	NA
chr1	9711229	9711380	0.637448649	0.11365	chr1	9711341	9711342	100	100	93.75	100	100	100	100	NA
chr1	9711229	9711380	0.637448649	0.11365	chr1	9711342	9711343	88.88888889	100	100	91.66666667	83.33333333	100	100	NA
chr1	9711229	9711380	0.637448649	0.11365	chr1	9711346	9711347	100	90	100	100	100	92.30769231	100	NA
chr1	9711229	9711380	0.637448649	0.11365	chr1	9711347	9711348	100	100	88.23529412	100	100	100	100	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711341	9711342	100	100	93.75	100	100	100	100	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711342	9711343	88.88888889	100	100	91.66666667	83.33333333	100	100	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711346	9711347	100	90	100	100	100	92.30769231	100	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711347	9711348	100	100	88.23529412	100	100	100	100	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711384	9711385	100	100	92.85714286	100	100	100	85.71428571	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711385	9711386	100	92.85714286	100	100	100	100	100	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711386	9711387	92.30769231	100	92.85714286	100	100	92.85714286	100	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711387	9711388	87.5	100	100	100	100	100	87.5	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711390	9711391	92.85714286	100	93.75	90.90909091	100	100	100	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711391	9711392	100	93.75	94.11764706	100	100	69.23076923	93.75	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711409	9711410	71.42857143	75	82.35294118	100	80	94.11764706	90	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711410	9711411	100	100	85.71428571	78.57142857	63.63636364	84.61538462	82.35294118	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711440	9711441	100	100	100	100	100	100	90.90909091	NA
chr1	9711323	9711474	0.585573874	0.0799125	chr1	9711441	9711442	NA	100	92.85714286	90.90909091	90	92.85714286	100	100
chr1	9714768	9714919	0.686592793	0.11045	chr1	9714791	9714792	NA	NA	NA	100	NA	NA	NA	NA
chr1	9714768	9714919	0.686592793	0.11045	chr1	9714792	9714793	83.33333333	100	76.92307692	100	94.73684211	93.75	93.33333333	NA
chr1	9714768	9714919	0.686592793	0.11045	chr1	9714863	9714864	NA	57.14285714	NA	85.71428571	NA	66.66666667	NA	NA
chr1	9714768	9714919	0.686592793	0.11045	chr1	9714864	9714865	NA	75	100	81.81818182	100	90	90	NA
chr1	9714768	9714919	0.686592793	0.11045	chr1	9714896	9714897	NA	100	NA	100	100	100	100	NA
chr1	9714768	9714919	0.686592793	0.11045	chr1	9714897	9714898	NA	100	88.88888889	100	100	100	90	NA
chr1	9714770	9714921	0.672107207	0.1024375	chr1	9714791	9714792	NA	NA	NA	100	NA	NA	NA	NA
chr1	9714770	9714921	0.672107207	0.1024375	chr1	9714792	9714793	83.33333333	100	76.92307692	100	94.73684211	93.75	93.33333333	NA
chr1	9714770	9714921	0.672107207	0.1024375	chr1	9714863	9714864	NA	57.14285714	NA	85.71428571	NA	66.66666667	NA	NA
chr1	9714770	9714921	0.672107207	0.1024375	chr1	9714864	9714865	NA	75	100	81.81818182	100	90	90	NA
chr1	9714770	9714921	0.672107207	0.1024375	chr1	9714896	9714897	NA	100	NA	100	100	100	100	NA
chr1	9714770	9714921	0.672107207	0.1024375	chr1	9714897	9714898	NA	100	88.88888889	100	100	100	90	NA
chr1	9715975	9716126	0.735082883	0.1803375	chr1	9715999	9716000	NA	NA	100	NA	NA	NA	NA	NA
chr1	9715975	9716126	0.735082883	0.1803375	chr1	9716028	9716029	NA	NA	100	NA	NA	NA	NA	NA
chr1	9715975	9716126	0.735082883	0.1803375	chr1	9716057	9716058	NA	NA	NA	NA	NA	NA	85.71428571	NA
chr1	9715975	9716126	0.735082883	0.1803375	chr1	9716058	9716059	NA	NA	NA	NA	NA	42.85714286	NA	NA
chr1	9715975	9716126	0.735082883	0.1803375	chr1	9716075	9716076	NA	NA	NA	NA	NA	NA	100	NA
chr1	9715975	9716126	0.735082883	0.1803375	chr1	9716076	9716077	NA	NA	NA	NA	NA	83.33333333	NA	NA
