chr	start	end	not_leuk_avg	leuk_dist	leuk_average
chr11	60738995	60738996	0.685172973	0.649222973	0.03595
chr6	119864698	119864699	0.736186486	0.648211486	0.087975
chr2	241561237	241561238	0.70917027	0.64795777	0.0612125
chr12	47610371	47610372	0.701910811	0.647948311	0.0539625
chr12	10103812	10103813	0.692826126	0.647551126	0.045275
chr2	99280930	99280931	0.711600901	0.647125901	0.064475
chr17	33417113	33417114	0.715789189	0.646901689	0.0688875
chr1	25257547	25257548	0.264688288	0.646636712	0.911325
chr6	13274354	13274355	0.710956757	0.646381757	0.064575
chr1	151129298	151129299	0.683209009	0.645946509	0.0372625
chr8	134559320	134559321	0.713126126	0.645438626	0.0676875
chr7	50347487	50347488	0.690531532	0.645119032	0.0454125
chr7	5371160	5371161	0.700245045	0.644595045	0.05565
chr5	171541827	171541828	0.73119009	0.64436509	0.086825
chr17	56409028	56409029	0.681289189	0.644139189	0.03715
chr1	117058474	117058475	0.695645946	0.644058446	0.0515875
chr6	32120901	32120902	0.258288288	0.643324212	0.9016125
chr17	43302776	43302777	0.705136036	0.642911036	0.062225
chr2	234157746	234157747	0.7474	0.6429	0.1045
chr7	38355100	38355101	0.788907207	0.642519707	0.1463875
chr16	29674959	29674960	0.683597297	0.642284797	0.0413125
chr11	64107517	64107518	0.724358559	0.642033559	0.082325
chr17	46190702	46190703	0.733463063	0.641875563	0.0915875
chr11	36112355	36112356	0.723372072	0.641709572	0.0816625
chr15	45002597	45002598	0.711481081	0.640918581	0.0705625
chr16	88866627	88866628	0.749814414	0.640014414	0.1098
chr2	430882	430883	0.722063964	0.639488964	0.082575
chr11	60739183	60739184	0.692936036	0.638336036	0.0546
chr19	2082122	2082123	0.68023964	0.63825214	0.0419875
chr15	75400931	75400932	0.691528829	0.638241329	0.0532875
chr1	247712237	247712238	0.673553153	0.637203153	0.03635
chr3	33015641	33015642	0.785652252	0.636927252	0.148725
chr8	21771446	21771447	0.70276036	0.63656036	0.0662
chr12	51717978	51717979	0.681341441	0.636478941	0.0448625
chr15	59815173	59815174	0.694664865	0.636389865	0.058275
chr9	80524371	80524372	0.653286486	0.636061486	0.017225
chr19	10450022	10450023	0.72263964	0.63595214	0.0866875
chr22	17569018	17569019	0.692168468	0.635743468	0.056425
chr1	17508341	17508342	0.695935135	0.634885135	0.06105
chr14	75988820	75988821	0.678620721	0.634770721	0.04385
chr3	112218510	112218511	0.758641441	0.634103941	0.1245375
chr12	27094081	27094082	0.679442342	0.633542342	0.0459
chr10	129979375	129979376	0.680213514	0.633451014	0.0467625
chr8	141584720	141584721	0.719211712	0.633274212	0.0859375
chr9	123688715	123688716	0.75750991	0.63258491	0.124925
chr15	89872984	89872985	0.709034234	0.632509234	0.076525
chr21	36421467	36421468	0.678124324	0.632336824	0.0457875
chr1	154582156	154582157	0.769887387	0.632312387	0.137575
chr22	24823519	24823520	0.667964865	0.632189865	0.035775
chr3	9943884	9943885	0.683703604	0.632041104	0.0516625
chr1	114414312	114414313	0.671354955	0.631992455	0.0393625
chr11	70257149	70257150	0.748676577	0.631801577	0.116875
chr7	45018849	45018850	0.701965766	0.631528266	0.0704375
chr2	80221468	80221469	0.724376577	0.631276577	0.0931
chr12	133239661	133239662	0.72375045	0.63112545	0.092625
chr1	151129844	151129845	0.664588288	0.631025788	0.0335625
chr9	140221397	140221398	0.757510811	0.630673311	0.1268375
chr17	78431627	78431628	0.697976577	0.630026577	0.06795
chr2	43041125	43041126	0.744166667	0.629991667	0.114175
chr10	100224178	100224179	0.71225045	0.62990045	0.08235
chr17	74494286	74494287	0.331043243	0.629794257	0.9608375
chr3	14494726	14494727	0.334130631	0.629719369	0.96385
chr1	24239979	24239980	0.704013514	0.629488514	0.074525
chr17	29636863	29636864	0.676	0.6294625	0.0465375
chr7	99222196	99222197	0.791881982	0.629194482	0.1626875
chr12	7060386	7060387	0.677812613	0.629162613	0.04865
chr7	101927904	101927905	0.683468468	0.628943468	0.054525
chr9	92137791	92137792	0.676069369	0.628894369	0.047175
chr11	2321770	2321771	0.673579279	0.628466779	0.0451125
chr16	29674618	29674619	0.693487387	0.628437387	0.06505
chr15	38988533	38988534	0.711257658	0.628245158	0.0830125
chr14	71609158	71609159	0.700622523	0.627960023	0.0726625
chr16	29674184	29674185	0.675177477	0.627677477	0.0475
chr20	24929716	24929717	0.673569369	0.627581869	0.0459875
chr2	11674557	11674558	0.745644144	0.627381644	0.1182625
chr2	100759014	100759015	0.683511712	0.627049212	0.0564625
chr4	100768712	100768713	0.691517117	0.626892117	0.064625
chr5	169760269	169760270	0.65261982	0.62671982	0.0259
chr14	22694601	22694602	0.679545946	0.626683446	0.0528625
chr1	61298421	61298422	0.688965766	0.626378266	0.0625875
chr22	23480087	23480088	0.670092793	0.626355293	0.0437375
chr22	50483123	50483124	0.694045946	0.626195946	0.06785
chr7	150548765	150548766	0.696027928	0.626077928	0.06995
chr11	44545144	44545145	0.722771171	0.625983671	0.0967875
chr3	52316296	52316297	0.679354955	0.625892455	0.0534625
chr6	31584215	31584216	0.727345946	0.625770946	0.101575
chr1	32716773	32716774	0.665772072	0.625734572	0.0400375
chr12	51717960	51717961	0.668415315	0.625365315	0.04305
chr11	70211301	70211302	0.679589189	0.625351689	0.0542375
chr22	30662987	30662988	0.659109009	0.625334009	0.033775
chr14	88473038	88473039	0.692490991	0.625253491	0.0672375
chr1	121258490	121258491	0.652218018	0.625030518	0.0271875
chr2	237418897	237418898	0.681954054	0.624916554	0.0570375
chr1	25258082	25258083	0.341864865	0.624822635	0.9666875
chr22	40297036	40297037	0.672741441	0.624528941	0.0482125
chr19	39086923	39086924	0.312645045	0.624517455	0.9371625
chr1	166459325	166459326	0.704655856	0.624305856	0.08035
chr1	114414042	114414043	0.685203604	0.624216104	0.0609875
chr1	9847879	9847880	0.712285586	0.623935586	0.08835
chr22	24823514	24823515	0.674311712	0.622936712	0.051375
chr1	198608383	198608384	0.67411982	0.62271982	0.0514
chr17	4618322	4618323	0.658228829	0.622653829	0.035575
chr1	192544716	192544717	0.653005405	0.622380405	0.030625
chr12	6055430	6055431	0.659943243	0.622330743	0.0376125
chr14	22694547	22694548	0.690295495	0.621982995	0.0683125
chr12	132551127	132551128	0.724631532	0.621944032	0.1026875
chr14	71791671	71791672	0.687127027	0.621552027	0.065575
chr11	1874017	1874018	0.702336036	0.621448536	0.0808875
chr13	42039334	42039335	0.716321622	0.621346622	0.094975
chr6	2752360	2752361	0.667521622	0.621021622	0.0465
chr11	60739178	60739179	0.661567568	0.620905068	0.0406625
chr1	209929546	209929547	0.652663063	0.620800563	0.0318625
chr17	46059110	46059111	0.770993694	0.620693694	0.1503
chr1	25258146	25258147	0.314027027	0.620385473	0.9344125
chr2	430886	430887	0.684190991	0.620303491	0.0638875
chr19	18503517	18503518	0.698059459	0.620171959	0.0778875
chr5	169757754	169757755	0.691797297	0.620034797	0.0717625
chr6	137477184	137477185	0.643608108	0.619808108	0.0238
chr8	21771278	21771279	0.672979279	0.619704279	0.053275
chr16	29676071	29676072	0.676944144	0.619494144	0.05745
chr6	39740405	39740406	0.733402703	0.619377703	0.114025
chr13	111097777	111097778	0.673323423	0.619360923	0.0539625
chr1	6088550	6088551	0.646295495	0.619357995	0.0269375
chr5	39203007	39203008	0.75469009	0.61926509	0.135425
chr4	159130694	159130695	0.706237838	0.619100338	0.0871375
chr6	32160074	32160075	0.677920721	0.619020721	0.0589
chr2	143886940	143886941	0.672273874	0.618973874	0.0533
chr10	72545053	72545054	0.736581982	0.618819482	0.1177625
chr17	56409518	56409519	0.64352973	0.61835473	0.025175
chr17	78735550	78735551	0.696156757	0.618281757	0.077875
chr2	62408302	62408303	0.777995495	0.617720495	0.160275
chr10	49892954	49892955	0.690824324	0.617699324	0.073125
chr19	2085286	2085287	0.665924324	0.617536824	0.0483875
chr2	218620242	218620243	0.695105405	0.617442905	0.0776625
chr16	2737340	2737341	0.697171171	0.617296171	0.079875
chr3	148583152	148583153	0.684489189	0.617251689	0.0672375
chr1	231295910	231295911	0.716826126	0.617138626	0.0996875
chr20	24929695	24929696	0.661931532	0.616894032	0.0450375
chr16	69598170	69598171	0.698118018	0.616868018	0.08125
chr16	22252504	22252505	0.66190991	0.61648491	0.045425
chr2	213983851	213983852	0.691715315	0.616227815	0.0754875
chr16	29757323	29757324	0.64805045	0.61613795	0.0319125
chr17	107930	107931	0.702988288	0.616125788	0.0868625
chr22	51136325	51136326	0.341055856	0.615969144	0.957025
chr4	185189300	185189301	0.646112613	0.615825113	0.0302875
chr6	148879122	148879123	0.6544	0.6158125	0.0385875
chr13	46756209	46756210	0.654467568	0.615717568	0.03875
chr7	45018658	45018659	0.644813514	0.615588514	0.029225
chr8	134072526	134072527	0.645672973	0.615372973	0.0303
chr17	38721675	38721676	0.640771171	0.615358671	0.0254125
chr7	66096806	66096807	0.64295045	0.61522545	0.027725
chr16	29674972	29674973	0.699244144	0.614994144	0.08425
chr2	8726136	8726137	0.736892793	0.614717793	0.122175
chr6	11382769	11382770	0.652679279	0.614691779	0.0379875
chr10	73496014	73496015	0.662821622	0.614521622	0.0483
chr11	60739019	60739020	0.639720721	0.614520721	0.0252
chr11	70257035	70257036	0.723231532	0.614456532	0.108775
chr20	4795935	4795936	0.734881081	0.614418581	0.1204625
chr2	100759134	100759135	0.672513514	0.614388514	0.058125
chr7	105662809	105662810	0.785556757	0.614356757	0.1712
chr17	25871790	25871791	0.650620721	0.614345721	0.036275
chr20	44448693	44448694	0.716340541	0.614128041	0.1022125
chr17	76117767	76117768	0.693358559	0.614096059	0.0792625
chr9	140166114	140166115	0.754053153	0.614040653	0.1400125
chr10	49674458	49674459	0.341115315	0.613722185	0.9548375
chr19	3179828	3179829	0.677977477	0.613677477	0.0643
chr7	115051363	115051364	0.714845946	0.613570946	0.101275
chr6	149532290	149532291	0.713113514	0.613476014	0.0996375
chr1	10965094	10965095	0.756645946	0.613408446	0.1432375
chr4	121568	121569	0.654520721	0.613383221	0.0411375
chr1	45082840	45082841	0.349416216	0.613258784	0.962675
chr20	62199181	62199182	0.653233333	0.613258333	0.039975
chr3	32993165	32993166	0.680221622	0.613246622	0.066975
chr3	118955844	118955845	0.658894595	0.613094595	0.0458
chr19	15568360	15568361	0.310520721	0.613054279	0.923575
chr1	202130344	202130345	0.711134234	0.613046734	0.0980875
chr8	134072611	134072612	0.644827027	0.612802027	0.032025
chr15	42693555	42693556	0.702022523	0.612585023	0.0894375
chr8	129005567	129005568	0.648988288	0.612400788	0.0365875
chr16	29757318	29757319	0.650831532	0.612244032	0.0385875
chr14	22917797	22917798	0.665324324	0.612224324	0.0531
chr2	225440982	225440983	0.678089189	0.612126689	0.0659625
chr7	148117075	148117076	0.679834234	0.612046734	0.0677875
chr17	56407147	56407148	0.681288288	0.611963288	0.069325
chr20	4795886	4795887	0.660505405	0.611842905	0.0486625
chr17	26366243	26366244	0.695830631	0.611668131	0.0841625
chr1	196976319	196976320	0.695330631	0.611418131	0.0839125
chr6	135516912	135516913	0.697803604	0.611191104	0.0866125
chr12	51718011	51718012	0.660663964	0.611101464	0.0495625
chr14	88473001	88473002	0.718488288	0.610938288	0.10755
chr7	155556590	155556591	0.687316216	0.610653716	0.0766625
chr6	32159933	32159934	0.760354054	0.610479054	0.149875
chr7	75626860	75626861	0.736448649	0.610448649	0.126
chr8	1094826	1094827	0.661600901	0.610188401	0.0514125
chr11	36422455	36422456	0.707542342	0.610129842	0.0974125
chr3	10284280	10284281	0.703605405	0.610030405	0.093575
chr22	23923462	23923463	0.731576577	0.609714077	0.1218625
chr17	56408694	56408695	0.655151351	0.609563851	0.0455875
chr22	30662994	30662995	0.645531532	0.609494032	0.0360375
chr15	55574912	55574913	0.766961261	0.609473761	0.1574875
chr10	79314844	79314845	0.726242342	0.609454842	0.1167875
chr17	77970193	77970194	0.667054054	0.609404054	0.05765
chr20	62708630	62708631	0.688174775	0.609324775	0.07885
chr1	7029235	7029236	0.665011712	0.609299212	0.0557125
chr6	71938489	71938490	0.674143243	0.609193243	0.06495
chr19	49838478	49838479	0.687872072	0.609159572	0.0787125
chr1	160549158	160549159	0.660204505	0.609079505	0.051125
chr6	106335674	106335675	0.687245946	0.609008446	0.0782375
chr4	78114790	78114791	0.673123423	0.608548423	0.064575
chr8	107526473	107526474	0.729481081	0.608493581	0.1209875
chr17	78916378	78916379	0.286723423	0.608339077	0.8950625
chr22	45124555	45124556	0.743559459	0.608246959	0.1353125
chr11	67177103	67177104	0.648389189	0.608139189	0.04025
chr1	3593812	3593813	0.67728018	0.60809268	0.0691875
chr6	13274284	13274285	0.632296396	0.608071396	0.024225
chr14	100542584	100542585	0.668955856	0.608068356	0.0608875
chr5	95178740	95178741	0.749421622	0.607896622	0.141525
chr11	73053830	73053831	0.314679279	0.607658221	0.9223375
chr9	88952877	88952878	0.721845946	0.607570946	0.114275
chr17	42467199	42467200	0.708971171	0.607471171	0.1015
chr17	48948878	48948879	0.642538739	0.607151239	0.0353875
chr7	27153655	27153656	0.362074775	0.607150225	0.969225
chr12	123707827	123707828	0.785623423	0.607148423	0.178475
chr10	54515151	54515152	0.722578378	0.606978378	0.1156
chr5	55215955	55215956	0.764973874	0.606973874	0.158
chr13	25085405	25085406	0.655874775	0.606849775	0.049025
chr6	170581248	170581249	0.655183784	0.606796284	0.0483875
chr12	121530737	121530738	0.732220721	0.606758221	0.1254625
chr12	58129855	58129856	0.30093964	0.60674786	0.9076875
chr15	38988755	38988756	0.647622523	0.606672523	0.04095
chr5	180231194	180231195	0.685327027	0.606627027	0.0787
chr1	61649973	61649974	0.326965766	0.606584234	0.93355
chr19	55449439	55449440	0.66363964	0.60655214	0.0570875
chr7	137984018	137984019	0.705274775	0.606362275	0.0989125
chr2	174129462	174129463	0.700965766	0.606215766	0.09475
chr2	43398118	43398119	0.704505405	0.606192905	0.0983125
chr6	32813531	32813532	0.649958559	0.606008559	0.04395
chr6	109780058	109780059	0.737768468	0.605880968	0.1318875
chr11	2321800	2321801	0.656861261	0.605861261	0.051
chr20	4795919	4795920	0.669128829	0.605728829	0.0634
chr17	76117687	76117688	0.679340541	0.605653041	0.0736875
chr22	30661949	30661950	0.651167568	0.605342568	0.045825
chr6	45399681	45399682	0.7241	0.6052625	0.1188375
chr6	119131733	119131734	0.644387387	0.605149887	0.0392375
chr11	108680123	108680124	0.740955856	0.605080856	0.135875
chr22	20146278	20146279	0.685612613	0.605075113	0.0805375
chr19	54327780	54327781	0.683357658	0.605045158	0.0783125
chr6	13274180	13274181	0.651397297	0.604997297	0.0464
chr2	202098951	202098952	0.734015315	0.604940315	0.129075
chr21	36421955	36421956	0.662317117	0.604892117	0.057425
chr21	44819445	44819446	0.680320721	0.604758221	0.0755625
chr6	33872861	33872862	0.705977477	0.604677477	0.1013
chr2	202125212	202125213	0.622598198	0.604635698	0.0179625
chr6	15421581	15421582	0.713441441	0.604553941	0.1088875
chr7	27155002	27155003	0.344284685	0.604452815	0.9487375
chr6	135644405	135644406	0.764336036	0.604411036	0.159925
chr12	51788285	51788286	0.660831532	0.604344032	0.0564875
chr15	50410962	50410963	0.68333964	0.60417714	0.0791625
chr10	74086782	74086783	0.728477477	0.604152477	0.124325
chr17	78748494	78748495	0.727167568	0.603905068	0.1232625
chr11	70449316	70449317	0.689645946	0.603745946	0.0859
chr11	47416487	47416488	0.660052252	0.603589752	0.0564625
chr13	41931181	41931182	0.715581982	0.603506982	0.112075
chr19	42706353	42706354	0.654500901	0.603500901	0.051
chr15	101423806	101423807	0.673217117	0.603404617	0.0698125
chr16	11678785	11678786	0.648208108	0.603108108	0.0451
chr6	31583942	31583943	0.726564865	0.603052365	0.1235125
chr5	88275243	88275244	0.70861982	0.60300732	0.1056125
chr2	220507746	220507747	0.666381982	0.602794482	0.0635875
chr16	12073297	12073298	0.745372072	0.602697072	0.142675
chr1	234894712	234894713	0.693074775	0.602574775	0.0905
chr12	133248929	133248930	0.806748649	0.602461149	0.2042875
chr15	43532047	43532048	0.658747748	0.601997748	0.05675
chr4	74920559	74920560	0.675062162	0.601962162	0.0731
chr1	167601275	167601276	0.638945946	0.601895946	0.03705
chr4	1843351	1843352	0.760913514	0.601876014	0.1590375
chr22	39852862	39852863	0.315734234	0.601740766	0.917475
chr15	101932559	101932560	0.732052252	0.601564752	0.1304875
chr14	106366503	106366504	0.764863964	0.601538964	0.163325
chr22	30663881	30663882	0.6649	0.6015	0.0634
chr3	121796627	121796628	0.674336937	0.601361937	0.072975
chr10	124219564	124219565	0.683925225	0.601350225	0.082575
chr2	189046152	189046153	0.679890991	0.601340991	0.07855
chr16	9229746	9229747	0.660632432	0.601282432	0.05935
chr12	6881624	6881625	0.645906306	0.601118806	0.0447875
chr11	1874049	1874050	0.637586486	0.601073986	0.0365125
chr10	92548822	92548823	0.705557658	0.601032658	0.104525
chr3	183596123	183596124	0.738161261	0.601011261	0.13715
chr17	263193	263194	0.790854955	0.600892455	0.1899625
chr2	175499113	175499114	0.641376577	0.600814077	0.0405625
chr10	134843775	134843776	0.720515315	0.600702815	0.1198125
chr20	62199156	62199157	0.638552252	0.600627252	0.037925
chr17	30658537	30658538	0.697626126	0.600613626	0.0970125
chr6	33872837	33872838	0.683227928	0.600515428	0.0827125
chr1	198608361	198608362	0.663904505	0.600317005	0.0635875
chr1	235159410	235159411	0.706446847	0.600309347	0.1061375
chr14	100531591	100531592	0.643341441	0.600303941	0.0430375
chr6	151709522	151709523	0.738475676	0.600263176	0.1382125
chr11	65408496	65408497	0.660827928	0.600240428	0.0605875
chr11	2322642	2322643	0.662692793	0.599667793	0.063025
chr10	49893423	49893424	0.67422973	0.59952973	0.0747
chr3	48341880	48341881	0.693107207	0.599494707	0.0936125
chr12	117501447	117501448	0.679040541	0.599478041	0.0795625
chr2	197031748	197031749	0.649937838	0.599450338	0.0504875
chr1	117544416	117544417	0.652621622	0.599434122	0.0531875
chr22	46480891	46480892	0.365238739	0.599398761	0.9646375
chr7	112062297	112062298	0.655555856	0.599368356	0.0561875
chr5	179770007	179770008	0.732009009	0.599284009	0.132725
chr22	46473074	46473075	0.375198198	0.599189302	0.9743875
chr11	2323056	2323057	0.645307207	0.599169707	0.0461375
chr9	137160473	137160474	0.66389009	0.59905259	0.0648375
chr15	81456832	81456833	0.723012613	0.599050113	0.1239625
chr15	70250464	70250465	0.712679279	0.598991779	0.1136875
chr15	85141633	85141634	0.663274775	0.598899775	0.064375
chr11	70211408	70211409	0.651515315	0.598790315	0.052725
chr3	32856104	32856105	0.705771171	0.598771171	0.107
chr1	202129192	202129193	0.630573874	0.598748874	0.031825
chr14	22917809	22917810	0.631874775	0.598687275	0.0331875
chr17	2699718	2699719	0.624848649	0.598648649	0.0262
chr12	51717865	51717866	0.650162162	0.598574662	0.0515875
chr14	22392573	22392574	0.700124324	0.598524324	0.1016
chr15	65701865	65701866	0.644876577	0.598501577	0.046375
chr1	10992454	10992455	0.643894595	0.598257095	0.0456375
chr19	8117047	8117048	0.683586486	0.598161486	0.085425
chr2	100759159	100759160	0.631840541	0.598003041	0.0338375
chr5	10445523	10445524	0.684703604	0.597991104	0.0867125
chr6	11382556	11382557	0.646587387	0.597974887	0.0486125
chr15	77287243	77287244	0.743436937	0.597861937	0.145575
chr22	36563027	36563028	0.722924324	0.597761824	0.1251625
chr19	7414043	7414044	0.632454955	0.597604955	0.03485
chr22	44577265	44577266	0.634283784	0.597533784	0.03675
chr17	179838	179839	0.716646847	0.597384347	0.1192625
chr11	16834800	16834801	0.690696396	0.597096396	0.0936
chr6	158400613	158400614	0.67641982	0.59699482	0.079425
chr2	204571215	204571216	0.62838018	0.59691768	0.0314625
chr1	209929622	209929623	0.637821622	0.596871622	0.04095
chr19	36233447	36233448	0.623076577	0.596851577	0.026225
chr5	77779546	77779547	0.702536937	0.596711937	0.105825
chr1	24225690	24225691	0.663224324	0.596699324	0.066525
chr4	3365330	3365331	0.78011982	0.59646982	0.18365
chr17	80545175	80545176	0.718838739	0.596438739	0.1224
chr14	20945319	20945320	0.712095495	0.596432995	0.1156625
chr1	7692321	7692322	0.698257658	0.596345158	0.1019125
chr2	37938640	37938641	0.677540541	0.596240541	0.0813
chr10	6104515	6104516	0.673144144	0.596219144	0.076925
chr5	176856845	176856846	0.64669009	0.59621509	0.050475
chr7	97831974	97831975	0.690822523	0.596185023	0.0946375
chr13	31309799	31309800	0.677709009	0.596046509	0.0816625
chr6	169621662	169621663	0.76023964	0.59600214	0.1642375
chr5	42720521	42720522	0.690187387	0.595824887	0.0943625
chr13	30948103	30948104	0.670663063	0.595788063	0.074875
chr20	62199034	62199035	0.662121622	0.595746622	0.066375
chr16	375327	375328	0.67993964	0.59571464	0.084225
chr11	67205096	67205097	0.751885586	0.595635586	0.15625
chr3	193586394	193586395	0.782543243	0.595268243	0.187275
chr8	21604831	21604832	0.721907207	0.595244707	0.1266625
chr10	100024278	100024279	0.738623423	0.595023423	0.1436
chr3	124933890	124933891	0.642427027	0.594989527	0.0474375
chr12	47609357	47609358	0.648278378	0.594778378	0.0535
chr1	157789933	157789934	0.679155856	0.594718356	0.0844375
chr1	45189026	45189027	0.687066667	0.594691667	0.092375
chr1	108442921	108442922	0.682365766	0.594578266	0.0877875
chr5	156698854	156698855	0.648235135	0.594422635	0.0538125
chr21	35570816	35570817	0.7772	0.5942125	0.1829875
chr17	42467307	42467308	0.63365045	0.59417545	0.039475
chr14	71353208	71353209	0.705322523	0.593997523	0.111325
chr12	58120237	58120238	0.345265766	0.593996734	0.9392625
chr19	17862017	17862018	0.722472072	0.593972072	0.1285
chr6	20024319	20024320	0.733859459	0.593946959	0.1399125
chr11	60869760	60869761	0.67898018	0.59350518	0.085475
chr11	2322802	2322803	0.690644144	0.593469144	0.097175
chr9	33749216	33749217	0.73473964	0.59341464	0.141325
chr11	1680823	1680824	0.673772973	0.593360473	0.0804125
chr3	56789178	56789179	0.664623423	0.593298423	0.071325
chr11	1750353	1750354	0.709681982	0.593269482	0.1164125
chr8	1094904	1094905	0.642190991	0.593128491	0.0490625
chr11	3647419	3647420	0.725431532	0.593119032	0.1323125
chr12	57873704	57873705	0.625112613	0.593037613	0.032075
chr5	180231185	180231186	0.668672072	0.592922072	0.07575
chr3	150996078	150996079	0.698472072	0.592784572	0.1056875
chr5	100234775	100234776	0.759083784	0.592708784	0.166375
chr14	65410479	65410480	0.722791892	0.592666892	0.130125
chr4	78114737	78114738	0.668692793	0.592555293	0.0761375
chr8	91017761	91017762	0.660646847	0.592546847	0.0681
chr12	54891491	54891492	0.629245946	0.592445946	0.0368
chr9	137615839	137615840	0.654671171	0.592271171	0.0624
chr18	32849113	32849114	0.771867568	0.592180068	0.1796875
chr2	26048283	26048284	0.68381982	0.59213232	0.0916875
chr1	61649907	61649908	0.37638018	0.59208232	0.9684625
chr19	3180035	3180036	0.622914414	0.591989414	0.030925
chr15	78396318	78396319	0.633197297	0.591972297	0.041225
chr1	67636724	67636725	0.648038739	0.591801239	0.0562375
chr6	170581085	170581086	0.665477477	0.591652477	0.073825
chr16	78345421	78345422	0.735571171	0.591633671	0.1439375
chr2	220074531	220074532	0.695235135	0.591547635	0.1036875
chr20	1600641	1600642	0.681601802	0.591539302	0.0900625
chr11	36509910	36509911	0.660388288	0.591463288	0.068925
chr12	8219020	8219021	0.634273874	0.591398874	0.042875
chr13	114877260	114877261	0.808172072	0.591372072	0.2168
chr1	207509334	207509335	0.719975676	0.591300676	0.128675
chr7	45066895	45066896	0.617573874	0.591236374	0.0263375
chr4	96549942	96549943	0.666452252	0.591214752	0.0752375
chr1	53103294	53103295	0.633171171	0.591108671	0.0420625
chr20	35944932	35944933	0.702692793	0.591030293	0.1116625
chr15	60285691	60285692	0.370936036	0.591026464	0.9619625
chr16	87371097	87371098	0.715395495	0.591007995	0.1243875
chr9	96080326	96080327	0.757043243	0.590930743	0.1661125
chr5	39203190	39203191	0.665911712	0.590924212	0.0749875
chr20	24929687	24929688	0.633504505	0.590892005	0.0426125
chr8	145052950	145052951	0.69940991	0.59084741	0.1085625
chr7	101927846	101927847	0.665253153	0.590640653	0.0746125
chr15	43532097	43532098	0.655827027	0.590639527	0.0651875
chr1	245474722	245474723	0.663135135	0.590597635	0.0725375
chr16	29673933	29673934	0.633872072	0.590484572	0.0433875
chr8	86371819	86371820	0.657020721	0.590483221	0.0665375
chr17	2700093	2700094	0.655317117	0.590467117	0.06485
chr5	1495284	1495285	0.729410811	0.590435811	0.138975
chr7	50306663	50306664	0.622220721	0.590308221	0.0319125
chr5	142180618	142180619	0.682357658	0.590270158	0.0920875
chr8	117487124	117487125	0.723163063	0.590238063	0.132925
chr11	1874093	1874094	0.622171171	0.590133671	0.0320375
chr1	83445408	83445409	0.655464865	0.589914865	0.06555
chr14	91866685	91866686	0.630447748	0.589772748	0.040675
chr2	113931525	113931526	0.639426126	0.589726126	0.0497
