chr 	pos	H1_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H9_Cell_Line	hESC_Derived_CD184+_Endoderm_Cultured_Cells	hESC_Derived_CD56+_Ectoderm_Cultured_Cells	hESC_Derived_CD56+_Mesoderm_Cultured_Cells	HUES64_Cell_Line	IMR90_Cell_Line	iPS_DF_6.9_Cell_Line	iPS_DF_19.11_Cell_Line	4star	Mobilized_CD34_Primary_Cells_Female	Neurosphere_Cultured_Cells_Cortex_Derived	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Aorta	Adult_Liver	Brain_Germinal_Matrix	Brain_Hippocampus_Middle	Esophagus	Fetal_Intestine_Large	Fetal_Intestine_Small	Gastric	Left_Ventricle	Lung	Ovary	Pancreas	Psoas_Muscle	Right_Atrium	Right_Ventricle	Sigmoid_Colon	Small_Intestine	Thymus	Spleen	1	2	3	4	5	6	7	8
chr10 	79936984	0.8	0.89	0.93	0.97	0.89	0.89	0.92	0.91	0.91	0.95	0.81	0.93	0.92	1	0.97	0	0	1	0.92	0.97	0.02	0.21	0.98	0.83	1	1	0.97	0.98	0.62	0.91	0.74	0.94	0.94	0.85	0.93	0.92	0.94								
chr10 	79936985	0.8	0.89	0.93	0.97	0.89	0.89	0.92	0.91	0.91	0.95	0.81	0.93	0.92	1	0.97	0	0	1	0.92	0.97	0.02	0.21	0.98	0.83	1	1	0.97	0.98	0.62	0.91	0.74	0.94	0.94	0.85	0.93	0.92	0.94	-1	1	0	0	0	0.8571	0.7777	0
chr10 	79936990	0.83	0.94	0.96	0.95	0.96	0.85	0.92	0.91	0.93	0.95	0.95	0.89	0.91	1	0.95	0	0	0.88	0.98	0.96	0.05	0.22	0.98	0.67	1	0.92	0.95	0.95	0.85	0.96	0.96	0.96	1	0.91	0.98	1	0.94								
chr10 	79936991	0.83	0.94	0.96	0.95	0.96	0.85	0.92	0.91	0.93	0.95	0.95	0.89	0.91	1	0.95	0	0	0.88	0.98	0.96	0.05	0.22	0.98	0.67	1	0.92	0.95	0.95	0.85	0.96	0.96	0.96	1	0.91	0.98	1	0.94								
chr10 	79937002	0.67	0.94	0.95	0.83	0.82	1	0.85	0.86	0.85	0.94	0.88	0.96	0.88	0.94	0.98	0	0	0.82	0.89	0.99	0.01	0.22	0.98	1	0.8	0.91	0.94	0.96	0.29	0.86	0.96	0.93	0.82	0.73	0.92	0.96	0.83								
chr10 	79937003	0.67	0.94	0.95	0.83	0.82	1	0.85	0.86	0.85	0.94	0.88	0.96	0.88	0.94	0.98	0	0	0.82	0.89	0.99	0.01	0.22	0.98	1	0.8	0.91	0.94	0.96	0.29	0.86	0.96	0.93	0.82	0.73	0.92	0.96	0.83								
chr10 	79937012	0.88	0.94	0.91	0.8	0.64	0.82	0.8	0.64	0.78	0.9	0.67	0.81	0.74	0.9	0.98	0.04	0	0.64	0.87	0.92	0.03	0.24	0.84	0.83	0.67	0.95	0.91	0.98	0.24	0.6	0.86	0.96	0.88	0.51	0.81	0.96	0.84								
chr10 	79937013	0.88	0.94	0.91	0.8	0.64	0.82	0.8	0.64	0.78	0.9	0.67	0.81	0.74	0.9	0.98	0.04	0	0.64	0.87	0.92	0.03	0.24	0.84	0.83	0.67	0.95	0.91	0.98	0.24	0.6	0.86	0.96	0.88	0.51	0.81	0.96	0.84								
chr18	74692072	0.71	0.96	0.91	0.76	0.94	0.91	0.94	0.95	0.91	0.86	0.64	0.87	0.91	0.93	0.94	0.85	0.88	0.88	0.91	0.95	0.91	0.34	0.82	0.78	-1	0.88	0.79	0.71	0.55	0.63	0.77	0.84	0.89	0.9	0.67	0.95	0.8								
chr18	74692073	0.71	0.96	0.91	0.76	0.94	0.91	0.94	0.95	0.91	0.86	0.64	0.87	0.91	0.93	0.94	0.85	0.88	0.88	0.91	0.95	0.91	0.34	0.82	0.78	-1	0.88	0.79	0.71	0.55	0.63	0.77	0.84	0.89	0.9	0.67	0.95	0.8								
chr18	74692082	0.73	0.88	0.94	0.84	0.91	0.86	0.94	0.93	0.85	0.9	0.61	0.87	0.86	0.8	0.96	0.9	0.88	0.86	0.88	0.88	0.82	0.41	0.85	0.8	-1	0.8	0.74	0.56	0.4	0.64	0.79	0.74	0.6	0.91	0.68	0.95	0.85								
chr18	74692083	0.73	0.88	0.94	0.84	0.91	0.86	0.94	0.93	0.85	0.9	0.61	0.87	0.86	0.8	0.96	0.9	0.88	0.86	0.88	0.88	0.82	0.41	0.85	0.8	-1	0.8	0.74	0.56	0.4	0.64	0.79	0.74	0.6	0.91	0.68	0.95	0.85								
chr18	74692112	0.53	0.77	0.89	0.95	0.86	0.67	0.85	0.81	0.89	0.82	0.51	0.81	0.8	0.79	0.92	0.88	0.85	0.64	0.7	0.86	0.68	0.3	0.74	0.78	1	0.56	0.76	0.59	0.52	0.78	0.75	0.64	0.79	0.76	0.6	0.88	0.75								
chr18	74692113	0.53	0.77	0.89	0.95	0.86	0.67	0.85	0.81	0.89	0.82	0.51	0.81	0.8	0.79	0.92	0.88	0.85	0.64	0.7	0.86	0.68	0.3	0.74	0.78	1	0.56	0.76	0.59	0.52	0.78	0.75	0.64	0.79	0.76	0.6	0.88	0.75								
chr18	74692116	0.75	0.88	0.97	0.98	0.97	0.86	0.94	0.95	0.9	0.96	0.89	0.9	0.94	1	0.97	1	0.97	0.88	0.94	0.96	0.88	0.49	0.95	1	1	0.91	0.87	0.83	0.85	0.93	0.84	0.88	0.95	0.98	0.84	1	0.95								
chr18	74692117	0.75	0.88	0.97	0.98	0.97	0.86	0.94	0.95	0.9	0.96	0.89	0.9	0.94	1	0.97	1	0.97	0.88	0.94	0.96	0.88	0.49	0.95	1	1	0.91	0.87	0.83	0.85	0.93	0.84	0.88	0.95	0.98	0.84	1	0.95								
chr18	74692133	0.81	0.93	0.93	0.95	1	0.91	0.94	0.99	0.98	0.98	0.97	0.93	0.98	0.85	0.93	1	0.95	0.95	0.98	1	0.89	0.6	0.97	0.9	1	1	0.94	0.86	1	1	0.86	1	0.89	0.97	0.91	0.96	0.92								
chr18	74692134	0.81	0.93	0.93	0.95	1	0.91	0.94	0.99	0.98	0.98	0.97	0.93	0.98	0.85	0.93	1	0.95	0.95	0.98	1	0.89	0.6	0.97	0.9	1	1	0.94	0.86	1	1	0.86	1	0.89	0.97	0.91	0.96	0.92								
chr18	74692145	0.82	0.88	0.98	0.91	0.89	0.81	0.93	0.92	0.94	0.96	0.87	0.87	0.98	0.92	0.91	0.94	0.87	0.91	0.87	0.9	0.91	0.36	0.88	0.78	1	0.82	0.83	0.67	0.61	0.89	0.74	0.85	0.78	0.91	0.85	0.88	0.8								
chr18	74692146	0.82	0.88	0.98	0.91	0.89	0.81	0.93	0.92	0.94	0.96	0.87	0.87	0.98	0.92	0.91	0.94	0.87	0.91	0.87	0.9	0.91	0.36	0.88	0.78	1	0.82	0.83	0.67	0.61	0.89	0.74	0.85	0.78	0.91	0.85	0.88	0.8								
chr18	74692178	0.88	0.87	0.9	0.5	0.89	0.84	0.97	0.92	0.87	0.96	0.82	0.83	0.86	0.81	0.98	0.71	0.86	0.61	0.93	0.86	0.86	0.36	0.86	0.92	0.89	0.76	0.78	0.67	0.63	0.52	0.6	0.83	0.86	0.94	0.8	0.94	0.89								
chr18	74692179	0.88	0.87	0.9	0.5	0.89	0.84	0.97	0.92	0.87	0.96	0.82	0.83	0.86	0.81	0.98	0.71	0.86	0.61	0.93	0.86	0.86	0.36	0.86	0.92	0.89	0.76	0.78	0.67	0.63	0.52	0.6	0.83	0.86	0.94	0.8	0.94	0.89								
chr2	79347474	0.89	0.96	0.86	0.69	0.94	0.95	0.9	0.91	0.94	0.94	0.53	0.94	0.87	0.94	0.97	0.83	0.86	0.81	0.88	0.8	0.95	0.96	0.91	1	1	0.33	0.89	0.9	0.87	0.41	0.91	0.9	0.96	0.49	0.67	0.96	0.9								
chr2	79347475	0.89	0.96	0.86	0.69	0.94	0.95	0.9	0.91	0.94	0.94	0.53	0.94	0.87	0.94	0.97	0.83	0.86	0.81	0.88	0.8	0.95	0.96	0.91	1	1	0.33	0.89	0.9	0.87	0.41	0.91	0.9	0.96	0.49	0.67	0.96	0.9								
chr2	79347486	0	0	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.05	0	0	0	0.2	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0								
chr2	79347487	0	0	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.05	0	0	0	0.2	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0								
chr2	79347532	0.87	1	0.98	0.94	0.92	0.9	0.9	0.98	0.93	0.97	0.62	1	0.93	0.94	0.98	0.89	0.96	0.83	0.92	0.86	0.95	0.99	0.94	1	-1	0.46	0.93	0.98	0.89	0.29	0.96	1	0.97	0.56	0.63	1	0.95								
chr2	79347533	0.87	1	0.98	0.94	0.92	0.9	0.9	0.98	0.93	0.97	0.62	1	0.93	0.94	0.98	0.89	0.96	0.83	0.92	0.86	0.95	0.99	0.94	1	-1	0.46	0.93	0.98	0.89	0.29	0.96	1	0.97	0.56	0.63	1	0.95								
chr2	79347562	0.88	0.86	0.86	0.52	0.94	0.96	0.91	0.97	0.83	0.92	0.05	0.94	0.7	1	0.96	0.73	0.79	0.5	0.59	0.56	0.95	0.85	0.47	0.8	-1	0.4	0.35	0.46	0.6	0.12	0.68	0.43	0.29	0.6	0.49	0.95	0.71								
chr2	79347563	0.88	0.86	0.86	0.52	0.94	0.96	0.91	0.97	0.83	0.92	0.05	0.94	0.7	1	0.96	0.73	0.79	0.5	0.59	0.56	0.95	0.85	0.47	0.8	-1	0.4	0.35	0.46	0.6	0.12	0.68	0.43	0.29	0.6	0.49	0.95	0.71								
