CpG Probe ID 	Chr	Start	Cerebellum Average	Brain Average	Average of all tissues (not brain) 	Prefrontal Cortex Average	Leukocyte Average 
cg00256591	6	33246459	0.3085	0.7961025	0.908546479	0.83262	0.9709625
cg00256675	4	802962	0.342816667	0.663145	0.827271831	0.54458	0.936175
cg00259234	17	79844397	0.347583333	0.604855	0.845249296	0.67756	0.94655
cg00263677	16	84885230	0.35065	0.828305	0.911202817	0.82622	0.9723125
cg00270974	6	39745834	0.1983	0.711235	0.860340845	0.71834	0.95795
cg00276443	7	150878319	0.39205	0.66232	0.879305634	0.70356	0.911325
cg00281273	5	1514511	0.385916667	0.7516025	0.862860563	0.7591	0.90835
cg00283344	2	86847539	0.2461	0.77336	0.902583099	0.84054	0.9431
cg00287016	7	99691875	0.1429	0.721235	0.852912676	0.76592	0.929925
cg00287737	4	894070	0.381016667	0.861635	0.943174648	0.90106	0.938325
cg00296643	2	234371504	0.37545	0.81603	0.914312676	0.8641	0.96375
cg00300046	1	2084595	0.4759	0.782815	0.826971831	0.7112	0.90055
cg00303341	4	187250670	0.4587	0.88107	0.950878873	0.91308	0.9486625
cg00308440	7	14874108	0.2172	0.4453175	0.820387324	0.56624	0.9312375
cg00311371	2	136315087	0.369116667	0.844575	0.878726761	0.8916	0.9625375
cg00317585	4	188156703	0.24835	0.2910825	0.865361972	0.40688	0.9322
cg00328740	3	42573054	0.438983333	0.8114575	0.88058169	0.83694	0.91535
cg00330518	1	2228160	0.16835	0.56589	0.848269014	0.53278	0.9209875
cg00337020	19	2241089	0.472233333	0.7614175	0.827367606	0.72832	0.9264875
cg00341191	10	126332072	0.28275	0.30272	0.872929577	0.39316	0.9214375
cg00343747	8	18411478	0.273233333	0.783075	0.902087324	0.81756	0.92455
cg00344411	3	64547108	0.393483333	0.7414825	0.817685915	0.73742	0.9648875
cg00346623	6	38202492	0.4096	0.6119875	0.850064789	0.57806	0.9287875
cg00347228	1	91360840	0.389516667	0.69357	0.832121127	0.72322	0.9070875
cg00349573	1	242611826	0.1325	0.352655	0.834425352	0.51464	0.902525
cg00349608	17	4520467	0.172933333	0.7352375	0.889716901	0.73554	0.9240625
cg00367532	15	74703141	0.445483333	0.8398175	0.955146479	0.85514	0.9508875
cg00367962	2	240508665	0.159733333	0.80734	0.928725352	0.87306	0.9593375
cg00372375	8	8749343	0.1631	0.4230275	0.817290141	0.40888	0.930175
cg00373371	10	6275077	0.423033333	0.49034	0.859815493	0.51534	0.957725
cg00375589	3	15898759	0.493	0.7129	0.884660563	0.68048	0.9454375
cg00384653	22	20237197	0.375466667	0.5744675	0.826905634	0.60168	0.9240625
cg00390694	20	62700725	0.286883333	0.8705225	0.915505634	0.94234	0.9320875
cg00391229	22	50845326	0.252983333	0.777705	0.917177465	0.8155	0.9466375
cg00392505	10	134835146	0.1623	0.7470275	0.857474648	0.76982	0.956725
cg00397103	1	5540008	0.264	0.7646925	0.877770423	0.72782	0.9392625
cg00397104	1	3662685	0.16355	0.3366425	0.848061972	0.48654	0.906325
cg00401796	20	3144087	0.350066667	0.78752	0.867877465	0.83564	0.9053
cg00403616	8	591688	0.383633333	0.5698175	0.946016901	0.65344	0.95465
cg00411072	17	46660940	0.2932	0.375145	0.828632394	0.38364	0.9344
cg00417147	12	125578545	0.342366667	0.6977975	0.864212676	0.6073	0.90505
cg00420911	5	2205990	0.28595	0.4712775	0.888671831	0.56344	0.926925
cg00423167	6	31937355	0.426883333	0.754655	0.868457746	0.78574	0.92155
cg00425843	10	94883021	0.417183333	0.376875	0.816894366	0.47584	0.9501125
cg00435528	7	76143274	0.294333333	0.797055	0.886757746	0.86596	0.9511375
cg00435723	16	89245659	0.442616667	0.833155	0.840571831	0.85964	0.937075
cg00460286	15	77320261	0.306083333	0.8173725	0.891809859	0.89036	0.93745
cg00460457	22	41631801	0.251633333	0.8056575	0.905807042	0.8951	0.968075
cg00463460	7	786550	0.239616667	0.783825	0.910587324	0.82938	0.9723
cg00465927	1	26190114	0.297266667	0.76455	0.829898592	0.75638	0.91785
cg00472840	17	76676366	0.24735	0.6939675	0.915270423	0.72818	0.9508125
cg00473045	8	120779899	0.273966667	0.5743525	0.847294366	0.70154	0.9629375
cg00475403	2	235888385	0.227783333	0.715565	0.88604507	0.68562	0.92185
cg00477538	16	11336388	0.454733333	0.87428	0.939253521	0.89598	0.9473125
cg00489795	22	24041104	0.428783333	0.429205	0.923069014	0.56846	0.9440375
cg00490431	17	48201664	0.175833333	0.621845	0.902232394	0.63188	0.9357875
cg00491412	2	149859732	0.28395	0.6632325	0.876091549	0.54796	0.9637
cg00492691	17	73045429	0.263066667	0.81216	0.913442254	0.84906	0.976175
cg00494287	7	105518489	0.214116667	0.740565	0.844094366	0.72628	0.9442625
cg00496629	7	2644255	0.201733333	0.8033625	0.900069014	0.8783	0.9236
cg00497472	4	892861	0.13615	0.30106	0.855161972	0.4028	0.9064625
cg00501869	7	157690732	0.4909	0.4702525	0.813564789	0.67444	0.9278875
cg00506590	16	89960457	0.441533333	0.8210675	0.903932394	0.88194	0.9530375
cg00508771	2	166152734	0.212133333	0.67462	0.857659155	0.69352	0.9173625
cg00508855	5	179287084	0.241216667	0.5844925	0.821483099	0.53272	0.9547625
cg00513100	3	66487501	0.380633333	0.7672275	0.880966197	0.77392	0.92905
cg00524814	10	54531569	0.3742	0.82154	0.829961972	0.84842	0.9162125
cg00525496	6	11203784	0.350916667	0.5482075	0.875549296	0.64514	0.9082375
cg00528490	2	102394306	0.419283333	0.5437375	0.867766197	0.60508	0.914175
cg00530127	4	2401980	0.425683333	0.822675	0.882573239	0.8491	0.9407625
cg00530688	12	107974554	0.269216667	0.7722725	0.892370423	0.79376	0.976575
cg00540828	7	101546993	0.277883333	0.68967	0.904590141	0.76146	0.9193625
cg00541089	22	50637801	0.157566667	0.63364	0.858690141	0.68572	0.9249625
cg00542261	10	71121415	0.21105	0.7707775	0.819894366	0.8141	0.9444875
cg00543364	21	17961829	0.398383333	0.418375	0.848766197	0.46574	0.9493
cg00543684	13	113652980	0.292016667	0.7945875	0.882540845	0.82458	0.9638375
cg00553527	16	89763816	0.265383333	0.569715	0.916943662	0.5849	0.9643625
cg00561803	9	140265575	0.477983333	0.3289875	0.835190141	0.3616	0.917375
cg00566297	1	241588176	0.3169	0.8497275	0.882607042	0.89594	0.9365
cg00576108	11	68201131	0.396783333	0.82291	0.899576056	0.84664	0.93505
cg00576650	21	42215594	0.490916667	0.590215	0.900880282	0.46144	0.959325
cg00582583	16	88992178	0.215616667	0.6693125	0.820280282	0.74598	0.941775
cg00600916	7	158800547	0.463716667	0.6262025	0.834928169	0.58774	0.95045
cg00602693	2	19114166	0.182916667	0.630665	0.899814085	0.60478	0.929625
cg00616922	16	48386789	0.219333333	0.6037125	0.821401408	0.66614	0.9208375
cg00617064	2	27272375	0.320133333	0.6673075	0.856397183	0.63016	0.9172
cg00624564	4	7768660	0.306333333	0.797785	0.885473239	0.82824	0.9619125
cg00625443	15	80997087	0.34295	0.7143975	0.890515493	0.70572	0.9459625
cg00629382	8	10268916	0.367583333	0.7561775	0.865250704	0.68356	0.9396375
cg00646084	21	28337168	0.176816667	0.7957925	0.814876056	0.85336	0.9487875
cg00655094	16	89104756	0.13095	0.2285175	0.84823662	0.30504	0.924975
cg00662273	16	2648122	0.234816667	0.733285	0.856650704	0.80044	0.9142875
cg00664743	22	31300253	0.18475	0.7190025	0.897160563	0.79282	0.9696375
cg00675156	17	46871867	0.456583333	0.8386075	0.909470423	0.83038	0.9539875
cg00675891	13	113698994	0.138483333	0.1964275	0.843426761	0.24628	0.9559125
cg00676960	17	79256290	0.489566667	0.83318	0.907326761	0.86904	0.953525
cg00678005	8	9597722	0.325283333	0.819255	0.870750704	0.82608	0.93825
cg00678709	3	14584745	0.302316667	0.841675	0.89055493	0.88432	0.9610875
cg00693240	16	4684507	0.38665	0.3942675	0.866050704	0.52688	0.9594375
cg00698982	16	2728291	0.188166667	0.67115	0.814171831	0.70732	0.902175
cg00699321	7	157561134	0.371733333	0.75313	0.850650704	0.8055	0.917425
cg00707881	14	77571003	0.488033333	0.50576	0.852902817	0.57702	0.96305
cg00711795	2	234308665	0.241833333	0.8077525	0.901015493	0.85456	0.90785
cg00712762	1	36351470	0.4284	0.606795	0.819209859	0.62904	0.919
cg00715323	2	11479980	0.412266667	0.78554	0.848788732	0.77766	0.9338125
cg00715343	17	76171845	0.209666667	0.8320075	0.882552113	0.88858	0.96095
cg00718883	8	26493115	0.483316667	0.2999325	0.849067606	0.34298	0.96765
cg00728371	8	1379853	0.398516667	0.7849675	0.874743662	0.77872	0.9273
cg00730670	10	105510713	0.297983333	0.840485	0.871542254	0.9048	0.955075
cg00730857	4	1994281	0.213	0.6633525	0.865387324	0.6535	0.9389625
cg00731608	14	103593907	0.438533333	0.5211175	0.86034507	0.46914	0.97125
cg00736707	7	1119827	0.26435	0.6613025	0.886546479	0.64462	0.969875
cg00740389	12	53590448	0.38595	0.73005	0.871315493	0.75818	0.9216375
cg00746446	2	23879137	0.286583333	0.3028925	0.888022535	0.36676	0.9538125
cg00749118	7	1938791	0.4727	0.7999675	0.863509859	0.78722	0.9540375
cg00757262	17	17747898	0.182966667	0.39004	0.828874648	0.52254	0.913775
cg00762830	16	88990161	0.22975	0.78006	0.889640845	0.78776	0.9337875
cg00765233	2	235877260	0.44915	0.56068	0.838067606	0.63574	0.91285
cg00766146	1	2248719	0.320033333	0.82495	0.907074648	0.87904	0.959925
cg00771642	19	48988436	0.314733333	0.6655225	0.843994366	0.64198	0.9363
cg00771935	16	87386686	0.282133333	0.8157	0.904378873	0.88016	0.961225
cg00777636	1	6446216	0.246816667	0.8424775	0.840384507	0.89086	0.97315
cg00783000	14	101007650	0.486	0.7349325	0.84348169	0.74668	0.91175
cg00786909	1	227163427	0.209433333	0.2966825	0.820857746	0.4396	0.9648
cg00792053	4	25097886	0.215883333	0.7837825	0.839656338	0.79786	0.95025
cg00792185	16	9855960	0.319133333	0.4278125	0.838416901	0.4769	0.9103875
cg00793954	22	50862027	0.375716667	0.706385	0.834695775	0.74038	0.909125
cg00794963	22	44892949	0.371166667	0.85435	0.933626761	0.9201	0.9763375
cg00804179	3	13083974	0.17695	0.2394775	0.915105634	0.33574	0.9629
cg00804803	1	10601595	0.233766667	0.85415	0.924014085	0.93056	0.9643125
cg00806214	16	521912	0.381516667	0.3716975	0.864405634	0.44508	0.9307375
cg00814614	12	81544241	0.291966667	0.716935	0.849614085	0.77364	0.9036375
cg00819362	19	36524208	0.38915	0.66923	0.892625352	0.64966	0.9598
cg00822277	13	114203903	0.193833333	0.7011225	0.90365493	0.74322	0.95995
cg00825317	8	143747318	0.4138	0.8219075	0.901508451	0.87568	0.9394875
cg00830444	16	1455735	0.49885	0.73396	0.874869014	0.79136	0.9500375
cg00831466	22	20795872	0.4165	0.8096275	0.897908451	0.88132	0.9456375
cg00836944	9	124520626	0.2896	0.7653725	0.887452113	0.81878	0.9030125
cg00842582	17	77545900	0.312166667	0.8206925	0.937701408	0.81118	0.9560625
cg00850552	21	46236351	0.202483333	0.5890975	0.801161972	0.65772	0.9275375
cg00864551	7	151506505	0.231716667	0.7810025	0.953461972	0.73926	0.9548125
cg00866690	1	2066631	0.314516667	0.477495	0.870522535	0.51536	0.9429125
cg00880562	3	153838126	0.453333333	0.4976725	0.840264789	0.53354	0.91295
cg00881448	10	30248683	0.319866667	0.8206675	0.873473239	0.82102	0.957975
cg00882451	16	21222863	0.187833333	0.803895	0.87208169	0.88408	0.919575
cg00889599	10	21810105	0.4938	0.4014175	0.818152113	0.46232	0.93835
cg00889627	1	1959630	0.409683333	0.8226325	0.886423944	0.7985	0.9551375
cg00892353	8	124247948	0.206	0.6040125	0.825469014	0.6844	0.92565
cg00898447	16	75300795	0.474983333	0.371735	0.859432394	0.40472	0.9479375
cg00899400	7	27154537	0.340133333	0.3258925	0.802847887	0.32692	0.9300375
cg00900231	16	50897271	0.326716667	0.275405	0.960766197	0.43444	0.9528875
cg00905220	17	982154	0.3485	0.42674	0.8524	0.38224	0.9684625
cg00911364	17	43922800	0.399766667	0.872355	0.949542254	0.9159	0.954075
cg00912247	14	104889116	0.3611	0.7091125	0.917473239	0.62328	0.9633625
cg00915372	17	75209460	0.209383333	0.6149675	0.823614085	0.55644	0.94775
cg00921160	14	97129452	0.2856	0.316905	0.876138028	0.37546	0.9494375
cg00922420	1	55529158	0.20775	0.8344275	0.950022535	0.86958	0.9681375
cg00925054	1	85220019	0.197716667	0.6790675	0.87683662	0.6574	0.9338375
cg00938535	14	102692438	0.239016667	0.7789775	0.883002817	0.85772	0.9589125
cg00948881	16	89433544	0.359866667	0.6974275	0.917398592	0.6812	0.945875
cg00950706	16	85262920	0.177666667	0.73796	0.864757746	0.70686	0.9002125
cg00952342	1	228360531	0.313216667	0.77704	0.835176056	0.8307	0.9152375
cg00953443	8	141577413	0.276716667	0.4132125	0.894528169	0.48042	0.957675
cg00954841	12	3373534	0.271866667	0.7852975	0.843183099	0.80546	0.94635
cg00954875	1	245628858	0.224466667	0.78689	0.872476056	0.85426	0.9274625
cg00956114	10	7625588	0.209083333	0.7753625	0.854059155	0.8421	0.9005625
cg00958311	22	32021249	0.166133333	0.3724475	0.854338028	0.40594	0.90385
cg00960772	12	133127270	0.344333333	0.8442575	0.892328169	0.90298	0.9571
cg00961855	17	77980966	0.459116667	0.8638975	0.917770423	0.87964	0.94675
cg00968270	16	87471788	0.19835	0.73538	0.906938028	0.75266	0.965475
cg00990377	8	141572536	0.400716667	0.6844775	0.856361972	0.723	0.9164875
cg00995457	14	100057570	0.476516667	0.6725775	0.870880282	0.65602	0.9384875
cg01006126	16	1146445	0.374016667	0.4988125	0.832608451	0.49702	0.9015625
cg01010931	16	3778708	0.473016667	0.8201725	0.898038028	0.85184	0.9392625
cg01012666	1	2445774	0.365366667	0.7436075	0.849832394	0.79138	0.9188
cg01017689	5	76376266	0.334716667	0.7051425	0.8551	0.75454	0.9337
cg01023808	7	97857492	0.444733333	0.7729475	0.855991549	0.77952	0.921775
cg01025800	19	807340	0.3057	0.747805	0.825232394	0.72304	0.9328125
cg01028287	7	44275556	0.3956	0.6652025	0.807095775	0.65426	0.9036
cg01031616	14	100597168	0.342366667	0.8016975	0.855111268	0.85294	0.9265875
cg01044580	14	21900820	0.425616667	0.7628725	0.84485493	0.80542	0.940725
cg01047778	11	70584252	0.48655	0.8183225	0.912291549	0.77276	0.9561125
cg01062247	1	151825974	0.385283333	0.6674275	0.864098592	0.68926	0.9266625
cg01063425	22	50896834	0.450516667	0.7443975	0.857905634	0.78824	0.910175
cg01064758	8	134115653	0.388116667	0.774225	0.826732394	0.78676	0.96255
cg01070657	2	207988837	0.231183333	0.7334875	0.915560563	0.73166	0.933025
cg01073918	1	2115256	0.226133333	0.8220975	0.923087324	0.88874	0.9574
cg01080927	6	125341187	0.447666667	0.4223175	0.873819718	0.471	0.968125
cg01093854	10	70362422	0.110066667	0.2593375	0.833128169	0.31924	0.968525
cg01101355	20	47422326	0.319683333	0.76244	0.877177465	0.78658	0.9033625
cg01105362	7	1059627	0.2791	0.6588725	0.924097183	0.68028	0.970825
cg01108697	16	1812618	0.460916667	0.8548475	0.937633803	0.86678	0.9111
cg01108921	21	42212925	0.1363	0.40183	0.869247887	0.38242	0.9442125
cg01109734	2	795156	0.075966667	0.5612275	0.833071831	0.51862	0.956525
cg01113530	10	45451464	0.24175	0.7801575	0.837823944	0.84234	0.9529875
cg01118752	4	102264326	0.386033333	0.80646	0.846616901	0.82144	0.9082375
cg01119777	10	11936173	0.4948	0.836815	0.881007042	0.85812	0.904725
cg01123035	21	48079700	0.455683333	0.589225	0.811353521	0.6115	0.9120375
cg01125531	20	62126827	0.206066667	0.6576125	0.803138028	0.56286	0.9157
cg01126699	14	104625468	0.464083333	0.4956625	0.811225352	0.67842	0.904575
cg01127020	3	185457334	0.220866667	0.807265	0.892826761	0.89714	0.9561
cg01131917	14	105478094	0.414616667	0.80548	0.877826761	0.82746	0.9110625
cg01132502	5	179335607	0.226783333	0.7838775	0.808061972	0.78638	0.9335625
cg01132579	17	55588940	0.244266667	0.6012475	0.816719718	0.60014	0.922775
cg01141572	4	146682572	0.458883333	0.896115	0.976076056	0.95172	0.965075
cg01141636	5	156769766	0.2447	0.689155	0.862747887	0.68408	0.9142125
cg01141838	11	62474744	0.15415	0.4988475	0.880209859	0.4754	0.9294625
cg01144283	14	102963399	0.3608	0.6618225	0.843678873	0.74672	0.9296125
cg01145653	3	125775696	0.312533333	0.4480025	0.838767606	0.58372	0.929225
cg01146928	22	46455670	0.172216667	0.39904	0.849064789	0.50056	0.950925
cg01156295	5	138211184	0.18945	0.2463675	0.835477465	0.29148	0.9112
cg01159380	3	49201579	0.487383333	0.5745675	0.80106338	0.59006	0.9289875
cg01168776	1	212002499	0.328933333	0.38641	0.801833803	0.45808	0.95555
cg01174811	5	58882939	0.1455	0.24964	0.80341831	0.2845	0.9350375
cg01183244	3	55502488	0.411366667	0.845925	0.857525352	0.88198	0.951325
cg01197864	18	8789568	0.399883333	0.837815	0.917185915	0.86044	0.9077125
cg01206993	16	87450718	0.259183333	0.802875	0.939505634	0.86038	0.9707625
cg01219907	14	101864566	0.466533333	0.8171925	0.872643662	0.84664	0.9315875
cg01230254	16	87376350	0.298016667	0.77627	0.895622535	0.82172	0.9502375
cg01231009	8	130641185	0.324016667	0.342175	0.855453521	0.46952	0.9007375
cg01232479	14	101497660	0.468966667	0.8222875	0.873723944	0.83734	0.9339625
cg01244346	2	74272962	0.332216667	0.6326025	0.826884507	0.7246	0.9084625
cg01248385	13	113636953	0.179516667	0.4242575	0.909023944	0.40728	0.9667125
cg01250212	19	2650755	0.25885	0.3369975	0.804812676	0.42156	0.97025
cg01256278	7	6208128	0.094833333	0.6804775	0.846546479	0.6993	0.9366625
cg01268345	7	138603645	0.181733333	0.705155	0.884264789	0.66422	0.9189625
cg01268866	2	3683757	0.39415	0.7783475	0.896597183	0.74444	0.9398125
cg01269048	6	138527542	0.3991	0.757445	0.865709859	0.7473	0.90985
cg01275934	7	2296365	0.47895	0.795105	0.86156338	0.83504	0.9303
cg01283863	20	33863759	0.22365	0.76776	0.878228169	0.83878	0.921275
cg01287505	17	56607190	0.117633333	0.3507875	0.860167606	0.49048	0.9185375
cg01295785	18	12437948	0.319433333	0.7404025	0.879764789	0.75598	0.96415
cg01295999	3	174926334	0.286633333	0.416965	0.824933803	0.5895	0.9083625
cg01298120	11	2499341	0.4226	0.75842	0.836346479	0.7933	0.9411
cg01301276	19	15511562	0.455766667	0.810245	0.90678169	0.81806	0.963125
cg01312167	2	54292798	0.2006	0.4132175	0.856216901	0.5232	0.9638625
cg01312546	8	144552786	0.198133333	0.36453	0.803935211	0.4554	0.9192125
cg01320211	15	48019758	0.48015	0.6382125	0.812733803	0.66542	0.930875
cg01328703	3	142836347	0.246916667	0.8245825	0.864223944	0.89338	0.9492625
cg01336878	19	54963396	0.430083333	0.8174875	0.851180282	0.86524	0.9441
cg01360333	15	65826759	0.477283333	0.3424825	0.817204225	0.4395	0.9179875
cg01361248	1	227163775	0.293933333	0.61825	0.913364789	0.62814	0.9579375
cg01369033	4	3292386	0.232616667	0.5427875	0.837857746	0.65756	0.9660625
cg01370575	15	74914482	0.234583333	0.75043	0.913284507	0.72846	0.9245625
cg01379171	20	60970499	0.388	0.7428	0.868416901	0.7817	0.9224
cg01383440	13	114203974	0.188716667	0.67701	0.913225352	0.718	0.968625
cg01386678	17	2323626	0.349866667	0.641075	0.896201408	0.65196	0.912625
cg01387771	16	1036944	0.18805	0.2740175	0.80214507	0.32988	0.9005375
cg01392656	12	125578483	0.286216667	0.6811775	0.8896	0.60154	0.96115
cg01403655	13	43702940	0.301416667	0.640975	0.877156338	0.61842	0.9345625
cg01406072	13	112201036	0.263266667	0.759995	0.836408451	0.81538	0.9260625
cg01408363	12	125033903	0.311733333	0.5206625	0.800323944	0.60662	0.966125
cg01411652	1	14113172	0.153083333	0.3533975	0.890591549	0.47776	0.96485
cg01415919	20	62043457	0.486216667	0.8473925	0.88401831	0.83444	0.942425
cg01421615	10	126782592	0.180183333	0.5346325	0.842912676	0.50558	0.95385
cg01426041	16	85007593	0.149916667	0.7394175	0.895504225	0.73844	0.9189
cg01435564	5	132150904	0.34475	0.732855	0.891752113	0.80826	0.9412125
cg01441014	4	2278810	0.202166667	0.745995	0.903953521	0.75174	0.96755
cg01441018	17	80870923	0.26125	0.7291675	0.832066197	0.74682	0.9282625
cg01441865	4	2275880	0.394733333	0.795535	0.857597183	0.79998	0.916825
cg01442200	13	99158698	0.23175	0.7765925	0.830860563	0.78656	0.91175
cg01442600	21	32624720	0.112566667	0.76159	0.905794366	0.82112	0.9585625
cg01446907	19	18313561	0.307766667	0.48322	0.910133803	0.49532	0.9552
cg01447350	16	70680108	0.321016667	0.7806225	0.866885915	0.7503	0.903875
cg01448853	7	50772879	0.263283333	0.7228775	0.847764789	0.73474	0.924275
cg01452115	8	145849607	0.419133333	0.8335025	0.861335211	0.85214	0.9349625
cg01452452	19	7807999	0.2478	0.607015	0.842998592	0.60004	0.945925
cg01459389	17	47923475	0.445983333	0.592845	0.800087324	0.61664	0.917925
cg01465824	6	1930446	0.348233333	0.6879025	0.858390141	0.74192	0.9697
cg01466631	17	1094369	0.441766667	0.7916425	0.809785915	0.75688	0.9534
cg01468562	6	97371373	0.355816667	0.548075	0.8097	0.5506	0.9332375
cg01471710	19	1953866	0.42595	0.785575	0.876938028	0.82634	0.93325
cg01476062	5	65118763	0.465716667	0.587475	0.859056338	0.71352	0.9552375
cg01477253	2	74885882	0.223916667	0.7520375	0.892415493	0.74324	0.9404875
cg01485157	16	4431584	0.302633333	0.570815	0.877766197	0.58382	0.9533125
cg01501461	19	54684477	0.351066667	0.6104225	0.860809859	0.5987	0.926525
cg01515074	12	57585135	0.207616667	0.5562075	0.840846479	0.56848	0.9421875
cg01517364	16	87446080	0.249416667	0.6876325	0.877323944	0.64544	0.9024625
cg01523285	1	52301876	0.45235	0.83046	0.863216901	0.84776	0.9206375
cg01538971	14	39307962	0.389233333	0.80924	0.884071831	0.87364	0.9155
cg01552748	13	112225526	0.2608	0.807595	0.819622535	0.88982	0.9656875
cg01552839	1	210113100	0.474366667	0.7176375	0.811121127	0.6686	0.9019125
cg01556979	22	50727524	0.343616667	0.78322	0.900432394	0.80784	0.9370625
cg01563502	7	100285047	0.391533333	0.7397525	0.888484507	0.7719	0.96445
cg01563741	1	245022751	0.41675	0.7516	0.908932394	0.77086	0.9695875
cg01564165	13	114109526	0.191933333	0.7953225	0.894873239	0.86904	0.9532125
cg01564902	7	137342539	0.260283333	0.7821675	0.85374507	0.7979	0.9005375
cg01565659	8	10189468	0.469733333	0.777935	0.91015493	0.70814	0.956525
cg01565918	20	57457492	0.339916667	0.794835	0.865950704	0.8718	0.9688
cg01582648	14	73926538	0.350916667	0.2917775	0.810009859	0.32372	0.917975
cg01606029	1	2228238	0.17335	0.657395	0.913180282	0.6076	0.95775
cg01614101	11	113778771	0.290616667	0.6816575	0.869735211	0.71544	0.9133375
cg01624637	16	87739377	0.174533333	0.48026	0.845925352	0.47336	0.93095
cg01632188	14	77731074	0.180433333	0.7329575	0.887592958	0.73138	0.9424875
