"cereb_average" "all_brain_average" "other_brain_avg" "pref_average" "leuk_average" "white_matter" "chr" "start" "X.Sample_geo_accession"
"4054" 0.16355 0.3366425 0.851681012658228 0.48654 0.906325 0.269894736842105 "1" 3662685 "cg00397104"
"4762" 0.31155 0.4595075 0.8219 0.55536 0.92785 0.422942105263158 "1" 6132185 "cg16361915"
"4887" 0.441083333333333 0.526195 0.847658227848101 0.62326 0.949125 0.468915789473684 "1" 6260616 "cg21813101"
"4992" 0.344166666666667 0.300305 0.914008860759494 0.42354 0.949425 0.1936 "1" 6333843 "cg06834177"
"4993" 0.575316666666667 0.4742675 0.905256962025316 0.5373 0.9446625 0.414268421052632 "1" 6333867 "cg15100947"
"5011" 0.855366666666667 0.47999 0.885793670886076 0.61348 0.9124125 0.254305263157895 "1" 6352357 "cg26570804"
"5767" 0.706216666666667 0.5834875 0.914698734177215 0.69884 0.9758 0.468721052631579 "1" 8044581 "cg12446447"
"5768" 0.620533333333333 0.554785 0.871698734177215 0.63832 0.913425 0.478452631578947 "1" 8044991 "cg02891048"
"5949" 0.0598 0.1223525 0.895839240506329 0.21364 0.9488125 0.0665947368421053 "1" 8442507 "cg06634717"
"5977" 0.870516666666667 0.557075 0.897212658227848 0.60744 0.9387125 0.417294736842105 "1" 8497643 "cg08653904"
"6296" 0.765883333333333 0.41524 0.811715189873418 0.43668 0.9068875 0.279210526315789 "1" 9383245 "cg01437439"
"6640" 0.71655 0.519225 0.846194936708861 0.61234 0.916075 0.370605263157895 "1" 10116780 "cg02927058"
"6643" 0.477 0.39322 0.802637974683544 0.39814 0.96015 0.369126315789474 "1" 10169029 "cg10125465"
"6646" 0.1485 0.334838461538462 0.858411392405063 0.46286 0.9673875 0.280188888888889 "1" 10221203 "cg07209987"
"6648" 0.218783333333333 0.251635 0.897618987341772 0.40894 0.9024625 0.128626315789474 "1" 10240017 "cg27508545"
"6649" 0.191066666666667 0.2806675 0.926859493670886 0.41658 0.966375 0.206205263157895 "1" 10240025 "cg23661000"
"6937" 0.832266666666667 0.585015 0.84183417721519 0.6272 0.9044875 0.470163157894737 "1" 10781431 "cg20141509"
"6941" 0.823 0.5028725 0.820835443037975 0.47606 0.9360625 0.405442105263158 "1" 10788801 "cg10234511"
"7110" 0.4476 0.391855 0.806974683544304 0.39958 0.9468625 0.370789473684211 "1" 11158987 "cg13558322"
"7124" 0.618416666666667 0.5502625 0.864053164556962 0.60512 0.95665 0.488405263157895 "1" 11166889 "cg06632603"
"7128" 0.643933333333333 0.475835 0.84783417721519 0.54176 0.9363625 0.372494736842105 "1" 11182153 "cg15725046"
"7181" 0.87855 0.45269 0.812678481012658 0.48044 0.9433375 0.286715789473684 "1" 11361900 "cg08544453"
"7357" 0.886916666666667 0.51721 0.879717721518987 0.5895 0.95465 0.349947368421053 "1" 11795409 "cg18327319"
"7651" 0.352183333333333 0.47873 0.831778481012658 0.51748 0.9383375 0.498268421052632 "1" 12268883 "cg11665613"
"7711" 0.5692 0.3346925 0.878307594936709 0.42738 0.9453875 0.179447368421053 "1" 12566060 "cg01318461"
"7957" 0.872216666666667 0.4705575 0.876087341772152 0.51346 0.9614 0.316478947368421 "1" 14078744 "cg21288507"
"7966" 0.153083333333333 0.3533975 0.891548101265823 0.47776 0.96485 0.328042105263158 "1" 14113172 "cg01411652"
"7967" 0.175933333333333 0.4047025 0.902843037974684 0.53036 0.9707125 0.382368421052632 "1" 14113203 "cg15568145"
"7968" 0.208866666666667 0.4027925 0.913239240506329 0.5105 0.9499875 0.374210526315789 "1" 14113230 "cg16273075"
"7973" 0.88575 0.549985 0.883417721518987 0.55526 0.9288375 0.457947368421053 "1" 14134260 "cg16652739"
"8943" 0.3426 0.456825 0.815943037974684 0.5241 0.938975 0.431189473684211 "1" 16945449 "cg00021123"
"9879" 0.665466666666667 0.4143225 0.821522784810127 0.46898 0.922725 0.297863157894737 "1" 19526929 "cg22601762"
"10016" 0.48795 0.4615975 0.801818987341772 0.45852 0.9217125 0.442089473684211 "1" 19746564 "cg13319175"
"10095" 0.452333333333333 0.475365 0.833658227848101 0.57586 0.91335 0.406463157894737 "1" 19983475 "cg13550729"
"10747" 0.835083333333333 0.543525 0.90793670886076 0.53646 0.9485625 0.453721052631579 "1" 22032710 "cg11193274"
"11139" 0.8941 0.4466675 0.9175 0.51244 0.9445875 0.2556 "1" 23162550 "cg15447913"
"11441" 0.768483333333333 0.393615 0.844935443037975 0.40282 0.93935 0.259526315789474 "1" 24086220 "cg24502901"
"11849" 0.85595 0.5125975 0.856958227848101 0.59156 0.9138 0.344221052631579 "1" 25154971 "cg11653912"
"12164" 0.817433333333333 0.5494875 0.869159493670886 0.54928 0.9343375 0.464952631578947 "1" 26040637 "cg05127636"
"12262" 0.322766666666667 0.449085 0.855974683544304 0.51842 0.94305 0.4319 "1" 26230906 "cg21216015"
"12490" 0.871583333333333 0.559345 0.908015189873418 0.69992 0.9271625 0.363110526315789 "1" 26580624 "cg03940437"
"13617" 0.846666666666667 0.5202325 0.900478481012658 0.6088 0.9529625 0.350110526315789 "1" 28930190 "cg27573954"
"13784" 0.757166666666667 0.3887325 0.822837974683544 0.48876 0.928425 0.197242105263158 "1" 29490924 "cg12609322"
"13814" 0.830116666666667 0.58547 0.883369620253165 0.62438 0.956025 0.481221052631579 "1" 29555123 "cg25341712"
"14088" 0.890283333333333 0.524495 0.870773417721519 0.60914 0.967125 0.345652631578947 "1" 31403193 "cg11703759"
"14502" 0.875366666666667 0.5865425 0.91366329113924 0.68938 0.9628 0.419036842105263 "1" 32641847 "cg09024089"
"14811" 0.225733333333333 0.3210125 0.835681012658228 0.50272 0.945925 0.2147 "1" 33231313 "cg09804503"
"14812" 0.140216666666667 0.25639 0.811270886075949 0.42672 0.9606125 0.160842105263158 "1" 33231382 "cg04892182"
"15102" 0.746683333333333 0.569065 0.852637974683544 0.64192 0.9394125 0.444615789473684 "1" 33818527 "cg06953325"
"15120" 0.304016666666667 0.3817575 0.859162025316456 0.52518 0.937125 0.292757894736842 "1" 33848786 "cg02362848"
"15128" 0.690133333333333 0.457255 0.894946835443038 0.536 0.963875 0.319889473684211 "1" 33894461 "cg03380518"
"15140" 0.7972 0.4800425 0.829645569620253 0.56804 0.9114 0.308505263157895 "1" 33937433 "cg01219205"
"15449" 0.575716666666667 0.42302 0.869215189873418 0.44462 0.9686375 0.351142105263158 "1" 35543524 "cg19864036"
"15474" 0.8291 0.47826 0.873749367088608 0.49896 0.9354625 0.355573684210526 "1" 35649498 "cg23207673"
"15725" 0.129533333333333 0.2152975 0.849673417721519 0.35034 0.945825 0.116036842105263 "1" 36559506 "cg09506001"
"15778" 0.696616666666667 0.501805 0.801907594936709 0.52386 0.9093 0.427836842105263 "1" 36639894 "cg00169111"
"16291" 0.656583333333333 0.426865 0.815512658227848 0.46764 0.920725 0.269094736842105 "1" 38279984 "cg04146137"
"16754" 0.89485 0.4888825 0.897105063291139 0.4897 0.921725 0.377568421052632 "1" 39960691 "cg26548351"
"17897" 0.475833333333333 0.3364925 0.856593670886076 0.38588 0.956925 0.230847368421053 "1" 43412752 "cg20294984"
"18392" 0.855433333333333 0.54349 0.894960759493671 0.58648 0.9515 0.401726315789474 "1" 44461890 "cg12755814"
"18398" 0.7586 0.388948717948718 0.890574683544304 0.43892 0.9616875 0.224611111111111 "1" 44482420 "cg15821401"
"18571" 0.87475 0.45399 0.846341772151899 0.48866 0.9747 0.284447368421053 "1" 44991042 "cg02892772"
"18574" 0.762933333333333 0.5728425 0.884306329113924 0.64648 0.9728 0.457336842105263 "1" 45002564 "cg20284937"
"18594" 0.90155 0.5761525 0.937179746835443 0.66754 0.97015 0.404647368421053 "1" 45096700 "cg22154992"
"18595" 0.894 0.5373275 0.906074683544304 0.63114 0.978475 0.348926315789474 "1" 45096728 "cg00876376"
"18931" 0.562 0.3874875 0.863169620253165 0.49394 0.9147625 0.241394736842105 "1" 45976998 "cg06989253"
"19006" 0.854916666666667 0.5937975 0.879449367088608 0.73826 0.9619125 0.388821052631579 "1" 46113000 "cg02853497"
"19648" 0.5015 0.4212725 0.841713924050633 0.46126 0.9113375 0.376310526315789 "1" 48162438 "cg20428713"
"19974" 0.821216666666667 0.45911 0.818473417721519 0.52196 0.9384875 0.287515789473684 "1" 51127561 "cg07174182"
"19976" 0.304133333333333 0.39255 0.861658227848101 0.51878 0.941225 0.302315789473684 "1" 51166032 "cg10511332"
"19985" 0.865183333333333 0.6131175 0.916679746835443 0.68468 0.9683 0.478294736842105 "1" 51421695 "cg21579982"
"20092" 0.1972 0.38788 0.818996202531646 0.38336 0.936675 0.458542105263158 "1" 51887613 "cg21366602"
"20095" 0.337683333333333 0.2915575 0.803046835443038 0.28334 0.95405 0.292421052631579 "1" 51888574 "cg10027723"
"20695" 0.423466666666667 0.458855 0.817746835443038 0.47356 0.9403 0.426915789473684 "1" 54135470 "cg26932889"
"20981" 0.7278 0.570312820512821 0.901769620253165 0.60032 0.9725875 0.494833333333333 "1" 54876235 "cg04348273"
"21154" 0.74975 0.4389225 0.857330379746835 0.5364 0.960075 0.257694736842105 "1" 55331285 "cg09992387"
"21155" 0.67555 0.4505175 0.824750632911392 0.53738 0.960675 0.301926315789474 "1" 55331361 "cg15894315"
"21395" 0.8807 0.475165 0.839407594936709 0.53032 0.9530125 0.290184210526316 "1" 57011246 "cg10500503"
"21687" 0.7876 0.45149 0.916591139240506 0.47576 0.9644375 0.326047368421053 "1" 59348451 "cg07799907"
"21877" 0.207383333333333 0.3198375 0.855416455696203 0.37468 0.93965 0.332152631578947 "1" 61333617 "cg07363657"
"22401" 0.877616666666667 0.5611025 0.89633417721519 0.66676 0.9457625 0.383984210526316 "1" 64668576 "cg16910238"
"22464" 0.6603 0.3829475 0.820237974683544 0.46046 0.9095125 0.237642105263158 "1" 65047485 "cg21679730"
"22605" 0.624616666666667 0.48317 0.919724050632911 0.55526 0.9773125 0.383847368421053 "1" 65722872 "cg18191867"
"22693" 0.818833333333333 0.3406525 0.903451898734177 0.32034 0.963675 0.186042105263158 "1" 66458803 "cg26912671"
"22742" 0.186183333333333 0.2647675 0.868179746835443 0.30976 0.9202625 0.253031578947368 "1" 67001108 "cg07956346"
"22823" 0.722416666666667 0.51124 0.850350632911392 0.5524 0.925425 0.376973684210526 "1" 67504848 "cg13986884"
"23325" 0.8271 0.590975 0.859473417721519 0.62282 0.9054875 0.489126315789474 "1" 74445461 "cg16556696"
"23393" 0.873516666666667 0.520035 0.812435443037975 0.56524 0.9189125 0.374621052631579 "1" 75469109 "cg19870706"
"23646" 0.361133333333333 0.3667125 0.806767088607595 0.52598 0.9218875 0.242673684210526 "1" 77836400 "cg15505642"
"23664" 0.48235 0.450495 0.882515189873418 0.53924 0.9524375 0.346663157894737 "1" 78031187 "cg22221847"
"23969" 0.655333333333333 0.477445 0.893126582278481 0.51256 0.9401375 0.386363157894737 "1" 83289714 "cg23639773"
"24045" 0.824616666666667 0.5324375 0.817710126582278 0.58496 0.9481375 0.403189473684211 "1" 84763338 "cg20426713"
"24073" 0.87535 0.575465 0.831851898734177 0.6128 0.9177 0.437610526315789 "1" 84876625 "cg24868292"
"24129" 0.832483333333333 0.544345 0.840139240506329 0.66562 0.917175 0.360536842105263 "1" 85043256 "cg09315465"
"24318" 0.813533333333333 0.587817948717949 0.856448101265823 0.59278 0.936275 0.495466666666667 "1" 85834261 "cg24515368"
"24469" 0.792816666666667 0.46905 0.850208860759494 0.5755 0.9343125 0.280321052631579 "1" 86913263 "cg17424433"
"24817" 0.777116666666667 0.40807 0.895418987341772 0.36912 0.9617625 0.315173684210526 "1" 90023237 "cg09818397"
"24825" 0.6538 0.4785775 0.901163291139241 0.60134 0.940875 0.335836842105263 "1" 90053734 "cg21422291"
"24879" 0.794866666666667 0.3950225 0.907084810126582 0.4349 0.9481625 0.218794736842105 "1" 90297591 "cg05703211"
"24902" 0.9063 0.5162225 0.898743037974684 0.60734 0.970275 0.314431578947368 "1" 90405538 "cg09270879"
"25747" 0.880966666666667 0.58774 0.820681012658228 0.65906 0.9023625 0.469157894736842 "1" 94860295 "cg08856224"
"25986" 0.7859 0.52349 0.835077215189873 0.6169 0.931125 0.383247368421053 "1" 96948323 "cg03222176"
"26025" 0.846983333333333 0.5212325 0.844326582278481 0.54882 0.9638625 0.376763157894737 "1" 97610703 "cg24682415"
"26037" 0.492916666666667 0.5483075 0.882332911392405 0.63868 0.96385 0.499031578947368 "1" 98336448 "cg17752576"
"26618" 0.806916666666667 0.3704675 0.834845569620253 0.41826 0.922725 0.19 "1" 107937181 "cg24343913"
"26750" 0.7518 0.37972 0.858107594936709 0.38834 0.9209625 0.255473684210526 "1" 109260678 "cg11413570"
"26911" 0.637916666666667 0.4398375 0.914810126582278 0.43094 0.9668625 0.392084210526316 "1" 109772439 "cg00102183"
"26936" 0.6936 0.5805225 0.861320253164557 0.64408 0.9227625 0.489036842105263 "1" 109811857 "cg26148630"
"26964" 0.178533333333333 0.3006075 0.811405063291139 0.41704 0.94105 0.249221052631579 "1" 109850562 "cg00154957"
"26974" 0.823833333333333 0.51207 0.856003797468354 0.52016 0.9414875 0.405921052631579 "1" 109937191 "cg22346081"
"27531" 0.202066666666667 0.2410275 0.867408860759494 0.29842 0.9337875 0.209563157894737 "1" 111145889 "cg02902915"
"28772" 0.785083333333333 0.480561538461538 0.848174683544304 0.39948 0.91745 0.444127777777778 "1" 116961857 "cg21782985"
"28817" 0.83025 0.6112575 0.847726582278481 0.64914 0.90835 0.499710526315789 "1" 117117195 "cg17032184"
"28971" 0.836633333333333 0.441115 0.844018987341772 0.40504 0.925375 0.3481 "1" 117671033 "cg11081093"
"29246" 0.471116666666667 0.5197225 0.831869620253165 0.54764 0.9233125 0.4862 "1" 119702694 "cg16577665"
"29644" 0.906283333333333 0.6033775 0.929110126582279 0.66618 0.970825 0.455005263157895 "1" 145012822 "cg09766379"
"30629" 0.855666666666667 0.526785 0.889725316455696 0.54452 0.944275 0.391431578947368 "1" 149984927 "cg11596043"
"31199" 0.826383333333333 0.463215 0.919839240506329 0.5185 0.9584125 0.294352631578947 "1" 151267394 "cg07841059"
"32863" 0.190883333333333 0.371485 0.811684810126582 0.41676 0.9183625 0.393921052631579 "1" 155148157 "cg06203102"
"33211" 0.82575 0.60841 0.868553164556962 0.69144 0.93865 0.477194736842105 "1" 155853542 "cg12303247"
"33405" 0.824733333333333 0.5346825 0.838694936708861 0.57472 0.928375 0.423552631578947 "1" 156109908 "cg24086565"
"33581" 0.179533333333333 0.365875 0.872660759493671 0.48726 0.9162625 0.303873684210526 "1" 156359253 "cg23046847"
"33583" 0.387266666666667 0.3529 0.844308860759494 0.45478 0.944925 0.251 "1" 156370496 "cg13098071"
"33712" 0.395066666666667 0.320755 0.914224050632911 0.36236 0.9724625 0.259589473684211 "1" 156564330 "cg24594293"
"34207" 0.644766666666667 0.51932 0.863446835443038 0.60768 0.9469125 0.420815789473684 "1" 158088745 "cg10556999"
"34363" 0.215733333333333 0.3378175 0.89660641025641 0.43436 0.9204625 0.324915789473684 "1" 159111423 "cg12798524"
"34685" 0.53905 0.5060775 0.856712658227848 0.5411 0.935825 0.476773684210526 "1" 160185511 "cg09416175"
"34870" 0.773283333333333 0.5597675 0.817310126582279 0.6378 0.92775 0.416142105263158 "1" 160850377 "cg07177437"
"35321" 0.624533333333333 0.4355225 0.812078481012658 0.50422 0.9183 0.316421052631579 "1" 161679921 "cg18884942"
"35378" 0.625166666666667 0.447655 0.822864556962025 0.55438 0.942325 0.297352631578947 "1" 161808327 "cg10064029"
"35393" 0.472316666666667 0.449835 0.835386075949367 0.51986 0.92515 0.404447368421053 "1" 161927947 "cg03391019"
"35727" 0.631883333333333 0.39288 0.900126582278481 0.32476 0.926875 0.354863157894737 "1" 164604806 "cg21270847"
"36354" 0.884583333333333 0.6095125 0.892153164556962 0.6757 0.961325 0.469657894736842 "1" 167883298 "cg26859666"
"36448" 0.861933333333333 0.5392725 0.897901265822785 0.62138 0.9627 0.366252631578947 "1" 168215442 "cg04722610"
"36719" 0.157066666666667 0.315135 0.808920253164557 0.42256 0.925875 0.274826315789474 "1" 170253944 "cg04909854"
"37263" 0.411483333333333 0.432075 0.891308860759494 0.48378 0.9420375 0.399078947368421 "1" 174417175 "cg07828612"
"37264" 0.60025 0.41903 0.90645 0.49758 0.9493125 0.298578947368421 "1" 174417375 "cg00335361"
"37643" 0.862216666666667 0.5816975 0.811250632911392 0.58212 0.9236 0.4839 "1" 178420683 "cg06537019"
"37674" 0.19765 0.44865 0.858241772151899 0.59562 0.9542625 0.403610526315789 "1" 178508868 "cg08660555"
"37740" 0.865366666666667 0.5765275 0.858986075949367 0.61086 0.9041125 0.452463157894737 "1" 178992788 "cg03393754"
"37978" 0.806783333333333 0.40693 0.848791139240506 0.48896 0.9148875 0.203957894736842 "1" 179891204 "cg03516705"
"38211" 0.625566666666667 0.56807 0.859603797468354 0.63818 0.9218875 0.486805263157895 "1" 181001877 "cg09474092"
"38489" 0.87105 0.51301 0.874581012658228 0.5462 0.915125 0.368842105263158 "1" 182642748 "cg17124700"
"38754" 0.59555 0.27874 0.811873417721519 0.25692 0.922575 0.194231578947368 "1" 183952796 "cg12136256"
"38850" 0.736166666666667 0.5099975 0.869410256410256 0.50192 0.9539125 0.454131578947368 "1" 184544165 "cg03539970"
"39342" 0.81465 0.4667825 0.858122784810127 0.4496 0.942925 0.385452631578947 "1" 193150499 "cg16712103"
"39683" 0.777066666666667 0.563085 0.881350632911392 0.68718 0.940925 0.398584210526316 "1" 198828005 "cg22821358"
"39684" 0.788383333333333 0.4995625 0.907562025316456 0.62054 0.9392 0.314752631578947 "1" 198828060 "cg01092932"
"39709" 0.7784 0.471225 0.838294936708861 0.56118 0.90915 0.289794736842105 "1" 199052402 "cg19938167"
"39839" 0.753616666666667 0.60397 0.829303797468354 0.66768 0.914525 0.496636842105263 "1" 200371248 "cg15617883"
"40209" 0.843166666666667 0.587185 0.837867088607595 0.64824 0.945825 0.448121052631579 "1" 201531514 "cg08029299"
"40261" 0.854166666666667 0.49301 0.915373417721519 0.55746 0.9613625 0.331257894736842 "1" 201700486 "cg04277574"
"40295" 0.330566666666667 0.359675 0.825407594936709 0.36994 0.9103 0.359136842105263 "1" 201794425 "cg09795973"
"40436" 0.787083333333333 0.43707 0.851673417721519 0.47358 0.9294375 0.285889473684211 "1" 202092285 "cg02751839"
"40566" 0.540783333333333 0.4230425 0.813048101265823 0.48732 0.9341 0.3205 "1" 202537837 "cg12581598"
"40680" 0.762616666666667 0.5778225 0.874845569620253 0.65586 0.9191625 0.459610526315789 "1" 202894148 "cg24431602"
"41081" 0.816633333333333 0.6107575 0.826092405063291 0.68934 0.9706 0.486505263157895 "1" 203768441 "cg04498511"
"41099" 0.80715 0.495035 0.822721518987342 0.4668 0.9418375 0.412657894736842 "1" 203840145 "cg24721789"
"41252" 0.867266666666667 0.4538125 0.86796582278481 0.48432 0.933725 0.278215789473684 "1" 204339486 "cg18316735"
"41301" 0.880966666666667 0.5435275 0.855493670886076 0.58402 0.9654125 0.3983 "1" 204446308 "cg23958533"
"41309" 0.8469 0.6125425 0.839374683544304 0.68072 0.937875 0.4834 "1" 204460191 "cg11254726"
"41330" 0.315366666666667 0.420095 0.809740506329114 0.54772 0.9523375 0.353957894736842 "1" 204518670 "cg17158762"
"41407" 0.894583333333333 0.6096575 0.884516455696203 0.69934 0.9173 0.446868421052632 "1" 204912819 "cg14168295"
"41446" 0.4219 0.4926875 0.95270641025641 0.67378 0.946375 0.363478947368421 "1" 204985932 "cg18861810"
"41450" 0.16425 0.36839 0.81676582278481 0.52462 0.9336 0.306163157894737 "1" 205011227 "cg19917714"
"41461" 0.56855 0.5805 0.854815189873418 0.66996 0.926575 0.497226315789474 "1" 205025861 "cg11251293"
"41471" 0.305066666666667 0.4782275 0.900486075949367 0.7087 0.973025 0.355026315789474 "1" 205039083 "cg15460899"
"41473" 0.510183333333333 0.478075 0.841006329113924 0.59882 0.9272125 0.371221052631579 "1" 205042927 "cg02914063"
"41492" 0.856 0.6156025 0.895656962025316 0.66338 0.9495125 0.491726315789474 "1" 205114634 "cg15542880"
"41715" 0.886433333333333 0.55435 0.920379746835443 0.6694 0.9733 0.355331578947368 "1" 205585639 "cg04105597"
"41844" 0.86565 0.43434 0.845512658227848 0.493 0.9397 0.245410526315789 "1" 205897809 "cg05749351"
"42339" 0.479083333333333 0.47607 0.852254430379747 0.44136 0.962225 0.499621052631579 "1" 207992548 "cg22714290"
"42472" 0.819016666666667 0.573235 0.821216455696202 0.62984 0.9284875 0.473247368421053 "1" 208891263 "cg11839579"
"42798" 0.84275 0.55606 0.831606329113924 0.61496 0.93365 0.412810526315789 "1" 210655903 "cg21147040"
"42923" 0.625016666666667 0.53088 0.821337974683544 0.61282 0.9408875 0.448957894736842 "1" 211667297 "cg02131465"
"42995" 0.662983333333333 0.5871225 0.826225316455696 0.67284 0.905325 0.475547368421053 "1" 211999985 "cg05959111"
"42996" 0.328933333333333 0.38641 0.802845569620253 0.45808 0.95555 0.344547368421053 "1" 212002499 "cg01168776"
"43022" 0.83695 0.5916475 0.864469230769231 0.67424 0.9620375 0.444968421052632 "1" 212202711 "cg12692682"
"43047" 0.7768 0.4564475 0.831611392405063 0.41932 0.9439 0.3929 "1" 212261297 "cg02900760"
"43355" 0.0955 0.3765725 0.897773417721519 0.33394 0.9512 0.486147368421053 "1" 213562740 "cg12334079"
"43580" 0.235066666666667 0.4158875 0.841360759493671 0.42014 0.908925 0.466394736842105 "1" 214834360 "cg22041712"
"43649" 0.5204 0.393245 0.814101265822785 0.51002 0.9001625 0.260836842105263 "1" 215773070 "cg19910763"
"44023" 0.8836 0.54166 0.930456962025316 0.63216 0.9640875 0.367610526315789 "1" 220271059 "cg19707004"
"44240" 0.644733333333333 0.50174 0.846413924050633 0.53824 0.916175 0.434694736842105 "1" 221213052 "cg03420013"
"44280" 0.824483333333333 0.5378525 0.862905063291139 0.5658 0.9479875 0.421815789473684 "1" 221910211 "cg24870476"
"44283" 0.838533333333333 0.4973975 0.840496202531646 0.55332 0.907175 0.339294736842105 "1" 221912247 "cg21908420"
"44321" 0.8796 0.5120775 0.9018 0.57818 0.9614875 0.341073684210526 "1" 222168745 "cg19375336"
"44627" 0.897166666666667 0.4725975 0.922613924050633 0.545 0.9505375 0.281163157894737 "1" 223968151 "cg07374490"
"44637" 0.793433333333333 0.4316025 0.803811392405063 0.47308 0.905075 0.280178947368421 "1" 224026237 "cg12206317"
"45378" 0.209433333333333 0.2966825 0.825777215189873 0.4396 0.9648 0.194136842105263 "1" 227163427 "cg00786909"
"45379" 0.226566666666667 0.3937875 0.858688607594937 0.49402 0.933 0.318715789473684 "1" 227163700 "cg25974484"
"45396" 0.749466666666667 0.55451 0.838593670886076 0.54014 0.920125 0.494278947368421 "1" 227174076 "cg21157446"
"45401" 0.82465 0.5173125 0.881486075949367 0.57488 0.90505 0.370726315789474 "1" 227182615 "cg14016676"
"46183" 0.1639 0.4196625 0.870473417721519 0.46532 0.9409375 0.461868421052632 "1" 229475308 "cg21582311"
"46375" 0.163866666666667 0.3263125 0.842481012658228 0.32656 0.93735 0.365173684210526 "1" 230272306 "cg26525772"
"46376" 0.165516666666667 0.336365 0.835592405063291 0.35708 0.9643375 0.368768421052632 "1" 230272358 "cg16698674"
"46378" 0.133916666666667 0.3523425 0.830069620253165 0.33874 0.954725 0.428042105263158 "1" 230272611 "cg16246661"
"46379" 0.2101 0.417495 0.814498734177215 0.41274 0.94485 0.486921052631579 "1" 230272656 "cg11795921"
"46559" 0.835683333333333 0.3819725 0.875688607594937 0.433 0.9463375 0.178736842105263 "1" 230992843 "cg15324917"
"46983" 0.677283333333333 0.5556225 0.904740506329114 0.67342 0.9639375 0.431078947368421 "1" 233119362 "cg19318801"
"47112" 0.787766666666667 0.535758974358974 0.885669620253165 0.62902 0.958 0.374988888888889 "1" 234136308 "cg15523980"
"47270" 0.808333333333333 0.4385275 0.843129113924051 0.5631 0.91955 0.218463157894737 "1" 234819745 "cg19087171"
