chr	start	CpG Probe	Cerebellum Average	All brain average	"Average all tissues, not brain"	Prefrontal cortex average	Leukocyte average	White matter average
5	2205990	cg00420911	0.28595	0.4712775	0.890124051	0.56344	0.926925	0.467405263
10	94883021	cg00425843	0.417183333	0.376875	0.817512658	0.47584	0.9501125	0.288747368
3	120115868	cg00445142	0.846516667	0.4944025	0.849301266	0.59314	0.90235	0.302921053
19	11475827	cg00455796	0.7027	0.44473	0.847551899	0.44088	0.9487875	0.383578947
3	180641553	cg00475787	0.832033333	0.5568925	0.859932911	0.67718	0.9390625	0.378731579
22	24041104	cg00489795	0.428783333	0.429205	0.926351899	0.56846	0.9440375	0.314263158
4	892861	cg00497472	0.13615	0.30106	0.85794557	0.4028	0.9064625	0.278373684
7	65610409	cg00497909	0.894133333	0.64327	0.830222785	0.73834	0.9718	0.498710526
7	157690732	cg00501869	0.4909	0.4702525	0.804305063	0.67444	0.9278875	0.305315789
21	17961829	cg00543364	0.398383333	0.418375	0.852037975	0.46574	0.9493	0.392794737
17	78725201	cg00549398	0.78105	0.4418675	0.806692405	0.51452	0.9171875	0.280457895
4	10113794	cg00598021	0.863033333	0.51656	0.838573418	0.54656	0.9005875	0.3774
3	45293922	cg00615941	0.92345	0.59694	0.879801266	0.63294	0.936225	0.474236842
16	71088536	cg00618596	0.729683333	0.5098225	0.810024051	0.51438	0.9503625	0.414578947
12	12673150	cg00637826	0.827016667	0.45132	0.841429114	0.47954	0.9124	0.298578947
9	131156065	cg00654637	0.5447	0.4379	0.837924051	0.51652	0.9411625	0.321226316
16	89104756	cg00655094	0.13095	0.2285175	0.842053165	0.30504	0.924975	0.203605263
5	15927184	cg00664723	0.835133333	0.541925	0.837856962	0.4798	0.9219375	0.493636842
13	113698994	cg00675891	0.138483333	0.1964275	0.834977215	0.24628	0.9559125	0.171426316
15	66858212	cg00686404	0.5889	0.4845725	0.826717722	0.53482	0.9648	0.415347368
16	4684507	cg00693240	0.38665	0.3942675	0.863835443	0.52688	0.9594375	0.295263158
18	74692116	cg00706570	0.86225	0.3661575	0.862722785	0.44314	0.9423	0.146326316
14	77571003	cg00707881	0.488033333	0.50576	0.860005063	0.57702	0.96305	0.432731579
17	71345538	cg00711291	0.7768	0.3651525	0.822211392	0.39444	0.9106875	0.195457895
16	88443063	cg00712935	0.655116667	0.4365575	0.863121519	0.43774	0.9315125	0.363636842
19	35719621	cg00716309	0.741216667	0.4619325	0.884878481	0.55418	0.9243125	0.305226316
8	26493115	cg00718883	0.483316667	0.2999325	0.841778481	0.34298	0.96765	0.213584211
18	77083734	cg00723137	0.6418	0.4729425	0.920394937	0.61432	0.9552	0.310457895
10	123353465	cg00730832	0.649033333	0.5439975	0.84663038	0.58924	0.9580375	0.477773684
6	18458468	cg00731304	0.87715	0.4850075	0.842978481	0.52084	0.96285	0.335215789
18	74732603	cg00735329	0.778783333	0.4576025	0.864722785	0.52478	0.916125	0.302910526
2	23879137	cg00746446	0.286583333	0.3028925	0.878379747	0.36676	0.9538125	0.260921053
6	1664673	cg00750225	0.865633333	0.44245	0.913783544	0.48208	0.971175	0.267936842
17	17747898	cg00757262	0.182966667	0.39004	0.830111392	0.52254	0.913775	0.340978947
7	5254009	cg00761242	0.757116667	0.4622225	0.8786	0.48922	0.940875	0.374431579
3	69230212	cg00771346	0.834733333	0.5529625	0.882193671	0.5963	0.915325	0.422531579
1	227163427	cg00786909	0.209433333	0.2966825	0.825777215	0.4396	0.9648	0.194136842
16	9855960	cg00792185	0.319133333	0.4278125	0.834913924	0.4769	0.9103875	0.422905263
7	6867074	cg00795616	0.51585	0.47773	0.811420253	0.57722	0.9286875	0.385089474
3	13083974	cg00804179	0.17695	0.2394775	0.899206329	0.33574	0.9629	0.181457895
12	123333205	cg00805577	0.594666667	0.4132525	0.906968354	0.50766	0.9173625	0.268742105
16	521912	cg00806214	0.381516667	0.3716975	0.866848101	0.44508	0.9307375	0.298278947
13	80584487	cg00812096	0.715833333	0.41658	0.805012658	0.38626	0.905625	0.339068421
7	28205577	cg00815644	0.84415	0.5644525	0.832216456	0.63672	0.903525	0.424278947
2	236944951	cg00834223	0.519133333	0.4206925	0.83323038	0.55496	0.9206625	0.286126316
18	74692235	cg00839132	0.839233333	0.44295	0.874272152	0.46442	0.9480375	0.292468421
16	89603817	cg00855299	0.832533333	0.49019	0.932351899	0.6324	0.9332625	0.266531579
7	23243417	cg00872256	0.79365	0.51981	0.84266962	0.59558	0.941325	0.364142105
1	45096728	cg00876376	0.894	0.5373275	0.906074684	0.63114	0.978475	0.348926316
3	153838126	cg00880562	0.453333333	0.4976725	0.825926582	0.53354	0.91295	0.493542105
13	44729868	cg00886387	0.614616667	0.45482	0.801544304	0.4391	0.934	0.404073684
10	21810105	cg00889599	0.4938	0.4014175	0.8181	0.46232	0.93835	0.350552632
20	30158833	cg00890916	0.682083333	0.428905	0.821078481	0.47772	0.9614375	0.297057895
16	75300795	cg00898447	0.474983333	0.371735	0.868602532	0.40472	0.9479375	0.307994737
16	50897271	cg00900231	0.326716667	0.275405	0.955350633	0.43444	0.9528875	0.132542105
17	982154	cg00905220	0.3485	0.42674	0.84835443	0.38224	0.9684625	0.487978947
2	43328657	cg00909401	0.821666667	0.44201	0.854968354	0.49046	0.9222125	0.268226316
14	97129452	cg00921160	0.2856	0.316905	0.872067089	0.37546	0.9494375	0.275689474
16	67918030	cg00925722	0.509	0.49187	0.866944304	0.47642	0.9500375	0.491405263
16	67946188	cg00925950	0.75745	0.54429	0.86648481	0.6176	0.9286125	0.4035
15	101514299	cg00927594	0.705083333	0.3740275	0.832212658	0.30986	0.9045	0.308036842
7	28319589	cg00927666	0.841833333	0.548315	0.843378481	0.58344	0.9514375	0.445789474
16	81929358	cg00940248	0.732016667	0.40074	0.890434177	0.4062	0.9615	0.291457895
17	11953402	cg00947023	0.758166667	0.5369025	0.836039241	0.59318	0.912675	0.426568421
10	653567	cg00950947	0.798183333	0.5086625	0.85663038	0.59742	0.90545	0.343057895
8	141537134	cg00952642	0.826866667	0.54397	0.871731646	0.58444	0.9275125	0.420315789
8	141577413	cg00953443	0.276716667	0.4132125	0.898426582	0.48042	0.957675	0.404094737
22	32021249	cg00958311	0.166133333	0.3724475	0.84978481	0.40594	0.90385	0.416036842
14	105965156	cg00973115	0.622233333	0.5152925	0.842011392	0.57664	0.9404375	0.419131579
17	13994507	cg00977293	0.851383333	0.5638	0.906594937	0.6398	0.9639	0.432373684
7	139409421	cg00977978	0.8307	0.5399825	0.850020253	0.60034	0.9609	0.401342105
18	32817327	cg00985960	0.768966667	0.52352	0.816944304	0.65416	0.9213	0.332442105
5	156695551	cg00986320	0.597416667	0.51461	0.913855696	0.50522	0.9656625	0.488052632
13	45676585	cg00995893	0.530633333	0.341025	0.8607	0.38836	0.964975	0.225110526
5	82969530	cg01045835	0.66045	0.4178275	0.804243038	0.47464	0.9424875	0.294321053
14	95601239	cg01049870	0.816283333	0.5142875	0.863053165	0.59186	0.9302375	0.359994737
19	8001477	cg01064903	0.804066667	0.556235	0.861732911	0.54514	0.9643125	0.477726316
1	3277623	cg01071314	0.865866667	0.451495	0.920932911	0.4989	0.9397375	0.285915789
10	45481854	cg01072936	0.854966667	0.461685	0.901049367	0.53512	0.9663125	0.274563158
18	9912834	cg01075918	0.843883333	0.445805	0.904724051	0.41778	0.9610875	0.364894737
6	125341187	cg01080927	0.447666667	0.4223175	0.869683544	0.471	0.968125	0.369852632
3	15676638	cg01087463	0.847683333	0.41998	0.861626582	0.39878	0.967875	0.288026316
1	198828060	cg01092932	0.788383333	0.4995625	0.907562025	0.62054	0.9392	0.314752632
10	70362422	cg01093854	0.110066667	0.2593375	0.81858481	0.31924	0.968525	0.263347368
7	2742274	cg01098939	0.7157	0.4506475	0.883526582	0.52692	0.9549625	0.297452632
3	69925279	cg01113900	0.831466667	0.551965	0.860037975	0.56412	0.9269875	0.452673684
8	141535901	cg01136606	0.783233333	0.52088	0.923982278	0.60004	0.94765	0.369210526
3	125775696	cg01145653	0.312533333	0.4480025	0.850334177	0.58372	0.929225	0.388610526
22	46455670	cg01146928	0.172216667	0.39904	0.852016456	0.50056	0.950925	0.374194737
5	138211184	cg01156295	0.18945	0.2463675	0.825270886	0.29148	0.9112	0.217663158
16	69832831	cg01158469	0.675083333	0.5147875	0.850451899	0.59184	0.9388375	0.402721053
1	212002499	cg01168776	0.328933333	0.38641	0.80284557	0.45808	0.95555	0.344547368
4	83717639	cg01171706	0.838033333	0.42894	0.897532911	0.45808	0.94865	0.268989474
4	183601697	cg01182076	0.763816667	0.4415225	0.809522785	0.41818	0.9196375	0.352205263
14	103433908	cg01198184	0.8775	0.503255	0.920083544	0.57966	0.95625	0.320663158
7	29526309	cg01208787	0.7144	0.5434675	0.906279747	0.62342	0.9198	0.414394737
7	5937486	cg01218414	0.785833333	0.5367375	0.85233038	0.59848	0.932275	0.393578947
1	33937433	cg01219205	0.7972	0.4800425	0.82964557	0.56804	0.9114	0.308505263
17	61214305	cg01222298	0.808866667	0.5362775	0.865987342	0.63134	0.922575	0.380136842
8	130641185	cg01231009	0.324016667	0.342175	0.856502532	0.46952	0.9007375	0.2417
7	101849473	cg01234984	0.508066667	0.3676625	0.844670886	0.42566	0.9199875	0.279326316
15	92667819	cg01240823	0.735916667	0.352225	0.876750633	0.37002	0.9555875	0.211936842
16	89623374	cg01279418	0.825816667	0.476765	0.877006329	0.53398	0.9098625	0.290842105
17	56607190	cg01287505	0.117633333	0.3507875	0.848539241	0.49048	0.9185375	0.311389474
18	24445240	cg01292175	0.640966667	0.4454275	0.811522785	0.48496	0.9120125	0.350184211
3	174926334	cg01295999	0.286633333	0.416965	0.818246835	0.5895	0.9083625	0.313063158
4	80886143	cg01307684	0.572666667	0.497205	0.847951899	0.48078	0.961075	0.497736842
2	54292798	cg01312167	0.2006	0.4132175	0.858840506	0.5232	0.9638625	0.406694737
8	144552786	cg01312546	0.198133333	0.36453	0.800729114	0.4554	0.9192125	0.334910526
1	12566060	cg01318461	0.5692	0.3346925	0.878307595	0.42738	0.9453875	0.179447368
3	178780279	cg01334232	0.90955	0.5743675	0.914732911	0.56852	0.9552125	0.473921053
15	102033014	cg01359165	0.7981	0.45445	0.856065823	0.5308	0.9169	0.267826316
7	76181996	cg01396998	0.851833333	0.58985	0.8713	0.66808	0.90415	0.443421053
1	14113172	cg01411652	0.153083333	0.3533975	0.891548101	0.47776	0.96485	0.328042105
1	243349667	cg01413368	0.873683333	0.58772	0.909950633	0.68972	0.952575	0.418726316
15	72406367	cg01417594	0.774983333	0.558995	0.834725316	0.58356	0.9332375	0.469352632
2	173098736	cg01418539	0.845166667	0.5723525	0.872331646	0.57238	0.932375	0.491694737
1	9383245	cg01437439	0.765883333	0.41524	0.81171519	0.43668	0.9068875	0.279210526
17	40120250	cg01443071	0.884916667	0.5227525	0.937393671	0.50018	0.9591875	0.418947368
2	175661561	cg01454638	0.85135	0.4871075	0.855868354	0.49738	0.9388	0.356142105
2	99223011	cg01454947	0.732766667	0.5278375	0.873918987	0.57106	0.9561125	0.431021053
3	123286992	cg01456030	0.84875	0.4691825	0.894281013	0.5484	0.9593625	0.284810526
7	5937433	cg01500733	0.801383333	0.58615	0.858913924	0.59966	0.926475	0.494089474
8	26209773	cg01516737	0.890716667	0.517015	0.86866962	0.58494	0.95415	0.336952632
7	129283500	cg01540911	0.771266667	0.4734125	0.861887342	0.47094	0.955075	0.378415789
3	57934672	cg01571842	0.756583333	0.4105875	0.801548101	0.4542	0.9273875	0.262568421
14	73926538	cg01582648	0.350916667	0.2917775	0.804082278	0.32372	0.917975	0.243105263
22	38379506	cg01586506	0.801566667	0.3994025	0.888153165	0.38106	0.9702375	0.284131579
12	125500634	cg01589353	0.761416667	0.31413	0.916636709	0.32544	0.94055	0.157947368
6	16295454	cg01590342	0.873616667	0.606875	0.888105063	0.69234	0.9505375	0.449210526
1	3277525	cg01602345	0.785133333	0.433315	0.904567089	0.48026	0.9207125	0.277984211
12	83176430	cg01602666	0.801766667	0.5305575	0.848744304	0.63088	0.9316375	0.341094737
2	218612384	cg01603549	0.8846	0.54209	0.923283544	0.58478	0.9680125	0.399363158
2	236867836	cg01604994	0.796666667	0.45182	0.859721519	0.5084	0.9285625	0.298594737
5	177656852	cg01606973	0.69675	0.401355	0.882612658	0.43664	0.9506875	0.287889474
14	102510281	cg01640443	0.376666667	0.4194875	0.822462025	0.3918	0.9286125	0.456321053
12	105626788	cg01650245	0.290316667	0.2651525	0.842870886	0.37582	0.927825	0.156584211
2	134357740	cg01663008	0.155616667	0.3072575	0.848526582	0.47514	0.9264125	0.223447368
14	31923667	cg01663052	0.769483333	0.5209475	0.813691139	0.64746	0.9515	0.360073684
20	33111318	cg01670714	0.499933333	0.3414125	0.828455696	0.40458	0.9162125	0.230742105
3	13083892	cg01678313	0.438133333	0.374525	0.827360759	0.41374	0.9153625	0.318052632
16	84941038	cg01709589	0.836983333	0.44514	0.851286076	0.50852	0.937	0.275721053
1	244806334	cg01714087	0.78785	0.5728275	0.836307595	0.6068	0.9436375	0.481636842
4	3531945	cg01753966	0.300133333	0.39297	0.888972152	0.52286	0.932425	0.327478947
4	120419485	cg01778622	0.7966	0.4753725	0.85721519	0.51928	0.9146125	0.337026316
16	70759095	cg01778908	0.838816667	0.5055875	0.829379747	0.51808	0.942975	0.390242105
5	160279389	cg01779806	0.8368	0.4870275	0.871563291	0.57706	0.9395125	0.300147368
16	85317807	cg01782247	0.38605	0.52369	0.909737975	0.75094	0.957775	0.385321053
7	6442531	cg01784548	0.85005	0.44625	0.897586076	0.51934	0.954525	0.271463158
3	169041586	cg01787382	0.734433333	0.450355	0.800036709	0.55878	0.9341	0.257984211
8	7213526	cg01790577	0.7377	0.4870275	0.849435443	0.53572	0.9243375	0.358126316
12	117407970	cg01807313	0.17115	0.408965	0.819093671	0.53718	0.9517	0.381868421
5	52858131	cg01820007	0.608916667	0.5242375	0.825955696	0.5806	0.9425125	0.450915789
11	61525711	cg01825921	0.886366667	0.61975	0.912173418	0.6807	0.9124375	0.485984211
12	41902309	cg01826056	0.207216667	0.39507	0.817651899	0.42506	0.93	0.437631579
13	113411110	cg01830726	0.629583333	0.531365	0.888282278	0.59538	0.9329125	0.424531579
5	178014589	cg01831657	0.817483333	0.563745	0.833488608	0.58264	0.901775	0.455321053
6	64515007	cg01860271	0.8194	0.5829575	0.819641772	0.67376	0.93095	0.440521053
11	127547963	cg01861019	0.789766667	0.48608	0.823687342	0.52038	0.91785	0.354768421
15	101887154	cg01870976	0.851383333	0.494455	0.878549367	0.5225	0.947375	0.369968421
7	94928192	cg01879893	0.850333333	0.5528575	0.86263038	0.6721	0.9110125	0.367852632
17	14683649	cg01906054	0.306966667	0.314205	0.8797	0.39348	0.9599375	0.250726316
14	78428407	cg01910330	0.8169	0.5962325	0.815782278	0.63022	0.92235	0.493257895
6	159186810	cg01923429	0.489866667	0.4812775	0.91106962	0.51996	0.9639875	0.448789474
11	117603285	cg01923891	0.886966667	0.6038425	0.90358481	0.6416	0.9626875	0.4814
4	154218350	cg01942226	0.845983333	0.5276925	0.805872152	0.6128	0.965	0.362736842
11	84028562	cg01966922	0.793083333	0.374975	0.841693671	0.37202	0.942875	0.2511
1	2006896	cg01970427	0.269483333	0.3112475	0.893522785	0.37032	0.9433	0.2681
3	40301346	cg01982170	0.82835	0.5166	0.860617722	0.60518	0.9205125	0.349826316
1	244217562	cg01983216	0.1055	0.227535	0.889003797	0.30378	0.9473375	0.204931579
10	102766386	cg02009103	0.288533333	0.43812	0.940412658	0.60884	0.97115	0.377010526
11	70256681	cg02011981	0.814233333	0.4874875	0.899336709	0.60652	0.951125	0.285494737
22	20937702	cg02015800	0.372166667	0.38724	0.886393671	0.4963	0.9645875	0.300289474
16	4511773	cg02016985	0.648483333	0.4224775	0.878894937	0.5216	0.934025	0.271489474
14	55259162	cg02035733	0.813516667	0.573715	0.849005063	0.59272	0.9645125	0.491847368
3	122741233	cg02041593	0.881133333	0.5481775	0.911712658	0.6381	0.970375	0.379568421
6	119220428	cg02053092	0.79185	0.4604175	0.866074684	0.486	0.930925	0.320768421
13	113464357	cg02067585	0.951933333	0.68518	0.942018987	0.82072	0.9573125	0.491173684
5	71478626	cg02073775	0.595583333	0.477255	0.877029114	0.51298	0.9510375	0.418531579
6	169104434	cg02083080	0.17345	0.3393975	0.821341772	0.4439	0.9227625	0.310810526
11	104654124	cg02083707	0.875666667	0.484605	0.905182278	0.56264	0.95245	0.298989474
4	113333269	cg02090418	0.44945	0.35714	0.855425316	0.52454	0.9397375	0.202915789
3	11501365	cg02093918	0.778933333	0.393715	0.811117722	0.58774	0.916	0.118605263
1	211667297	cg02131465	0.625016667	0.53088	0.821337975	0.61282	0.9408875	0.448957895
2	236867685	cg02139853	0.877866667	0.6284425	0.878306329	0.73436	0.90345	0.458947368
8	11213424	cg02178032	0.6304	0.5751475	0.870978481	0.67054	0.9662375	0.490063158
18	46447797	cg02184281	0.187333333	0.3486775	0.814088608	0.49184	0.935275	0.292478947
16	75269222	cg02184918	0.276783333	0.35112	0.826292405	0.41856	0.9497	0.324152632
8	9952926	cg02192555	0.19775	0.286955	0.938617722	0.40806	0.9461125	0.220231579
6	114376759	cg02201066	0.336183333	0.4748125	0.881507595	0.62404	0.9614	0.388263158
17	76672617	cg02222066	0.271833333	0.49124	0.895241772	0.66292	0.9710625	0.411268421
15	26147435	cg02242989	0.830516667	0.5113125	0.849998734	0.4828	0.9010375	0.442426316
11	120938859	cg02243207	0.867516667	0.5846075	0.898497468	0.64092	0.94675	0.444331579
5	149673232	cg02260430	0.461116667	0.402315	0.823116456	0.40662	0.9458125	0.377184211
20	42194649	cg02267756	0.5695	0.3881675	0.888253165	0.5016	0.934525	0.227626316
10	65351566	cg02276361	0.35825	0.405075	0.807387342	0.49464	0.9172875	0.332236842
5	65114084	cg02284297	0.87035	0.38554	0.882021519	0.4661	0.941125	0.154031579
2	32238316	cg02284939	0.79105	0.586755	0.858460759	0.64512	0.9495125	0.4428
13	26584279	cg02286270	0.29005	0.5010125	0.853143038	0.63572	0.932625	0.450463158
15	86302971	cg02311794	0.809166667	0.5001825	0.810920253	0.47532	0.941	0.411757895
16	87384599	cg02312706	0.146633333	0.2633025	0.808951899	0.31824	0.9368625	0.253910526
17	40163229	cg02314782	0.763933333	0.4202325	0.834797468	0.48718	0.904925	0.247563158
12	26195988	cg02320784	0.743783333	0.3417125	0.80234557	0.43278	0.9201625	0.158052632
15	81474451	cg02326224	0.878883333	0.428225	0.821494937	0.47062	0.9401625	0.242357895
4	101972762	cg02327001	0.735816667	0.39569	0.883617722	0.485	0.93955	0.205063158
15	50557917	cg02329886	0.422816667	0.37092	0.885748101	0.36832	0.9407125	0.352468421
19	30938840	cg02340223	0.3098	0.516525	0.861008861	0.63626	0.9322125	0.484268421
15	100804162	cg02345247	0.888566667	0.5372025	0.908088608	0.55052	0.959575	0.429263158
13	113698606	cg02347312	0.606083333	0.36243	0.832534177	0.36214	0.9003875	0.274894737
3	40334504	cg02350226	0.662633333	0.5555875	0.86094557	0.67904	0.964375	0.408731579
1	33848786	cg02362848	0.304016667	0.3817575	0.859162025	0.52518	0.937125	0.292757895
5	71537334	cg02377021	0.83795	0.469085	0.907011392	0.56284	0.96085	0.274721053
5	132861322	cg02378360	0.80065	0.5196425	0.827694937	0.52154	0.9573125	0.433368421
19	18455508	cg02383626	0.671266667	0.48263	0.85961519	0.52184	0.9602125	0.400647368
16	19883969	cg02384338	0.724033333	0.49031	0.957363291	0.55388	0.9370875	0.361163158
19	58842213	cg02400474	0.809866667	0.587895	0.880358228	0.65404	0.9687625	0.456515789
12	24168193	cg02402843	0.751516667	0.4126275	0.897265823	0.4485	0.921725	0.273973684
10	685448	cg02410304	0.3245	0.50701	0.895626582	0.62148	0.9494125	0.473436842
17	48258561	cg02411088	0.8878	0.47379	0.884501266	0.5415	0.9460875	0.287205263
20	4668134	cg02413285	0.1256	0.305545	0.860749367	0.29074	0.971125	0.373678947
15	64404647	cg02423014	0.74455	0.3705325	0.822959494	0.45732	0.9284375	0.183215789
5	53483018	cg02437766	0.210783333	0.4712375	0.802310127	0.61854	0.94905	0.4247
6	29627395	cg02450267	0.9016	0.5241025	0.885232911	0.62056	0.9624875	0.3359
16	31203793	cg02459866	0.858833333	0.61399	0.89741519	0.6462	0.9580875	0.497615789
10	3313279	cg02464979	0.682933333	0.436605	0.930472152	0.4202	0.9205375	0.372447368
10	70515244	cg02473439	0.84605	0.493235	0.866573418	0.57248	0.9532	0.323989474
3	179263203	cg02500075	0.8402	0.5382	0.83555443	0.59438	0.9092	0.401815789
8	8168661	cg02520399	0.865566667	0.523395	0.821408861	0.62082	0.923375	0.342742105
1	243651750	cg02528319	0.828066667	0.5639475	0.898177215	0.58314	0.953125	0.467268421
5	2112561	cg02534659	0.110233333	0.2181175	0.822734177	0.2716	0.9383625	0.205715789
15	68889832	cg02562579	0.1866	0.4115175	0.819567089	0.54918	0.9004375	0.3659
5	2206205	cg02563165	0.6391	0.551785	0.887187342	0.6257	0.9007375	0.457863158
3	114130829	cg02564299	0.838933333	0.5731425	0.807434177	0.57778	0.9400625	0.489926316
8	10878898	cg02569740	0.8608	0.5959625	0.843463291	0.6174	0.9058375	0.497521053
2	100481106	cg02571054	0.835383333	0.4954875	0.87296962	0.58946	0.940475	0.308110526
3	57755895	cg02578535	0.88615	0.513855	0.898086076	0.51554	0.973075	0.391884211
6	29627167	cg02589899	0.8935	0.510365	0.944858228	0.58946	0.9486125	0.325805263
13	25740027	cg02592525	0.151533333	0.226245	0.874755696	0.3681	0.954075	0.121194737
7	45126148	cg02598756	0.3824	0.4068675	0.905393671	0.50892	0.94635	0.317657895
16	1015103	cg02612270	0.870416667	0.4666325	0.881741772	0.47438	0.928075	0.322889474
3	43775598	cg02613034	0.837416667	0.5373175	0.801236709	0.57574	0.937175	0.411542105
16	72460083	cg02619656	0.148033333	0.338225	0.946182278	0.41828	0.977225	0.328189474
5	156883553	cg02627405	0.816833333	0.444375	0.881522785	0.51086	0.9593875	0.259342105
3	183382726	cg02628016	0.73165	0.50103	0.865825316	0.61548	0.9599625	0.341968421
7	672108	cg02635482	0.6807	0.57281	0.954844304	0.65372	0.9633625	0.471531579
17	79952861	cg02647835	0.831483333	0.4370375	0.900624051	0.4646	0.95145	0.282931579
3	12201096	cg02647998	0.87545	0.5040025	0.920649367	0.50122	0.96035	0.382726316
17	57228618	cg02656609	0.373983333	0.4881925	0.829663291	0.54428	0.912025	0.453994737
16	88442535	cg02656871	0.786166667	0.3911725	0.801163291	0.48658	0.9538125	0.189663158
7	537828	cg02664177	0.852366667	0.53098	0.882001266	0.6431	0.924525	0.334952632
11	45109122	cg02674693	0.842166667	0.36484	0.856927848	0.39402	0.9345375	0.202294737
10	134527606	cg02676262	0.6473	0.3693975	0.838118987	0.37152	0.9281125	0.258694737
13	113698408	cg02676602	0.59245	0.363575	0.877255696	0.36422	0.962625	0.289747368
3	11874932	cg02700360	0.852316667	0.55301	0.831425316	0.50218	0.948975	0.487689474
