chr,start,end,cereb_average,all_brain_average,other_brain_avg,pref_average,leuk_average,white_matter,temporal,X.Sample_geo_accession
chr1,8044581,8044582,0.706216667,0.5834875,0.914698734,0.69884,0.9758,0.468721053,0.67023,cg12446447
chr1,8044991,8044992,0.620533333,0.554785,0.871698734,0.63832,0.913425,0.478452632,0.6186,cg02891048
chr1,8442507,8442508,0.0598,0.1223525,0.895839241,0.21364,0.9488125,0.066594737,0.22018,cg06634717
chr1,8497643,8497644,0.870516667,0.557075,0.897212658,0.60744,0.9387125,0.417294737,0.60941,cg08653904
chr1,9383245,9383246,0.765883333,0.41524,0.81171519,0.43668,0.9068875,0.279210526,0.45259,cg01437439
chr1,10116780,10116781,0.71655,0.519225,0.846194937,0.61234,0.916075,0.370605263,0.63665,cg02927058
chr1,10169029,10169030,0.477,0.39322,0.802637975,0.39814,0.96015,0.369126316,0.38627,cg10125465
chr1,10221203,10221204,0.1485,0.334838462,0.858411392,0.46286,0.9673875,0.280188889,0.481,cg07209987
chr1,10240017,10240018,0.218783333,0.251635,0.897618987,0.40894,0.9024625,0.128626316,0.42641,cg27508545
chr1,10240025,10240026,0.191066667,0.2806675,0.926859494,0.41658,0.966375,0.206205263,0.40795,cg23661000
chr1,10781431,10781432,0.832266667,0.585015,0.841834177,0.6272,0.9044875,0.470163158,0.63379,cg20141509
chr1,10788801,10788802,0.823,0.5028725,0.820835443,0.47606,0.9360625,0.405442105,0.50932,cg10234511
chr1,11158987,11158988,0.4476,0.391855,0.806974684,0.39958,0.9468625,0.370789474,0.39457,cg13558322
chr1,11166889,11166890,0.618416667,0.5502625,0.864053165,0.60512,0.95665,0.488405263,0.59947,cg06632603
chr1,11182153,11182154,0.643933333,0.475835,0.847834177,0.54176,0.9363625,0.372494737,0.53836,cg15725046
chr1,11361900,11361901,0.87855,0.45269,0.812678481,0.48044,0.9433375,0.286715789,0.49865,cg08544453
chr1,11795409,11795410,0.886916667,0.51721,0.879717722,0.5895,0.95465,0.349947368,0.57704,cg18327319
chr1,12268883,12268884,0.352183333,0.47873,0.831778481,0.51748,0.9383375,0.498268421,0.49816,cg11665613
chr1,12566060,12566061,0.5692,0.3346925,0.878307595,0.42738,0.9453875,0.179447368,0.44261,cg01318461
chr1,14078744,14078745,0.872216667,0.4705575,0.876087342,0.51346,0.9614,0.316478947,0.50086,cg21288507
chr1,14113172,14113173,0.153083333,0.3533975,0.891548101,0.47776,0.96485,0.328042105,0.45958,cg01411652
chr1,14113203,14113204,0.175933333,0.4047025,0.902843038,0.53036,0.9707125,0.382368421,0.52157,cg15568145
chr1,14113230,14113231,0.208866667,0.4027925,0.913239241,0.5105,0.9499875,0.374210526,0.5196,cg16273075
chr1,14134260,14134261,0.88575,0.549985,0.883417722,0.55526,0.9288375,0.457947368,0.52076,cg16652739
chr1,16945449,16945450,0.3426,0.456825,0.815943038,0.5241,0.938975,0.431189474,0.54043,cg00021123
chr1,19526929,19526930,0.665466667,0.4143225,0.821522785,0.46898,0.922725,0.297863158,0.45758,cg22601762
chr1,19746564,19746565,0.48795,0.4615975,0.801818987,0.45852,0.9217125,0.442089474,0.48439,cg13319175
chr1,19983475,19983476,0.452333333,0.475365,0.833658228,0.57586,0.91335,0.406463158,0.56985,cg13550729
chr1,22032710,22032711,0.835083333,0.543525,0.907936709,0.53646,0.9485625,0.453721053,0.54275,cg11193274
chr1,23162550,23162551,0.8941,0.4466675,0.9175,0.51244,0.9445875,0.2556,0.50835,cg15447913
chr1,24086220,24086221,0.768483333,0.393615,0.844935443,0.40282,0.93935,0.259526316,0.41886,cg24502901
chr1,25154971,25154972,0.85595,0.5125975,0.856958228,0.59156,0.9138,0.344221053,0.58702,cg11653912
chr1,26040637,26040638,0.817433333,0.5494875,0.869159494,0.54928,0.9343375,0.464952632,0.54944,cg05127636
chr1,26230906,26230907,0.322766667,0.449085,0.855974684,0.51842,0.94305,0.4319,0.52286,cg21216015
chr1,26580624,26580625,0.871583333,0.559345,0.90801519,0.69992,0.9271625,0.363110526,0.67456,cg03940437
chr1,28930190,28930191,0.846666667,0.5202325,0.900478481,0.6088,0.9529625,0.350110526,0.60332,cg27573954
chr1,29490924,29490925,0.757166667,0.3887325,0.822837975,0.48876,0.928425,0.197242105,0.48149,cg12609322
chr1,29555123,29555124,0.830116667,0.58547,0.88336962,0.62438,0.956025,0.481221053,0.6173,cg25341712
chr1,31403193,31403194,0.890283333,0.524495,0.870773418,0.60914,0.967125,0.345652632,0.6025,cg11703759
chr1,32641847,32641848,0.875366667,0.5865425,0.913663291,0.68938,0.9628,0.419036842,0.68009,cg09024089
chr1,33231313,33231314,0.225733333,0.3210125,0.835681013,0.50272,0.945925,0.2147,0.48932,cg09804503
chr1,33231382,33231383,0.140216667,0.25639,0.811270886,0.42672,0.9606125,0.160842105,0.42247,cg04892182
chr1,33818527,33818528,0.746683333,0.569065,0.852637975,0.64192,0.9394125,0.444615789,0.66252,cg06953325
chr1,33848786,33848787,0.304016667,0.3817575,0.859162025,0.52518,0.937125,0.292757895,0.52579,cg02362848
chr1,33894461,33894462,0.690133333,0.457255,0.894946835,0.536,0.963875,0.319889474,0.53915,cg03380518
chr1,33937433,33937434,0.7972,0.4800425,0.82964557,0.56804,0.9114,0.308505263,0.57167,cg01219205
chr1,35543524,35543525,0.575716667,0.42302,0.86921519,0.44462,0.9686375,0.351142105,0.45717,cg19864036
chr1,35649498,35649499,0.8291,0.47826,0.873749367,0.49896,0.9354625,0.355573684,0.49051,cg23207673
chr1,36559506,36559507,0.129533333,0.2152975,0.849673418,0.35034,0.945825,0.116036842,0.38783,cg09506001
chr1,36639894,36639895,0.696616667,0.501805,0.801907595,0.52386,0.9093,0.427836842,0.51443,cg00169111
chr1,38279984,38279985,0.656583333,0.426865,0.815512658,0.46764,0.920725,0.269094737,0.56841,cg04146137
chr1,39960691,39960692,0.89485,0.4888825,0.897105063,0.4897,0.921725,0.377568421,0.45639,cg26548351
chr1,43412752,43412753,0.475833333,0.3364925,0.856593671,0.38588,0.956925,0.230847368,0.42892,cg20294984
chr1,44461890,44461891,0.855433333,0.54349,0.894960759,0.58648,0.9515,0.401726316,0.60418,cg12755814
chr1,44482420,44482421,0.7586,0.388948718,0.890574684,0.43892,0.9616875,0.224611111,0.43798,cg15821401
chr1,44991042,44991043,0.87475,0.45399,0.846341772,0.48866,0.9747,0.284447368,0.50633,cg02892772
chr1,45002564,45002565,0.762933333,0.5728425,0.884306329,0.64648,0.9728,0.457336842,0.64143,cg20284937
chr1,45096700,45096701,0.90155,0.5761525,0.937179747,0.66754,0.97015,0.404647368,0.66108,cg22154992
chr1,45096728,45096729,0.894,0.5373275,0.906074684,0.63114,0.978475,0.348926316,0.63438,cg00876376
chr1,45976998,45976999,0.562,0.3874875,0.86316962,0.49394,0.9147625,0.241394737,0.50713,cg06989253
chr1,46113000,46113001,0.854916667,0.5937975,0.879449367,0.73826,0.9619125,0.388821053,0.75435,cg02853497
chr1,48162438,48162439,0.5015,0.4212725,0.841713924,0.46126,0.9113375,0.376310526,0.43857,cg20428713
chr1,51127561,51127562,0.821216667,0.45911,0.818473418,0.52196,0.9384875,0.287515789,0.53645,cg07174182
chr1,51166032,51166033,0.304133333,0.39255,0.861658228,0.51878,0.941225,0.302315789,0.55393,cg10511332
chr1,51421695,51421696,0.865183333,0.6131175,0.916679747,0.68468,0.9683,0.478294737,0.68226,cg21579982
chr1,51887613,51887614,0.1972,0.38788,0.818996203,0.38336,0.936675,0.458542105,0.37029,cg21366602
chr1,51888574,51888575,0.337683333,0.2915575,0.803046835,0.28334,0.95405,0.292421053,0.26635,cg10027723
chr1,54135470,54135471,0.423466667,0.458855,0.817746835,0.47356,0.9403,0.426915789,0.53342,cg26932889
chr1,54876235,54876236,0.7278,0.570312821,0.90176962,0.60032,0.9725875,0.494833333,0.59668,cg04348273
chr1,55331285,55331286,0.74975,0.4389225,0.85733038,0.5364,0.960075,0.257694737,0.54802,cg09992387
chr1,55331361,55331362,0.67555,0.4505175,0.824750633,0.53738,0.960675,0.301926316,0.55439,cg15894315
chr1,57011246,57011247,0.8807,0.475165,0.839407595,0.53032,0.9530125,0.290184211,0.55573,cg10500503
chr1,59348451,59348452,0.7876,0.45149,0.916591139,0.47576,0.9644375,0.326047368,0.47603,cg07799907
chr1,61333617,61333618,0.207383333,0.3198375,0.855416456,0.37468,0.93965,0.332152632,0.33649,cg07363657
chr1,64668576,64668577,0.877616667,0.5611025,0.896334177,0.66676,0.9457625,0.383984211,0.65489,cg16910238
chr1,65047485,65047486,0.6603,0.3829475,0.820237975,0.46046,0.9095125,0.237642105,0.45386,cg21679730
chr1,65722872,65722873,0.624616667,0.48317,0.919724051,0.55526,0.9773125,0.383847368,0.55097,cg18191867
chr1,66458803,66458804,0.818833333,0.3406525,0.903451899,0.32034,0.963675,0.186042105,0.35766,cg26912671
chr1,67001108,67001109,0.186183333,0.2647675,0.868179747,0.30976,0.9202625,0.253031579,0.31172,cg07956346
chr1,67504848,67504849,0.722416667,0.51124,0.850350633,0.5524,0.925425,0.376973684,0.61906,cg13986884
chr1,74445461,74445462,0.8271,0.590975,0.859473418,0.62282,0.9054875,0.489126316,0.62689,cg16556696
chr1,75469109,75469110,0.873516667,0.520035,0.812435443,0.56524,0.9189125,0.374621053,0.56163,cg19870706
chr1,77836400,77836401,0.361133333,0.3667125,0.806767089,0.52598,0.9218875,0.242673684,0.5261,cg15505642
chr1,78031187,78031188,0.48235,0.450495,0.88251519,0.53924,0.9524375,0.346663158,0.58429,cg22221847
chr1,83289714,83289715,0.655333333,0.477445,0.893126582,0.51256,0.9401375,0.386363158,0.52621,cg23639773
chr1,84763338,84763339,0.824616667,0.5324375,0.817710127,0.58496,0.9481375,0.403189474,0.57644,cg20426713
chr1,84876625,84876626,0.87535,0.575465,0.831851899,0.6128,0.9177,0.437610526,0.63879,cg24868292
chr1,85043256,85043257,0.832483333,0.544345,0.840139241,0.66562,0.917175,0.360536842,0.66006,cg09315465
chr1,85834261,85834262,0.813533333,0.587817949,0.856448101,0.59278,0.936275,0.495466667,0.61614,cg24515368
chr1,86913263,86913264,0.792816667,0.46905,0.850208861,0.5755,0.9343125,0.280321053,0.58015,cg17424433
chr1,90023237,90023238,0.777116667,0.40807,0.895418987,0.36912,0.9617625,0.315173684,0.38262,cg09818397
chr1,90053734,90053735,0.6538,0.4785775,0.901163291,0.60134,0.940875,0.335836842,0.58327,cg21422291
chr1,90297591,90297592,0.794866667,0.3950225,0.90708481,0.4349,0.9481625,0.218794737,0.47001,cg05703211
chr1,90405538,90405539,0.9063,0.5162225,0.898743038,0.60734,0.970275,0.314431579,0.62002,cg09270879
chr1,94860295,94860296,0.880966667,0.58774,0.820681013,0.65906,0.9023625,0.469157895,0.60145,cg08856224
chr1,96948323,96948324,0.7859,0.52349,0.835077215,0.6169,0.931125,0.383247368,0.5858,cg03222176
chr1,97610703,97610704,0.846983333,0.5212325,0.844326582,0.54882,0.9638625,0.376763158,0.58648,cg24682415
chr1,98336448,98336449,0.492916667,0.5483075,0.882332911,0.63868,0.96385,0.499031579,0.62998,cg17752576
chr1,107937181,107937182,0.806916667,0.3704675,0.83484557,0.41826,0.922725,0.19,0.42759,cg24343913
chr1,109260678,109260679,0.7518,0.37972,0.858107595,0.38834,0.9209625,0.255473684,0.38823,cg11413570
chr1,109772439,109772440,0.637916667,0.4398375,0.914810127,0.43094,0.9668625,0.392084211,0.41617,cg00102183
chr1,109811857,109811858,0.6936,0.5805225,0.861320253,0.64408,0.9227625,0.489036842,0.65472,cg26148630
chr1,109850562,109850563,0.178533333,0.3006075,0.811405063,0.41704,0.94105,0.249221053,0.41327,cg00154957
chr1,109937191,109937192,0.823833333,0.51207,0.856003797,0.52016,0.9414875,0.405921053,0.52265,cg22346081
chr1,111145889,111145890,0.202066667,0.2410275,0.867408861,0.29842,0.9337875,0.209563158,0.29549,cg02902915
chr1,116961857,116961858,0.785083333,0.480561538,0.848174684,0.39948,0.91745,0.444127778,0.40397,cg21782985
chr1,117117195,117117196,0.83025,0.6112575,0.847726582,0.64914,0.90835,0.499710526,0.67286,cg17032184
chr1,117671033,117671034,0.836633333,0.441115,0.844018987,0.40504,0.925375,0.3481,0.39857,cg11081093
chr1,119702694,119702695,0.471116667,0.5197225,0.83186962,0.54764,0.9233125,0.4862,0.59862,cg16577665
chr1,145012822,145012823,0.906283333,0.6033775,0.929110127,0.66618,0.970825,0.455005263,0.67214,cg09766379
chr1,149984927,149984928,0.855666667,0.526785,0.889725316,0.54452,0.944275,0.391431579,0.57776,cg11596043
chr1,151267394,151267395,0.826383333,0.463215,0.919839241,0.5185,0.9584125,0.294352632,0.53851,cg07841059
chr1,155148157,155148158,0.190883333,0.371485,0.81168481,0.41676,0.9183625,0.393921053,0.41458,cg06203102
chr1,155853542,155853543,0.82575,0.60841,0.868553165,0.69144,0.93865,0.477194737,0.6858,cg12303247
chr1,156109908,156109909,0.824733333,0.5346825,0.838694937,0.57472,0.928375,0.423552632,0.55178,cg24086565
chr1,156359253,156359254,0.179533333,0.365875,0.872660759,0.48726,0.9162625,0.303873684,0.53479,cg23046847
chr1,156370496,156370497,0.387266667,0.3529,0.844308861,0.45478,0.944925,0.251,0.47495,cg13098071
chr1,156564330,156564331,0.395066667,0.320755,0.914224051,0.36236,0.9724625,0.259589474,0.37158,cg24594293
chr1,158088745,158088746,0.644766667,0.51932,0.863446835,0.60768,0.9469125,0.420815789,0.58703,cg10556999
chr1,159111423,159111424,0.215733333,0.3378175,0.89660641,0.43436,0.9204625,0.324915789,0.38731,cg12798524
chr1,160185511,160185512,0.53905,0.5060775,0.856712658,0.5411,0.935825,0.476773684,0.52446,cg09416175
chr1,160850377,160850378,0.773283333,0.5597675,0.817310127,0.6378,0.92775,0.416142105,0.66553,cg07177437
chr1,161679921,161679922,0.624533333,0.4355225,0.812078481,0.50422,0.9183,0.316421053,0.51406,cg18884942
chr1,161808327,161808328,0.625166667,0.447655,0.822864557,0.55438,0.942325,0.297352632,0.57336,cg10064029
chr1,161927947,161927948,0.472316667,0.449835,0.835386076,0.51986,0.92515,0.404447368,0.48757,cg03391019
chr1,164604806,164604807,0.631883333,0.39288,0.900126582,0.32476,0.926875,0.354863158,0.35577,cg21270847
chr1,167883298,167883299,0.884583333,0.6095125,0.892153165,0.6757,0.961325,0.469657895,0.6771,cg26859666
chr1,168215442,168215443,0.861933333,0.5392725,0.897901266,0.62138,0.9627,0.366252632,0.63336,cg04722610
chr1,170253944,170253945,0.157066667,0.315135,0.808920253,0.42256,0.925875,0.274826316,0.43285,cg04909854
chr1,174417175,174417176,0.411483333,0.432075,0.891308861,0.48378,0.9420375,0.399078947,0.48127,cg07828612
chr1,174417375,174417376,0.60025,0.41903,0.90645,0.49758,0.9493125,0.298578947,0.49988,cg00335361
chr1,178420683,178420684,0.862216667,0.5816975,0.811250633,0.58212,0.9236,0.4839,0.59899,cg06537019
chr1,178508868,178508869,0.19765,0.44865,0.858241772,0.59562,0.9542625,0.403610526,0.61134,cg08660555
chr1,178992788,178992789,0.865366667,0.5765275,0.858986076,0.61086,0.9041125,0.452463158,0.62178,cg03393754
chr1,179891204,179891205,0.806783333,0.40693,0.848791139,0.48896,0.9148875,0.203957895,0.51165,cg03516705
chr1,181001877,181001878,0.625566667,0.56807,0.859603797,0.63818,0.9218875,0.486805263,0.65292,cg09474092
chr1,182642748,182642749,0.87105,0.51301,0.874581013,0.5462,0.915125,0.368842105,0.55551,cg17124700
chr1,183952796,183952797,0.59555,0.27874,0.811873418,0.25692,0.922575,0.194231579,0.26013,cg12136256
chr1,184544165,184544166,0.736166667,0.5099975,0.869410256,0.50192,0.9539125,0.454131579,0.48448,cg03539970
chr1,193150499,193150500,0.81465,0.4667825,0.858122785,0.4496,0.942925,0.385452632,0.42118,cg16712103
chr1,198828005,198828006,0.777066667,0.563085,0.881350633,0.68718,0.940925,0.398584211,0.6852,cg22821358
chr1,198828060,198828061,0.788383333,0.4995625,0.907562025,0.62054,0.9392,0.314752632,0.61692,cg01092932
chr1,199052402,199052403,0.7784,0.471225,0.838294937,0.56118,0.90915,0.289794737,0.58666,cg19938167
chr1,200371248,200371249,0.753616667,0.60397,0.829303797,0.66768,0.914525,0.496636842,0.68626,cg15617883
chr1,201531514,201531515,0.843166667,0.587185,0.837867089,0.64824,0.945825,0.448121053,0.66729,cg08029299
chr1,201700486,201700487,0.854166667,0.49301,0.915373418,0.55746,0.9613625,0.331257895,0.55142,cg04277574
chr1,201794425,201794426,0.330566667,0.359675,0.825407595,0.36994,0.9103,0.359136842,0.37303,cg09795973
chr1,202092285,202092286,0.787083333,0.43707,0.851673418,0.47358,0.9294375,0.285889474,0.49605,cg02751839
chr1,202537837,202537838,0.540783333,0.4230425,0.813048101,0.48732,0.9341,0.3205,0.51509,cg12581598
chr1,202894148,202894149,0.762616667,0.5778225,0.87484557,0.65586,0.9191625,0.459610526,0.65253,cg24431602
chr1,203768441,203768442,0.816633333,0.6107575,0.826092405,0.68934,0.9706,0.486505263,0.68402,cg04498511
chr1,203840145,203840146,0.80715,0.495035,0.822721519,0.4668,0.9418375,0.412657895,0.4784,cg24721789
chr1,204339486,204339487,0.867266667,0.4538125,0.867965823,0.48432,0.933725,0.278215789,0.52412,cg18316735
chr1,204446308,204446309,0.880966667,0.5435275,0.855493671,0.58402,0.9654125,0.3983,0.59675,cg23958533
chr1,204460191,204460192,0.8469,0.6125425,0.839374684,0.68072,0.937875,0.4834,0.68321,cg11254726
chr1,204518670,204518671,0.315366667,0.420095,0.809740506,0.54772,0.9523375,0.353957895,0.54478,cg17158762
chr1,204912819,204912820,0.894583333,0.6096575,0.884516456,0.69934,0.9173,0.446868421,0.70316,cg14168295
chr1,204985932,204985933,0.4219,0.4926875,0.95270641,0.67378,0.946375,0.363478947,0.69011,cg18861810
chr1,205011227,205011228,0.16425,0.36839,0.816765823,0.52462,0.9336,0.306163158,0.53099,cg19917714
chr1,205025861,205025862,0.56855,0.5805,0.85481519,0.66996,0.926575,0.497226316,0.70116,cg11251293
chr1,205039083,205039084,0.305066667,0.4782275,0.900486076,0.7087,0.973025,0.355026316,0.70097,cg15460899
chr1,205042927,205042928,0.510183333,0.478075,0.841006329,0.59882,0.9272125,0.371221053,0.60146,cg02914063
chr1,205114634,205114635,0.856,0.6156025,0.895656962,0.66338,0.9495125,0.491726316,0.68284,cg15542880
chr1,205585639,205585640,0.886433333,0.55435,0.920379747,0.6694,0.9733,0.355331579,0.67571,cg04105597
chr1,205897809,205897810,0.86565,0.43434,0.845512658,0.493,0.9397,0.245410526,0.50519,cg05749351
chr1,207992548,207992549,0.479083333,0.47607,0.85225443,0.44136,0.962225,0.499621053,0.44687,cg22714290
chr1,208891263,208891264,0.819016667,0.573235,0.821216456,0.62984,0.9284875,0.473247368,0.58744,cg11839579
chr1,210655903,210655904,0.84275,0.55606,0.831606329,0.61496,0.93365,0.412810526,0.62677,cg21147040
chr1,211667297,211667298,0.625016667,0.53088,0.821337975,0.61282,0.9408875,0.448957895,0.58908,cg02131465
chr1,211999985,211999986,0.662983333,0.5871225,0.826225316,0.67284,0.905325,0.475547368,0.71074,cg05959111
chr1,212002499,212002500,0.328933333,0.38641,0.80284557,0.45808,0.95555,0.344547368,0.4646,cg01168776
chr1,212202711,212202712,0.83695,0.5916475,0.864469231,0.67424,0.9620375,0.444968421,0.68186,cg12692682
chr1,212261297,212261298,0.7768,0.4564475,0.831611392,0.41932,0.9439,0.3929,0.40354,cg02900760
chr1,213562740,213562741,0.0955,0.3765725,0.897773418,0.33394,0.9512,0.486147368,0.35834,cg12334079
chr1,214834360,214834361,0.235066667,0.4158875,0.841360759,0.42014,0.908925,0.466394737,0.42629,cg22041712
chr1,215773070,215773071,0.5204,0.393245,0.814101266,0.51002,0.9001625,0.260836842,0.51014,cg19910763
chr1,220271059,220271060,0.8836,0.54166,0.930456962,0.63216,0.9640875,0.367610526,0.62194,cg19707004
chr1,221213052,221213053,0.644733333,0.50174,0.846413924,0.53824,0.916175,0.434694737,0.52508,cg03420013
chr1,221910211,221910212,0.824483333,0.5378525,0.862905063,0.5658,0.9479875,0.421815789,0.57237,cg24870476
chr1,221912247,221912248,0.838533333,0.4973975,0.840496203,0.55332,0.907175,0.339294737,0.56515,cg21908420
chr1,222168745,222168746,0.8796,0.5120775,0.9018,0.57818,0.9614875,0.341073684,0.58342,cg19375336
chr1,223968151,223968152,0.897166667,0.4725975,0.922613924,0.545,0.9505375,0.281163158,0.54538,cg07374490
chr1,224026237,224026238,0.793433333,0.4316025,0.803811392,0.47308,0.905075,0.280178947,0.48147,cg12206317
chr1,227163427,227163428,0.209433333,0.2966825,0.825777215,0.4396,0.9648,0.194136842,0.47241,cg00786909
chr1,227163700,227163701,0.226566667,0.3937875,0.858688608,0.49402,0.933,0.318715789,0.58664,cg25974484
chr1,227174076,227174077,0.749466667,0.55451,0.838593671,0.54014,0.920125,0.494278947,0.55916,cg21157446
chr1,227182615,227182616,0.82465,0.5173125,0.881486076,0.57488,0.90505,0.370726316,0.58264,cg14016676
chr1,229475308,229475309,0.1639,0.4196625,0.870473418,0.46532,0.9409375,0.461868421,0.4701,cg21582311
chr1,230272306,230272307,0.163866667,0.3263125,0.842481013,0.32656,0.93735,0.365173684,0.34982,cg26525772
chr1,230272358,230272359,0.165516667,0.336365,0.835592405,0.35708,0.9643375,0.368768421,0.36695,cg16698674
chr1,230272611,230272612,0.133916667,0.3523425,0.83006962,0.33874,0.954725,0.428042105,0.34637,cg16246661
chr1,230272656,230272657,0.2101,0.417495,0.814498734,0.41274,0.94485,0.486921053,0.4124,cg11795921
chr1,230992843,230992844,0.835683333,0.3819725,0.875688608,0.433,0.9463375,0.178736842,0.47038,cg15324917
chr1,233119362,233119363,0.677283333,0.5556225,0.904740506,0.67342,0.9639375,0.431078947,0.66036,cg19318801
chr1,234136308,234136309,0.787766667,0.535758974,0.88566962,0.62902,0.958,0.374988889,0.62731,cg15523980
chr1,234819745,234819746,0.808333333,0.4385275,0.843129114,0.5631,0.91955,0.218463158,0.57248,cg19087171
chr1,234852797,234852798,0.89,0.4899125,0.837970886,0.55818,0.9561,0.307847368,0.56165,cg22699768
chr1,234852892,234852893,0.854483333,0.5406125,0.85185443,0.60846,0.9691875,0.391768421,0.60117,cg15924102
chr1,235612115,235612116,0.87335,0.5659925,0.898131646,0.68422,0.957175,0.382442105,0.67121,cg05526036
chr1,236293045,236293046,0.8085,0.5154425,0.858882278,0.55932,0.9465375,0.392826316,0.55064,cg06356308
chr1,242611826,242611827,0.1325,0.352655,0.827356962,0.51464,0.902525,0.307231579,0.49006,cg00349573
chr1,243349667,243349668,0.873683333,0.58772,0.909950633,0.68972,0.952575,0.418726316,0.68623,cg01413368
chr1,243584861,243584862,0.560666667,0.2512575,0.8655,0.21244,0.9379,0.173431579,0.23289,cg21526778
chr1,243651750,243651751,0.828066667,0.5639475,0.898177215,0.58314,0.953125,0.467268421,0.57957,cg02528319
chr1,243877447,243877448,0.2356,0.24557,0.816981013,0.31382,0.94845,0.199284211,0.30537,cg17133045
chr1,244217209,244217210,0.110983333,0.22468,0.897520253,0.31564,0.9578875,0.188173684,0.31678,cg26521186
chr1,244217562,244217563,0.1055,0.227535,0.889003797,0.30378,0.9473375,0.204931579,0.30558,cg01983216
chr1,244318867,244318868,0.64815,0.3994925,0.920382278,0.48462,0.96535,0.2488,0.49405,cg15393025
chr1,244609066,244609067,0.831266667,0.438425,0.849277215,0.54466,0.9099625,0.231789474,0.54221,cg14649566
