chr	start	CpG probe	Cerebellum Average	All brain average	"Average all tissues, not brain"	Prefrontal Cortex Average	Leukocyte Average	White Matter Average
1	3662685	cg00397104	0.16355	0.3366425	0.851681013	0.48654	0.906325	0.269894737
17	46660940	cg00411072	0.2932	0.375145	0.821921519	0.38364	0.9344	0.395384211
1	33895505	cg00418068	0.760333333	0.551745	0.834393671	0.47468	0.9385625	0.547531579
10	94883021	cg00425843	0.417183333	0.376875	0.817512658	0.47584	0.9501125	0.288747368
19	11475827	cg00455796	0.7027	0.44473	0.847551899	0.44088	0.9487875	0.383578947
4	892861	cg00497472	0.13615	0.30106	0.85794557	0.4028	0.9064625	0.278373684
21	17961829	cg00543364	0.398383333	0.418375	0.852037975	0.46574	0.9493	0.392794737
21	42215594	cg00576650	0.490916667	0.590215	0.898627848	0.46144	0.959325	0.711842105
12	12673150	cg00637826	0.827016667	0.45132	0.841429114	0.47954	0.9124	0.298578947
16	89104756	cg00655094	0.13095	0.2285175	0.842053165	0.30504	0.924975	0.203605263
5	15927184	cg00664723	0.835133333	0.541925	0.837856962	0.4798	0.9219375	0.493636842
13	113698994	cg00675891	0.138483333	0.1964275	0.834977215	0.24628	0.9559125	0.171426316
18	74692116	cg00706570	0.86225	0.3661575	0.862722785	0.44314	0.9423	0.146326316
17	71345538	cg00711291	0.7768	0.3651525	0.822211392	0.39444	0.9106875	0.195457895
16	88443063	cg00712935	0.655116667	0.4365575	0.863121519	0.43774	0.9315125	0.363636842
8	26493115	cg00718883	0.483316667	0.2999325	0.841778481	0.34298	0.96765	0.213584211
14	103593907	cg00731608	0.438533333	0.5211175	0.857282278	0.46914	0.97125	0.593847368
2	23879137	cg00746446	0.286583333	0.3028925	0.878379747	0.36676	0.9538125	0.260921053
6	1664673	cg00750225	0.865633333	0.44245	0.913783544	0.48208	0.971175	0.267936842
7	5254009	cg00761242	0.757116667	0.4622225	0.8786	0.48922	0.940875	0.374431579
1	227163427	cg00786909	0.209433333	0.2966825	0.825777215	0.4396	0.9648	0.194136842
16	9855960	cg00792185	0.319133333	0.4278125	0.834913924	0.4769	0.9103875	0.422905263
3	13083974	cg00804179	0.17695	0.2394775	0.899206329	0.33574	0.9629	0.181457895
16	521912	cg00806214	0.381516667	0.3716975	0.866848101	0.44508	0.9307375	0.298278947
6	41561085	cg00806680	0.5797	0.5214775	0.84671519	0.4675	0.93055	0.535931579
13	80584487	cg00812096	0.715833333	0.41658	0.805012658	0.38626	0.905625	0.339068421
2	97213642	cg00820405	0.6653	0.5953575	0.909749367	0.4722	0.9467	0.665721053
14	102508902	cg00821413	0.607616667	0.6115875	0.809391139	0.48188	0.9169	0.718747368
18	74692235	cg00839132	0.839233333	0.44295	0.874272152	0.46442	0.9480375	0.292468421
13	44729868	cg00886387	0.614616667	0.45482	0.801544304	0.4391	0.934	0.404073684
10	21810105	cg00889599	0.4938	0.4014175	0.8181	0.46232	0.93835	0.350552632
20	30158833	cg00890916	0.682083333	0.428905	0.821078481	0.47772	0.9614375	0.297057895
16	75300795	cg00898447	0.474983333	0.371735	0.868602532	0.40472	0.9479375	0.307994737
16	50897271	cg00900231	0.326716667	0.275405	0.955350633	0.43444	0.9528875	0.132542105
17	982154	cg00905220	0.3485	0.42674	0.84835443	0.38224	0.9684625	0.487978947
2	43328657	cg00909401	0.821666667	0.44201	0.854968354	0.49046	0.9222125	0.268226316
14	97129452	cg00921160	0.2856	0.316905	0.872067089	0.37546	0.9494375	0.275689474
16	67918030	cg00925722	0.509	0.49187	0.866944304	0.47642	0.9500375	0.491405263
15	101514299	cg00927594	0.705083333	0.3740275	0.832212658	0.30986	0.9045	0.308036842
16	81929358	cg00940248	0.732016667	0.40074	0.890434177	0.4062	0.9615	0.291457895
8	141577413	cg00953443	0.276716667	0.4132125	0.898426582	0.48042	0.957675	0.404094737
22	32021249	cg00958311	0.166133333	0.3724475	0.84978481	0.40594	0.90385	0.416036842
13	45676585	cg00995893	0.530633333	0.341025	0.8607	0.38836	0.964975	0.225110526
16	1146445	cg01006126	0.374016667	0.4988125	0.829020253	0.49702	0.9015625	0.509152632
5	82969530	cg01045835	0.66045	0.4178275	0.804243038	0.47464	0.9424875	0.294321053
1	3277623	cg01071314	0.865866667	0.451495	0.920932911	0.4989	0.9397375	0.285915789
18	9912834	cg01075918	0.843883333	0.445805	0.904724051	0.41778	0.9610875	0.364894737
6	125341187	cg01080927	0.447666667	0.4223175	0.869683544	0.471	0.968125	0.369852632
3	15676638	cg01087463	0.847683333	0.41998	0.861626582	0.39878	0.967875	0.288026316
10	70362422	cg01093854	0.110066667	0.2593375	0.81858481	0.31924	0.968525	0.263347368
21	42212925	cg01108921	0.1363	0.40183	0.861646835	0.38242	0.9442125	0.514452632
11	62474744	cg01141838	0.15415	0.4988475	0.879598734	0.4754	0.9294625	0.636694737
5	138211184	cg01156295	0.18945	0.2463675	0.825270886	0.29148	0.9112	0.217663158
1	212002499	cg01168776	0.328933333	0.38641	0.80284557	0.45808	0.95555	0.344547368
16	88950197	cg01168962	0.8869	0.7562125	0.909829114	0.47102	0.9636625	0.942073684
4	83717639	cg01171706	0.838033333	0.42894	0.897532911	0.45808	0.94865	0.268989474
4	183601697	cg01182076	0.763816667	0.4415225	0.809522785	0.41818	0.9196375	0.352205263
8	130641185	cg01231009	0.324016667	0.342175	0.856502532	0.46952	0.9007375	0.2417
7	101849473	cg01234984	0.508066667	0.3676625	0.844670886	0.42566	0.9199875	0.279326316
15	92667819	cg01240823	0.735916667	0.352225	0.876750633	0.37002	0.9555875	0.211936842
13	113636953	cg01248385	0.179516667	0.4242575	0.898174684	0.40728	0.9667125	0.521773684
7	4747216	cg01275887	0.51915	0.482485	0.829483544	0.39726	0.9528875	0.545189474
17	56607190	cg01287505	0.117633333	0.3507875	0.848539241	0.49048	0.9185375	0.311389474
18	24445240	cg01292175	0.640966667	0.4454275	0.811522785	0.48496	0.9120125	0.350184211
4	80886143	cg01307684	0.572666667	0.497205	0.847951899	0.48078	0.961075	0.497736842
8	144552786	cg01312546	0.198133333	0.36453	0.800729114	0.4554	0.9192125	0.334910526
1	12566060	cg01318461	0.5692	0.3346925	0.878307595	0.42738	0.9453875	0.179447368
1	14113172	cg01411652	0.153083333	0.3533975	0.891548101	0.47776	0.96485	0.328042105
1	9383245	cg01437439	0.765883333	0.41524	0.81171519	0.43668	0.9068875	0.279210526
2	175661561	cg01454638	0.85135	0.4871075	0.855868354	0.49738	0.9388	0.356142105
7	129283500	cg01540911	0.771266667	0.4734125	0.861887342	0.47094	0.955075	0.378415789
3	57934672	cg01571842	0.756583333	0.4105875	0.801548101	0.4542	0.9273875	0.262568421
16	69958298	cg01578632	0.8666	0.5618475	0.806573418	0.47336	0.9535625	0.518
14	73926538	cg01582648	0.350916667	0.2917775	0.804082278	0.32372	0.917975	0.243105263
22	38379506	cg01586506	0.801566667	0.3994025	0.888153165	0.38106	0.9702375	0.284131579
12	125500634	cg01589353	0.761416667	0.31413	0.916636709	0.32544	0.94055	0.157947368
1	3277525	cg01602345	0.785133333	0.433315	0.904567089	0.48026	0.9207125	0.277984211
5	177656852	cg01606973	0.69675	0.401355	0.882612658	0.43664	0.9506875	0.287889474
16	87739377	cg01624637	0.174533333	0.48026	0.823156962	0.47336	0.93095	0.580489474
14	102510281	cg01640443	0.376666667	0.4194875	0.822462025	0.3918	0.9286125	0.456321053
12	105626788	cg01650245	0.290316667	0.2651525	0.842870886	0.37582	0.927825	0.156584211
2	134357740	cg01663008	0.155616667	0.3072575	0.848526582	0.47514	0.9264125	0.223447368
20	33111318	cg01670714	0.499933333	0.3414125	0.828455696	0.40458	0.9162125	0.230742105
3	13083892	cg01678313	0.438133333	0.374525	0.827360759	0.41374	0.9153625	0.318052632
4	166301085	cg01708636	0.127366667	0.4979675	0.842148101	0.42144	0.9302375	0.686768421
11	73076892	cg01773858	0.2072	0.52949	0.852193671	0.48892	0.942425	0.671394737
7	110722380	cg01806261	0.836033333	0.5711225	0.841756962	0.36578	0.9153625	0.656921053
12	41902309	cg01826056	0.207216667	0.39507	0.817651899	0.42506	0.93	0.437631579
17	14683649	cg01906054	0.306966667	0.314205	0.8797	0.39348	0.9599375	0.250726316
11	84028562	cg01966922	0.793083333	0.374975	0.841693671	0.37202	0.942875	0.2511
1	2006896	cg01970427	0.269483333	0.3112475	0.893522785	0.37032	0.9433	0.2681
1	244217562	cg01983216	0.1055	0.227535	0.889003797	0.30378	0.9473375	0.204931579
7	43289504	cg02003457	0.81075	0.4929175	0.816829114	0.35536	0.9068375	0.505005263
22	20937702	cg02015800	0.372166667	0.38724	0.886393671	0.4963	0.9645875	0.300289474
6	119220428	cg02053092	0.79185	0.4604175	0.866074684	0.486	0.930925	0.320768421
6	169104434	cg02083080	0.17345	0.3393975	0.821341772	0.4439	0.9227625	0.310810526
18	46447797	cg02184281	0.187333333	0.3486775	0.814088608	0.49184	0.935275	0.292478947
16	75269222	cg02184918	0.276783333	0.35112	0.826292405	0.41856	0.9497	0.324152632
8	9952926	cg02192555	0.19775	0.286955	0.938617722	0.40806	0.9461125	0.220231579
15	26147435	cg02242989	0.830516667	0.5113125	0.849998734	0.4828	0.9010375	0.442426316
14	104175555	cg02259047	0.178766667	0.47506	0.820111392	0.47822	0.9170375	0.566
5	149673232	cg02260430	0.461116667	0.402315	0.823116456	0.40662	0.9458125	0.377184211
10	65351566	cg02276361	0.35825	0.405075	0.807387342	0.49464	0.9172875	0.332236842
5	65114084	cg02284297	0.87035	0.38554	0.882021519	0.4661	0.941125	0.154031579
15	86302971	cg02311794	0.809166667	0.5001825	0.810920253	0.47532	0.941	0.411757895
16	87384599	cg02312706	0.146633333	0.2633025	0.808951899	0.31824	0.9368625	0.253910526
17	40163229	cg02314782	0.763933333	0.4202325	0.834797468	0.48718	0.904925	0.247563158
12	26195988	cg02320784	0.743783333	0.3417125	0.80234557	0.43278	0.9201625	0.158052632
15	81474451	cg02326224	0.878883333	0.428225	0.821494937	0.47062	0.9401625	0.242357895
4	101972762	cg02327001	0.735816667	0.39569	0.883617722	0.485	0.93955	0.205063158
15	50557917	cg02329886	0.422816667	0.37092	0.885748101	0.36832	0.9407125	0.352468421
13	113698606	cg02347312	0.606083333	0.36243	0.832534177	0.36214	0.9003875	0.274894737
12	24168193	cg02402843	0.751516667	0.4126275	0.897265823	0.4485	0.921725	0.273973684
20	4668134	cg02413285	0.1256	0.305545	0.860749367	0.29074	0.971125	0.373678947
15	64404647	cg02423014	0.74455	0.3705325	0.822959494	0.45732	0.9284375	0.183215789
10	3313279	cg02464979	0.682933333	0.436605	0.930472152	0.4202	0.9205375	0.372447368
5	2112561	cg02534659	0.110233333	0.2181175	0.822734177	0.2716	0.9383625	0.205715789
13	25740027	cg02592525	0.151533333	0.226245	0.874755696	0.3681	0.954075	0.121194737
16	1015103	cg02612270	0.870416667	0.4666325	0.881741772	0.47438	0.928075	0.322889474
16	72460083	cg02619656	0.148033333	0.338225	0.946182278	0.41828	0.977225	0.328189474
17	79952861	cg02647835	0.831483333	0.4370375	0.900624051	0.4646	0.95145	0.282931579
16	88442535	cg02656871	0.786166667	0.3911725	0.801163291	0.48658	0.9538125	0.189663158
11	45109122	cg02674693	0.842166667	0.36484	0.856927848	0.39402	0.9345375	0.202294737
10	134527606	cg02676262	0.6473	0.3693975	0.838118987	0.37152	0.9281125	0.258694737
13	113698408	cg02676602	0.59245	0.363575	0.877255696	0.36422	0.962625	0.289747368
7	27143806	cg02707071	0.341783333	0.3506025	0.808525316	0.3318	0.9654125	0.353478947
10	64136038	cg02712553	0.61005	0.408755	0.878572152	0.4331	0.93975	0.326915789
8	87570714	cg02712949	0.75095	0.39065	0.867293671	0.44608	0.9021625	0.244026316
8	141600191	cg02733994	0.294566667	0.3076225	0.852708861	0.38582	0.9573625	0.257710526
1	202092285	cg02751839	0.787083333	0.43707	0.851673418	0.47358	0.9294375	0.285889474
6	14450312	cg02770252	0.5267	0.3254025	0.82018481	0.41952	0.9218625	0.187205263
5	171808623	cg02772159	0.230566667	0.419295	0.874843038	0.47738	0.9591125	0.432421053
6	34566245	cg02827572	0.7995	0.51821	0.801596203	0.46602	0.9250625	0.459426316
3	112736847	cg02856124	0.746333333	0.4811975	0.806755696	0.47622	0.961025	0.415521053
16	90086806	cg02872476	0.193233333	0.56153	0.834212658	0.49668	0.9489625	0.723668421
1	44991042	cg02892772	0.87475	0.45399	0.846341772	0.48866	0.9747	0.284447368
1	212261297	cg02900760	0.7768	0.4564475	0.831611392	0.41932	0.9439	0.3929
1	111145889	cg02902915	0.202066667	0.2410275	0.867408861	0.29842	0.9337875	0.209563158
3	9246501	cg02945385	0.297983333	0.28769	0.854541772	0.39568	0.9017	0.192363158
14	51452451	cg02957305	0.725266667	0.442175	0.888473418	0.46892	0.9445125	0.324984211
17	76760976	cg02977955	0.81965	0.425625	0.890305063	0.49468	0.951575	0.246868421
13	80585265	cg03010009	0.2125	0.22392	0.807527848	0.27484	0.9012375	0.185905263
2	3292757	cg03025986	0.738316667	0.36961	0.890259494	0.37356	0.9659	0.235473684
11	9337659	cg03032122	0.465933333	0.447585	0.846260759	0.43956	0.9544625	0.425084211
12	123738291	cg03061518	0.124	0.419115	0.835758228	0.40474	0.93425	0.5206
13	45008447	cg03097389	0.21415	0.4946725	0.849459494	0.40868	0.9650875	0.6474
10	6216434	cg03124510	0.173766667	0.3205375	0.844020253	0.43712	0.9559	0.250452632
11	2871856	cg03135023	0.263833333	0.3685575	0.860156962	0.41624	0.9646625	0.360247368
10	62150359	cg03139691	0.158016667	0.289905	0.913094937	0.37418	0.9592	0.255163158
2	242811830	cg03170013	0.339366667	0.35181	0.863301266	0.37558	0.9195125	0.349757895
8	141600316	cg03215152	0.543416667	0.4539575	0.88033038	0.49988	0.938	0.388405263
16	66646895	cg03265991	0.7671	0.445355	0.887502532	0.4809	0.9426375	0.308405263
7	150933506	cg03289901	0.641133333	0.419875	0.810701266	0.38828	0.9182125	0.378378947
2	145196972	cg03303633	0.822583333	0.450425	0.91171519	0.46254	0.9197875	0.316742105
2	2328391	cg03326215	0.128066667	0.3896075	0.873082278	0.41834	0.928825	0.460189474
16	69854895	cg03346415	0.157883333	0.2740475	0.802258228	0.41336	0.9582875	0.195178947
17	42992924	cg03383006	0.662666667	0.451985	0.84975443	0.49456	0.9574	0.347421053
13	51418221	cg03389701	0.801183333	0.590145	0.851522785	0.48146	0.9326125	0.624415789
8	19249545	cg03393445	0.632783333	0.419335	0.824918987	0.40294	0.9158125	0.370642105
2	54611906	cg03393769	0.640983333	0.335965	0.83185443	0.46588	0.93975	0.137310526
3	78719421	cg03434780	0.532066667	0.3972075	0.851910127	0.47072	0.9485375	0.299773684
10	134079425	cg03435248	0.66835	0.5304675	0.800692405	0.47146	0.960825	0.546168421
17	40155391	cg03440989	0.493666667	0.3689325	0.838437975	0.46172	0.90575	0.258463158
4	124273068	cg03441452	0.709416667	0.63566	0.877049367	0.47318	0.9564375	0.6167
17	46627484	cg03453744	0.28235	0.3467625	0.809292405	0.34308	0.96365	0.362368421
17	3769847	cg03463799	0.105983333	0.3656275	0.887979747	0.4316	0.968275	0.3955
14	93735925	cg03505817	0.829966667	0.393	0.817112658	0.44944	0.912975	0.194105263
1	179891204	cg03516705	0.806783333	0.40693	0.848791139	0.48896	0.9148875	0.203957895
21	34439545	cg03534481	0.4941	0.4531225	0.858918987	0.49322	0.9186125	0.393736842
14	71955729	cg03536961	0.831383333	0.365915	0.854150633	0.3457	0.9639625	0.236647368
5	2112109	cg03540794	0.68465	0.370295	0.855410127	0.4707	0.908	0.176694737
16	88041289	cg03551062	0.775966667	0.3445375	0.847650633	0.40342	0.9523125	0.159321053
16	1533943	cg03591111	0.7979	0.440135	0.906925316	0.49998	0.955175	0.289431579
6	3193865	cg03597063	0.698583333	0.4253175	0.861264557	0.41394	0.9114625	0.341789474
2	3285967	cg03646994	0.134716667	0.38081	0.878716456	0.4051	0.9756	0.435468421
17	64451448	cg03650282	0.78005	0.57522	0.866436709	0.45106	0.9706375	0.597457895
7	37025706	cg03673694	0.12825	0.2698	0.884616456	0.27602	0.9407	0.313768421
16	4723816	cg03693714	0.165133333	0.30464	0.950201266	0.4629	0.954525	0.218942105
17	707059	cg03700135	0.272383333	0.478	0.889507595	0.47216	0.9002	0.537015789
18	42324965	cg03722909	0.3543	0.26381	0.890863291	0.2699	0.9415375	0.212568421
17	38231199	cg03724728	0.394433333	0.36086	0.832786076	0.43302	0.9402625	0.289584211
19	58231433	cg03724752	0.146733333	0.3416725	0.865726582	0.48336	0.960025	0.308168421
7	37025810	cg03736789	0.188166667	0.3224475	0.882858228	0.35108	0.9620875	0.348226316
1	2899656	cg03737787	0.39475	0.346805	0.810525316	0.41322	0.9133	0.263647368
17	74550235	cg03742250	0.132983333	0.240705	0.800806329	0.37724	0.9138625	0.169178947
12	16756662	cg03826688	0.720683333	0.6521575	0.833807595	0.49974	0.9111875	0.723236842
17	80622941	cg03828193	0.761083333	0.46972	0.884953165	0.45354	0.956875	0.396647368
10	661087	cg03844838	0.873833333	0.506735	0.873249367	0.49846	0.9479125	0.390015789
5	34043140	cg03934354	0.522133333	0.5736725	0.810327848	0.46676	0.9462125	0.670157895
1	2004968	cg03959306	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158
17	72241818	cg04007987	0.789316667	0.376425	0.866326582	0.42364	0.9163	0.202978947
8	53322501	cg04065304	0.867783333	0.4760725	0.904720253	0.49774	0.9343875	0.320847368
10	11381883	cg04065885	0.239783333	0.4816825	0.895789873	0.44966	0.9629375	0.599710526
3	47537514	cg04068784	0.119266667	0.4111275	0.895089873	0.46032	0.926625	0.468010526
3	53878642	cg04071104	0.184883333	0.34062	0.838806329	0.44436	0.9304	0.310431579
4	148861409	cg04074001	0.125466667	0.2754275	0.853551899	0.41664	0.9443375	0.220873684
2	100722584	cg04101806	0.19965	0.59291	0.819378481	0.4999	0.9341625	0.789452632
8	140994069	cg04126956	0.35575	0.381675	0.893481013	0.46218	0.945075	0.323878947
1	38279984	cg04146137	0.656583333	0.426865	0.815512658	0.46764	0.920725	0.269094737
14	69052728	cg04147497	0.306666667	0.35926	0.856911392	0.30108	0.949425	0.430242105
2	171828959	cg04198323	0.720783333	0.4780025	0.845906329	0.46898	0.9423375	0.386515789
8	68827942	cg04200627	0.600383333	0.343685	0.81021519	0.4169	0.9472375	0.192531579
4	6986609	cg04207632	0.72925	0.4359375	0.811235443	0.43826	0.95315	0.337142105
16	78640531	cg04254167	0.8002	0.380385	0.906378481	0.44926	0.9567875	0.205710526
5	179402240	cg04265672	0.217583333	0.39219	0.915936709	0.49806	0.9257	0.347389474
X	70443093	cg04323365	0.833733333	0.4692875	0.818435443	0.45232	0.9494125	0.335968421
13	114842706	cg04349855	0.6534	0.4668325	0.892365823	0.47862	0.942	0.398884211
6	14933411	cg04357789	0.551183333	0.3382525	0.843925316	0.38536	0.935775	0.2221
2	40646370	cg04365777	0.8458	0.4973425	0.803020253	0.43296	0.956025	0.446878947
2	106055450	cg04376709	0.718916667	0.4965875	0.811773418	0.49754	0.96075	0.434157895
16	88677643	cg04377850	0.3385	0.3118075	0.802718987	0.3184	0.904775	0.300610526
10	134975433	cg04396251	0.191816667	0.5824075	0.851196203	0.48504	0.9521125	0.792726316
16	2177155	cg04418330	0.2864	0.44139	0.855588608	0.49622	0.953075	0.446521053
8	38175544	cg04477010	0.426066667	0.2917175	0.834334177	0.39622	0.94905	0.168931579
16	19539401	cg04482148	0.85225	0.442305	0.887529114	0.4891	0.9405875	0.263484211
17	55483894	cg04486382	0.8419	0.4977125	0.843906329	0.49116	0.9270875	0.374073684
17	78244348	cg04499792	0.45525	0.391745	0.890103797	0.48078	0.9665375	0.294531579
20	21589093	cg04543516	0.18245	0.2479925	0.839839241	0.3478	0.9382625	0.173873684
16	50897243	cg04600253	0.288616667	0.30099	0.8762	0.39738	0.912875	0.225989474
11	133805057	cg04625914	0.414383333	0.39063	0.918783544	0.49822	0.933175	0.293578947
16	31884761	cg04636672	0.717083333	0.39595	0.813311392	0.3977	0.9205	0.305636842
10	3280494	cg04678570	0.6009	0.471785	0.801929114	0.47296	0.9368375	0.446115789
11	69206434	cg04710830	0.391516667	0.4244075	0.892231646	0.48876	0.9386375	0.386542105
14	103416122	cg04715649	0.198116667	0.323605	0.820388608	0.4366	0.901125	0.262921053
6	151346358	cg04718883	0.799716667	0.412835	0.860079747	0.46424	0.959675	0.244852632
15	44507997	cg04724556	0.7606	0.45097	0.807225316	0.48758	0.95115	0.338473684
6	168132811	cg04730372	0.651866667	0.395265	0.901867089	0.38824	0.950725	0.306005263
8	41200462	cg04754683	0.862966667	0.3900425	0.891136709	0.42474	0.954	0.194115789
16	86608910	cg04760348	0.458633333	0.49708	0.820160759	0.49502	0.9692125	0.513252632
9	117905075	cg04761824	0.301933333	0.318865	0.867139241	0.4539	0.9468875	0.213342105
2	55174473	cg04768463	0.247383333	0.26941	0.86178481	0.34638	0.950725	0.217257895
7	7268805	cg04827551	0.8071	0.3339075	0.860013924	0.35876	0.935575	0.160894737
5	179443887	cg04851992	0.72435	0.48573	0.877532911	0.4746	0.9532	0.399289474
4	99487497	cg04854098	0.54525	0.3612975	0.802225316	0.43668	0.937975	0.235436842
1	33231382	cg04892182	0.140216667	0.25639	0.811270886	0.42672	0.9606125	0.160842105
3	157245108	cg04897900	0.370216667	0.4305525	0.808994937	0.49998	0.9087875	0.385626316
17	46607828	cg04904318	0.159416667	0.1921125	0.804650633	0.29712	0.968525	0.129847368
1	170253944	cg04909854	0.157066667	0.315135	0.808920253	0.42256	0.925875	0.274826316
2	106055458	cg04942516	0.77795	0.4909975	0.803051899	0.4746	0.971725	0.421668421
8	117059957	cg04962865	0.432366667	0.3114925	0.880959494	0.4534	0.93625	0.156678947
14	90359557	cg05019583	0.374183333	0.4748	0.808292405	0.4904	0.9391875	0.491878947
18	60386672	cg05073720	0.773216667	0.3431175	0.857902532	0.38814	0.9219125	0.173484211
6	166722773	cg05089968	0.837283333	0.4147075	0.801362025	0.43966	0.9353875	0.240857895
2	24443636	cg05139187	0.839766667	0.3293575	0.899273418	0.32472	0.9622	0.168994737
14	21270575	cg05153345	0.8474	0.40404	0.805436709	0.425	0.945975	0.231536842
14	105132479	cg05153781	0.774933333	0.420545	0.840264557	0.46212	0.90115	0.263689474
4	3373555	cg05154546	0.762633333	0.5755025	0.845458228	0.39532	0.9286125	0.659163158
14	101528671	cg05224126	0.575716667	0.2858475	0.834701266	0.31628	0.94145	0.155521053
11	17928213	cg05274650	0.158766667	0.552005	0.902848101	0.47456	0.9529125	0.745489474
8	58982720	cg05320424	0.219516667	0.36549	0.814726582	0.42336	0.9025375	0.375610526
6	163845084	cg05329960	0.78715	0.3625125	0.819692405	0.40334	0.9363	0.186663158
10	77166684	cg05330121	0.740733333	0.5066875	0.858440506	0.4929	0.955625	0.425868421
16	72460114	cg05347108	0.142633333	0.2727175	0.901973418	0.35726	0.9287875	0.247157895
9	124535348	cg05357131	0.14065	0.368375	0.811043038	0.395	0.93385	0.414136842
6	13470414	cg05372765	0.461066667	0.35299	0.90466962	0.4252	0.9448875	0.264210526
8	143694305	cg05415840	0.69245	0.43416	0.808939241	0.42522	0.9535	0.371957895
16	73266282	cg05422457	0.3813	0.2425375	0.809902532	0.25594	0.9135375	0.187452632
18	46386267	cg05451498	0.169983333	0.374525	0.875640506	0.48104	0.973025	0.333610526
6	163558674	cg05501666	0.838116667	0.395425	0.890327848	0.36396	0.9290875	0.269447368
16	88442086	cg05542646	0.595366667	0.3504625	0.887358228	0.46524	0.9417375	0.173115789
17	76455102	cg05561386	0.28355	0.3465175	0.91758481	0.39614	0.9823125	0.317184211
16	962909	cg05578056	0.2675	0.2862025	0.841292405	0.35916	0.924375	0.222184211
12	113630080	cg05582340	0.46455	0.4367575	0.810378481	0.45644	0.927125	0.413321053
8	55047255	cg05595134	0.686033333	0.4401975	0.805422785	0.38818	0.911225	0.3941
5	172447638	cg05595191	0.637083333	0.441995	0.816268354	0.35506	0.933	0.436726316
12	124929590	cg05596926	0.12685	0.501765	0.820891139	0.4867	0.9274375	0.631505263
17	30821847	cg05599531	0.164466667	0.3923375	0.878875949	0.43058	0.9595875	0.439031579
16	15239992	cg05603252	0.380883333	0.3185225	0.815503797	0.39074	0.9713625	0.241331579
3	24001171	cg05609780	0.831833333	0.3789925	0.8397	0.37806	0.9147875	0.238936842
4	188156675	cg05636047	0.15055	0.2553475	0.87226962	0.35696	0.93145	0.204126316
8	22866972	cg05638250	0.779316667	0.61333	0.822836709	0.4792	0.9767375	0.666757895
16	31452152	cg05657213	0.660016667	0.3872025	0.805025316	0.44124	0.9177375	0.248752632
7	138817676	cg05660884	0.69565	0.4364	0.871760759	0.44544	0.9303125	0.350710526
10	3441404	cg05664352	0.8324	0.440405	0.810297468	0.48224	0.9642125	0.282489474
2	135985164	cg05676570	0.470933333	0.39105	0.870151899	0.44794	0.9533875	0.326426316
7	127636396	cg05686445	0.409816667	0.4736975	0.824555696	0.40228	0.967975	0.558489474
1	90297591	cg05703211	0.794866667	0.3950225	0.90708481	0.4349	0.9481625	0.218794737
17	29622905	cg05709720	0.830333333	0.32008	0.817126582	0.29374	0.913675	0.184226316
3	156511814	cg05711023	0.783533333	0.4144	0.862236709	0.48844	0.9381125	0.228384211
3	56896467	cg05722035	0.809116667	0.40911	0.811102532	0.47518	0.9419875	0.214994737
1	205897809	cg05749351	0.86565	0.43434	0.845512658	0.493	0.9397	0.245410526
10	134552168	cg05760937	0.271683333	0.27953	0.923620253	0.36644	0.9383	0.190163158
2	3480658	cg05777919	0.81555	0.3968	0.881210127	0.44116	0.97115	0.219536842
18	56529852	cg05800761	0.284583333	0.40155	0.851353165	0.41082	0.9467	0.420321053
