Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)						
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02						
Analyzed List:	upload_1 (Homo sapiens)						
Reference List:	Homo sapiens (all genes in database)						
Test Type:	FISHER						
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (407)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
signal transduction (GO:0007165)	4956	130	95.86	+	1.36	1.57E-04	4.69E-02
cell communication (GO:0007154)	5447	141	105.36	+	1.34	1.02E-04	3.30E-02
response to stimulus (GO:0050896)	8142	206	157.48	+	1.31	1.63E-06	2.11E-03
multicellular organismal process (GO:0032501)	6688	166	129.36	+	1.28	1.65E-04	4.66E-02
regulation of cellular process (GO:0050794)	10764	255	208.2	+	1.22	4.79E-06	4.37E-03
regulation of biological process (GO:0050789)	11425	268	220.99	+	1.21	3.45E-06	3.35E-03
biological regulation (GO:0065007)	12072	277	233.5	+	1.19	1.27E-05	7.85E-03
cellular process (GO:0009987)	15084	329	291.76	+	1.13	2.85E-05	1.38E-02
biological_process (GO:0008150)	17500	374	338.49	+	1.1	5.52E-07	1.22E-03
Unclassified (UNCLASSIFIED)	3542	33	68.51	-	0.48	5.52E-07	1.43E-03
