chr	start	end	not_musc_avg	musc_average	dist	leuk_average
chr2	97220858	97220859	0.854567568	0.486066667	0.368500901	0.9319875
chr2	97501603	97501604	0.84274955	0.3484	0.49434955	0.936
chr2	97508486	97508487	0.805675676	0.44335	0.362325676	0.9502
chr2	97509831	97509832	0.826936937	0.381716667	0.44522027	0.9279
chr2	100634259	100634260	0.808295495	0.399533333	0.408762162	0.9628625
chr2	100689798	100689799	0.816643243	0.4083	0.408343243	0.92855
chr2	103334345	103334346	0.81806036	0.48985	0.32821036	0.9476875
chr2	103378506	103378507	0.827891892	0.360516667	0.467375225	0.9308375
chr2	103379054	103379055	0.878108108	0.440966667	0.437141441	0.95625
chr2	105363536	105363537	0.908774775	0.485833333	0.422941441	0.9591
chr2	106485483	106485484	0.802218018	0.486566667	0.315651351	0.9162625
chr2	106812100	106812101	0.853290991	0.48595	0.367340991	0.9720625
chr2	119991327	119991328	0.846575676	0.4656	0.380975676	0.919175
chr2	121261361	121261362	0.870309009	0.466933333	0.403375676	0.95915
chr2	127826149	127826150	0.823138739	0.467783333	0.355355405	0.94615
chr2	145162489	145162490	0.855589189	0.435133333	0.420455856	0.961675
chr2	152590396	152590397	0.852245946	0.494166667	0.358079279	0.9520375
chr2	152590736	152590737	0.872902703	0.469733333	0.403169369	0.9646
chr2	158666076	158666077	0.80948018	0.446683333	0.362796847	0.9155375
chr2	161335937	161335938	0.84813964	0.459883333	0.388256306	0.9320125
chr2	170366961	170366962	0.858179279	0.41595	0.442229279	0.9356
chr2	174454320	174454321	0.801123423	0.462316667	0.338806757	0.908275
chr2	179664219	179664220	0.881026126	0.4194	0.461626126	0.947075
chr2	179672691	179672692	0.86173964	0.460466667	0.401272973	0.92075
chr2	183780280	183780281	0.84647027	0.47445	0.37202027	0.95165
chr2	187474432	187474433	0.861002703	0.4566	0.404402703	0.9649625
chr2	201342582	201342583	0.813117117	0.358	0.455117117	0.9663375
chr2	202916133	202916134	0.856346847	0.483233333	0.373113514	0.919175
chr2	211168547	211168548	0.843012613	0.490616667	0.352395946	0.91375
chr2	217675069	217675070	0.886707207	0.386766667	0.499940541	0.9449
chr2	219442282	219442283	0.837991892	0.467433333	0.370558559	0.9600375
chr2	219485946	219485947	0.851915315	0.442	0.409915315	0.9520625
chr2	220280314	220280315	0.800524324	0.428383333	0.372140991	0.9201875
chr2	220317372	220317373	0.846286486	0.42965	0.416636486	0.9250375
chr2	224441764	224441765	0.835682883	0.44295	0.392732883	0.9401125
chr2	224873911	224873912	0.84032973	0.462533333	0.377796396	0.9391375
chr2	225183651	225183652	0.832173874	0.460566667	0.371607207	0.9252125
chr2	227625209	227625210	0.822379279	0.41915	0.403229279	0.9557375
chr2	232283700	232283701	0.892490991	0.4901	0.402390991	0.9463375
chr2	234338088	234338089	0.830130631	0.487066667	0.343063964	0.9539375
chr2	234764133	234764134	0.859808108	0.473333333	0.386474775	0.9585
chr2	236416064	236416065	0.834185586	0.487633333	0.346552252	0.9327375
chr2	236877461	236877462	0.855335135	0.392316667	0.463018468	0.92985
chr2	236877492	236877493	0.850152252	0.411966667	0.438185586	0.9512875
chr2	237150303	237150304	0.860836036	0.465566667	0.395269369	0.9307375
chr2	238187155	238187156	0.801435135	0.3266	0.474835135	0.93125
chr2	239064292	239064293	0.802648649	0.375316667	0.427331982	0.9111625
chr2	240224285	240224286	0.853967568	0.421316667	0.432650901	0.956825
chr2	240228189	240228190	0.810604505	0.370183333	0.440421171	0.946125
chr2	242445904	242445905	0.841604505	0.434	0.407604505	0.9452
chr3	8631797	8631798	0.828101802	0.42525	0.402851802	0.96235
chr3	10332589	10332590	0.809928829	0.43355	0.376378829	0.9511625
chr3	12735618	12735619	0.808836036	0.380783333	0.428052703	0.9177625
chr3	12858549	12858550	0.808058559	0.491533333	0.316525225	0.9316
chr3	13517897	13517898	0.878581982	0.448266667	0.430315315	0.9526125
chr3	14582901	14582902	0.834631532	0.422216667	0.412414865	0.9177625
chr3	15537318	15537319	0.805108108	0.4136	0.391508108	0.9435625
chr3	20223923	20223924	0.863794595	0.487116667	0.376677928	0.9533375
chr3	33466255	33466256	0.805064865	0.442316667	0.362748198	0.9525625
chr3	37038591	37038592	0.877037838	0.498	0.379037838	0.9379875
chr3	41360280	41360281	0.803172072	0.4765	0.326672072	0.9618375
chr3	42726970	42726971	0.833078378	0.4833	0.349778378	0.9229
chr3	43405550	43405551	0.810694595	0.296633333	0.514061261	0.958675
chr3	43795541	43795542	0.800500901	0.403883333	0.396617568	0.936325
chr3	45646427	45646428	0.835777477	0.474816667	0.360960811	0.95585
chr3	45647141	45647142	0.801264865	0.357016667	0.444248198	0.9661125
chr3	46605616	46605617	0.846868468	0.452183333	0.394685135	0.925625
chr3	47952611	47952612	0.820611712	0.463166667	0.357445045	0.9557375
chr3	51812802	51812803	0.851725225	0.48805	0.363675225	0.949475
chr3	52870543	52870544	0.873289189	0.424166667	0.449122523	0.9427125
chr3	61859135	61859136	0.839884685	0.476366667	0.363518018	0.920975
chr3	65550383	65550384	0.846427928	0.480066667	0.366361261	0.932825
chr3	66463731	66463732	0.803353153	0.399416667	0.403936486	0.9090625
chr3	67560049	67560050	0.862144144	0.49325	0.368894144	0.9572375
chr3	69171822	69171823	0.825953153	0.390583333	0.43536982	0.9379875
chr3	69172203	69172204	0.804840541	0.394233333	0.410607207	0.9158125
chr3	81533970	81533971	0.828628829	0.433533333	0.395095495	0.9351375
chr3	99629837	99629838	0.818241441	0.416666667	0.401574775	0.946075
chr3	99817572	99817573	0.807330631	0.46115	0.346180631	0.9122625
chr3	101502248	101502249	0.898392793	0.480416667	0.417976126	0.9786
chr3	101808873	101808874	0.850707207	0.46555	0.385157207	0.970975
chr3	104556025	104556026	0.81510991	0.477216667	0.337893243	0.9135
chr3	107871128	107871129	0.820308108	0.4732	0.347108108	0.9404
chr3	109072059	109072060	0.82639009	0.48935	0.33704009	0.9452625
chr3	119379220	119379221	0.833566667	0.39325	0.440316667	0.925825
chr3	119379414	119379415	0.800455856	0.3588	0.441655856	0.945
chr3	124798370	124798371	0.847227027	0.4768	0.370427027	0.9152625
chr3	125567258	125567259	0.865887387	0.491783333	0.374104054	0.9204375
chr3	130463629	130463630	0.813628829	0.487866667	0.325762162	0.90905
chr3	140805567	140805568	0.839820721	0.488466667	0.351354054	0.953175
chr3	141151009	141151010	0.810877477	0.493483333	0.317394144	0.958425
chr3	148712659	148712660	0.875654054	0.474483333	0.401170721	0.95615
chr3	152066605	152066606	0.81773964	0.4436	0.37413964	0.943675
chr3	170894132	170894133	0.829690991	0.447583333	0.382107658	0.9629375
chr3	175338908	175338909	0.892008108	0.485366667	0.406641441	0.9419125
chr3	176745490	176745491	0.86699009	0.495916667	0.371073423	0.9515375
chr3	187941999	187942000	0.864275676	0.475933333	0.388342342	0.9485
chr3	188272255	188272256	0.861397297	0.413583333	0.447813964	0.9597625
chr3	195615626	195615627	0.802661261	0.4262	0.376461261	0.9289
chr3	195615726	195615727	0.812945946	0.436366667	0.376579279	0.9665125
chr3	197584287	197584288	0.895501802	0.45615	0.439351802	0.957625
chr4	1192053	1192054	0.87976036	0.380716667	0.499043694	0.9688375
chr4	1202653	1202654	0.801643243	0.481483333	0.32015991	0.9328875
chr4	1203001	1203002	0.812534234	0.477783333	0.334750901	0.9663375
chr4	1495770	1495771	0.843793694	0.46545	0.378343694	0.9294625
chr4	1646117	1646118	0.815324324	0.496216667	0.319107658	0.956625
chr4	8154208	8154209	0.85421982	0.477466667	0.376753153	0.90395
chr4	8154405	8154406	0.869045045	0.4463	0.422745045	0.95125
chr4	10086483	10086484	0.856303604	0.48545	0.370853604	0.9130625
chr4	10110163	10110164	0.800746847	0.374566667	0.42618018	0.9262875
chr4	15375866	15375867	0.802727928	0.4762	0.326527928	0.9083875
chr4	15376116	15376117	0.811240541	0.312833333	0.498407207	0.940175
chr4	15376129	15376130	0.823036036	0.4497	0.373336036	0.9566125
chr4	15376135	15376136	0.847601802	0.377416667	0.470185135	0.9623125
chr4	15376170	15376171	0.840354955	0.388566667	0.451788288	0.970575
chr4	15376180	15376181	0.819912613	0.3773	0.442612613	0.9604625
chr4	24745718	24745719	0.82181982	0.437266667	0.384553153	0.916975
chr4	25097886	25097887	0.811462162	0.411416667	0.400045495	0.95025
chr4	25098059	25098060	0.836947748	0.475716667	0.361231081	0.9525875
chr4	53690624	53690625	0.850376577	0.445716667	0.40465991	0.933825
chr4	53906430	53906431	0.824881081	0.444283333	0.380597748	0.90165
chr4	76622044	76622045	0.891804505	0.476333333	0.415471171	0.95645
chr4	76995494	76995495	0.81736036	0.471216667	0.346143694	0.9709125
chr4	80836552	80836553	0.801778378	0.4352	0.366578378	0.936325
chr4	87974092	87974093	0.835878378	0.403	0.432878378	0.927875
chr4	88570574	88570575	0.819863964	0.441566667	0.378297297	0.9667125
chr4	88570587	88570588	0.848024324	0.47555	0.372474324	0.954875
chr4	88570638	88570639	0.854692793	0.459383333	0.395309459	0.9716875
chr4	95457406	95457407	0.842861261	0.4171	0.425761261	0.9559875
chr4	95460771	95460772	0.854137838	0.43535	0.418787838	0.9379375
chr4	100571622	100571623	0.834284685	0.393283333	0.441001351	0.9131
chr4	100573536	100573537	0.896898198	0.425433333	0.471464865	0.9315
chr4	100574455	100574456	0.915692793	0.401233333	0.514459459	0.9582625
chr4	100574596	100574597	0.899645045	0.410983333	0.488661712	0.9445875
chr4	100574653	100574654	0.877451351	0.435066667	0.442384685	0.953925
chr4	106155316	106155317	0.858982883	0.497933333	0.36104955	0.95265
chr4	119948542	119948543	0.863633333	0.305333333	0.5583	0.977225
chr4	119956180	119956181	0.841617117	0.46925	0.372367117	0.902675
chr4	129767588	129767589	0.824118018	0.430016667	0.394101351	0.939375
chr4	139766406	139766407	0.801353153	0.39685	0.404503153	0.9204875
chr4	146097432	146097433	0.833830631	0.425316667	0.408513964	0.9565375
chr4	146104495	146104496	0.80674955	0.453683333	0.353066216	0.947
chr4	148947436	148947437	0.817556757	0.370333333	0.447223423	0.9639125
chr4	152332936	152332937	0.858447748	0.47615	0.382297748	0.9315375
chr4	152592088	152592089	0.882946847	0.4797	0.403246847	0.9257875
chr4	154475566	154475567	0.871111712	0.482516667	0.388595045	0.951475
chr4	165881424	165881425	0.815243243	0.421966667	0.393276577	0.9072125
chr4	169717681	169717682	0.817096396	0.499966667	0.31712973	0.9180375
chr4	177190321	177190322	0.818252252	0.43255	0.385702252	0.9452875
chr4	177190325	177190326	0.843428829	0.44045	0.402978829	0.9348625
chr4	177190421	177190422	0.892915315	0.454366667	0.438548649	0.9614875
chr4	177191536	177191537	0.843611712	0.47945	0.364161712	0.9064375
chr4	184941395	184941396	0.841690991	0.400466667	0.441224324	0.964625
chr4	185677549	185677550	0.812297297	0.4115	0.400797297	0.93565
chr4	185724837	185724838	0.83229009	0.496166667	0.336123423	0.955675
chr4	186063110	186063111	0.831855856	0.41745	0.414405856	0.9464375
chr4	186425697	186425698	0.804302703	0.288483333	0.515819369	0.9411
chr4	186425721	186425722	0.843305405	0.4757	0.367605405	0.9576
chr4	186435617	186435618	0.889857658	0.422016667	0.467840991	0.9555125
chr4	186435667	186435668	0.897155856	0.3263	0.570855856	0.9400125
chr4	187621285	187621286	0.81334955	0.495783333	0.317566216	0.9160125
chr5	155061	155062	0.840436036	0.368466667	0.471969369	0.9061625
chr5	194607	194608	0.905061261	0.343316667	0.561744595	0.9611375
chr5	956521	956522	0.861845946	0.4655	0.396345946	0.928075
chr5	1121021	1121022	0.847574775	0.478683333	0.368891441	0.95475
chr5	1855934	1855935	0.823527928	0.416416667	0.407111261	0.935125
chr5	3225856	3225857	0.835495495	0.379583333	0.455912162	0.92885
chr5	6491884	6491885	0.832797297	0.388	0.444797297	0.9512
chr5	7399037	7399038	0.808958559	0.434616667	0.374341892	0.914175
chr5	10139180	10139181	0.813711712	0.481366667	0.332345045	0.9588
chr5	16469294	16469295	0.812331532	0.495083333	0.317248198	0.97815
chr5	38135043	38135044	0.811925225	0.41235	0.399575225	0.938425
chr5	55061936	55061937	0.804985586	0.480383333	0.324602252	0.9082375
chr5	55147245	55147246	0.801626126	0.46005	0.341576126	0.9322375
chr5	58299024	58299025	0.821427027	0.394366667	0.42706036	0.95175
chr5	58824741	58824742	0.866737838	0.470183333	0.396554505	0.92445
chr5	61714607	61714608	0.836574775	0.456083333	0.380491441	0.918
chr5	80529943	80529944	0.857385586	0.478966667	0.378418919	0.94625
chr5	89018418	89018419	0.832428829	0.494166667	0.338262162	0.9271875
chr5	90608943	90608944	0.865121622	0.480666667	0.384454955	0.928875
chr5	96256918	96256919	0.858136036	0.442066667	0.416069369	0.9104375
chr5	96380418	96380419	0.814837838	0.441333333	0.373504505	0.9327375
chr5	102132021	102132022	0.830844144	0.409683333	0.421160811	0.9529375
chr5	109042237	109042238	0.837553153	0.39815	0.439403153	0.9663625
chr5	114807774	114807775	0.862475676	0.4975	0.364975676	0.957
chr5	134608044	134608045	0.862548649	0.436016667	0.426531982	0.9593375
chr5	138731547	138731548	0.844882883	0.456266667	0.388616216	0.9323375
chr5	142422241	142422242	0.809452252	0.3491	0.460352252	0.955025
chr5	150040606	150040607	0.870240541	0.4376	0.432640541	0.9589
chr5	180030008	180030009	0.893444144	0.429483333	0.463960811	0.9444375
chr5	180071756	180071757	0.851281081	0.468716667	0.382564414	0.9334875
chr5	180640477	180640478	0.812961261	0.489283333	0.323677928	0.9284875
chr6	436928	436929	0.801667568	0.477333333	0.324334234	0.93225
chr6	2382649	2382650	0.800371171	0.392133333	0.408237838	0.9335375
chr6	2382734	2382735	0.80954955	0.407416667	0.402132883	0.9127
chr6	2713800	2713801	0.821172072	0.442033333	0.379138739	0.912025
chr6	2734480	2734481	0.845372072	0.362383333	0.482988739	0.9596625
chr6	3329936	3329937	0.880328829	0.4371	0.443228829	0.9686375
chr6	3760116	3760117	0.817525225	0.455033333	0.362491892	0.9483125
chr6	6737080	6737081	0.836532432	0.410133333	0.426399099	0.9022125
chr6	11251104	11251105	0.852720721	0.494966667	0.357754054	0.9542625
chr6	16139117	16139118	0.850157658	0.49115	0.359007658	0.9422125
chr6	16242468	16242469	0.856218018	0.480266667	0.375951351	0.94225
chr6	16324968	16324969	0.802963964	0.430316667	0.372647297	0.9205875
chr6	17169462	17169463	0.809138739	0.368083333	0.441055405	0.9469875
chr6	22718574	22718575	0.810647748	0.417216667	0.393431081	0.90345
chr6	30038922	30038923	0.843342342	0.469033333	0.374309009	0.956
chr6	31005837	31005838	0.829404505	0.4279	0.401504505	0.925425
chr6	31938777	31938778	0.800186486	0.481116667	0.31906982	0.9259
chr6	33776528	33776529	0.808741441	0.440433333	0.368308108	0.9258625
chr6	35468847	35468848	0.845107207	0.435866667	0.409240541	0.960975
chr6	41030303	41030304	0.872883784	0.4993	0.373583784	0.9619125
chr6	46049171	46049172	0.803632432	0.431433333	0.372199099	0.9311625
chr6	47749786	47749787	0.840713514	0.481466667	0.359246847	0.93085
chr6	53519753	53519754	0.856615315	0.457533333	0.399081982	0.9335
chr6	53883888	53883889	0.848603604	0.479016667	0.369586937	0.9352625
chr6	55905409	55905410	0.806891892	0.479233333	0.327658559	0.9028875
chr6	64373226	64373227	0.855551351	0.464183333	0.391368018	0.9439875
chr6	71548732	71548733	0.807448649	0.4077	0.399748649	0.960925
chr6	76045920	76045921	0.805654955	0.472216667	0.333438288	0.9179375
chr6	86370111	86370112	0.817065766	0.486766667	0.330299099	0.9634125
chr6	90024543	90024544	0.84875045	0.48795	0.36080045	0.9717375
chr6	90353508	90353509	0.803658559	0.4314	0.372258559	0.9206125
chr6	105706081	105706082	0.814396396	0.352133333	0.462263063	0.915575
chr6	107987436	107987437	0.834782883	0.43465	0.400132883	0.9325
chr6	111412794	111412795	0.802193694	0.461083333	0.34111036	0.9306375
chr6	113370857	113370858	0.80302973	0.479716667	0.323313063	0.908025
chr6	117866589	117866590	0.837418919	0.434883333	0.402535586	0.9593875
chr6	123959184	123959185	0.857355856	0.476383333	0.380972523	0.9140375
chr6	125543048	125543049	0.810866667	0.40315	0.407716667	0.9626875
chr6	130758314	130758315	0.854854955	0.493016667	0.361838288	0.9645125
chr6	136394121	136394122	0.855818018	0.467566667	0.388251351	0.909225
chr6	139564167	139564168	0.844088288	0.456566667	0.387521622	0.92255
chr6	144184557	144184558	0.822294595	0.4792	0.343094595	0.920775
chr6	149358767	149358768	0.843865766	0.411	0.432865766	0.9546875
chr6	149358802	149358803	0.868644144	0.483166667	0.385477477	0.952275
chr6	150525359	150525360	0.88320991	0.460833333	0.422376577	0.9438875
chr6	152125861	152125862	0.849927928	0.372183333	0.477744595	0.9484125
chr6	152125965	152125966	0.854145045	0.3642	0.489945045	0.940325
chr6	152126080	152126081	0.855203604	0.333116667	0.522086937	0.91765
chr6	152126092	152126093	0.856484685	0.411716667	0.444768018	0.945525
chr6	152127812	152127813	0.858445946	0.422633333	0.435812613	0.9543375
chr6	152127821	152127822	0.823489189	0.40665	0.416839189	0.9448
chr6	157470150	157470151	0.819230631	0.498016667	0.321213964	0.97425
chr6	159049761	159049762	0.84122973	0.335716667	0.505513063	0.900875
chr6	163768551	163768552	0.874787387	0.366366667	0.508420721	0.9345
chr6	166100316	166100317	0.860079279	0.438766667	0.421312613	0.9594125
chr6	167763320	167763321	0.833013514	0.486566667	0.346446847	0.9202125
chr6	168120556	168120557	0.865087387	0.459366667	0.405720721	0.915375
chr6	168376251	168376252	0.82413964	0.493183333	0.330956306	0.9454625
chr6	168797376	168797377	0.806336937	0.49815	0.308186937	0.9191375
chr6	168983411	168983412	0.902347748	0.482483333	0.419864414	0.9616875
chr6	168983447	168983448	0.868061261	0.4266	0.441461261	0.947875
chr6	169316756	169316757	0.830563964	0.486366667	0.344197297	0.9420625
chr6	170249394	170249395	0.827553153	0.47385	0.353703153	0.91285
chr6	170365525	170365526	0.828686486	0.403016667	0.42566982	0.91605
chr7	160752	160753	0.824309009	0.498116667	0.326192342	0.904525
chr7	187333	187334	0.876105405	0.30415	0.571955405	0.9056125
chr7	187339	187340	0.912395495	0.453483333	0.458912162	0.9045875
chr7	608975	608976	0.837994595	0.494133333	0.343861261	0.927925
chr7	611487	611488	0.915930631	0.437683333	0.478247297	0.9669125
chr7	612613	612614	0.827845946	0.290216667	0.537629279	0.954875
chr7	612876	612877	0.817047748	0.376016667	0.441031081	0.928075
chr7	878040	878041	0.903863964	0.485233333	0.418630631	0.972325
chr7	1059627	1059628	0.828637838	0.464716667	0.363921171	0.970825
chr7	1120141	1120142	0.8504	0.497366667	0.353033333	0.959775
chr7	1801521	1801522	0.803459459	0.419916667	0.383542793	0.9446625
chr7	2189488	2189489	0.858887387	0.421066667	0.437820721	0.9502625
chr7	2214759	2214760	0.854662162	0.492633333	0.362028829	0.9415375
chr7	2214790	2214791	0.924711712	0.472683333	0.452028378	0.9526125
chr7	2827233	2827234	0.825883784	0.41725	0.408633784	0.9205125
chr7	4774448	4774449	0.865654955	0.410983333	0.454671622	0.958075
chr7	4808895	4808896	0.810691892	0.457233333	0.353458559	0.9377
chr7	5647145	5647146	0.872851351	0.416483333	0.456368018	0.9639875
chr7	5647182	5647183	0.875985586	0.391733333	0.484252252	0.9133
chr7	5883645	5883646	0.806055856	0.4389	0.367155856	0.915525
chr7	22852335	22852336	0.844421622	0.426916667	0.417504955	0.9674
chr7	22982162	22982163	0.819907207	0.49505	0.324857207	0.94095
chr7	24818413	24818414	0.8272	0.415116667	0.412083333	0.933925
chr7	27217057	27217058	0.808984685	0.428516667	0.380468018	0.9148375
chr7	27217606	27217607	0.833228829	0.392333333	0.440895495	0.9602125
chr7	28058989	28058990	0.886444144	0.394333333	0.492110811	0.9430375
chr7	28682948	28682949	0.810448649	0.45315	0.357298649	0.94665
chr7	32183060	32183061	0.862445045	0.372033333	0.490411712	0.94895
chr7	42303654	42303655	0.834666667	0.480333333	0.354333333	0.9035
chr7	50603292	50603293	0.839351351	0.457933333	0.381418018	0.9562375
chr7	50670059	50670060	0.820441441	0.424133333	0.396308108	0.9169125
chr7	50799978	50799979	0.808213514	0.449216667	0.358996847	0.901575
chr7	55573244	55573245	0.863727928	0.41515	0.448577928	0.9457875
chr7	69120991	69120992	0.811661261	0.445583333	0.366077928	0.936175
chr7	72849909	72849910	0.817121622	0.422083333	0.395038288	0.960125
chr7	75620548	75620549	0.813886486	0.437733333	0.376153153	0.9233
chr7	87093634	87093635	0.832112613	0.425916667	0.406195946	0.9186
chr7	92412319	92412320	0.841763964	0.390383333	0.451380631	0.9616625
chr7	95115232	95115233	0.817837838	0.412983333	0.404854505	0.957775
chr7	95115246	95115247	0.825254955	0.416416667	0.408838288	0.966725
chr7	95115354	95115355	0.846791892	0.422233333	0.424558559	0.963925
chr7	101505662	101505663	0.830654054	0.440233333	0.390420721	0.9294625
chr7	101508949	101508950	0.847593694	0.449216667	0.398377027	0.9386
chr7	101789685	101789686	0.808625225	0.400433333	0.408191892	0.96345
