							als1	als2						
chr1	2003530	2003606		chr1	2003550	2003551	NA	0	NA	NA	0	NA	0	NA
chr1	2003530	2003606		chr1	2003600	2003601	NA	NA	NA	16.66666667	NA	NA	NA	NA
chr1	2003530	2003606		chr1	2003601	2003602	NA	0	NA	33.33333333	33.33333333	NA	NA	NA
chr1	2428930	2429006		.	-1	-1	.	.	.	.	.	.	.	.
chr1	2938879	2938955		.	-1	-1	.	.	.	.	.	.	.	.
chr1	6131219	6131295		chr1	6131293	6131294	NA	NA	NA	83.33333333	NA	NA	NA	NA
chr1	6131219	6131295		chr1	6131294	6131295	83.33333333	83.33333333	85.71428571	73.33333333	92.85714286	87.5	77.77777778	NA
chr1	6131601	6131677		chr1	6131643	6131644	80	100	92.30769231	100	87.5	100	100	NA
chr1	6131601	6131677		chr1	6131644	6131645	NA	NA	100	NA	NA	NA	NA	NA
chr1	6131601	6131677		chr1	6131657	6131658	100	100	100	100	100	NA	100	NA
chr1	6131601	6131677		chr1	6131658	6131659	NA	100	NA	83.33333333	NA	NA	NA	83.33333333
chr1	6131601	6131677		chr1	6131667	6131668	100	72.72727273	87.5	100	100	NA	NA	NA
chr1	6131601	6131677		chr1	6131668	6131669	NA	100	NA	100	NA	NA	NA	NA
chr1	6659130	6659206		.	-1	-1	.	.	.	.	.	.	.	.
chr1	7284151	7284227		.	-1	-1	.	.	.	.	.	.	.	.
chr1	7289862	7289938		chr1	7289877	7289878	85.71428571	92.30769231	100	76.92307692	92.30769231	84.61538462	72.72727273	83.33333333
chr1	7289862	7289938		chr1	7289878	7289879	90.90909091	40	75	100	62.5	NA	75	NA
chr1	10600147	10600223		chr1	10600147	10600148	100	100	100	100	81.81818182	100	71.42857143	NA
chr1	10600147	10600223		chr1	10600148	10600149	NA	100	88.88888889	91.66666667	100	100	92.85714286	100
chr1	10600147	10600223		chr1	10600157	10600158	100	100	90	100	100	80	66.66666667	NA
chr1	10600147	10600223		chr1	10600158	10600159	NA	90	100	100	100	100	92.85714286	100
chr1	10600147	10600223		chr1	10600190	10600191	81.81818182	100	100	100	100	100	NA	NA
chr1	10600147	10600223		chr1	10600191	10600192	NA	NA	100	90.90909091	NA	NA	77.77777778	NA
chr1	10600147	10600223		chr1	10600217	10600218	90	100	87.5	100	87.5	100	NA	NA
chr1	10600147	10600223		chr1	10600218	10600219	NA	NA	NA	83.33333333	NA	NA	90	NA
chr1	11020556	11020632		chr1	11020616	11020617	NA	NA	100	100	100	NA	83.33333333	100
chr1	11020556	11020632		chr1	11020617	11020618	100	100	100	100	NA	NA	100	NA
chr1	11020556	11020632		chr1	11020626	11020627	NA	NA	100	NA	100	NA	NA	100
chr1	11020556	11020632		chr1	11020627	11020628	100	100	100	100	83.33333333	NA	100	NA
chr1	11020556	11020632		chr1	11020630	11020631	NA	NA	100	NA	100	NA	NA	100
chr1	11020556	11020632		chr1	11020631	11020632	100	100	100	100	100	NA	85.71428571	NA
chr1	12609233	12609309		chr1	12609239	12609240	NA	87.5	64.28571429	69.23076923	88.88888889	NA	83.33333333	100
chr1	12609233	12609309		chr1	12609240	12609241	100	NA	90	100	83.33333333	100	83.33333333	NA
chr1	12609233	12609309		chr1	12609291	12609292	NA	33.33333333	62.5	72.72727273	NA	NA	NA	66.66666667
chr1	12609233	12609309		chr1	12609292	12609293	75	NA	NA	83.33333333	66.66666667	87.5	50	83.33333333
chr1	12609233	12609309		chr1	12609305	12609306	NA	NA	66.66666667	75	NA	NA	NA	NA
chr1	12609233	12609309		chr1	12609306	12609307	71.42857143	NA	NA	NA	83.33333333	50	66.66666667	83.33333333
chr1	12625884	12625960		.	-1	-1	.	.	.	.	.	.	.	.
chr1	16342080	16342156		chr1	16342134	16342135	NA	100	NA	100	NA	100	NA	NA
chr1	16342080	16342156		chr1	16342135	16342136	NA	100	83.33333333	NA	NA	NA	NA	NA
chr1	16966279	16966355		.	-1	-1	.	.	.	.	.	.	.	.
chr1	30511673	30511749		chr1	30511676	30511677	92.85714286	71.42857143	77.77777778	60	NA	100	42.85714286	100
chr1	32664906	32664982		chr1	32664910	32664911	100	82.35294118	81.81818182	81.81818182	80	87.5	NA	NA
chr1	32664906	32664982		chr1	32664911	32664912	66.66666667	66.66666667	66.66666667	92.85714286	100	100	81.25	NA
chr1	33864932	33865008		.	-1	-1	.	.	.	.	.	.	.	.
chr1	36859197	36859273		chr1	36859209	36859210	83.33333333	100	100	100	NA	NA	NA	NA
chr1	36859197	36859273		chr1	36859215	36859216	100	90.90909091	100	100	NA	NA	NA	NA
chr1	36859197	36859273		chr1	36859224	36859225	85.71428571	90.90909091	100	100	NA	NA	NA	100
chr1	36859197	36859273		chr1	36859225	36859226	NA	100	NA	NA	NA	NA	NA	NA
chr1	36859197	36859273		chr1	36859227	36859228	100	90.90909091	100	71.42857143	NA	NA	NA	71.42857143
chr1	36859197	36859273		chr1	36859228	36859229	NA	100	NA	NA	NA	NA	NA	NA
chr1	36859197	36859273		chr1	36859230	36859231	100	100	NA	87.5	NA	NA	NA	100
chr1	36859197	36859273		chr1	36859231	36859232	NA	100	NA	NA	NA	NA	NA	NA
chr1	38467629	38467705		chr1	38467685	38467686	100	95.45454545	100	84.61538462	100	95.23809524	94.73684211	100
chr1	38467629	38467705		chr1	38467686	38467687	100	95	100	100	93.75	88.88888889	80	91.66666667
chr1	52210429	52210505		.	-1	-1	.	.	.	.	.	.	.	.
chr1	54859846	54859922		.	-1	-1	.	.	.	.	.	.	.	.
chr1	55024769	55024845		chr1	55024816	55024817	NA	NA	NA	NA	NA	NA	100	NA
chr1	55024769	55024845		chr1	55024817	55024818	NA	NA	88.88888889	100	100	71.42857143	100	83.33333333
chr1	55024769	55024845		chr1	55024830	55024831	NA	NA	NA	NA	NA	NA	85.71428571	NA
chr1	55024769	55024845		chr1	55024831	55024832	NA	NA	95.65217391	85.71428571	90	80	91.66666667	NA
chr1	55024769	55024845		chr1	55024838	55024839	NA	NA	NA	NA	NA	NA	100	NA
chr1	55024769	55024845		chr1	55024839	55024840	NA	NA	90.90909091	100	100	90.90909091	91.66666667	NA
chr1	59893117	59893193		chr1	59893140	59893141	100	94.44444444	85.71428571	91.66666667	83.33333333	85.71428571	71.42857143	NA
chr1	59893117	59893193		chr1	59893141	59893142	66.66666667	75	90	75	100	88.88888889	88.88888889	100
chr1	64067619	64067695		.	-1	-1	.	.	.	.	.	.	.	.
chr1	68225638	68225714		chr1	68225659	68225660	100	84.61538462	44.44444444	92.30769231	NA	100	80	NA
chr1	68225638	68225714		chr1	68225660	68225661	81.81818182	100	84.21052632	87.5	100	72.72727273	76.92307692	85.71428571
chr1	68225638	68225714		chr1	68225698	68225699	NA	100	100	81.81818182	NA	100	90.90909091	NA
chr1	68225638	68225714		chr1	68225699	68225700	100	100	96.2962963	100	100	100	100	100
chr1	71632169	71632245		.	-1	-1	.	.	.	.	.	.	.	.
chr1	76839957	76840033		.	-1	-1	.	.	.	.	.	.	.	.
chr1	86534057	86534133		chr1	86534077	86534078	NA	NA	NA	NA	100	NA	NA	NA
chr1	86534057	86534133		chr1	86534078	86534079	NA	100	NA	85.71428571	NA	NA	NA	NA
chr1	110889923	110889999		.	-1	-1	.	.	.	.	.	.	.	.
chr1	116311504	116311580		.	-1	-1	.	.	.	.	.	.	.	.
chr1	116311569	116311645		chr1	116311601	116311602	NA	83.33333333	66.66666667	NA	NA	100	100	NA
chr1	116311569	116311645		chr1	116311602	116311603	88.88888889	100	100	100	100	100	76.92307692	NA
chr1	145486535	145486611		chr1	145486581	145486582	NA	NA	NA	NA	NA	66.66666667	NA	NA
chr1	145486535	145486611		chr1	145486582	145486583	NA	NA	NA	NA	NA	83.33333333	NA	NA
chr1	147083874	147083950		chr1	147083877	147083878	NA	90	83.33333333	60	66.66666667	100	90	NA
chr1	147083874	147083950		chr1	147083878	147083879	NA	91.66666667	28.57142857	80	75	85.71428571	88.88888889	NA
chr1	147083874	147083950		chr1	147083880	147083881	NA	100	75	80	66.66666667	92.30769231	100	NA
chr1	147083874	147083950		chr1	147083881	147083882	NA	81.81818182	57.14285714	80	62.5	85.71428571	77.77777778	NA
chr1	151100569	151100645		.	-1	-1	.	.	.	.	.	.	.	.
chr1	151148191	151148267		.	-1	-1	.	.	.	.	.	.	.	.
chr1	153605640	153605716		chr1	153605650	153605651	NA	NA	NA	100	83.33333333	100	NA	NA
chr1	153605640	153605716		chr1	153605651	153605652	NA	100	91.66666667	100	100	80	94.73684211	NA
chr1	153605640	153605716		chr1	153605667	153605668	NA	NA	NA	100	100	NA	NA	NA
chr1	153605640	153605716		chr1	153605668	153605669	NA	80	100	100	100	100	100	NA
chr1	153605640	153605716		chr1	153605689	153605690	NA	NA	NA	85.71428571	88.88888889	100	NA	NA
chr1	153605640	153605716		chr1	153605690	153605691	NA	75	91.66666667	100	100	NA	100	NA
chr1	153605640	153605716		chr1	153605713	153605714	NA	NA	NA	100	100	100	100	NA
chr1	153605640	153605716		chr1	153605714	153605715	100	100	100	100	NA	NA	100	83.33333333
chr1	154834218	154834294		chr1	154834230	154834231	NA	100	NA	NA	85.71428571	NA	NA	NA
chr1	154834218	154834294		chr1	154834231	154834232	100	90	100	100	100	100	90	NA
chr1	154834218	154834294		chr1	154834235	154834236	NA	100	71.42857143	NA	100	NA	NA	NA
chr1	154834218	154834294		chr1	154834236	154834237	100	90	100	92.30769231	100	85.71428571	90	NA
chr1	159409132	159409208		.	-1	-1	.	.	.	.	.	.	.	.
chr1	160112598	160112674		chr1	160112606	160112607	NA	NA	NA	75	NA	NA	NA	NA
chr1	160112598	160112674		chr1	160112607	160112608	NA	NA	90	87.5	NA	NA	100	NA
chr1	160112598	160112674		chr1	160112641	160112642	NA	NA	NA	87.5	NA	100	NA	NA
chr1	160112598	160112674		chr1	160112642	160112643	NA	NA	90	100	100	100	100	NA
chr1	160112598	160112674		chr1	160112649	160112650	NA	NA	NA	100	NA	100	NA	NA
chr1	160112598	160112674		chr1	160112650	160112651	NA	NA	90	75	83.33333333	100	100	83.33333333
chr1	166812491	166812567		chr1	166812492	166812493	100	100	87.5	100	92.30769231	100	100	NA
chr1	166812491	166812567		chr1	166812493	166812494	NA	87.5	100	NA	100	100	92.85714286	NA
chr1	167063593	167063669		.	-1	-1	.	.	.	.	.	.	.	.
chr1	167063804	167063880		.	-1	-1	.	.	.	.	.	.	.	.
chr1	167063826	167063902		.	-1	-1	.	.	.	.	.	.	.	.
chr1	168698404	168698480		.	-1	-1	.	.	.	.	.	.	.	.
chr1	168698792	168698868		.	-1	-1	.	.	.	.	.	.	.	.
chr1	172113431	172113507		chr1	172113431	172113432	50	NA	NA	85.71428571	NA	NA	NA	NA
chr1	172113431	172113507		chr1	172113476	172113477	NA	87.5	90	100	65	40	100	NA
chr1	172113431	172113507		chr1	172113477	172113478	50	33.33333333	NA	50	NA	NA	NA	NA
chr1	172113431	172113507		chr1	172113488	172113489	NA	100	83.33333333	100	80	55.55555556	91.66666667	NA
chr1	172113431	172113507		chr1	172113489	172113490	66.66666667	NA	NA	100	NA	NA	NA	NA
chr1	172415980	172416056		.	-1	-1	.	.	.	.	.	.	.	.
chr1	178819107	178819183		chr1	178819146	178819147	NA	90	90	92.85714286	100	83.33333333	100	100
chr1	178914911	178914987		.	-1	-1	.	.	.	.	.	.	.	.
chr1	192982937	192983013		chr1	192982976	192982977	NA	NA	88.88888889	91.66666667	83.33333333	100	100	NA
chr1	192982937	192983013		chr1	192982977	192982978	NA	83.33333333	100	81.81818182	87.5	100	60	NA
chr1	196619556	196619632		.	-1	-1	.	.	.	.	.	.	.	.
chr1	196619657	196619733		chr1	196619718	196619719	NA	75	NA	55.55555556	100	70	NA	83.33333333
chr1	196619657	196619733		chr1	196619719	196619720	NA	83.33333333	100	100	100	85.71428571	84.61538462	85.71428571
chr1	205210624	205210700		chr1	205210686	205210687	NA	0	0	0	NA	NA	0	NA
chr1	205210624	205210700		chr1	205210687	205210688	NA	0	0	0	0	0	0	0
chr1	206867398	206867474		chr1	206867466	206867467	NA	90	76.92307692	90	100	87.5	77.77777778	88.88888889
chr1	206867398	206867474		chr1	206867467	206867468	92.30769231	90	80	91.66666667	84.61538462	100	73.33333333	100
chr1	209799116	209799192		.	-1	-1	.	.	.	.	.	.	.	.
chr1	212798125	212798201		chr1	212798194	212798195	85.71428571	100	100	72.72727273	88.88888889	100	100	NA
chr1	212798125	212798201		chr1	212798195	212798196	NA	NA	85.71428571	70	NA	80	100	NA
chr1	221736957	221737033		chr1	221736963	221736964	NA	100	NA	NA	NA	85.71428571	NA	NA
chr1	221736957	221737033		chr1	221736964	221736965	NA	NA	100	NA	NA	100	NA	NA
chr1	228403282	228403358		chr1	228403285	228403286	NA	100	83.33333333	100	100	NA	100	NA
chr1	228403282	228403358		chr1	228403294	228403295	NA	88.88888889	100	100	100	NA	NA	NA
chr1	228403282	228403358		chr1	228403339	228403340	66.66666667	100	100	100	70	NA	100	NA
chr1	230458196	230458272		.	-1	-1	.	.	.	.	.	.	.	.
chr1	231518450	231518526		.	-1	-1	.	.	.	.	.	.	.	.
chr1	235664716	235664792		.	-1	-1	.	.	.	.	.	.	.	.
chr1	236848625	236848701		chr1	236848627	236848628	NA	11.11111111	22.22222222	9.090909091	NA	0	0	11.11111111
chr1	236848625	236848701		chr1	236848628	236848629	NA	0	11.11111111	7.692307692	13.33333333	NA	0	28.57142857
chr1	236848625	236848701		chr1	236848635	236848636	NA	11.11111111	11.11111111	25	NA	9.090909091	10	11.11111111
chr1	236848625	236848701		chr1	236848636	236848637	NA	37.5	11.11111111	7.692307692	16.66666667	NA	44.44444444	25
chr1	240653938	240654014		chr1	240653960	240653961	NA	NA	85.71428571	62.5	88.88888889	75	27.27272727	NA
chr1	240653938	240654014		chr1	240653961	240653962	66.66666667	57.14285714	42.85714286	42.85714286	55.55555556	77.77777778	50	57.14285714
chr2	397655	397731		chr2	397679	397680	NA	100	100	100	85.71428571	NA	100	100
chr2	397655	397731		chr2	397680	397681	NA	85.71428571	100	66.66666667	100	87.5	100	NA
chr2	397655	397731		chr2	397707	397708	NA	100	NA	85.71428571	100	NA	87.5	100
chr2	397655	397731		chr2	397708	397709	NA	NA	100	85.71428571	100	100	100	NA
chr2	397655	397731		chr2	397711	397712	NA	100	NA	100	100	83.33333333	87.5	87.5
chr2	397655	397731		chr2	397712	397713	NA	NA	100	85.71428571	100	100	100	NA
chr2	397655	397731		chr2	397730	397731	NA	85.71428571	NA	85.71428571	66.66666667	NA	NA	NA
chr2	620190	620266		chr2	620191	620192	NA	NA	NA	NA	NA	100	NA	NA
chr2	620190	620266		chr2	620224	620225	NA	NA	NA	83.33333333	NA	NA	NA	NA
chr2	620190	620266		chr2	620257	620258	NA	NA	NA	100	NA	NA	NA	NA
chr2	1544246	1544322		chr2	1544262	1544263	NA	100	75	100	100	100	100	100
chr2	1544246	1544322		chr2	1544263	1544264	NA	83.33333333	100	77.77777778	NA	NA	100	NA
chr2	1544246	1544322		chr2	1544288	1544289	NA	100	NA	100	88.88888889	NA	88.88888889	100
chr2	1544246	1544322		chr2	1544289	1544290	NA	83.33333333	100	100	NA	85.71428571	NA	NA
chr2	1544246	1544322		chr2	1544312	1544313	NA	100	NA	100	85.71428571	NA	83.33333333	NA
chr2	1544246	1544322		chr2	1544313	1544314	NA	50	100	76.92307692	NA	100	NA	NA
chr2	1544295	1544371		chr2	1544312	1544313	NA	100	NA	100	85.71428571	NA	83.33333333	NA
chr2	1544295	1544371		chr2	1544313	1544314	NA	50	100	76.92307692	NA	100	NA	NA
chr2	1605879	1605955		chr2	1605885	1605886	NA	NA	40	NA	NA	42.85714286	42.85714286	NA
chr2	1605879	1605955		chr2	1605886	1605887	NA	NA	NA	NA	NA	50	NA	NA
chr2	1605879	1605955		chr2	1605888	1605889	NA	NA	30	NA	NA	42.85714286	0	16.66666667
chr2	1605879	1605955		chr2	1605889	1605890	NA	NA	NA	NA	NA	33.33333333	NA	NA
chr2	1605879	1605955		chr2	1605905	1605906	NA	NA	30	NA	NA	50	33.33333333	33.33333333
chr2	1605879	1605955		chr2	1605906	1605907	NA	NA	NA	NA	NA	50	NA	NA
chr2	1605879	1605955		chr2	1605910	1605911	NA	NA	44.44444444	NA	NA	33.33333333	30	33.33333333
chr2	1605879	1605955		chr2	1605911	1605912	NA	NA	NA	NA	NA	33.33333333	NA	NA
chr2	1605879	1605955		chr2	1605950	1605951	NA	NA	33.33333333	60	NA	0	12.5	0
chr2	1605879	1605955		chr2	1605951	1605952	NA	50	NA	NA	NA	NA	NA	NA
chr2	1647122	1647198		chr2	1647129	1647130	NA	83.33333333	100	87.5	71.42857143	NA	75	NA
chr2	1647122	1647198		chr2	1647130	1647131	75	100	80	100	66.66666667	83.33333333	57.14285714	NA
chr2	1647122	1647198		chr2	1647183	1647184	100	100	91.66666667	90	85.71428571	71.42857143	90.90909091	NA
chr2	1647122	1647198		chr2	1647184	1647185	100	100	83.33333333	NA	91.66666667	71.42857143	100	NA
chr2	1681078	1681154		chr2	1681139	1681140	0	57.14285714	14.28571429	37.5	11.11111111	20	50	NA
chr2	1681078	1681154		chr2	1681140	1681141	NA	NA	NA	16.66666667	NA	NA	NA	NA
chr2	1690517	1690593		.	-1	-1	.	.	.	.	.	.	.	.
chr2	1732097	1732173		chr2	1732158	1732159	62.5	50	83.33333333	88.88888889	66.66666667	87.5	60	NA
chr2	1732097	1732173		chr2	1732159	1732160	NA	NA	88.88888889	NA	NA	NA	NA	NA
chr2	1742934	1743010		chr2	1743009	1743010	0	0	0	0	0	0	9.090909091	0
chr2	3063174	3063250		chr2	3063176	3063177	NA	NA	NA	100	NA	100	NA	NA
chr2	3063174	3063250		chr2	3063177	3063178	100	100	100	NA	NA	NA	88.88888889	100
chr2	3063174	3063250		chr2	3063181	3063182	NA	NA	NA	71.42857143	NA	100	NA	NA
chr2	3063174	3063250		chr2	3063182	3063183	83.33333333	50	NA	NA	NA	NA	87.5	100
chr2	3063174	3063250		chr2	3063207	3063208	NA	NA	NA	87.5	NA	100	NA	NA
chr2	3063174	3063250		chr2	3063208	3063209	100	87.5	100	NA	NA	66.66666667	100	NA
chr2	3063174	3063250		chr2	3063213	3063214	NA	NA	NA	100	NA	100	NA	NA
chr2	3063174	3063250		chr2	3063214	3063215	100	100	87.5	NA	NA	100	100	NA
chr2	3128748	3128824		.	-1	-1	.	.	.	.	.	.	.	.
chr2	3826546	3826622		chr2	3826569	3826570	25	62.5	54.54545455	66.66666667	77.77777778	20	76.47058824	70
chr2	3826546	3826622		chr2	3826570	3826571	NA	66.66666667	46.15384615	66.66666667	76.92307692	16.66666667	69.23076923	25
chr2	3826546	3826622		chr2	3826608	3826609	100	92.85714286	92.30769231	92.30769231	100	84.61538462	90.90909091	91.66666667
chr2	3826546	3826622		chr2	3826609	3826610	NA	NA	81.81818182	100	100	87.5	83.33333333	88.88888889
chr2	11118489	11118565		chr2	11118558	11118559	NA	NA	56.25	70	71.42857143	71.42857143	77.77777778	66.66666667
chr2	11118489	11118565		chr2	11118559	11118560	50	100	NA	100	NA	88.88888889	66.66666667	83.33333333
chr2	11598893	11598969		chr2	11598928	11598929	88.88888889	91.30434783	65	100	90.90909091	78.57142857	84.21052632	NA
chr2	11598893	11598969		chr2	11598929	11598930	83.33333333	100	100	87.5	100	NA	100	83.33333333
chr2	12480320	12480396		chr2	12480357	12480358	55.55555556	100	NA	NA	NA	83.33333333	NA	100
chr2	12480320	12480396		chr2	12480358	12480359	NA	100	100	100	100	100	92.30769231	NA
chr2	12480320	12480396		chr2	12480359	12480360	100	100	NA	NA	NA	83.33333333	NA	100
chr2	12480320	12480396		chr2	12480360	12480361	NA	100	90.90909091	100	100	100	84.61538462	NA
chr2	23854307	23854383		chr2	23854355	23854356	100	100	100	100	100	100	90	NA
chr2	23854307	23854383		chr2	23854356	23854357	100	NA	100	100	100	100	90.90909091	83.33333333
chr2	30878501	30878577		.	-1	-1	.	.	.	.	.	.	.	.
chr2	47356521	47356597		chr2	47356564	47356565	NA	NA	NA	NA	NA	100	NA	NA
chr2	47356521	47356597		chr2	47356565	47356566	100	100	77.77777778	100	44.44444444	100	75	NA
chr2	62420840	62420916		.	-1	-1	.	.	.	.	.	.	.	.
chr2	75878252	75878328		.	-1	-1	.	.	.	.	.	.	.	.
chr2	76705840	76705916		.	-1	-1	.	.	.	.	.	.	.	.
chr2	88366772	88366848		chr2	88366772	88366773	NA	NA	100	100	100	NA	80	NA
chr2	88366772	88366848		chr2	88366776	88366777	100	75	100	93.33333333	100	100	100	90
chr2	88366772	88366848		chr2	88366777	88366778	NA	NA	100	100	100	NA	88.88888889	NA
chr2	88366772	88366848		chr2	88366780	88366781	100	91.66666667	100	93.33333333	93.33333333	91.66666667	86.66666667	90
chr2	88366772	88366848		chr2	88366781	88366782	NA	NA	100	100	85.71428571	83.33333333	100	NA
chr2	88366772	88366848		chr2	88366782	88366783	100	81.81818182	100	100	93.33333333	100	100	100
chr2	88366772	88366848		chr2	88366783	88366784	NA	NA	100	100	100	100	100	NA
chr2	88366772	88366848		chr2	88366836	88366837	83.33333333	81.81818182	88.88888889	100	81.81818182	100	85.71428571	80
chr2	88366772	88366848		chr2	88366837	88366838	NA	NA	90.90909091	85.71428571	NA	NA	85.71428571	NA
chr2	88366943	88367019		chr2	88366971	88366972	NA	100	100	NA	100	100	100	NA
chr2	88366943	88367019		chr2	88366979	88366980	NA	83.33333333	100	NA	100	71.42857143	100	NA
chr2	88366943	88367019		chr2	88366986	88366987	NA	100	100	NA	87.5	100	100	NA
chr2	88366943	88367019		chr2	88366995	88366996	83.33333333	100	100	NA	87.5	100	100	NA
chr2	88366943	88367019		chr2	88367009	88367010	100	NA	100	NA	100	71.42857143	100	NA
chr2	96852041	96852117		.	-1	-1	.	.	.	.	.	.	.	.
chr2	96905526	96905602		chr2	96905535	96905536	NA	100	100	NA	NA	NA	92.30769231	NA
chr2	96905526	96905602		chr2	96905543	96905544	NA	100	100	100	NA	NA	100	100
chr2	96917492	96917568		.	-1	-1	.	.	.	.	.	.	.	.
chr2	97220783	97220859		.	-1	-1	.	.	.	.	.	.	.	.
chr2	97501528	97501604		.	-1	-1	.	.	.	.	.	.	.	.
chr2	97508411	97508487		.	-1	-1	.	.	.	.	.	.	.	.
chr2	97509756	97509832		.	-1	-1	.	.	.	.	.	.	.	.
chr2	100634184	100634260		chr2	100634205	100634206	87.5	100	100	87.5	NA	NA	NA	NA
chr2	100689723	100689799		.	-1	-1	.	.	.	.	.	.	.	.
chr2	103334270	103334346		.	-1	-1	.	.	.	.	.	.	.	.
chr2	103378431	103378507		.	-1	-1	.	.	.	.	.	.	.	.
chr2	103378979	103379055		.	-1	-1	.	.	.	.	.	.	.	.
chr2	105363461	105363537		chr2	105363461	105363462	NA	NA	NA	0	NA	NA	NA	NA
chr2	105363461	105363537		chr2	105363482	105363483	NA	NA	25	NA	16.66666667	NA	0	NA
chr2	106485408	106485484		.	-1	-1	.	.	.	.	.	.	.	.
chr2	106812025	106812101		.	-1	-1	.	.	.	.	.	.	.	.
chr2	119991252	119991328		chr2	119991281	119991282	NA	100	100	100	91.66666667	100	100	83.33333333
chr2	119991252	119991328		chr2	119991282	119991283	88.88888889	92.85714286	66.66666667	100	100	87.5	93.75	NA
chr2	119991252	119991328		chr2	119991296	119991297	NA	94.11764706	90.90909091	93.33333333	100	100	91.66666667	100
chr2	119991252	119991328		chr2	119991297	119991298	100	86.66666667	71.42857143	100	94.44444444	77.77777778	91.66666667	NA
chr2	121261286	121261362		.	-1	-1	.	.	.	.	.	.	.	.
chr2	127826074	127826150		chr2	127826075	127826076	NA	100	NA	100	100	77.77777778	NA	100
chr2	127826074	127826150		chr2	127826076	127826077	87.5	100	92.30769231	100	88.88888889	NA	80	100
chr2	127826074	127826150		chr2	127826084	127826085	NA	100	NA	100	100	100	NA	87.5
chr2	127826074	127826150		chr2	127826085	127826086	100	100	100	100	100	NA	95.23809524	100
chr2	127826074	127826150		chr2	127826091	127826092	NA	100	NA	90.90909091	NA	100	NA	100
chr2	127826074	127826150		chr2	127826092	127826093	100	100	86.66666667	90	100	NA	95	100
chr2	127826074	127826150		chr2	127826119	127826120	NA	71.42857143	NA	60	100	14.28571429	NA	33.33333333
chr2	127826074	127826150		chr2	127826120	127826121	NA	50	92.85714286	57.14285714	100	57.14285714	61.9047619	42.85714286
chr2	127826074	127826150		chr2	127826124	127826125	NA	100	NA	100	100	85.71428571	NA	100
chr2	127826074	127826150		chr2	127826125	127826126	NA	100	100	NA	100	100	95.23809524	100
chr2	127826074	127826150		chr2	127826126	127826127	NA	100	NA	100	100	85.71428571	NA	NA
chr2	127826074	127826150		chr2	127826127	127826128	NA	100	93.33333333	NA	100	100	100	100
chr2	145162414	145162490		.	-1	-1	.	.	.	.	.	.	.	.
