CpG. Probe	chr	start	"Average of all tissues, not lung"	Fibrotic Average	Lung Average	Leukocyte Average
cg00136173	5	176045746	0.8298	0.342475	0.845675	0.923125
cg00137944	1	50798265	0.876899099	-1	-1	0.9559875
cg00143606	5	10759383	0.899137838	0.417875	0.90405	0.9453875
cg00145404	7	2686844	0.890036036	-1	-1	0.9745875
cg00146233	6	168375759	0.879277477	-1	-1	0.946875
cg00148501	8	48394027	0.912294595	-1	-1	0.9112375
cg00148867	7	66751227	0.978952252	0.484675	0.982475	0.97525
cg00149492	1	36038468	0.892057658	0.397525	0.859125	0.9515125
cg00149537	1	9409810	0.838876577	-1	-1	0.952275
cg00149692	6	5135794	0.901052252	-1	-1	0.941675
cg00151007	3	184769954	0.89104955	-1	-1	0.9499875
cg00166234	2	63272303	0.919664865	-1	-1	0.9683125
cg00169930	4	736398	0.808847748	-1	-1	0.9304875
cg00176672	1	203134669	0.97671982	-1	-1	0.9744625
cg00177290	1	110161285	0.842074775	-1	-1	0.9239375
cg00177787	10	3330480	0.882336937	-1	-1	0.9285125
cg00184524	6	31599904	0.907631532	-1	-1	0.9294875
cg00185004	17	55752472	0.883037838	-1	-1	0.9427125
cg00187768	3	186617977	0.884513514	-1	-1	0.9125875
cg00195144	10	525946	0.937779279	0.469125	0.86835	0.9485625
cg00199428	3	13007187	0.884205405	-1	-1	0.935375
cg00205598	10	134359217	0.92657027	-1	-1	0.956925
cg00207279	7	778962	0.842093694	-1	-1	0.9639625
cg00207794	3	24161207	0.868555856	-1	-1	0.9254125
cg00209893	2	220097009	0.892486486	-1	-1	0.93625
cg00210991	6	3254119	0.952461261	-1	-1	0.9452375
cg00212119	5	178396169	0.916214414	-1	-1	0.9484
cg00216693	2	131913247	0.892790991	-1	-1	0.91585
cg00220413	17	7319074	0.933385586	-1	-1	0.944025
cg00223552	11	86617516	0.907307207	-1	-1	0.9092
cg00230450	12	14976228	0.849696396	-1	-1	0.94375
cg00243120	7	65838813	0.903867568	-1	-1	0.933675
cg00253900	16	1112075	0.936712613	-1	-1	0.937475
cg00268644	20	6105569	0.897195495	-1	-1	0.94695
cg00275626	13	111109140	0.908464865	0.4099	0.8936	0.94175
cg00276443	7	150878319	0.801112613	-1	-1	0.911325
cg00277165	5	912383	0.843572973	-1	-1	0.9128125
cg00287717	10	52390780	0.911634234	-1	-1	0.9402875
cg00294885	2	33815183	0.885388288	0.4218	0.413625	0.92635
cg00305874	1	3550111	0.910899099	-1	-1	0.9395375
cg00312985	7	112519060	0.924069369	-1	-1	0.9741
cg00321082	17	79133264	0.910038739	-1	-1	0.907325
cg00321775	10	48416391	0.972158559	0.486525	0.98625	0.9755875
cg00321867	1	16260963	0.96019009	-1	-1	0.9573125
cg00337968	7	138554377	0.972986486	-1	-1	0.9617625
cg00343747	8	18411478	0.8592	-1	-1	0.92455
cg00344644	7	133709490	0.879972973	-1	-1	0.93
cg00347170	7	2293277	0.962589189	-1	-1	0.9663625
cg00347938	11	69469113	0.9569	0.455475	0.983825	0.962475
cg00354125	7	156889675	0.870455856	-1	-1	0.9441625
cg00356251	7	158051019	0.8777	-1	-1	0.914575
cg00363114	11	113844663	0.873346847	-1	-1	0.904775
cg00368755	8	103749164	0.904618919	-1	-1	0.9448125
cg00373991	10	102763563	0.857062162	-1	-1	0.95325
cg00386586	13	114917527	0.877520721	-1	-1	0.909075
cg00388503	2	64372160	0.892088288	-1	-1	0.934625
cg00398759	7	155574330	0.877986486	-1	-1	0.94245
cg00401456	5	106809987	0.893915315	-1	-1	0.945175
cg00404788	9	72132173	0.914163063	-1	-1	0.9334375
cg00407393	6	158464296	0.80732973	-1	-1	0.9153625
cg00415276	5	55033711	0.940536937	-1	-1	0.934975
cg00419123	16	89959984	0.903972973	-1	-1	0.9640125
cg00420095	5	178046262	0.819540541	-1	-1	0.912525
cg00420559	7	40367873	0.842373874	-1	-1	0.9064875
cg00433292	10	134219521	0.909787387	-1	-1	0.97095
cg00435834	19	44809685	0.863583784	-1	-1	0.9228875
cg00436209	10	132001420	0.826192793	-1	-1	0.9193875
cg00438071	16	47005331	0.90523964	-1	-1	0.93955
cg00447277	17	3558808	0.849900901	-1	-1	0.910725
cg00447769	3	49313334	0.80167027	-1	-1	0.9540875
cg00448891	10	134731784	0.9516	0.48355	0.47805	0.9828375
cg00450719	10	134584430	0.888472072	-1	-1	0.914975
cg00451513	10	73973043	0.9299	-1	-1	0.9734875
cg00452079	3	73111175	0.855518919	0.361125	0.881875	0.909675
cg00461174	12	14651515	0.885298198	-1	-1	0.9378375
cg00461905	18	77315962	0.938538739	-1	-1	0.9607875
cg00462430	1	232608508	0.876633333	-1	-1	0.9661
cg00464025	1	183907542	0.904203604	-1	-1	0.937625
cg00469240	16	1246033	0.890474775	-1	-1	0.94745
cg00469547	2	129244034	0.87172973	0.391925	0.861475	0.9324875
cg00474017	13	114074435	0.964766667	-1	-1	0.97455
cg00474943	17	78877076	0.880004505	-1	-1	0.9204375
cg00477387	2	207628633	0.871866667	-1	-1	0.920125
cg00494919	10	135020822	0.825289189	-1	-1	0.9152375
cg00495740	19	34291318	0.843928829	-1	-1	0.9244875
cg00497177	19	5706039	0.866036937	-1	-1	0.9121375
cg00499781	16	7568364	0.952093694	0.46255	0.945725	0.9406625
cg00510087	10	7618556	0.955676577	-1	-1	0.9531125
cg00514353	5	141233646	0.906497297	-1	-1	0.95415
cg00517511	12	115115415	0.850113514	-1	-1	0.928425
cg00524676	12	34537250	0.863548649	-1	-1	0.9146625
cg00530568	5	135587383	0.953142342	0.4735	0.97875	0.9701375
cg00530688	12	107974554	0.849091892	-1	-1	0.976575
cg00531246	13	114174973	0.96640991	-1	-1	0.9593625
cg00533934	2	234652669	0.865427928	-1	-1	0.9124625
cg00534684	1	28504648	0.91597027	-1	-1	0.9660125
cg00535334	2	210840833	0.915738739	-1	-1	0.93715
cg00538021	16	12192263	0.875958559	-1	-1	0.9409125
cg00543604	X	13397493	0.853356757	-1	-1	0.95565
cg00548595	6	30880287	0.904434234	-1	-1	0.956475
cg00549375	2	172375776	0.929522523	-1	-1	0.9635375
cg00551378	6	31711701	0.887871171	-1	-1	0.9522
cg00554260	2	59494314	0.833023423	-1	-1	0.9226
cg00561891	13	113745525	0.902200901	-1	-1	0.9685125
cg00562312	5	178752999	0.835087387	-1	-1	0.9013
cg00563771	6	5110810	0.916390991	-1	-1	0.9039875
cg00563858	5	153735395	0.870196396	-1	-1	0.9684125
cg00567592	7	150889404	0.898104505	-1	-1	0.933125
cg00568426	10	122712429	0.881955856	-1	-1	0.901825
cg00570088	19	1017316	0.818885586	-1	-1	0.929425
cg00570097	X	118012313	0.849042342	-1	-1	0.9357
cg00575645	5	169548502	0.881694595	-1	-1	0.9584375
cg00576108	11	68201131	0.871948649	-1	-1	0.93505
cg00577364	9	130166375	0.899135135	-1	-1	0.9348125
cg00579393	2	79316004	0.896444144	-1	-1	0.9365125
cg00585219	10	88470569	0.856854955	-1	-1	0.963825
cg00587834	3	51749959	0.934574775	-1	-1	0.9649
cg00598956	4	77409957	0.879723423	-1	-1	0.90645
cg00605240	12	1137376	0.953294595	0.483375	0.974525	0.962
cg00613344	1	222722670	0.911691892	-1	-1	0.9551875
cg00613997	15	24920990	0.896452252	-1	-1	0.930275
cg00619168	17	80763930	0.935126126	-1	-1	0.9750625
cg00632575	7	5539927	0.86328018	-1	-1	0.9044875
cg00639579	12	133369803	0.968911712	-1	-1	0.974075
cg00644107	16	2762673	0.84982973	-1	-1	0.940125
cg00647095	12	42852913	0.930700901	0.4372	0.933175	0.9707375
cg00653312	16	87863785	0.856604505	0.384775	0.8845	0.9022
cg00663396	3	124885385	0.883204505	-1	-1	0.9146
cg00664343	3	137902226	0.849520721	-1	-1	0.91605
cg00665482	7	631926	0.955237838	-1	-1	0.92495
cg00673208	8	128798083	0.919745946	-1	-1	0.9195375
cg00679294	8	81177979	0.919784685	-1	-1	0.924625
cg00679711	17	3716493	0.888018919	-1	-1	0.903025
cg00686643	6	32130027	0.915211712	-1	-1	0.960275
cg00688246	3	174362756	0.834589189	-1	-1	0.9308375
cg00701571	16	81134712	0.936474775	-1	-1	0.9447125
cg00702325	1	17665930	0.880122523	-1	-1	0.9372875
cg00702729	7	99757654	0.935587387	-1	-1	0.9719625
cg00703061	18	75889492	0.860948649	-1	-1	0.9116
cg00710736	3	125000990	0.846527027	-1	-1	0.9328
cg00715835	7	1584061	0.830983784	-1	-1	0.9406625
cg00718175	7	158807362	0.858502703	-1	-1	0.9082625
cg00719108	2	220080756	0.967110811	-1	-1	0.9553375
cg00720339	7	157448944	0.89441982	-1	-1	0.9433
cg00726011	6	109165798	0.848617117	-1	-1	0.95525
cg00726029	8	49335078	0.894717117	-1	-1	0.9109
cg00737801	16	1516140	0.9783	-1	-1	0.9749125
cg00743849	16	2503373	0.917191892	-1	-1	0.9197625
cg00745046	10	133449506	0.850130631	-1	-1	0.927975
cg00751501	16	84342709	0.907602703	-1	-1	0.9270375
cg00759178	10	131359714	0.897564865	-1	-1	0.9094375
cg00762185	14	102028737	0.852607207	0.39345	0.860425	0.9441125
cg00762605	2	220022495	0.809451351	-1	-1	0.9132375
cg00764058	10	50437065	0.911891892	-1	-1	0.9647
cg00764093	7	2851991	0.886011712	-1	-1	0.926225
cg00770685	2	240298235	0.935865766	-1	-1	0.9084375
cg00777679	4	707862	0.926477477	-1	-1	0.9675375
cg00781378	3	173999704	0.814413514	-1	-1	0.9145625
cg00785192	1	22739888	0.907300901	-1	-1	0.922775
cg00786939	1	20211659	0.89202973	-1	-1	0.9614125
cg00791283	12	79498966	0.915681081	-1	-1	0.965925
cg00792271	5	62074572	0.893007207	-1	-1	0.925825
cg00795584	6	82649352	0.840606306	-1	-1	0.9004625
cg00803758	4	184539762	0.811855856	-1	-1	0.933175
cg00804803	1	10601595	0.898837838	-1	-1	0.9643125
cg00806505	1	171622329	0.848064865	-1	-1	0.9178125
cg00807475	6	30706746	0.90389009	-1	-1	0.929375
cg00814909	4	1225599	0.832337838	-1	-1	0.963225
cg00815117	17	27085788	0.932469369	-1	-1	0.9502
cg00820513	10	131713890	0.815551351	-1	-1	0.902725
cg00821051	10	131592591	0.949904505	-1	-1	0.9367125
cg00826767	10	101541852	0.854965766	-1	-1	0.904375
cg00827239	1	3791597	0.915414414	-1	-1	0.96595
cg00837677	10	48372681	0.912904505	-1	-1	0.9634125
cg00846425	4	957561	0.822678378	-1	-1	0.91205
cg00851312	10	135083880	0.909668468	-1	-1	0.9348375
cg00851987	10	69664037	0.905737838	0.416575	0.900325	0.9388125
cg00853819	7	1877678	0.904412613	-1	-1	0.97425
cg00857480	10	17188594	0.850485586	-1	-1	0.9184875
cg00857526	3	13677231	0.913422523	-1	-1	0.9262375
cg00865122	4	4668232	0.900792793	-1	-1	0.944075
cg00867113	3	11606697	0.87996036	-1	-1	0.9471375
cg00867406	16	89997889	0.931189189	-1	-1	0.9361375
cg00871501	2	242149752	0.936615315	-1	-1	0.9186
cg00875881	14	99976466	0.9371	-1	-1	0.917925
cg00876266	19	5915133	0.966986486	-1	-1	0.9773125
cg00891645	15	81246794	0.865441441	-1	-1	0.9680125
cg00896254	7	45149652	0.916916216	-1	-1	0.94445
cg00898059	14	99816220	0.880913514	-1	-1	0.9246
cg00901393	X	49776519	0.854667568	-1	-1	0.9424
cg00902763	3	183750690	0.853204505	0.302725	0.720325	0.914075
cg00905419	1	2839179	0.854101802	-1	-1	0.9470125
cg00907920	X	119249786	0.894752252	-1	-1	0.9001625
cg00908305	10	5567827	0.850896396	-1	-1	0.96155
cg00909242	16	83945828	0.872462162	-1	-1	0.9562125
cg00910924	6	165986443	0.891667568	-1	-1	0.951075
cg00918422	1	11115051	0.929783784	-1	-1	0.957975
cg00922825	10	98946790	0.960030631	0.47875	0.964825	0.9688125
cg00923230	9	34134616	0.928154054	0.43295	0.9145	0.9595375
cg00923259	1	147374938	0.935457658	-1	-1	0.9736875
cg00927134	1	3496101	0.871579279	-1	-1	0.9341375
cg00933224	2	54085310	0.854772973	-1	-1	0.91635
cg00943083	5	78134577	0.91830991	-1	-1	0.9635875
cg00945789	5	2006374	0.901996396	-1	-1	0.9293375
cg00946753	14	100789763	0.922316216	-1	-1	0.979525
cg00955089	6	11878092	0.920605405	-1	-1	0.95835
cg00955186	10	125804378	0.868972072	-1	-1	0.9425
cg00962254	16	678050	0.91443964	-1	-1	0.9262
cg00977377	6	108146329	0.935935135	-1	-1	0.9712125
cg00978519	10	33224744	0.901375676	-1	-1	0.9212
cg00979231	2	236719867	0.913132432	-1	-1	0.951125
cg00981250	6	144330345	0.903671171	-1	-1	0.9663125
cg00988396	1	2259162	0.913582883	-1	-1	0.9141375
cg00988708	7	141175902	0.885177477	-1	-1	0.946675
cg00989258	12	123527156	0.839535135	-1	-1	0.9242375
cg00996469	6	74157722	0.892468468	-1	-1	0.9045875
cg00996790	8	1432751	0.876113514	-1	-1	0.9215625
cg01000236	16	1262174	0.951130631	-1	-1	0.978275
cg01000954	5	140821244	0.955082883	-1	-1	0.9673125
cg01005441	8	1829637	0.930226126	-1	-1	0.9580625
cg01008121	19	44809690	0.905089189	-1	-1	0.9490875
cg01008433	10	3278410	0.926884685	0.44025	0.917775	0.931075
cg01010298	X	8093828	0.86680991	-1	-1	0.9496125
cg01012666	1	2445774	0.811553153	-1	-1	0.9188
cg01013738	7	1149705	0.958501802	-1	-1	0.9641625
cg01014029	7	5646477	0.908457658	-1	-1	0.9304125
cg01020475	13	114304812	0.841411712	-1	-1	0.905375
cg01022087	7	38726323	0.920369369	-1	-1	0.9002875
cg01023714	4	10084725	0.904659459	-1	-1	0.9514125
cg01027808	22	39529215	0.927413514	-1	-1	0.91655
cg01031616	14	100597168	0.835863063	-1	-1	0.9265875
cg01031897	10	133948362	0.891256757	-1	-1	0.9120125
cg01034312	4	89510112	0.891551351	-1	-1	0.9401375
cg01035616	8	8235320	0.846174775	-1	-1	0.9086
cg01049695	2	69316230	0.873913514	-1	-1	0.93075
cg01069648	2	237906688	0.901472973	-1	-1	0.9617375
cg01073918	1	2115256	0.886694595	0.414275	0.90675	0.9574
cg01076485	3	171618318	0.899463964	-1	-1	0.9328125
cg01099252	5	137681191	0.904537838	-1	-1	0.950675
cg01099470	2	131103656	0.979086486	-1	-1	0.977725
cg01115236	13	32886082	0.950354054	-1	-1	0.9432
cg01119453	9	69260795	0.833692793	-1	-1	0.9304875
cg01137926	17	80607982	0.87663964	-1	-1	0.914975
cg01140783	6	132825654	0.896794595	-1	-1	0.9387125
cg01142096	8	682091	0.845163964	-1	-1	0.911725
cg01148002	10	134557971	0.975727027	-1	-1	0.9749
cg01150014	8	1383797	0.902935135	-1	-1	0.932325
cg01153475	17	61895428	0.966799099	-1	-1	0.9689125
cg01154721	12	121881891	0.952240541	-1	-1	0.964325
cg01160079	17	64782413	0.909533333	-1	-1	0.9377375
cg01162108	4	169764111	0.901977477	0.4157	0.912825	0.93565
cg01170160	9	36189411	0.867314414	-1	-1	0.9094125
cg01170882	20	60544751	0.902555856	-1	-1	0.9403
cg01172049	12	132286526	0.884527027	-1	-1	0.9513375
cg01173358	12	13238060	0.937209009	-1	-1	0.9417875
cg01173485	11	74302893	0.849688288	0.3556	0.80855	0.928975
cg01179268	10	99696049	0.953607207	0.474025	0.97455	0.9713875
cg01186310	X	69502085	0.847098198	-1	-1	0.9321875
cg01186613	2	44065003	0.861717117	-1	-1	0.9174
cg01194674	6	33153191	0.804587387	0.309725	0.75215	0.9375625
cg01195672	10	134557941	0.81606036	0.459825	0.938275	0.9025375
cg01196744	2	3689727	0.860738739	-1	-1	0.9379375
cg01199443	12	8597596	0.900891892	-1	-1	0.9173625
cg01200376	8	104382594	0.923482883	-1	-1	0.9597
cg01203535	19	603639	0.884734234	-1	-1	0.934675
cg01205019	4	38016339	0.947136036	-1	-1	0.9613625
cg01205639	11	4590491	0.930398198	-1	-1	0.961875
cg01206961	4	71986754	0.96934955	-1	-1	0.958375
cg01208614	5	141031443	0.80149009	-1	-1	0.9498875
cg01214459	12	1938156	0.808457658	0.25205	0.6411	0.946775
cg01215963	16	75271147	0.89249009	-1	-1	0.91565
cg01218580	10	118083830	0.872563063	-1	-1	0.9351875
cg01222168	2	242699016	0.908627027	-1	-1	0.9601875
cg01224510	16	88034065	0.946897297	-1	-1	0.9546
cg01224520	8	73856193	0.800546847	0.464825	0.49585	0.92185
cg01228739	3	197427591	0.913337838	-1	-1	0.95035
cg01231377	14	38458944	0.875621622	-1	-1	0.938025
cg01235581	11	60605718	0.872178378	-1	-1	0.9234875
cg01235983	1	32669150	0.863701802	-1	-1	0.917475
cg01238264	14	105414737	0.962572072	-1	-1	0.958675
cg01242602	6	99871510	0.845921622	-1	-1	0.93725
cg01265637	20	2795930	0.903411712	-1	-1	0.9407125
cg01271325	16	69143315	0.884513514	-1	-1	0.9458125
cg01272627	5	180659531	0.862276577	-1	-1	0.90855
cg01275566	10	79684776	0.81490991	-1	-1	0.9499
cg01275934	7	2296365	0.837614414	-1	-1	0.9303
cg01282712	12	6587676	0.912710811	-1	-1	0.9239
cg01282959	16	29323917	0.877626126	-1	-1	0.93795
cg01286950	2	100618399	0.954490991	0.438325	0.8901	0.9667125
cg01290542	8	144563403	0.938440541	-1	-1	0.98105
cg01291854	12	96613911	0.823637838	-1	-1	0.919825
cg01294431	9	114286979	0.805718018	-1	-1	0.9185375
cg01297972	18	72995553	0.921048649	-1	-1	0.9616625
cg01304027	19	55903284	0.857403604	-1	-1	0.9547375
cg01305483	7	935436	0.939584685	-1	-1	0.951375
cg01308252	6	537209	0.97012973	-1	-1	0.964625
cg01317226	3	194666543	0.965058559	-1	-1	0.9634625
cg01321873	5	84845798	0.937224324	-1	-1	0.9254625
cg01335663	21	15647368	0.858347748	-1	-1	0.910975
cg01338630	22	35948166	0.87389009	-1	-1	0.928525
cg01342943	6	66010172	0.874358559	-1	-1	0.91245
cg01360281	5	154070385	0.877361261	0.331175	0.844925	0.91135
cg01361361	3	188618380	0.818585586	-1	-1	0.9738
cg01364651	7	18067537	0.889732432	-1	-1	0.9187375
cg01364755	10	1370694	0.828272072	0.37935	0.310175	0.95915
cg01365452	4	7043077	0.950067568	0.446775	0.930275	0.936025
cg01367339	3	44962718	0.874336036	-1	-1	0.9554375
cg01369522	11	44541452	0.833266667	-1	-1	0.9194
cg01370213	11	133773069	0.916311712	-1	-1	0.956475
cg01373089	6	29589631	0.828607207	-1	-1	0.947075
cg01373444	22	45132782	0.847263964	0.466525	0.3961	0.967325
cg01374359	11	593744	0.909866667	-1	-1	0.917875
cg01378599	3	130796345	0.889068468	-1	-1	0.9274375
cg01382105	13	113406866	0.936754054	-1	-1	0.9741625
cg01392017	3	197842485	0.875059459	-1	-1	0.9255375
cg01392481	11	6631286	0.834025225	-1	-1	0.940825
cg01398247	16	2849640	0.877032432	-1	-1	0.935025
cg01398299	7	2761640	0.966735135	0.474375	0.95985	0.973125
cg01401971	10	27032461	0.843115315	-1	-1	0.95065
cg01402068	16	930028	0.933054054	-1	-1	0.943375
cg01405890	17	40256909	0.960374775	-1	-1	0.95215
cg01406776	4	8386748	0.840910811	-1	-1	0.9319125
cg01409163	8	670353	0.852785586	-1	-1	0.954925
cg01410553	3	57235344	0.917624324	0.4277	0.901325	0.9703125
cg01411222	6	44353839	0.874035135	-1	-1	0.9378375
cg01414194	8	144696871	0.82711982	-1	-1	0.920675
cg01415919	20	62043457	0.87081982	-1	-1	0.942425
cg01418645	11	27679469	0.916454955	-1	-1	0.9487375
cg01425604	10	135240975	0.906159459	-1	-1	0.95065
cg01434042	8	67782385	0.918691892	-1	-1	0.96545
cg01435178	16	613632	0.952099099	-1	-1	0.9521375
cg01439568	3	51429919	0.881441441	-1	-1	0.954125
cg01441049	1	11249761	0.87437027	-1	-1	0.9387375
cg01441308	2	127811853	0.804268468	0.469625	0.957725	0.9383375
cg01442426	3	46069366	0.889351351	-1	-1	0.9008625
cg01443337	3	112297295	0.882698198	-1	-1	0.9511625
cg01447350	16	70680108	0.8358	-1	-1	0.903875
cg01449704	17	74304007	0.971914414	0.484975	0.9299	0.9686
cg01458801	13	110408127	0.932027928	-1	-1	0.9115625
cg01464093	3	125242501	0.832844144	-1	-1	0.952525
cg01468183	2	8168335	0.918447748	-1	-1	0.9593375
cg01470578	2	238387273	0.888152252	-1	-1	0.90605
cg01471092	16	88163787	0.879467568	-1	-1	0.9370125
cg01477942	10	2978022	0.848883784	-1	-1	0.943575
cg01479645	19	10747407	0.956103604	-1	-1	0.9723875
cg01486145	14	106192030	0.854644144	-1	-1	0.948625
cg01503640	19	18963027	0.919876577	-1	-1	0.9584625
cg01507200	1	247877066	0.897289189	-1	-1	0.9594875
cg01510153	7	140620152	0.867072072	-1	-1	0.9333375
cg01514357	1	2105392	0.960887387	-1	-1	0.9529
cg01516076	20	60581659	0.94166036	-1	-1	0.934325
cg01521917	17	56238140	0.822218018	-1	-1	0.906875
cg01523285	1	52301876	0.851412613	0.40975	0.86935	0.9206375
cg01531409	14	60711269	0.859820721	-1	-1	0.9085125
cg01531542	6	155503441	0.878189189	0.391425	0.87075	0.9302625
cg01534081	3	99717920	0.91971982	-1	-1	0.9637625
cg01544733	2	231920892	0.892722523	-1	-1	0.9300125
cg01551699	7	141695711	0.869661261	-1	-1	0.9203
cg01554089	20	32378171	0.868705405	-1	-1	0.94465
cg01555981	16	22926347	0.929669369	-1	-1	0.9719
cg01582832	2	241232082	0.865603604	-1	-1	0.9152
cg01592258	14	104561685	0.888108108	-1	-1	0.939775
cg01592312	17	79658424	0.899641441	-1	-1	0.940025
cg01600352	11	25537461	0.88192973	-1	-1	0.904525
cg01603395	1	35221884	0.892662162	-1	-1	0.9272875
cg01605516	7	152369723	0.881876577	-1	-1	0.9061125
cg01608001	5	15026851	0.842672973	-1	-1	0.9267125
cg01611372	6	125372668	0.863766667	-1	-1	0.9223
cg01612440	4	3296283	0.88092973	-1	-1	0.9521125
cg01613454	2	70366299	0.903655856	-1	-1	0.94
cg01614041	6	34123414	0.941401802	-1	-1	0.9538625
cg01620208	8	142311010	0.806906306	-1	-1	0.91425
cg01620834	6	31829026	0.886853153	0.4041	0.8393	0.946225
cg01622948	21	45811547	0.831037838	-1	-1	0.9034375
cg01640635	22	38864868	0.847310811	-1	-1	0.938775
cg01641368	2	240271000	0.924812613	-1	-1	0.9526
cg01643927	8	37702485	0.85702973	-1	-1	0.9723375
cg01646864	7	99997663	0.913054054	-1	-1	0.9476
cg01649853	14	92793026	0.816371171	-1	-1	0.9134
cg01653327	8	29156804	0.893423423	-1	-1	0.937275
cg01664325	6	135572024	0.812692793	-1	-1	0.969625
cg01666436	6	168473292	0.893208108	-1	-1	0.9607
cg01666675	8	123848722	0.906968468	0.456275	0.939375	0.9264875
cg01668514	5	137592965	0.875241441	-1	-1	0.9300375
cg01675697	14	104675165	0.941099099	-1	-1	0.9423125
cg01684361	12	133349952	0.917674775	-1	-1	0.927625
cg01684429	2	217275842	0.907956757	-1	-1	0.946075
cg01697763	3	122253369	0.905261261	-1	-1	0.931725
cg01699577	20	61894118	0.910794595	-1	-1	0.9267875
cg01699581	11	130356112	0.97000991	-1	-1	0.95975
cg01701302	6	39758343	0.921599099	0.426875	0.895425	0.9196875
cg01703884	12	109878174	0.869247748	-1	-1	0.9034
cg01704877	20	376917	0.892108108	-1	-1	0.962
cg01712159	16	88994740	0.889242342	0.425425	0.8965	0.943575
cg01716465	9	78339826	0.897594595	-1	-1	0.9322875
cg01720475	1	4542769	0.951577477	-1	-1	0.9564375
cg01720795	3	187879604	0.919208108	-1	-1	0.9648875
cg01721835	1	55933546	0.918711712	-1	-1	0.930075
cg01722304	2	97192669	0.893206306	-1	-1	0.91425
cg01724080	7	5541341	0.864348649	-1	-1	0.912325
cg01727348	1	155005190	0.898501802	-1	-1	0.9293625
cg01732952	1	65209475	0.915575676	-1	-1	0.966175
cg01735890	20	62884594	0.901666667	-1	-1	0.9582375
cg01741038	12	18414933	0.818272973	-1	-1	0.9449125
cg01746118	6	169569064	0.898695495	-1	-1	0.94065
cg01747547	7	152455704	0.887952252	-1	-1	0.903325
cg01754009	17	7017953	0.875727928	-1	-1	0.925775
cg01756374	9	140712932	0.916205405	-1	-1	0.9366875
cg01761277	14	24023625	0.857740541	-1	-1	0.9089375
cg01766957	2	86449665	0.88251982	-1	-1	0.9064125
cg01768820	2	152497119	0.884745946	-1	-1	0.9659875
cg01769908	6	42665741	0.887021622	-1	-1	0.9404875
cg01770164	11	2109726	0.88871982	-1	-1	0.9365
cg01776679	2	134995684	0.932876577	-1	-1	0.963625
cg01779525	1	101009190	0.904611712	-1	-1	0.94175
cg01786151	1	41347977	0.849783784	-1	-1	0.9521
cg01786275	2	240006231	0.86500991	-1	-1	0.9122125
