PeakID (cmd=annotatePeaks.pl pc-site.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
0-119	chr8	82003961	82003961	+	0	NA	intron (NM_018440, intron 1 of 8)	L2c|LINE|L2	20342	NM_018440	55824	Hs.266175	NM_018440	ENSG00000076641	PAG1	CBP|PAG	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	protein-coding
0-332	chr16	57048114	57048114	+	0	NA	intron (NM_001330552, intron 1 of 47)	intron (NM_001330552, intron 1 of 47)	-2872	NM_032206	84166	Hs.528836	NM_032206	ENSG00000140853	NLRC5	CLR16.1|NOD27|NOD4	NLR family CARD domain containing 5	protein-coding
0-93	chr8	28997545	28997545	+	0	NA	intron (NM_015254, intron 21 of 39)	MADE1|DNA|TcMar-Mariner	123065	NM_015254	23303	Hs.444767	NM_015254	ENSG00000197892	KIF13B	GAKIN	kinesin family member 13B	protein-coding
0-198	chr4	39010889	39010889	+	0	NA	intron (NM_024943, intron 1 of 6)	L1PA17|LINE|L1	23152	NM_001303228	80008	Hs.374147	NM_024943	ENSG00000121895	TMEM156	-	transmembrane protein 156	protein-coding
0-342	chr10	127313448	127313448	+	0	NA	intron (NM_001318133, intron 3 of 3)	intron (NM_001318133, intron 3 of 3)	50508	NR_023362	100169752	Hs.652647	NR_023362	ENSG00000237675	TEX36-AS1	-	TEX36 antisense RNA 1	ncRNA
0-426	chr3	55072601	55072601	+	0	NA	intron (NM_018398, intron 35 of 37)	intron (NM_018398, intron 35 of 37)	-71486	NM_001304389	57408	Hs.591668	NM_020678	ENSG00000144771	LRTM1	HT017	leucine rich repeats and transmembrane domains 1	protein-coding
0-18	chr1	78575538	78575538	+	0	NA	intron (NM_017655, intron 3 of 5)	L1PA4|LINE|L1	63949	NM_017655	54810	Hs.603818	NM_017655	ENSG00000137960	GIPC2	SEMCAP-2|SEMCAP2	GIPC PDZ domain containing family member 2	protein-coding
0-307	chr2	178807307	178807307	+	0	NA	intron (NM_001077197, intron 3 of 20)	AluSp|SINE|Alu	-19743	NM_001077358	50940	Hs.570273	NM_016953	ENSG00000128655	PDE11A	PPNAD2	phosphodiesterase 11A	protein-coding
0-29	chr11	19629852	19629852	+	0	NA	intron (NM_001111018, intron 1 of 37)	intron (NM_001111018, intron 1 of 37)	32995	NR_039706	100616118		NR_039706	ENSG00000265210	MIR4486	-	microRNA 4486	ncRNA
0-468	chr14	77391001	77391001	+	0	NA	Intergenic	Intergenic	-34980	NR_133913	105370578	Hs.574184	NR_133913	ENSG00000258602	LINC01629	linc-KIAA1737-2	long intergenic non-protein coding RNA 1629	ncRNA
0-333	chr2	229550761	229550761	+	0	NA	Intergenic	L1MCa|LINE|L1	-504400	NM_030623	80309	Hs.436306	NM_030623	ENSG00000153820	SPHKAP	SKIP	SPHK1 interactor, AKAP domain containing	protein-coding
0-395	chr3	41705920	41705920	+	0	NA	intron (NR_136342, intron 27 of 34)	MER68B|LTR|ERVL	298012	NM_017886	54986	Hs.656192	NM_017886	ENSG00000168038	ULK4	FAM7C1|REC01035	unc-51 like kinase 4	protein-coding
0-110	chr6	12710043	12710043	+	0	NA	Intergenic	Intergenic	-6845	NM_001242648	221692	Hs.436996	NM_030948	ENSG00000112137	PHACTR1	RPEL|RPEL1|dJ257A7.2	phosphatase and actin regulator 1	protein-coding
0-183	chr5	44785080	44785080	+	0	NA	intron (NR_109863, intron 1 of 3)	MER4A1|LTR|ERV1	23815	NR_109865	100506674	Hs.575213	NR_109862		BRCAT54	-	breast cancer-associated transcript 54	ncRNA
0-249	chr17	63072726	63072726	+	0	NA	Intergenic	AluSz|SINE|Alu	-19806	NM_006572	10672	Hs.515018	NM_006572	ENSG00000120063	GNA13	G13	G protein subunit alpha 13	protein-coding
0-240	chr1	96643398	96643398	+	0	NA	Intergenic	Intergenic	185774	NR_125991	102723661	Hs.143911	NR_125991	ENSG00000237435	LOC102723661	-	uncharacterized LOC102723661	ncRNA
0-38	chr12	5847979	5847979	+	0	NA	intron (NM_001278596, intron 13 of 25)	intron (NM_001278596, intron 13 of 25)	206446	NM_001278596	57101	Hs.148970	NM_020373	ENSG00000047617	ANO2	C12orf3|TMEM16B	anoctamin 2	protein-coding
0-280	chr9	39749385	39749385	+	0	NA	Intergenic	L1MA8|LINE|L1	-135557	NM_001085452	647060	Hs.575677	NM_001040065	ENSG00000204849	SPATA31A1	C9orf36|C9orf36A|FAM75A1|FAM75A2|SPATA31A2	SPATA31 subfamily A member 1	protein-coding
0-219	chr7	145456105	145456105	+	0	NA	Intergenic	L1MB1|LINE|L1	-357348	NM_014141	26047	Hs.655684	NM_014141	ENSG00000174469	CNTNAP2	AUTS15|CASPR2|CDFE|NRXN4|PTHSL1	contactin associated protein-like 2	protein-coding
0-134	chr15	63930664	63930664	+	0	NA	exon (NM_003922, exon 63 of 78)	exon (NM_003922, exon 63 of 78)	-37638	NR_034080	100130855	Hs.631163	NR_034080	ENSG00000259248	USP3-AS1	-	USP3 antisense RNA 1	ncRNA
0-446	chr6	27215230	27215230	+	0	NA	promoter-TSS (NM_005865)	promoter-TSS (NM_005865)	-272	NM_005865	10279	Hs.274407	NM_005865	ENSG00000112812	PRSS16	TSSP	protease, serine 16	protein-coding
0-360	chr20	1642648	1642648	+	0	NA	Intergenic	Intergenic	-4223	NM_001039508	55423	Hs.590883	NM_018556	ENSG00000089012	SIRPG	CD172g|SIRP-B2|SIRPB2|SIRPgamma|bA77C3.1	signal regulatory protein gamma	protein-coding
0-459	chr13	37890047	37890047	+	0	NA	Intergenic	L1PA13|LINE|L1	168874	NR_125762	103695431	Hs.550637	NR_125762	ENSG00000230390	LINC01048	-	long intergenic non-protein coding RNA 1048	ncRNA
0-49	chr9	70006734	70006734	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	172081	NM_001126334	653427	Hs.714683	NM_001126334	ENSG00000204779	FOXD4L5	bA15J10.2	forkhead box D4-like 5	protein-coding
0-334	chr15	39243176	39243176	+	0	NA	Intergenic	Intergenic	254377	NM_207444	400359	Hs.448785	NM_207444	ENSG00000175779	C15orf53	-	chromosome 15 open reading frame 53	protein-coding
0-159	chr21	34332442	34332442	+	0	NA	intron (NR_135522, intron 1 of 1)	intron (NR_135522, intron 1 of 1)	1246	NR_135522	102724502	Hs.130572	NR_135522	ENSG00000228961	LOC102724502	-	uncharacterized LOC102724502	ncRNA
0-270	chr13	113502457	113502457	+	0	NA	intron (NM_032189, intron 17 of 28)	L1MDa|LINE|L1	-93412	NR_046661	100874205	Hs.658692	NR_046661	ENSG00000232684	ATP11A-AS1	-	ATP11A antisense RNA 1	ncRNA
0-258	chr12	5740891	5740891	+	0	NA	intron (NM_001278596, intron 17 of 25)	intron (NM_001278596, intron 17 of 25)	137593	NM_002527	4908	Hs.99171	NM_002527	ENSG00000185652	NTF3	HDNF|NGF-2|NGF2|NT-3|NT3	neurotrophin 3	protein-coding
0-431	chr17	63584577	63584577	+	0	NA	Intergenic	Intergenic	-26837	NM_004655	8313	Hs.156527	NM_004655	ENSG00000168646	AXIN2	AXIL|ODCRCS	axin 2	protein-coding
0-355	chr11	121808527	121808527	+	0	NA	Intergenic	Intergenic	162025	NR_029671	406911		NR_029671	ENSG00000207971	MIR125B1	MIRN125B1|mir-125b-1	microRNA 125b-1	ncRNA
0-316	chr4	78187947	78187947	+	0	NA	Intergenic	Intergenic	109590	NM_004354	901	Hs.740456	NM_004354	ENSG00000138764	CCNG2	-	cyclin G2	protein-coding
0-264	chr4	109280724	109280724	+	0	NA	Intergenic	Intergenic	187448	NR_029373	641518	Hs.535760	NR_029373	ENSG00000232021	LEF1-AS1	LEF1NAT	LEF1 antisense RNA 1	ncRNA
0-272	chr11	35804228	35804228	+	0	NA	intron (NM_017583, intron 4 of 4)	intron (NM_017583, intron 4 of 4)	119928	NM_017583	54765	Hs.192103	NM_017583	ENSG00000166326	TRIM44	AN3|DIPB|HSA249128|MC7	tripartite motif containing 44	protein-coding
0-337	chr15	40641484	40641484	+	0	NA	Intergenic	Intergenic	-1750	NM_001145643	644844	Hs.447537	NM_001145643	ENSG00000233041	PHGR1	-	proline, histidine and glycine rich 1	protein-coding
0-439	chr3	65519450	65519450	+	0	NA	intron (NM_015520, intron 2 of 24)	intron (NM_015520, intron 2 of 24)	-360041	NR_046575	100873983	Hs.663889	NR_046575	ENSG00000240175	MAGI1-AS1	-	MAGI1 antisense RNA 1	ncRNA
0-23	chr3	124185264	124185264	+	0	NA	intron (NM_001024660, intron 25 of 59)	intron (NM_001024660, intron 25 of 59)	92085	NR_106731	102464832		NR_106731	ENSG00000276656	MIR6083	hsa-mir-6083	microRNA 6083	ncRNA
0-402	chr8	47879036	47879036	+	0	NA	Intergenic	Intergenic	126528	NR_027012	497634	Hs.406982	NR_027012	ENSG00000253314	LINC00293	BEYLA|NCRNA00293	long intergenic non-protein coding RNA 293	ncRNA
0-429	chr11	57436814	57436814	+	0	NA	intron (NM_015457, intron 1 of 11)	intron (NM_015457, intron 1 of 11)	1340	NM_015457	25921	Hs.27239	NM_015457	ENSG00000156599	ZDHHC5	DHHC5|ZNF375	zinc finger DHHC-type containing 5	protein-coding
0-346	chr12	127714657	127714657	+	0	NA	Intergenic	Intergenic	109960	NR_110057	101927616	Hs.637827	NR_110057	ENSG00000256362	LOC101927616	-	uncharacterized LOC101927616	ncRNA
0-151	chr6	83984635	83984635	+	0	NA	intron (NM_002395, intron 6 of 13)	Tigger6b|DNA|TcMar-Tigger	-80980	NM_001199917	5238	Hs.661665	NM_015599	ENSG00000013375	PGM3	AGM1|IMD23|PAGM|PGM 3	phosphoglucomutase 3	protein-coding
0-105	chr1	165243734	165243734	+	0	NA	intron (NM_177398, intron 3 of 8)	intron (NM_177398, intron 3 of 8)	81744	NM_001174069	4009	Hs.667312	NM_177398	ENSG00000162761	LMX1A	LMX1|LMX1.1	LIM homeobox transcription factor 1 alpha	protein-coding
0-497	chr1	42194472	42194472	+	0	NA	intron (NM_024503, intron 1 of 8)	intron (NM_024503, intron 1 of 8)	189906	NM_024503	59269	Hs.403972	NM_024503	ENSG00000127124	HIVEP3	KBP-1|KBP1|KRC|SHN3|Schnurri-3|ZAS3|ZNF40C	human immunodeficiency virus type I enhancer binding protein 3	protein-coding
0-304	chr8	6175838	6175838	+	0	NA	Intergenic	AluSx1|SINE|Alu	88231	NR_040040	100287015	Hs.156928	NR_040040	ENSG00000246089	LOC100287015	-	uncharacterized LOC100287015	ncRNA
0-435	chr11	68943868	68943868	+	0	NA	Intergenic	AluSz6|SINE|Alu	-4838	NR_104161	338694	Hs.564235	NR_104161	ENSG00000261070	LOC338694	-	uncharacterized LOC338694	ncRNA
0-12	chr8	25872362	25872362	+	0	NA	intron (NM_022659, intron 6 of 15)	intron (NM_022659, intron 6 of 15)	30278	NM_022659	64641	Hs.491292	NM_022659	ENSG00000221818	EBF2	COE2|EBF-2|O/E-3|OE-3	early B-cell factor 2	protein-coding
0-480	chr2	155728645	155728645	+	0	NA	Intergenic	HERVH-int|LTR|ERV1	173552	NM_002239	3760	Hs.591606	NM_002239	ENSG00000162989	KCNJ3	GIRK1|KGA|KIR3.1	potassium voltage-gated channel subfamily J member 3	protein-coding
0-288	chr8	124231592	124231592	+	0	NA	TTS (NM_032847)	TTS (NM_032847)	-3489	NR_039808	100616260		NR_039808	ENSG00000266324	MIR4663	-	microRNA 4663	ncRNA
0-267	chr6	126179705	126179705	+	0	NA	intron (NM_001122842, intron 3 of 15)	AluJr|SINE|Alu	-39701	NR_126386	104355145	Hs.590370	NR_126386	ENSG00000232131	NCOA7-AS1	-	NCOA7 antisense RNA 1	ncRNA
0-16	chr15	63269103	63269103	+	0	NA	Intergenic	Intergenic	-65735	NM_001018005	7168	Hs.133892	NM_000366	ENSG00000140416	TPM1	C15orf13|CMD1Y|CMH3|HEL-S-265|HTM-alpha|LVNC9|TMSA	tropomyosin 1 (alpha)	protein-coding
0-421	chr1	181267123	181267123	+	0	NA	Intergenic	MamGypLTR2c|LTR|Gypsy	61599	NR_046249	100287948	Hs.742594	NR_046249	ENSG00000179452	LINC01699	GM140	long intergenic non-protein coding RNA 1699	ncRNA
0-169	chr4	177494257	177494257	+	0	NA	Intergenic	Intergenic	219642	NM_005429	7424	Hs.435215	NM_005429	ENSG00000150630	VEGFC	Flt4-L|LMPH1D|VRP	vascular endothelial growth factor C	protein-coding
0-328	chr12	110228356	110228356	+	0	NA	intron (NM_147204, intron 10 of 13)	MLT1H|LTR|ERVL-MaLR	-17064	NR_026661	84983	Hs.675961	NM_032897	ENSG00000255650	FAM222A-AS1	-	FAM222A antisense RNA 1	ncRNA
0-417	chr15	35416223	35416223	+	0	NA	Intergenic	Tigger12c|DNA|TcMar-Tigger	-113304	NR_003144	723972	Hs.631698	NR_003144	ENSG00000259516	ANP32AP1	-	acidic nuclear phosphoprotein 32 family member A pseudogene 1	pseudo
0-487	chr4	54012185	54012185	+	0	NA	intron (NM_152540, intron 4 of 8)	MARNA|DNA|TcMar-Mariner	220057	NM_152540	152579	Hs.302287	NM_152540	ENSG00000184178	SCFD2	STXBP1L1	sec1 family domain containing 2	protein-coding
0-344	chr2	120529589	120529589	+	0	NA	intron (NM_002830, intron 1 of 26)	intron (NM_002830, intron 1 of 26)	12382	NM_002830	5775	Hs.469809	NM_002830	ENSG00000088179	PTPN4	MEG|PTPMEG|PTPMEG1	protein tyrosine phosphatase, non-receptor type 4	protein-coding
0-69	chr6	157718409	157718409	+	0	NA	intron (NM_018452, intron 3 of 3)	intron (NM_018452, intron 3 of 3)	26882	NM_018452	729515	Hs.157212	NM_018452	ENSG00000215712	TMEM242	BM033|C6orf35	transmembrane protein 242	protein-coding
0-407	chr2	135976703	135976703	+	0	NA	exon (NM_001286568, exon 16 of 21)	exon (NM_001286568, exon 16 of 21)	166868	NM_012233	22930	Hs.306327	NM_012233	ENSG00000115839	RAB3GAP1	P130|RAB3GAP|RAB3GAP130|WARBM1	RAB3 GTPase activating protein catalytic subunit 1	protein-coding
0-50	chr2	124615168	124615168	+	0	NA	Intergenic	L1PA10|LINE|L1	-167696	NM_130773	129684	Hs.660653	NM_130773	ENSG00000155052	CNTNAP5	caspr5	contactin associated protein like 5	protein-coding
0-303	chr10	112577261	112577261	+	0	NA	intron (NM_001134363, intron 9 of 13)	L2c|LINE|L2	53401	NR_026932	282997	Hs.599931	NR_026932		PDCD4-AS1	-	PDCD4 antisense RNA 1	ncRNA
0-191	chr1	246763298	246763298	+	0	NA	intron (NM_152609, intron 2 of 10)	L2b|LINE|L2	33659	NM_001139459	163882	Hs.368353	NM_152609	ENSG00000162852	CNST	C1orf71|PPP1R64	consortin, connexin sorting protein	protein-coding
0-484	chr2	37580995	37580995	+	0	NA	intron (NM_012413, intron 2 of 6)	intron (NM_012413, intron 2 of 6)	9242	NM_012413	25797	Hs.79033	NM_012413	ENSG00000115828	QPCT	GCT|QC|sQC	glutaminyl-peptide cyclotransferase	protein-coding
0-21	chr3	119400431	119400431	+	0	NA	Intergenic	Intergenic	-4188	NM_005694	10063	Hs.534383	NM_005694	ENSG00000138495	COX17	-	COX17, cytochrome c oxidase copper chaperone	protein-coding
0-168	chr13	30968360	30968360	+	0	NA	Intergenic	Arthur1C|DNA|hAT-Tip100	-20309	NR_024464	100188949	Hs.439791	NR_024464	ENSG00000238121	LINC00426	-	long intergenic non-protein coding RNA 426	ncRNA
0-129	chr3	141358379	141358379	+	0	NA	Intergenic	L1ME3E|LINE|L1	-23662	NR_136190	646730	Hs.570677	NR_136190		LOC646730	-	uncharacterized LOC646730	ncRNA
0-127	chr17	4571789	4571789	+	0	NA	Intergenic	L2a|LINE|L2	-26829	NM_001140	246	Hs.73809	NM_001140	ENSG00000161905	ALOX15	12-LOX|15-LOX-1|15LOX-1	arachidonate 15-lipoxygenase	protein-coding
0-301	chr15	54407923	54407923	+	0	NA	intron (NM_001080534, intron 1 of 30)	intron (NM_001080534, intron 1 of 30)	103078	NM_001080534	440279	Hs.657273	NM_001080534	ENSG00000137766	UNC13C	-	unc-13 homolog C	protein-coding
0-228	chr21	19391527	19391527	+	0	NA	intron (NM_001204175, intron 1 of 5)	intron (NM_001204175, intron 1 of 5)	101870	NM_001204175	140578	Hs.283725	NM_024944	ENSG00000154645	CHODL	C21orf68|MT75|PRED12	chondrolectin	protein-coding
0-433	chr2	99986335	99986335	+	0	NA	intron (NM_015904, intron 8 of 23)	AluSc8|SINE|Alu	32501	NM_015904	9669	Hs.158688	NM_015904	ENSG00000158417	EIF5B	IF2	eukaryotic translation initiation factor 5B	protein-coding
0-205	chr6	159152147	159152147	+	0	NA	intron (NM_001318745, intron 8 of 14)	AluY|SINE|Alu	33638	NR_037482	100500851		NR_037482	ENSG00000265558	MIR3918	mir-3918	microRNA 3918	ncRNA
0-211	chr16	17727092	17727092	+	0	NA	Intergenic	Intergenic	-162354	NM_022166	64131	Hs.22907	NM_022166	ENSG00000103489	XYLT1	DBQD2|PXYLT1|XT-I|XT1|XTI|XYLTI|xylT-I	xylosyltransferase 1	protein-coding
0-255	chr1	162783774	162783774	+	0	NA	Intergenic	Intergenic	23282	NM_001304512	51478	Hs.492925	NM_016371	ENSG00000132196	HSD17B7	PRAP|SDR37C1	hydroxysteroid 17-beta dehydrogenase 7	protein-coding
0-124	chr7	121461668	121461668	+	0	NA	Intergenic	MSTB|LTR|ERVL-MaLR	-51491	NM_001206838	5803	Hs.489824	NM_002851	ENSG00000106278	PTPRZ1	HPTPZ|HPTPzeta|PTP-ZETA|PTP18|PTPRZ|PTPZ|R-PTP-zeta-2|RPTPB|RPTPbeta|phosphacan	protein tyrosine phosphatase, receptor type Z1	protein-coding
0-416	chr11	78474897	78474897	+	0	NA	intron (NM_001098816, intron 18 of 33)	intron (NM_001098816, intron 18 of 33)	-188988	NM_001243251	79731	Hs.503389	NM_024678	ENSG00000137513	NARS2	DFNB94|SLM5|asnRS	asparaginyl-tRNA synthetase 2, mitochondrial (putative)	protein-coding
0-475	chr3	73675376	73675376	+	0	NA	non-coding (NR_046681, exon 2 of 2)	non-coding (NR_046681, exon 2 of 2)	-1304	NM_015009	23024	Hs.660347	NM_015009	ENSG00000121440	PDZRN3	LNX3|SEMACAP3|SEMCAP3	PDZ domain containing ring finger 3	protein-coding
0-427	chr22	16928202	16928202	+	0	NA	Intergenic	L1PA5|LINE|L1	145498	NM_014406	150160	Hs.128342	NM_014406	ENSG00000198445	CCT8L2	CESK1	chaperonin containing TCP1 subunit 8 like 2	protein-coding
0-366	chr3	26707972	26707972	+	0	NA	intron (NM_001317810, intron 2 of 2)	intron (NM_001317810, intron 2 of 2)	-28076	NM_001317811	116135	Hs.517868	NM_052953	ENSG00000179796	LRRC3B	LRP15	leucine rich repeat containing 3B	protein-coding
0-343	chr6	2286205	2286205	+	0	NA	intron (NR_046229, intron 3 of 6)	L1MEg|LINE|L1	40218	NR_046229	100508120	Hs.188825	NR_046229		GMDS-AS1	-	GMDS antisense RNA 1 (head to head)	ncRNA
0-57	chr13	48312147	48312147	+	0	NA	Intergenic	L1PA6|LINE|L1	194610	NR_047492	100861549	Hs.660978	NR_047492	ENSG00000260388	LINC00562	-	long intergenic non-protein coding RNA 562	ncRNA
0-365	chr14	88475663	88475663	+	0	NA	intron (NM_003608, intron 1 of 1)	L1MEe|LINE|L1	4195	NM_003608	8477	Hs.443243	NM_003608	ENSG00000140030	GPR65	TDAG8|hTDAG8	G protein-coupled receptor 65	protein-coding
0-153	chr17	27977158	27977158	+	0	NA	intron (NM_001282129, intron 13 of 15)	intron (NM_001282129, intron 13 of 15)	-28717	NM_032854	84940	Hs.143046	NM_032854	ENSG00000167549	CORO6	-	coronin 6	protein-coding
0-140	chr7	133425319	133425319	+	0	NA	intron (NM_021807, intron 10 of 17)	Tigger10|DNA|TcMar-Tigger	84322	NR_120513	101928861	Hs.675747	NR_120513		LOC101928861	-	uncharacterized LOC101928861	ncRNA
0-89	chr17	4384612	4384612	+	0	NA	intron (NM_182538, intron 9 of 11)	L2|LINE|L2	-17526	NM_001124758	124976	Hs.22824	NM_001124758	ENSG00000183018	SPNS2	-	sphingolipid transporter 2	protein-coding
0-341	chr15	69440144	69440144	+	0	NA	intron (NR_031680, intron 3 of 4)	intron (NR_031680, intron 3 of 4)	-12792	NM_001324091	26035	Hs.183006	NM_015554	ENSG00000138604	GLCE	HSEPI	glucuronic acid epimerase	protein-coding
0-108	chr3	107407583	107407583	+	0	NA	intron (NM_001276286, intron 3 of 16)	intron (NM_001276286, intron 3 of 16)	165800	NM_001142568	56987	Hs.124366	NM_020235	ENSG00000114439	BBX	ARTC1|HBP2|HSPC339|MDS001	BBX, HMG-box containing	protein-coding
0-77	chr12	10109025	10109025	+	0	NA	intron (NM_001207010, intron 1 of 6)	LOR1-int|LTR|ERV1	-3089	NR_135047	400002		NR_135047	ENSG00000231560	LOC400002	-	uncharacterized LOC400002	ncRNA
