Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1	161815346	161815346	+	0	NA	"intron (NM_007348, intron 9 of 15)"	AluJr|SINE|Alu	79312	NM_007348	22926	Hs.492740	NM_007348	ENSG00000118217	ATF6	ACHM7|ATF6A	activating transcription factor 6	protein-coding
chr10	4079892	4079892	+	0	NA	Intergenic	Intergenic	-14026	NR_120632	101927964	Hs.737041	NR_120632	ENSG00000236990	LOC101927964	-	uncharacterized LOC101927964	ncRNA
chr1	182872053	182872053	+	0	NA	"intron (NM_001345928, intron 10 of 10)"	"intron (NM_001345928, intron 10 of 10)"	50607	NM_001345928	81626	Hs.497034	NM_030933	ENSG00000157060	SHCBP1L	C1orf14|GE36	SHC binding and spindle associated 1 like	protein-coding
chr1	115355573	115355573	+	0	NA	Intergenic	Intergenic	-32265	NM_001102396	80143	Hs.709277	NM_025073	ENSG00000052723	SIKE1	SIKE	suppressor of IKBKE 1	protein-coding
chr1	106079057	106079057	+	0	NA	Intergenic	Intergenic	82500	NR_125955	101928476	Hs.563856	NR_125954	ENSG00000230768	LINC01676	-	long intergenic non-protein coding RNA 1676	ncRNA
chr1	15828417	15828417	+	0	NA	"intron (NM_001278054, intron 2 of 4)"	AluJb|SINE|Alu	22523	NR_102732	842	Hs.329502	NM_001229	ENSG00000132906	CASP9	APAF-3|APAF3|ICE-LAP6|MCH6|PPP1R56	caspase 9	protein-coding
chr1	229549580	229549580	+	0	NA	Intergenic	HERVH-int|LTR|ERV1	20263	NM_001100	58	Hs.1288	NM_001100	ENSG00000143632	ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM	"actin, alpha 1, skeletal muscle"	protein-coding
chr10	10650880	10650880	+	0	NA	"intron (NM_001326319, intron 1 of 16)"	"intron (NM_001326319, intron 1 of 16)"	146402	NM_001326321	10659	Hs.309288	NM_006561	ENSG00000048740	CELF2	BRUNOL3|CELF-2|CUG-BP2|CUGBP2|ETR-3|ETR3|NAPOR	"CUGBP, Elav-like family member 2"	protein-coding
chr11	108855711	108855711	+	0	NA	Intergenic	Intergenic	319959	NM_004398	1662	Hs.591931	NM_004398	ENSG00000178105	DDX10	HRH-J8	DEAD-box helicase 10	protein-coding
chr1	94222976	94222976	+	0	NA	"intron (NM_001261408, intron 2 of 13)"	"intron (NM_001261408, intron 2 of 13)"	-75582	NM_003567	8412	Hs.36958	NM_003567	ENSG00000137936	BCAR3	NSP2|SH2D3B	breast cancer anti-estrogen resistance 3	protein-coding
chr1	150555823	150555823	+	0	NA	Intergenic	AluY|SINE|Alu	-3609	NM_182763	4170	Hs.632486	NM_021960	ENSG00000143384	MCL1	BCL2L3|EAT|MCL1-ES|MCL1L|MCL1S|Mcl-1|TM|bcl2-L-3|mcl1/EAT	BCL2 family apoptosis regulator	protein-coding
chr1	233849026	233849026	+	0	NA	Intergenic	THE1B|LTR|ERVL-MaLR	89128	NR_039625	100616390		NR_039625	ENSG00000265744	MIR4427	-	microRNA 4427	ncRNA
chr1	178696459	178696459	+	0	NA	"intron (NM_152663, intron 1 of 19)"	FLAM_A|SINE|Alu	2177	NM_152663	55103	Hs.632485	NM_018037	ENSG00000116191	RALGPS2	dJ595C2.1	Ral GEF with PH domain and SH3 binding motif 2	protein-coding
chr1	20764769	20764769	+	0	NA	Intergenic	Intergenic	-9482	NR_033887	339505	Hs.633269	NR_033887		LINC01141	-	long intergenic non-protein coding RNA 1141	ncRNA
chr1	59582626	59582626	+	0	NA	Intergenic	Intergenic	29853	NR_027120	729467	Hs.662291	NR_027120	ENSG00000224609	HSD52	-	uncharacterized LOC729467	ncRNA
chr10	92368046	92368046	+	0	NA	Intergenic	HERVL-int|LTR|ERVL	-67484	NR_110657	101926942	Hs.382666	NR_110657	ENSG00000236373	LOC101926942	-	uncharacterized LOC101926942	ncRNA
chr10	129872799	129872799	+	0	NA	"intron (NM_006504, intron 17 of 20)"	AluSx1|SINE|Alu	-12110	NR_136150	105378553		NR_136149		AS-PTPRE	-	lncRNA antisense to PTPRE protein-coding gene	ncRNA
chr10	113292971	113292971	+	0	NA	Intergenic	Intergenic	456181	NM_000681	150	Hs.249159	NM_000681	ENSG00000150594	ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	adrenoceptor alpha 2A	protein-coding
chr1	24503550	24503550	+	0	NA	"intron (NM_170743, intron 2 of 6)"	L1MC4|LINE|L1	10215	NM_173064	163702	Hs.221375	NM_170743	ENSG00000185436	IFNLR1	CRF2/12|IFNLR|IL-28R1|IL28RA|LICR2	interferon lambda receptor 1	protein-coding
chr1	15674516	15674516	+	0	NA	"intron (NM_052929, intron 17 of 30)"	Tigger16a|DNA|TcMar-Tigger	-61875	NM_024329	79180	Hs.465374	NM_024329	ENSG00000142634	EFHD2	SWS1	EF-hand domain family member D2	protein-coding
chr1	205065630	205065630	+	0	NA	"intron (NM_005057, intron 12 of 13)"	"intron (NM_005057, intron 12 of 13)"	-12042	NM_203376	388730	Hs.146928	NM_203376	ENSG00000174529	TMEM81	HC3107|KVLA2788|UNQ2788	transmembrane protein 81	protein-coding
chr10	76766356	76766356	+	0	NA	"intron (NM_012330, intron 13 of 17)"	AluJo|SINE|Alu	51916	NM_001003892	338599	Hs.535090	NM_001003892	ENSG00000188716	DUPD1	DUSP27|FMDSP	dual specificity phosphatase and pro isomerase domain containing 1	protein-coding
chr1	49391625	49391625	+	0	NA	"intron (NM_001323573, intron 5 of 12)"	"intron (NM_001323573, intron 5 of 12)"	-148984	NM_024603	79656	Hs.475348	NM_024603	ENSG00000162373	BEND5	C1orf165	BEN domain containing 5	protein-coding
chr10	88998922	88998922	+	0	NA	"intron (NR_024397, intron 5 of 5)"	"intron (NR_024397, intron 5 of 5)"	13717	NM_001099338	728118	Hs.710565	NM_001099338	ENSG00000184923	NUTM2A	FAM22A	NUT family member 2A	protein-coding
chr1	2079646	2079646	+	0	NA	"intron (NM_001033581, intron 4 of 14)"	(TCCA)n|Simple_repeat|Simple_repeat	43491	NM_001033582	5590	Hs.496255	NM_002744	ENSG00000067606	PRKCZ	PKC-ZETA|PKC2	protein kinase C zeta	protein-coding
chr10	92278821	92278821	+	0	NA	"intron (NR_110657, intron 2 of 6)"	L1PA13|LINE|L1	21741	NR_110657	101926942	Hs.382666	NR_110657	ENSG00000236373	LOC101926942	-	uncharacterized LOC101926942	ncRNA
chr10	102844675	102844675	+	0	NA	Intergenic	MLT2C2|LTR|ERVL	18619	NR_135068	81621	Hs.534859	NM_030929	ENSG00000107821	KAZALD1	BONO1|FKSG28|FKSG40|IGFBP-rP10	Kazal type serine peptidase inhibitor domain 1	protein-coding
chr1	205853687	205853687	+	0	NA	"intron (NR_046097, intron 1 of 2)"	(TA)n|Simple_repeat|Simple_repeat	22480	NR_046097	284581		NR_046097		LOC284581	-	uncharacterized LOC284581	ncRNA
chr1	177093522	177093522	+	0	NA	"intron (NM_207108, intron 1 of 21)"	"intron (NM_207108, intron 1 of 21)"	40518	NM_004319	460	Hs.495897	NM_004319	ENSG00000152092	ASTN1	ASTN	astrotactin 1	protein-coding
chr1	34736904	34736904	+	0	NA	Intergenic	Intergenic	94351	NM_001134734	84970	Hs.194610	NM_032884	ENSG00000142698	C1orf94	-	chromosome 1 open reading frame 94	protein-coding
chr1	231308083	231308083	+	0	NA	"intron (NM_001004342, intron 1 of 9)"	"intron (NM_001004342, intron 1 of 9)"	9409	NM_001300889	440730	Hs.655089	NM_001004342	ENSG00000119283	TRIM67	TNL	tripartite motif containing 67	protein-coding
chr1	11627087	11627087	+	0	NA	Intergenic	Intergenic	-42501	NR_104624	101929181	Hs.568616	NR_104624	ENSG00000235643	LINC01647	-	long intergenic non-protein coding RNA 1647	ncRNA
chr1	54154257	54154257	+	0	NA	"intron (NM_147193, intron 1 of 9)"	L2b|LINE|L2	45620	NM_147193	148979	Hs.306691	NM_147193	ENSG00000174332	GLIS1	-	GLIS family zinc finger 1	protein-coding
chr1	109764432	109764432	+	0	NA	"intron (NM_001330669, intron 1 of 11)"	AluJb|SINE|Alu	7917	NM_001330669	6301	Hs.531176	NM_006513	ENSG00000031698	SARS	SERRS|SERS	seryl-tRNA synthetase	protein-coding
chr10	117891848	117891848	+	0	NA	"intron (NM_001145453, intron 4 of 9)"	L1ME2z|LINE|L1	139971	NM_145793	2674	Hs.388347	NM_005264	ENSG00000151892	GFRA1	GDNFR|GDNFRA|GFR-ALPHA-1|RET1L|RETL1|TRNR1	GDNF family receptor alpha 1	protein-coding
chr10	2976308	2976308	+	0	NA	Intergenic	Intergenic	-133404	NM_001323071	5214	Hs.26010	NM_002627	ENSG00000067057	PFKP	ATP-PFK|PFK-C|PFK-P|PFKF	"phosphofructokinase, platelet"	protein-coding
chr10	98492329	98492329	+	0	NA	Intergenic	MLT1J|LTR|ERVL-MaLR	-12050	NM_152309	118788	Hs.310456	NM_152309	ENSG00000155629	PIK3AP1	BCAP	phosphoinositide-3-kinase adaptor protein 1	protein-coding
chr10	121345554	121345554	+	0	NA	"intron (NM_001033925, intron 2 of 11)"	L2b|LINE|L2	10987	NR_136663	7073	Hs.501203	NM_003252	ENSG00000151923	TIAL1	TCBP|TIAR	TIA1 cytotoxic granule associated RNA binding protein like 1	protein-coding
chr1	209067321	209067321	+	0	NA	Intergenic	Intergenic	-431480	NR_135085	105372897	Hs.116154	NR_135085	ENSG00000227940	LINC01696	-	long intergenic non-protein coding RNA 1696	ncRNA
chr1	114595278	114595278	+	0	NA	Intergenic	L1PB1|LINE|L1	73265	NM_001286353	56944	Hs.9315	NM_020190	ENSG00000116774	OLFML3	HNOEL-iso|OLF44	olfactomedin like 3	protein-coding
chr10	121538536	121538536	+	0	NA	"intron (NM_014937, intron 2 of 19)"	L1MC4a|LINE|L1	-40233	NM_001243194	22876	Hs.369755	NM_014937	ENSG00000198825	INPP5F	MSTP007|MSTPO47|SAC2|hSAC2	inositol polyphosphate-5-phosphatase F	protein-coding
chr1	63311550	63311550	+	0	NA	"intron (NM_178221, intron 10 of 10)"	AluSx|SINE|Alu	61773	NM_178221	84938	Hs.7353	NM_032852	ENSG00000125703	ATG4C	APG4-C|APG4C|AUTL1|AUTL3	autophagy related 4C cysteine peptidase	protein-coding
chr1	187412387	187412387	+	0	NA	promoter-TSS (NR_132374)	promoter-TSS (NR_132374)	-373	NR_132374	106144535	Hs.568709	NR_132374	ENSG00000231599	LINC01037	-	long intergenic non-protein coding RNA 1037	ncRNA
chr1	69483536	69483536	+	0	NA	Intergenic	Intergenic	-520632	NM_017779	55635	Hs.445098	NM_017779	ENSG00000024526	DEPDC1	DEP.8|DEPDC1-V2|DEPDC1A|SDP35	DEP domain containing 1	protein-coding
chr10	121447565	121447565	+	0	NA	Intergenic	MER41A|LTR|ERV1	36683	NM_004281	9531	Hs.523309	NM_004281	ENSG00000151929	BAG3	BAG-3|BIS|CAIR-1|MFM6	BCL2 associated athanogene 3	protein-coding
chr11	109249673	109249673	+	0	NA	Intergenic	L2c|LINE|L2	-43173	NM_207645	399947	Hs.172982	NM_207645	ENSG00000185742	C11orf87	LOH11CR1A|NEURIM1	chromosome 11 open reading frame 87	protein-coding
chr1	20558099	20558099	+	0	NA	Intergenic	MER113|DNA|hAT-Charlie	-45120	NR_110078	101928017	Hs.550803	NR_110078	ENSG00000225986	UBXN10-AS1	-	UBXN10 antisense RNA 1	ncRNA
chr1	211637536	211637536	+	0	NA	Intergenic	L1MA1|LINE|L1	28723	NM_183059	343035	Hs.632495	NM_183059	ENSG00000198570	RD3	C1orf36|LCA12	retinal degeneration 3	protein-coding
chr10	116949411	116949411	+	0	NA	"intron (NM_207303, intron 8 of 28)"	Tigger3b|DNA|TcMar-Tigger	96287	NM_001276282	26033	Hs.501127	NM_207303	ENSG00000107518	ATRNL1	ALP|bA338L11.1|bA454H24.1	attractin like 1	protein-coding
chr1	204094203	204094203	+	0	NA	"intron (NM_005686, intron 13 of 13)"	"intron (NM_005686, intron 13 of 13)"	-16333	NR_123739	101929441	Hs.736889	NR_123739	ENSG00000230550	LOC101929441	-	uncharacterized LOC101929441	ncRNA
chr1	201342147	201342147	+	0	NA	"intron (NM_001001430, intron 2 of 15)"	"intron (NM_001001430, intron 2 of 15)"	4681	NM_001001431	7139	Hs.533613	NM_000364	ENSG00000118194	TNNT2	CMD1D|CMH2|CMPD2|LVNC6|RCM3|TnTC|cTnT	"troponin T2, cardiac type"	protein-coding
chr10	105892441	105892441	+	0	NA	"intron (NM_025145, intron 35 of 37)"	"intron (NM_025145, intron 35 of 37)"	10512	NM_001002759	119392	Hs.93667	NM_145247	ENSG00000156384	SFR1	C10orf78|MEI5|MEIR5|bA373N18.1	SWI5 dependent homologous recombination repair protein 1	protein-coding
chr	1	end	+	0	NA	NA	NA	NA	NA								
chr1	227385047	227385047	+	0	NA	"intron (NM_014826, intron 4 of 34)"	"intron (NM_014826, intron 4 of 34)"	120779	NM_003607	8476	Hs.35433	NM_003607	ENSG00000143776	CDC42BPA	MRCK|MRCKA|PK428	CDC42 binding protein kinase alpha	protein-coding
chr10	86007289	86007289	+	0	NA	"intron (NM_001012720, intron 1 of 6)"	"intron (NM_001012720, intron 1 of 6)"	2480	NM_001012722	5995	Hs.1544	NM_002921	ENSG00000148604	RGR	RP44	retinal G protein coupled receptor	protein-coding
chr1	95425238	95425238	+	0	NA	"intron (NR_033998, intron 2 of 3)"	"intron (NR_033998, intron 2 of 3)"	31654	NR_033998	729970	Hs.297988	NR_033998	ENSG00000235501	LOC729970	-	hCG2028352-like	ncRNA
chr10	44971844	44971844	+	0	NA	Intergenic	Intergenic	-91299	NM_199168	6387	Hs.522891	NM_000609	ENSG00000107562	CXCL12	IRH|PBSF|SCYB12|SDF1|TLSF|TPAR1	C-X-C motif chemokine ligand 12	protein-coding
chr10	128021836	128021836	+	0	NA	"intron (NM_003474, intron 1 of 22)"	"intron (NM_003474, intron 1 of 22)"	55291	NM_003474	8038	Hs.594351	NM_003474	ENSG00000148848	ADAM12	ADAM12-OT1|CAR10|MCMP|MCMPMltna|MLTN|MLTNA	ADAM metallopeptidase domain 12	protein-coding
chr1	248737688	248737688	+	0	NA	"exon (NM_001001821, exon 1 of 1)"	"exon (NM_001001821, exon 1 of 1)"	370	NM_001001821	127068	Hs.553584	NM_001001821	ENSG00000183310	OR2T34	-	olfactory receptor family 2 subfamily T member 34	protein-coding
chr1	228293611	228293611	+	0	NA	TTS (NM_181441)	TTS (NM_181441)	-2448	NM_024319	79169	Hs.445952	NM_024319	ENSG00000143793	C1orf35	MMTAG2	chromosome 1 open reading frame 35	protein-coding
chr1	155970223	155970223	+	0	NA	Intergenic	AluSq2|SINE|Alu	20535	NM_003145	6746	Hs.74564	NM_003145	ENSG00000163479	SSR2	HSD25|TLAP|TRAP-BETA|TRAPB	signal sequence receptor subunit 2	protein-coding
chr10	23410641	23410641	+	0	NA	"3' UTR (NM_012228, exon 5 of 5)"	"3' UTR (NM_012228, exon 5 of 5)"	26214	NM_012228	22921	Hs.461420	NM_012228	ENSG00000148450	MSRB2	CBS-1|CBS1|CGI-131|MSRB|PILB	methionine sulfoxide reductase B2	protein-coding
chr1	94483313	94483313	+	0	NA	"intron (NM_000350, intron 36 of 49)"	"intron (NM_000350, intron 36 of 49)"	103392	NM_000350	24	Hs.416707	NM_000350	ENSG00000198691	ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	ATP binding cassette subfamily A member 4	protein-coding
chr1	203818043	203818043	+	0	NA	"intron (NM_001319238, intron 16 of 19)"	AluSz6|SINE|Alu	-12670	NM_001304464	6635	Hs.334612	NM_003094	ENSG00000182004	SNRPE	HYPT11|SME|Sm-E|snRNP-E	small nuclear ribonucleoprotein polypeptide E	protein-coding
chr10	77295609	77295609	+	0	NA	"intron (NM_001305581, intron 2 of 6)"	MIRc|SINE|MIR	-16607	NR_030337	693191		NR_030337	ENSG00000207583	MIR606	MIRN606|hsa-mir-606	microRNA 606	ncRNA
chr10	32360740	32360740	+	0	NA	Intergenic	Intergenic	-15369	NM_004521	3799	Hs.327736	NM_004521	ENSG00000170759	KIF5B	HEL-S-61|KINH|KNS|KNS1|UKHC	kinesin family member 5B	protein-coding
chr1	33610024	33610024	+	0	NA	TTS (NM_018207)	TTS (NM_018207)	32127	NM_001330483	55223	Hs.656006	NM_018207	ENSG00000116525	TRIM62	DEAR1	tripartite motif containing 62	protein-coding
chr1	51498948	51498948	+	0	NA	Intergenic	AluSx1|SINE|Alu	-26561	NR_039617	100616189		NR_039617	ENSG00000265538	MIR4421	-	microRNA 4421	ncRNA
chr10	99415362	99415362	+	0	NA	"intron (NM_018425, intron 2 of 8)"	AluSz|SINE|Alu	14919	NM_018425	55361	Hs.25300	NM_018425	ENSG00000155252	PI4K2A	PI4KII|PIK42A	phosphatidylinositol 4-kinase type 2 alpha	protein-coding
chr1	20977336	20977336	+	0	NA	TTS (NM_005216)	TTS (NM_005216)	1350	NR_046507	100861548	Hs.710259	NR_046507	ENSG00000117242	PINK1-AS	NAPINK1|PINK1-AS1|PINK1AS	PINK1 antisense RNA	ncRNA
chr10	13341101	13341101	+	0	NA	"intron (NM_006214, intron 1 of 8)"	AluJb|SINE|Alu	645	NM_001323080	5264	Hs.498732	NM_006214	ENSG00000107537	PHYH	LN1|LNAP1|PAHX|PHYH1|RD	phytanoyl-CoA 2-hydroxylase	protein-coding
chr1	110603903	110603903	+	0	NA	"intron (NM_006492, intron 3 of 3)"	"intron (NM_006492, intron 3 of 3)"	9419	NM_006492	257	Hs.669953	NM_006492	ENSG00000156150	ALX3	FND|FND1	ALX homeobox 3	protein-coding
chr10	124608660	124608660	+	0	NA	TTS (NR_037911)	TTS (NR_037911)	-2969	NR_037912	50624	Hs.647182	NM_022034	ENSG00000138161	CUZD1	ERG-1|ERG1|ITMAP1|UO-44	CUB and zona pellucida like domains 1	protein-coding
chr1	42811491	42811491	+	0	NA	Intergenic	LTR16A|LTR|ERVL	-9943	NM_001198850	22887	Hs.26023	NM_014947	ENSG00000198815	FOXJ3	-	forkhead box J3	protein-coding
chr1	93200166	93200166	+	0	NA	"intron (NM_005665, intron 2 of 17)"	"intron (NM_005665, intron 2 of 17)"	57795	NM_005665	7813	Hs.594434	NM_005665	ENSG00000067208	EVI5	EVI-5|NB4S	ecotropic viral integration site 5	protein-coding
chr1	152378636	152378636	+	0	NA	Intergenic	AluJo|SINE|Alu	8114	NM_016190	49860	Hs.242057	NM_016190	ENSG00000143536	CRNN	C1orf10|DRC1|PDRC1|SEP53	cornulin	protein-coding
chr10	112981501	112981501	+	0	NA	Intergenic	MIR|SINE|MIR	144711	NM_000681	150	Hs.249159	NM_000681	ENSG00000150594	ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	adrenoceptor alpha 2A	protein-coding
chr1	33613135	33613135	+	0	NA	"exon (NM_018207, exon 5 of 5)"	"exon (NM_018207, exon 5 of 5)"	29016	NM_001330483	55223	Hs.656006	NM_018207	ENSG00000116525	TRIM62	DEAR1	tripartite motif containing 62	protein-coding
chr1	19671730	19671730	+	0	NA	"exon (NM_001206541, exon 8 of 9)"	"exon (NM_001206541, exon 8 of 9)"	32990	NM_001040126	54896	Hs.647620	NM_017765	ENSG00000040487	PQLC2	-	PQ loop repeat containing 2	protein-coding
chr10	78436082	78436082	+	0	NA	Intergenic	Intergenic	-211720	NR_120655	101929328	Hs.664552	NR_120655	ENSG00000236467	KCNMA1-AS1	-	KCNMA1 antisense RNA 1	ncRNA
chr10	97419181	97419181	+	0	NA	Intergenic	Intergenic	-2614	NM_001017423	5832	Hs.500645	NM_002860	ENSG00000059573	ALDH18A1	ADCL3|ARCL3A|GSAS|P5CS|PYCS|SPG9|SPG9A|SPG9B	aldehyde dehydrogenase 18 family member A1	protein-coding
chr10	20189356	20189356	+	0	NA	"intron (NM_032812, intron 1 of 13)"	L4|LINE|RTE	83984	NM_032812	84898	Hs.99472	NM_032812	ENSG00000120594	PLXDC2	TEM7R	plexin domain containing 2	protein-coding
chr1	17460747	17460747	+	0	NA	Intergenic	LTR56|LTR|ERV1	-14799	NM_007365	11240	Hs.33455	NM_007365	ENSG00000117115	PADI2	PAD-H19|PAD2|PDI2	peptidyl arginine deiminase 2	protein-coding
chr1	61747803	61747803	+	0	NA	"intron (NM_001145511, intron 3 of 10)"	"intron (NM_001145511, intron 3 of 10)"	-28613	NR_104180	645030	Hs.632410	NR_104180	ENSG00000237853	NFIA-AS1	-	NFIA antisense RNA 1	ncRNA
chr1	10239969	10239969	+	0	NA	"exon (NM_001105562, exon 28 of 28)"	"exon (NM_001105562, exon 28 of 28)"	-30795	NM_183416	23095	Hs.97858	NM_015074	ENSG00000054523	KIF1B	CMT2|CMT2A|CMT2A1|HMSNII|KLP|NBLST1	kinesin family member 1B	protein-coding
chr1	78934809	78934809	+	0	NA	Intergenic	Intergenic	-21919	NM_001039585	5737	Hs.654365	NM_000959	ENSG00000122420	PTGFR	FP	prostaglandin F receptor	protein-coding
chr10	44840342	44840342	+	0	NA	Intergenic	Intergenic	40203	NM_001178134	6387	Hs.522891	NM_000609	ENSG00000107562	CXCL12	IRH|PBSF|SCYB12|SDF1|TLSF|TPAR1	C-X-C motif chemokine ligand 12	protein-coding
chr1	167699089	167699089	+	0	NA	"intron (NM_003953, intron 1 of 5)"	MIR|SINE|MIR	7902	NM_001146191	9019	Hs.493919	NM_003953	ENSG00000197965	MPZL1	MPZL1b|PZR|PZR1b|PZRa|PZRb	myelin protein zero like 1	protein-coding
chr1	3091369	3091369	+	0	NA	"intron (NM_199454, intron 1 of 16)"	"intron (NM_199454, intron 1 of 16)"	46830	NR_036215	100422968		NR_036215	ENSG00000283572	MIR4251	-	microRNA 4251	ncRNA
chr10	22270599	22270599	+	0	NA	"intron (NM_022365, intron 1 of 11)"	MIRb|SINE|MIR	22051	NM_022365	64215	Hs.499000	NM_022365	ENSG00000136770	DNAJC1	DNAJL1|ERdj1|HTJ1|MTJ1	DnaJ heat shock protein family (Hsp40) member C1	protein-coding
chr10	20145131	20145131	+	0	NA	"intron (NM_032812, intron 1 of 13)"	"intron (NM_032812, intron 1 of 13)"	39759	NM_032812	84898	Hs.99472	NM_032812	ENSG00000120594	PLXDC2	TEM7R	plexin domain containing 2	protein-coding
chr10	106767521	106767521	+	0	NA	"intron (NM_014978, intron 4 of 26)"	L2c|LINE|L2	-341547	NR_104028	100505890	Hs.348526	NR_104028	ENSG00000226387	SORCS3-AS1	-	SORCS3 antisense RNA 1	ncRNA
chr1	182258794	182258794	+	0	NA	"intron (NR_104175, intron 2 of 2)"	"intron (NR_104175, intron 2 of 2)"	24402	NR_104175	400799	Hs.634884	NR_104175	ENSG00000228918	LINC01344	GS1-122H1.2	long intergenic non-protein coding RNA 1344	ncRNA
chr1	60583864	60583864	+	0	NA	Intergenic	Intergenic	-44422	NM_152377	127795	Hs.47385	NM_152377	ENSG00000162598	C1orf87	CREF	chromosome 1 open reading frame 87	protein-coding
chr10	72518753	72518753	+	0	NA	"intron (NM_080722, intron 21 of 21)"	"intron (NM_080722, intron 21 of 21)"	23576	NR_134534	219793	Hs.386698	NM_152710	ENSG00000166220	TBATA	C10orf27|SPATIAL	"thymus, brain and testes associated"	protein-coding
chr1	161775355	161775355	+	0	NA	"intron (NM_007348, intron 7 of 15)"	"intron (NM_007348, intron 7 of 15)"	39321	NM_007348	22926	Hs.492740	NM_007348	ENSG00000118217	ATF6	ACHM7|ATF6A	activating transcription factor 6	protein-coding
chr1	46089999	46089999	+	0	NA	promoter-TSS (NM_001114938)	promoter-TSS (NM_001114938)	-268	NM_001114938	149483	Hs.18912	NM_152500	ENSG00000159588	CCDC17	-	coiled-coil domain containing 17	protein-coding
chr10	1163117	1163117	+	0	NA	"intron (NM_014023, intron 11 of 13)"	AluJb|SINE|Alu	-42591	NR_015376	399706	Hs.721191	NM_001010910	ENSG00000229205	LINC00200	C10orf139|NCRNA00200	long intergenic non-protein coding RNA 200	ncRNA
