chr	start	end	not_musc_avg	musc_average	dist	leuk_average	chr	start	end	als.1.meth	als.1.unmeth	als.2.meth	als.2.unmeth	als.3.meth	als.3.unmeth	als.4.meth	als.4.unmeth	ctrl.1.meth	ctrl.1.unmeth	ctrl.2.meth	ctrl.2.unmeth	ctrl.3.meth	ctrl.3.unmeth	ctrl.4.meth	ctrl.4.unmeth
chr1	6131144	6131445	0.838654054	0.450883333	0.387770721	0.925575	chr1	6131293	6131294	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6131144	6131445	0.838654054	0.450883333	0.387770721	0.925575	chr1	6131294	6131295	5	1	10	2	12	2	11	4	13	1	14	2	7	2	NA	NA
chr1	6131144	6131445	0.838654054	0.450883333	0.387770721	0.925575	chr1	6131330	6131331	8	0	17	0	13	2	12	1	15	1	13	0	10	1	5	1
chr1	6131144	6131445	0.838654054	0.450883333	0.387770721	0.925575	chr1	6131373	6131374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA
chr1	6131144	6131445	0.838654054	0.450883333	0.387770721	0.925575	chr1	6131374	6131375	10	1	16	1	15	2	14	0	14	0	15	2	10	1	5	2
chr1	6131144	6131445	0.838654054	0.450883333	0.387770721	0.925575	chr1	6131391	6131392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA
chr1	6131144	6131445	0.838654054	0.450883333	0.387770721	0.925575	chr1	6131392	6131393	13	0	17	1	16	2	12	1	12	1	16	1	12	0	7	0
chr1	6131144	6131445	0.838654054	0.450883333	0.387770721	0.925575	chr1	6131397	6131398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA
chr1	6131144	6131445	0.838654054	0.450883333	0.387770721	0.925575	chr1	6131398	6131399	12	1	18	0	16	2	12	1	11	1	16	1	12	0	7	0
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131643	6131644	8	2	14	0	12	1	7	0	7	1	9	0	6	0	NA	NA
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131644	6131645	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131657	6131658	9	0	12	0	9	0	8	0	7	0	NA	NA	6	0	NA	NA
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131658	6131659	NA	NA	6	0	NA	NA	5	1	NA	NA	NA	NA	NA	NA	5	1
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131667	6131668	10	0	8	3	7	1	8	0	8	0	NA	NA	NA	NA	NA	NA
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131668	6131669	NA	NA	6	0	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131687	6131688	10	0	7	0	8	0	7	1	6	0	NA	NA	NA	NA	NA	NA
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131688	6131689	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131706	6131707	8	0	NA	NA	6	0	7	2	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131707	6131708	NA	NA	7	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131761	6131762	6	0	6	1	8	1	NA	NA	NA	NA	7	0	NA	NA	NA	NA
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131767	6131768	4	2	5	2	8	1	NA	NA	NA	NA	7	0	NA	NA	NA	NA
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131810	6131811	6	0	10	0	12	1	6	0	6	0	8	0	NA	NA	NA	NA
chr1	6131526	6131827	0.883957658	0.438066667	0.445890991	0.968625	chr1	6131819	6131820	5	1	9	1	13	0	7	0	NA	NA	8	1	NA	NA	NA	NA
chr1	6659055	6659356	0.828507207	0.48595	0.342557207	0.934925	chr1	6659279	6659280	NA	NA	NA	NA	NA	NA	9	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6659055	6659356	0.828507207	0.48595	0.342557207	0.934925	chr1	6659280	6659281	11	1	20	0	16	2	11	2	14	2	13	0	25	2	11	1
chr1	6659055	6659356	0.828507207	0.48595	0.342557207	0.934925	chr1	6659349	6659350	NA	NA	NA	NA	NA	NA	10	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6659055	6659356	0.828507207	0.48595	0.342557207	0.934925	chr1	6659350	6659351	13	2	12	0	16	0	11	1	9	1	12	0	20	2	9	0
chr1	7284076	7284377	0.854936937	0.403133333	0.451803604	0.9006	chr1	7284113	7284114	NA	NA	7	0	9	1	9	1	10	1	5	1	9	3	6	0
chr1	7284076	7284377	0.854936937	0.403133333	0.451803604	0.9006	chr1	7284264	7284265	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	7284076	7284377	0.854936937	0.403133333	0.451803604	0.9006	chr1	7284265	7284266	NA	NA	NA	NA	5	2	6	1	16	1	6	0	11	0	NA	NA
chr1	7284076	7284377	0.854936937	0.403133333	0.451803604	0.9006	chr1	7284296	7284297	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	7284076	7284377	0.854936937	0.403133333	0.451803604	0.9006	chr1	7284297	7284298	NA	NA	NA	NA	7	2	7	1	14	2	7	1	7	0	NA	NA
chr1	7284076	7284377	0.854936937	0.403133333	0.451803604	0.9006	chr1	7284350	7284351	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	7284076	7284377	0.854936937	0.403133333	0.451803604	0.9006	chr1	7284351	7284352	NA	NA	NA	NA	8	0	11	1	12	1	10	0	10	0	4	2
chr1	7289787	7290088	0.818728829	0.453566667	0.365162162	0.924025	chr1	7289877	7289878	6	1	12	1	15	0	10	3	12	1	11	2	8	3	5	1
chr1	7289787	7290088	0.818728829	0.453566667	0.365162162	0.924025	chr1	7289878	7289879	10	1	4	6	9	3	7	0	10	6	NA	NA	9	3	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600141	10600142	7	0	10	0	9	1	7	0	11	0	8	4	5	2	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600142	10600143	NA	NA	10	0	9	0	11	1	7	0	7	0	13	1	7	0
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600147	10600148	7	0	10	0	12	0	8	0	9	2	10	0	5	2	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600148	10600149	NA	NA	9	0	8	1	11	1	7	0	8	0	13	1	7	0
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600157	10600158	6	0	10	0	9	1	7	0	9	0	8	2	4	2	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600158	10600159	NA	NA	9	1	10	0	10	0	7	0	8	0	13	1	7	0
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600190	10600191	9	2	9	0	11	0	7	0	7	0	10	0	NA	NA	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600191	10600192	NA	NA	NA	NA	8	0	10	1	NA	NA	NA	NA	7	2	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600217	10600218	9	1	7	0	7	1	6	0	7	1	8	0	NA	NA	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600218	10600219	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	9	1	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600228	10600229	10	0	8	0	5	3	8	0	6	0	9	0	NA	NA	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600229	10600230	NA	NA	NA	NA	NA	NA	7	0	NA	NA	NA	NA	10	0	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600293	10600294	8	0	9	0	13	0	8	2	7	2	10	0	9	0	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600294	10600295	NA	NA	NA	NA	NA	NA	6	1	NA	NA	NA	NA	6	0	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600345	10600346	6	0	5	1	12	0	7	1	11	0	9	0	13	0	NA	NA
chr1	10600072	10600373	0.830844144	0.435116667	0.395727477	0.9295125	chr1	10600369	10600370	6	0	NA	NA	15	1	13	0	10	1	8	1	13	0	6	0
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020507	11020508	NA	NA	6	0	10	0	8	1	11	1	8	0	8	0	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020508	11020509	NA	NA	14	0	15	1	12	0	8	0	8	0	7	3	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020527	11020528	NA	NA	NA	NA	8	1	7	1	13	0	8	0	6	0	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020528	11020529	NA	NA	11	1	14	0	8	0	6	0	6	0	11	0	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020616	11020617	NA	NA	NA	NA	11	0	6	0	7	0	NA	NA	5	1	6	0
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020617	11020618	7	0	8	0	11	0	10	0	NA	NA	NA	NA	8	0	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020626	11020627	NA	NA	NA	NA	9	0	NA	NA	7	0	NA	NA	NA	NA	7	0
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020627	11020628	7	0	7	0	13	0	10	0	5	1	NA	NA	7	0	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020630	11020631	NA	NA	NA	NA	9	0	NA	NA	7	0	NA	NA	NA	NA	7	0
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020631	11020632	7	0	7	0	12	0	10	0	6	0	NA	NA	6	1	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020634	11020635	NA	NA	NA	NA	9	0	NA	NA	7	0	NA	NA	NA	NA	7	0
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020635	11020636	7	0	7	0	10	0	9	1	7	0	NA	NA	6	1	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020674	11020675	NA	NA	6	1	6	0	8	0	5	1	NA	NA	6	0	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020679	11020680	NA	NA	NA	NA	NA	NA	7	0	6	0	NA	NA	NA	NA	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020690	11020691	NA	NA	6	0	NA	NA	NA	NA	9	0	NA	NA	NA	NA	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020734	11020735	NA	NA	6	0	8	1	NA	NA	7	0	NA	NA	5	1	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020735	11020736	NA	NA	NA	NA	NA	NA	NA	NA	7	2	NA	NA	NA	NA	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020771	11020772	NA	NA	8	1	8	0	NA	NA	6	0	NA	NA	NA	NA	NA	NA
chr1	11020481	11020782	0.878346847	0.4642	0.414146847	0.942875	chr1	11020772	11020773	NA	NA	NA	NA	6	0	NA	NA	10	0	NA	NA	NA	NA	NA	NA
chr1	12609158	12609459	0.812199099	0.37975	0.432449099	0.96135	chr1	12609239	12609240	NA	NA	7	1	9	5	9	4	8	1	NA	NA	5	1	7	0
chr1	12609158	12609459	0.812199099	0.37975	0.432449099	0.96135	chr1	12609240	12609241	7	0	NA	NA	9	1	9	0	5	1	8	0	10	2	NA	NA
chr1	12609158	12609459	0.812199099	0.37975	0.432449099	0.96135	chr1	12609291	12609292	NA	NA	2	4	5	3	8	3	NA	NA	NA	NA	NA	NA	4	2
