chr	start	end 	not_leuk_avg	leuk_average	chr	start	end	als.1.meth	als.1.unmeth	als.2.meth	als.2.unmeth	als.3.meth	als.3.unmeth	als.4.meth	als.4.unmeth	ctrl.1.meth	ctrl.1.unmeth	ctrl.2.meth	ctrl.2.unmeth	ctrl.3.meth	ctrl.3.unmeth	ctrl.4.meth	ctrl.4.unmeth
chr11	60739022	60739323	0.716296396	0.022625	chr11	60739234	60739235	5	1	NA	NA	12	0	8	2	13	0	8	1	13	2	NA	NA
chr11	60739022	60739323	0.716296396	0.022625	chr11	60739280	60739281	NA	NA	NA	NA	NA	NA	4	5	NA	NA	NA	NA	6	2	NA	NA
chr11	60739022	60739323	0.716296396	0.022625	chr11	60739281	60739282	NA	NA	NA	NA	3	3	5	3	NA	NA	6	0	5	1	NA	NA
chr12	54891484	54891785	0.713685586	0.0274625	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr19	17956956	17957257	0.727612613	0.042125	chr19	17956966	17956967	NA	NA	11	0	NA	NA	NA	NA	8	1	NA	NA	6	2	4	2
chr19	17956956	17957257	0.727612613	0.042125	chr19	17957000	17957001	NA	NA	9	0	NA	NA	NA	NA	5	4	NA	NA	4	4	5	1
chr19	17956956	17957257	0.727612613	0.042125	chr19	17957029	17957030	NA	NA	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA
chr1	198590588	198590889	0.759616216	0.074325	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr5	40676048	40676349	0.742791892	0.0588875	chr5	40676086	40676087	1	6	4	5	4	6	5	10	NA	NA	7	3	5	2	NA	NA
chr5	40676048	40676349	0.742791892	0.0588875	chr5	40676087	40676088	3	4	2	4	7	1	2	8	7	1	4	7	3	5	NA	NA
chr5	40676048	40676349	0.742791892	0.0588875	chr5	40676096	40676097	0	7	4	5	3	7	2	13	NA	NA	5	5	3	6	NA	NA
chr5	40676048	40676349	0.742791892	0.0588875	chr5	40676097	40676098	3	4	1	5	3	5	3	7	4	4	4	6	1	7	NA	NA
chr5	40676048	40676349	0.742791892	0.0588875	chr5	40676235	40676236	NA	NA	6	2	8	2	NA	NA	6	3	10	2	13	0	4	2
chr5	40676048	40676349	0.742791892	0.0588875	chr5	40676236	40676237	5	4	NA	NA	4	2	8	5	5	1	9	3	4	3	NA	NA
chr5	40676048	40676349	0.742791892	0.0588875	chr5	40676336	40676337	6	0	10	2	12	1	NA	NA	9	1	10	1	8	0	8	0
chr5	40676048	40676349	0.742791892	0.0588875	chr5	40676337	40676338	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5	40676048	40676349	0.742791892	0.0588875	chr5	40676346	40676347	6	1	12	0	14	1	NA	NA	7	3	9	0	3	3	8	0
chr5	40676048	40676349	0.742791892	0.0588875	chr5	40676347	40676348	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	44226243	44226544	0.727954054	0.0454375	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689043	123689044	5	1	17	1	18	1	8	2	10	0	17	0	22	1	NA	NA
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689085	123689086	NA	NA	8	0	NA	NA	7	0	6	0	10	0	12	0	NA	NA
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689086	123689087	NA	NA	16	1	15	0	11	0	10	1	12	1	13	1	7	0
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689093	123689094	NA	NA	8	0	6	0	8	0	5	1	10	0	11	0	NA	NA
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689094	123689095	NA	NA	17	0	15	4	10	0	11	0	11	1	17	0	7	0
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689127	123689128	NA	NA	7	0	NA	NA	7	0	NA	NA	7	0	7	0	NA	NA
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689128	123689129	NA	NA	14	0	19	0	8	0	11	1	12	1	15	1	NA	NA
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689185	123689186	0	8	10	1	NA	NA	6	3	5	1	4	2	0	10	NA	NA
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689186	123689187	0	7	11	0	10	1	5	3	10	0	11	0	0	8	NA	NA
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689213	123689214	8	0	13	0	8	0	8	2	6	0	NA	NA	9	0	NA	NA
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689214	123689215	6	1	12	0	15	0	6	0	10	0	8	1	NA	NA	6	0
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689244	123689245	6	0	12	0	9	0	10	0	NA	NA	NA	NA	7	0	NA	NA
chr9	123689043	123689344	0.761788288	0.0797625	chr9	123689245	123689246	4	2	11	0	11	0	8	0	10	0	5	1	7	2	NA	NA
chr11	60738855	60739156	0.722757658	0.0421375	chr11	60738869	60738870	NA	NA	14	0	11	1	9	1	7	1	10	3	6	4	NA	NA
chr11	60738855	60739156	0.722757658	0.0421375	chr11	60738935	60738936	NA	NA	17	2	11	0	11	0	9	0	14	0	9	1	5	1
chr11	60738855	60739156	0.722757658	0.0421375	chr11	60738944	60738945	NA	NA	16	1	8	1	11	0	9	0	15	0	9	0	5	1
chr11	60738855	60739156	0.722757658	0.0421375	chr11	60738953	60738954	6	1	14	4	7	2	10	0	8	1	14	1	10	1	5	1
chr11	60738855	60739156	0.722757658	0.0421375	chr11	60738997	60738998	2	4	14	0	10	1	8	1	10	0	13	0	11	2	6	1
chr11	60738855	60739156	0.722757658	0.0421375	chr11	60739023	60739024	7	1	9	0	8	2	5	2	8	2	8	0	8	2	NA	NA
chr11	60738855	60739156	0.722757658	0.0421375	chr11	60739134	60739135	NA	NA	7	0	NA	NA	10	0	NA	NA	7	1	7	0	NA	NA
chr11	60738855	60739156	0.722757658	0.0421375	chr11	60739135	60739136	6	1	11	1	16	0	8	1	13	0	13	0	7	1	NA	NA
chr4	84034240	84034541	0.708056757	0.0344	chr4	84034286	84034287	7	3	12	3	19	3	12	2	8	3	10	1	11	0	6	1
chr4	84034240	84034541	0.708056757	0.0344	chr4	84034287	84034288	7	1	7	0	12	0	11	1	6	0	NA	NA	4	2	NA	NA
chr4	84034240	84034541	0.708056757	0.0344	chr4	84034416	84034417	7	4	13	1	19	2	14	3	13	3	13	2	15	2	6	2
chr4	84034240	84034541	0.708056757	0.0344	chr4	84034417	84034418	7	0	20	0	19	3	10	2	7	0	18	2	18	1	NA	NA
chr4	84034240	84034541	0.708056757	0.0344	chr4	84034462	84034463	10	0	12	4	13	0	14	1	8	2	12	1	10	1	8	2
chr4	84034240	84034541	0.708056757	0.0344	chr4	84034463	84034464	13	3	25	2	20	2	13	3	11	0	20	5	18	5	7	1
chr19	937480	937781	0.716822523	0.0441875	chr19	937504	937505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	3	NA	NA
chr19	937480	937781	0.716822523	0.0441875	chr19	937505	937506	6	0	7	2	10	3	NA	NA	5	2	7	5	8	5	NA	NA
chr19	937480	937781	0.716822523	0.0441875	chr19	937518	937519	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	8	1	NA	NA
chr19	937480	937781	0.716822523	0.0441875	chr19	937519	937520	NA	NA	7	2	12	0	NA	NA	7	0	10	2	9	0	NA	NA
chr19	937480	937781	0.716822523	0.0441875	chr19	937522	937523	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	6	3	NA	NA
chr19	937480	937781	0.716822523	0.0441875	chr19	937523	937524	NA	NA	9	0	9	2	NA	NA	4	3	9	3	6	3	NA	NA
chr19	937480	937781	0.716822523	0.0441875	chr19	937631	937632	NA	NA	1	6	3	4	4	4	2	4	4	7	6	6	NA	NA
chr19	937480	937781	0.716822523	0.0441875	chr19	937697	937698	NA	NA	1	5	2	5	NA	NA	NA	NA	2	8	0	9	NA	NA
chr19	937480	937781	0.716822523	0.0441875	chr19	937770	937771	NA	NA	7	0	7	5	5	1	NA	NA	9	1	NA	NA	NA	NA
chr19	937480	937781	0.716822523	0.0441875	chr19	937776	937777	NA	NA	6	2	5	6	5	1	NA	NA	7	3	NA	NA	NA	NA
chr10	105978501	105978802	0.737631532	0.0656375	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358737	80358738	4	2	9	1	13	0	8	1	14	1	16	0	11	1	6	1
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358738	80358739	8	0	9	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358769	80358770	6	0	10	0	10	0	9	0	12	1	14	0	9	1	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358770	80358771	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358777	80358778	6	0	10	1	12	0	10	0	12	1	13	0	6	3	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358778	80358779	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358779	80358780	6	0	11	0	10	1	10	0	13	0	13	0	11	0	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358780	80358781	6	0	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358840	80358841	7	0	15	2	15	0	12	0	14	0	13	1	14	0	6	0
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358841	80358842	NA	NA	11	0	6	0	9	0	NA	NA	NA	NA	NA	NA	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358857	80358858	NA	NA	17	0	14	0	13	0	13	0	9	1	15	0	5	1
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358858	80358859	NA	NA	9	0	4	3	9	0	NA	NA	6	0	NA	NA	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358865	80358866	NA	NA	17	0	14	0	14	0	13	0	9	0	13	1	6	0
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358866	80358867	NA	NA	11	0	7	0	8	0	NA	NA	6	0	NA	NA	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358931	80358932	NA	NA	17	4	13	1	11	0	11	1	6	2	10	1	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80358932	80358933	NA	NA	11	3	10	1	7	0	6	0	7	0	8	0	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80359016	80359017	NA	NA	4	2	NA	NA	8	0	NA	NA	NA	NA	NA	NA	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80359017	80359018	6	1	8	0	11	0	NA	NA	7	0	NA	NA	NA	NA	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80359023	80359024	NA	NA	5	1	NA	NA	8	0	NA	NA	NA	NA	NA	NA	NA	NA
chr17	80358726	80359027	0.70026036	0.0285375	chr17	80359024	80359025	6	0	8	0	12	0	NA	NA	7	0	NA	NA	NA	NA	NA	NA
chr12	47610070	47610371	0.69802973	0.026875	chr12	47610325	47610326	NA	NA	9	2	6	3	10	1	8	2	13	2	11	0	9	1
chr12	47610070	47610371	0.69802973	0.026875	chr12	47610326	47610327	7	0	15	1	7	1	10	1	14	0	18	4	9	3	6	0
chr2	220112315	220112616	0.704845946	0.0344875	chr2	220112373	220112374	6	2	21	1	16	0	6	0	8	1	13	0	22	1	NA	NA
chr2	220112315	220112616	0.704845946	0.0344875	chr2	220112374	220112375	7	0	16	0	15	0	12	0	14	3	14	1	10	2	7	0
chr2	220112315	220112616	0.704845946	0.0344875	chr2	220112397	220112398	8	1	17	0	12	0	NA	NA	7	0	12	0	15	0	NA	NA
chr2	220112315	220112616	0.704845946	0.0344875	chr2	220112398	220112399	7	0	12	0	17	2	10	0	14	2	10	0	10	1	6	0
chr2	220112315	220112616	0.704845946	0.0344875	chr2	220112413	220112414	8	1	17	1	9	1	NA	NA	7	0	11	0	11	1	NA	NA
chr2	220112315	220112616	0.704845946	0.0344875	chr2	220112414	220112415	9	0	9	0	21	1	10	0	14	1	9	1	10	2	6	0
chr2	220112315	220112616	0.704845946	0.0344875	chr2	220112489	220112490	8	2	19	3	20	2	6	1	9	1	16	3	13	5	5	2
chr2	220112315	220112616	0.704845946	0.0344875	chr2	220112490	220112491	13	2	16	2	15	7	7	4	10	1	15	3	15	2	5	1
chr2	220112315	220112616	0.704845946	0.0344875	chr2	220112609	220112610	9	0	8	1	11	1	6	2	7	0	11	2	10	2	NA	NA
chr2	220112315	220112616	0.704845946	0.0344875	chr2	220112610	220112611	7	1	6	2	14	1	9	1	8	0	10	3	11	1	6	1
chr7	37392730	37393031	0.717605405	0.0475	chr7	37392750	37392751	NA	NA	NA	NA	NA	NA	2	6	NA	NA	NA	NA	0	6	NA	NA
chr7	37392730	37393031	0.717605405	0.0475	chr7	37392751	37392752	1	6	1	16	1	9	1	9	1	11	0	12	7	3	NA	NA
chr12	54891486	54891787	0.698836036	0.0293625	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr2	158300325	158300626	0.69051982	0.025925	chr2	158300437	158300438	NA	NA	5	1	5	6	7	4	7	1	4	2	3	4	NA	NA
chr2	158300325	158300626	0.69051982	0.025925	chr2	158300438	158300439	NA	NA	3	6	2	4	10	4	4	3	3	3	NA	NA	NA	NA
chr12	51717524	51717825	0.7218	0.057325	chr12	51717527	51717528	NA	NA	12	0	10	1	11	2	NA	NA	7	0	8	1	5	1
chr12	51717524	51717825	0.7218	0.057325	chr12	51717528	51717529	7	0	NA	NA	8	1	6	1	12	1	10	0	9	2	NA	NA
chr12	51717524	51717825	0.7218	0.057325	chr12	51717633	51717634	NA	NA	7	3	12	1	12	1	11	1	8	2	9	0	6	1
chr12	51717524	51717825	0.7218	0.057325	chr12	51717634	51717635	NA	NA	8	2	6	1	6	1	13	0	12	2	11	1	8	1
chr12	51717524	51717825	0.7218	0.057325	chr12	51717675	51717676	NA	NA	9	1	8	1	13	2	16	0	12	1	6	2	NA	NA
chr12	51717524	51717825	0.7218	0.057325	chr12	51717676	51717677	NA	NA	13	1	9	1	8	0	15	1	17	0	14	0	10	0
chr5	54397442	54397743	0.708553153	0.0445625	chr5	54397558	54397559	7	1	21	1	15	0	9	0	17	0	12	1	15	1	NA	NA
chr10	6104162	6104463	0.707645946	0.0440875	chr10	6104217	6104218	7	1	5	1	11	1	11	1	10	0	7	1	11	0	6	1
chr10	6104162	6104463	0.707645946	0.0440875	chr10	6104218	6104219	6	1	9	1	8	3	12	3	14	2	9	2	11	0	NA	NA
chr10	6104162	6104463	0.707645946	0.0440875	chr10	6104289	6104290	5	1	10	1	8	3	13	0	12	1	7	1	15	0	NA	NA
chr10	6104162	6104463	0.707645946	0.0440875	chr10	6104290	6104291	NA	NA	8	1	17	0	12	1	10	0	7	1	11	1	NA	NA
chr10	6104162	6104463	0.707645946	0.0440875	chr10	6104299	6104300	NA	NA	12	1	11	1	14	0	13	1	6	2	15	0	NA	NA
chr10	6104162	6104463	0.707645946	0.0440875	chr10	6104300	6104301	NA	NA	8	0	16	1	14	2	9	0	9	1	12	3	6	0
chr9	272922	273223	0.717897297	0.054975	chr9	272991	272992	NA	NA	NA	NA	NA	NA	2	6	2	4	NA	NA	NA	NA	NA	NA
chr9	272922	273223	0.717897297	0.054975	chr9	272992	272993	NA	NA	2	8	2	10	0	7	NA	NA	0	7	0	7	NA	NA
chr9	272922	273223	0.717897297	0.054975	chr9	273028	273029	NA	NA	0	6	3	8	NA	NA	NA	NA	0	8	0	7	NA	NA
chr9	272922	273223	0.717897297	0.054975	chr9	273039	273040	NA	NA	NA	NA	2	8	NA	NA	NA	NA	NA	NA	0	7	NA	NA
chr9	272922	273223	0.717897297	0.054975	chr9	273046	273047	NA	NA	NA	NA	2	8	0	6	NA	NA	NA	NA	0	8	NA	NA
chr9	272922	273223	0.717897297	0.054975	chr9	273073	273074	NA	NA	NA	NA	1	8	NA	NA	NA	NA	NA	NA	0	8	NA	NA
chr9	272922	273223	0.717897297	0.054975	chr9	273075	273076	NA	NA	NA	NA	1	8	NA	NA	NA	NA	NA	NA	0	8	NA	NA
chr9	272922	273223	0.717897297	0.054975	chr9	273077	273078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	NA
chr9	272922	273223	0.717897297	0.054975	chr9	273078	273079	NA	NA	NA	NA	1	7	NA	NA	NA	NA	NA	NA	0	8	NA	NA
chr9	272922	273223	0.717897297	0.054975	chr9	273155	273156	2	5	NA	NA	NA	NA	NA	NA	1	6	0	10	NA	NA	NA	NA
chr9	272922	273223	0.717897297	0.054975	chr9	273156	273157	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA
chr9	272922	273223	0.717897297	0.054975	chr9	273177	273178	0	6	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA
chr9	272922	273223	0.717897297	0.054975	chr9	273178	273179	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	NA	NA	NA	NA	NA
chr10	14701665	14701966	0.708307207	0.04675	chr10	14701665	14701666	4	2	11	1	9	4	8	2	NA	NA	8	2	6	0	NA	NA
chr10	14701665	14701966	0.708307207	0.04675	chr10	14701695	14701696	NA	NA	2	8	2	4	4	8	5	6	5	5	4	6	NA	NA
chr10	14701665	14701966	0.708307207	0.04675	chr10	14701696	14701697	NA	NA	7	4	6	6	3	9	1	5	2	9	1	8	NA	NA
chr10	14701665	14701966	0.708307207	0.04675	chr10	14701743	14701744	NA	NA	4	4	4	2	7	3	8	0	9	6	9	2	NA	NA
chr10	14701665	14701966	0.708307207	0.04675	chr10	14701744	14701745	7	2	11	1	9	2	4	4	9	3	15	0	5	3	5	2
chr10	14701665	14701966	0.708307207	0.04675	chr10	14701793	14701794	NA	NA	7	1	9	0	8	2	8	1	16	3	10	0	NA	NA
chr10	14701665	14701966	0.708307207	0.04675	chr10	14701794	14701795	7	1	7	2	10	0	8	0	11	1	10	1	5	1	NA	NA
chr10	14701665	14701966	0.708307207	0.04675	chr10	14701821	14701822	NA	NA	NA	NA	9	0	6	0	6	2	16	2	9	1	NA	NA
chr10	14701665	14701966	0.708307207	0.04675	chr10	14701822	14701823	7	0	6	0	7	0	9	0	12	0	7	1	8	0	NA	NA
chr10	14701665	14701966	0.708307207	0.04675	chr10	14701954	14701955	9	0	9	0	10	2	6	1	11	0	12	1	12	0	7	0
chr10	14701665	14701966	0.708307207	0.04675	chr10	14701955	14701956	11	1	15	0	11	0	16	1	9	0	9	0	11	2	8	0
chr8	21768964	21769265	0.719254054	0.058275	chr8	21768980	21768981	NA	NA	7	1	8	2	8	2	15	1	7	0	13	1	NA	NA
chr8	21768964	21769265	0.719254054	0.058275	chr8	21769174	21769175	NA	NA	NA	NA	8	0	4	3	NA	NA	8	0	NA	NA	NA	NA
chr8	21768964	21769265	0.719254054	0.058275	chr8	21769175	21769176	NA	NA	NA	NA	6	1	NA	NA	7	0	NA	NA	NA	NA	NA	NA
chr8	21768964	21769265	0.719254054	0.058275	chr8	21769180	21769181	NA	NA	NA	NA	6	0	6	1	NA	NA	7	0	NA	NA	NA	NA
chr8	21768964	21769265	0.719254054	0.058275	chr8	21769181	21769182	NA	NA	NA	NA	7	0	NA	NA	7	0	NA	NA	NA	NA	NA	NA
chr8	21768964	21769265	0.719254054	0.058275	chr8	21769227	21769228	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5	169533197	169533498	0.704279279	0.043575	chr5	169533304	169533305	NA	NA	NA	NA	7	1	NA	NA	7	1	NA	NA	7	0	NA	NA
chr5	169533197	169533498	0.704279279	0.043575	chr5	169533305	169533306	8	1	14	3	NA	NA	6	0	5	2	9	2	NA	NA	NA	NA
chr5	169533197	169533498	0.704279279	0.043575	chr5	169533311	169533312	NA	NA	6	0	9	0	NA	NA	8	0	NA	NA	7	0	NA	NA
chr5	169533197	169533498	0.704279279	0.043575	chr5	169533312	169533313	9	0	16	1	NA	NA	6	0	6	1	10	0	NA	NA	NA	NA
chr5	169533197	169533498	0.704279279	0.043575	chr5	169533320	169533321	NA	NA	6	0	9	0	NA	NA	7	0	NA	NA	7	0	NA	NA
chr5	169533197	169533498	0.704279279	0.043575	chr5	169533321	169533322	10	1	17	1	NA	NA	8	1	7	1	7	0	NA	NA	NA	NA
chr17	56408861	56409162	0.70893964	0.04925	chr17	56408985	56408986	7	0	6	0	9	0	7	1	12	2	12	1	12	1	9	1
chr17	56408861	56409162	0.70893964	0.04925	chr17	56408986	56408987	NA	NA	14	0	10	1	11	1	13	2	8	0	7	0	NA	NA
chr17	56408861	56409162	0.70893964	0.04925	chr17	56409017	56409018	NA	NA	7	0	6	0	7	0	12	1	9	0	9	0	9	1
chr17	56408861	56409162	0.70893964	0.04925	chr17	56409018	56409019	NA	NA	9	0	12	1	10	2	16	0	NA	NA	9	0	NA	NA
chr17	56408861	56409162	0.70893964	0.04925	chr17	56409069	56409070	NA	NA	5	1	NA	NA	8	0	6	0	NA	NA	6	0	NA	NA
chr17	56408861	56409162	0.70893964	0.04925	chr17	56409070	56409071	NA	NA	NA	NA	14	1	6	0	10	0	NA	NA	8	1	NA	NA
chr17	56408861	56409162	0.70893964	0.04925	chr17	56409113	56409114	NA	NA	8	0	8	0	7	0	9	0	NA	NA	NA	NA	NA	NA
chr17	56408861	56409162	0.70893964	0.04925	chr17	56409114	56409115	NA	NA	NA	NA	7	2	9	0	11	0	6	0	6	0	NA	NA
chr17	56408861	56409162	0.70893964	0.04925	chr17	56409144	56409145	NA	NA	8	0	12	0	7	1	8	0	NA	NA	NA	NA	NA	NA
chr17	56408861	56409162	0.70893964	0.04925	chr17	56409145	56409146	NA	NA	6	0	7	0	11	0	9	1	NA	NA	NA	NA	NA	NA
chr1	27944855	27945156	0.71723964	0.0576	chr1	27944913	27944914	NA	NA	NA	NA	6	1	6	0	6	0	6	1	NA	NA	NA	NA
chr1	27944855	27945156	0.71723964	0.0576	chr1	27944914	27944915	7	0	7	0	10	0	8	0	8	1	11	0	11	0	7	0
chr1	27944855	27945156	0.71723964	0.0576	chr1	27944995	27944996	NA	NA	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	27944855	27945156	0.71723964	0.0576	chr1	27944996	27944997	NA	NA	6	0	6	0	5	2	NA	NA	7	1	8	0	NA	NA
chr1	27944855	27945156	0.71723964	0.0576	chr1	27945016	27945017	NA	NA	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	27944855	27945156	0.71723964	0.0576	chr1	27945017	27945018	6	0	8	0	NA	NA	8	0	NA	NA	7	0	6	0	NA	NA
chr1	27944855	27945156	0.71723964	0.0576	chr1	27945103	27945104	NA	NA	NA	NA	NA	NA	10	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	27944855	27945156	0.71723964	0.0576	chr1	27945140	27945141	4	2	NA	NA	NA	NA	8	1	NA	NA	NA	NA	NA	NA	NA	NA
chr3	150920901	150921202	0.748326126	0.0889	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr1	202128532	202128833	0.693608108	0.0344125	chr1	202128591	202128592	NA	NA	9	0	11	0	8	1	NA	NA	7	0	7	0	NA	NA
chr1	202128532	202128833	0.693608108	0.0344125	chr1	202128600	202128601	NA	NA	9	1	12	0	8	0	NA	NA	7	0	6	0	NA	NA
chr1	202128532	202128833	0.693608108	0.0344125	chr1	202128603	202128604	NA	NA	9	1	12	1	8	0	NA	NA	7	0	7	0	NA	NA
chr1	202128532	202128833	0.693608108	0.0344125	chr1	202128772	202128773	9	0	8	0	12	0	6	1	5	1	10	0	10	0	NA	NA
chr21	36421322	36421623	0.679066667	0.02005	chr21	36421326	36421327	NA	NA	NA	NA	NA	NA	9	0	NA	NA	NA	NA	4	2	NA	NA
chr21	36421322	36421623	0.679066667	0.02005	chr21	36421327	36421328	7	1	8	0	12	0	15	0	22	0	16	2	7	0	5	1
chr21	36421322	36421623	0.679066667	0.02005	chr21	36421447	36421448	NA	NA	7	1	14	1	NA	NA	10	0	13	0	NA	NA	NA	NA
chr21	36421322	36421623	0.679066667	0.02005	chr21	36421518	36421519	NA	NA	NA	NA	8	0	NA	NA	NA	NA	7	0	NA	NA	NA	NA
chr21	36421322	36421623	0.679066667	0.02005	chr21	36421548	36421549	NA	NA	8	0	6	2	7	0	5	1	6	0	8	0	NA	NA
chr21	36421322	36421623	0.679066667	0.02005	chr21	36421556	36421557	NA	NA	8	1	8	2	8	0	6	2	7	0	8	0	NA	NA
chr21	36421322	36421623	0.679066667	0.02005	chr21	36421573	36421574	NA	NA	9	0	9	0	8	0	8	1	7	0	8	0	NA	NA
chr21	36421322	36421623	0.679066667	0.02005	chr21	36421580	36421581	NA	NA	9	0	7	2	7	1	8	1	NA	NA	8	0	NA	NA
chr21	36421322	36421623	0.679066667	0.02005	chr21	36421622	36421623	NA	NA	6	0	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA
