chr	start	end	fibrotic_average	healthy_lung_average	all_lung_average	not_lung_average	leuk_average	difference	chr	start	end	als.1.meth	als.1.unmeth	als.2.meth	als.2.unmeth	als.3.meth	als.3.unmeth	als.4.meth	als.4.unmeth	ctrl.1.meth	ctrl.1.unmeth	ctrl.2.meth	ctrl.2.unmeth	ctrl.3.meth	ctrl.3.unmeth	ctrl.4.meth	ctrl.4.unmeth
chr15	77378603	77378904	0.39855	0.913075	0.6558125	NA	NA	0.514525	chr15	77378778	77378779	5	1	9	0	16	0	7	1	13	1	18	1	13	2	7	0
chr15	77378603	77378904	0.39855	0.913075	0.6558125	NA	NA	0.514525	chr15	77378779	77378780	9	0	13	0	15	1	14	2	12	2	10	3	17	0	6	0
chr16	85531264	85531565	0.1477	0.654825	0.4012625	NA	0.493875	0.507125	chr16	85531327	85531328	NA	NA	9	0	9	0	8	1	NA	NA	9	1	NA	NA	NA	NA
chr16	85531264	85531565	0.1477	0.654825	0.4012625	NA	0.493875	0.507125	chr16	85531328	85531329	NA	NA	NA	NA	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA
chr16	85531264	85531565	0.1477	0.654825	0.4012625	NA	0.493875	0.507125	chr16	85531355	85531356	NA	NA	8	2	8	2	8	1	4	2	10	0	NA	NA	NA	NA
chr16	85531264	85531565	0.1477	0.654825	0.4012625	NA	0.493875	0.507125	chr16	85531356	85531357	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA
chr16	85531264	85531565	0.1477	0.654825	0.4012625	NA	0.493875	0.507125	chr16	85531365	85531366	NA	NA	9	1	9	1	6	2	NA	NA	7	2	NA	NA	NA	NA
chr16	85531264	85531565	0.1477	0.654825	0.4012625	NA	0.493875	0.507125	chr16	85531366	85531367	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA
chr16	85531264	85531565	0.1477	0.654825	0.4012625	NA	0.493875	0.507125	chr16	85531399	85531400	NA	NA	8	1	6	2	NA	NA	5	1	NA	NA	NA	NA	6	0
chr16	85531264	85531565	0.1477	0.654825	0.4012625	NA	0.493875	0.507125	chr16	85531400	85531401	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA
chr16	85531264	85531565	0.1477	0.654825	0.4012625	NA	0.493875	0.507125	chr16	85531417	85531418	NA	NA	8	0	7	0	NA	NA	6	1	NA	NA	NA	NA	NA	NA
chr16	85531264	85531565	0.1477	0.654825	0.4012625	NA	0.493875	0.507125	chr16	85531454	85531455	NA	NA	NA	NA	5	1	7	0	5	3	NA	NA	6	0	NA	NA
chr16	85531264	85531565	0.1477	0.654825	0.4012625	NA	0.493875	0.507125	chr16	85531485	85531486	NA	NA	NA	NA	NA	NA	7	0	6	0	NA	NA	6	0	NA	NA
chr16	85531264	85531565	0.1477	0.654825	0.4012625	NA	0.493875	0.507125	chr16	85531564	85531565	NA	NA	6	3	10	0	9	0	NA	NA	NA	NA	NA	NA	NA	NA
chr17	4019815	4020116	0.21965	0.84295	0.5313	NA	NA	0.6233	chr17	4019820	4019821	NA	NA	9	1	10	0	0	8	5	5	5	5	4	5	NA	NA
chr17	4019815	4020116	0.21965	0.84295	0.5313	NA	NA	0.6233	chr17	4019821	4019822	NA	NA	8	0	9	1	0	11	4	7	3	4	2	10	NA	NA
chr17	4019815	4020116	0.21965	0.84295	0.5313	NA	NA	0.6233	chr17	4019962	4019963	5	1	12	4	10	0	8	1	8	2	7	5	9	3	8	1
chr17	4019815	4020116	0.21965	0.84295	0.5313	NA	NA	0.6233	chr17	4019963	4019964	5	1	15	1	13	7	10	2	12	3	19	4	30	1	10	1
chr17	4019815	4020116	0.21965	0.84295	0.5313	NA	NA	0.6233	chr17	4020056	4020057	NA	NA	7	4	7	1	6	1	10	0	11	2	10	2	5	2
chr17	4019815	4020116	0.21965	0.84295	0.5313	NA	NA	0.6233	chr17	4020057	4020058	8	0	19	0	22	0	8	1	15	1	20	1	20	0	5	1
chr17	4019815	4020116	0.21965	0.84295	0.5313	NA	NA	0.6233	chr17	4020064	4020065	NA	NA	8	1	7	1	5	1	9	0	12	1	9	3	6	1
chr17	4019815	4020116	0.21965	0.84295	0.5313	NA	NA	0.6233	chr17	4020065	4020066	7	2	15	1	20	1	7	0	12	2	17	1	19	0	NA	NA
chr17	4019815	4020116	0.21965	0.84295	0.5313	NA	NA	0.6233	chr17	4020071	4020072	7	0	8	1	7	1	0	6	5	4	6	8	10	4	3	4
chr17	4019815	4020116	0.21965	0.84295	0.5313	NA	NA	0.6233	chr17	4020072	4020073	9	0	16	0	18	2	0	7	8	6	8	10	7	12	NA	NA
chr17	4019815	4020116	0.21965	0.84295	0.5313	NA	NA	0.6233	chr17	4020110	4020111	8	1	8	0	10	0	NA	NA	8	0	12	0	14	0	6	1
chr17	4019815	4020116	0.21965	0.84295	0.5313	NA	NA	0.6233	chr17	4020111	4020112	7	0	10	0	15	0	6	0	12	0	19	0	15	0	NA	NA
chr2	69394786	69395087	0.89005	0.358175	0.6241125	NA	NA	0.531875	chr2	69394826	69394827	NA	NA	NA	NA	6	0	7	0	NA	NA	7	2	NA	NA	NA	NA
chr2	69394786	69395087	0.89005	0.358175	0.6241125	NA	NA	0.531875	chr2	69394827	69394828	7	0	13	1	14	1	10	1	12	0	11	0	17	0	6	0
chr2	69812127	69812428	0.792825	0.272425	0.532625	NA	0.6568375	0.5204	chr2	69812245	69812246	NA	NA	NA	NA	7	0	8	1	5	3	5	2	9	1	NA	NA
chr2	69812127	69812428	0.792825	0.272425	0.532625	NA	0.6568375	0.5204	chr2	69812271	69812272	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA
chr2	69812127	69812428	0.792825	0.272425	0.532625	NA	0.6568375	0.5204	chr2	69812272	69812273	NA	NA	NA	NA	6	0	8	0	7	0	NA	NA	NA	NA	NA	NA
chr2	151776066	151776367	0.741525	0.14525	0.4433875	NA	NA	0.596275	chr2	151776215	151776216	8	0	15	1	14	1	NA	NA	14	2	7	1	10	1	9	0
chr2	151776066	151776367	0.741525	0.14525	0.4433875	NA	NA	0.596275	chr2	151776216	151776217	NA	NA	19	1	12	0	8	0	17	0	8	1	11	0	10	0
chr2	207090315	207090616	0.209375	0.752675	0.481025	NA	NA	0.5433	chr2	207090390	207090391	NA	NA	19	1	14	4	13	2	10	1	14	1	13	3	NA	NA
chr2	207090315	207090616	0.209375	0.752675	0.481025	NA	NA	0.5433	chr2	207090391	207090392	8	1	9	0	10	0	12	0	9	2	17	0	18	2	11	0
chr2	207090315	207090616	0.209375	0.752675	0.481025	NA	NA	0.5433	chr2	207090433	207090434	NA	NA	9	8	6	11	7	6	6	7	4	3	5	6	4	2
chr2	207090315	207090616	0.209375	0.752675	0.481025	NA	NA	0.5433	chr2	207090434	207090435	3	4	7	3	4	3	6	8	6	3	4	13	15	7	8	3
chr2	207090315	207090616	0.209375	0.752675	0.481025	NA	NA	0.5433	chr2	207090488	207090489	NA	NA	14	2	13	5	13	2	10	4	6	3	6	3	4	3
chr2	207090315	207090616	0.209375	0.752675	0.481025	NA	NA	0.5433	chr2	207090489	207090490	2	4	8	6	5	6	8	4	7	3	6	13	11	7	11	2
chr2	207090315	207090616	0.209375	0.752675	0.481025	NA	NA	0.5433	chr2	207090497	207090498	NA	NA	2	13	0	18	2	13	2	10	1	10	1	7	3	4
chr2	207090315	207090616	0.209375	0.752675	0.481025	NA	NA	0.5433	chr2	207090498	207090499	1	5	1	13	1	10	1	10	2	7	2	19	3	15	1	11
chr2	207090315	207090616	0.209375	0.752675	0.481025	NA	NA	0.5433	chr2	207090598	207090599	NA	NA	7	1	9	1	NA	NA	7	3	7	2	5	1	4	2
chr2	207090315	207090616	0.209375	0.752675	0.481025	NA	NA	0.5433	chr2	207090599	207090600	NA	NA	8	5	9	2	4	3	5	3	10	4	9	1	3	7
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379391	379392	NA	NA	8	1	NA	NA	NA	NA	10	1	9	1	NA	NA	6	0
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379392	379393	NA	NA	10	0	5	1	5	1	6	0	9	0	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379395	379396	NA	NA	8	0	NA	NA	NA	NA	10	0	10	0	NA	NA	6	0
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379396	379397	NA	NA	9	1	NA	NA	6	0	6	0	9	0	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379397	379398	NA	NA	0	8	NA	NA	NA	NA	10	0	3	7	NA	NA	6	0
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379398	379399	NA	NA	0	10	NA	NA	0	6	4	2	1	7	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379435	379436	NA	NA	8	0	NA	NA	NA	NA	6	0	7	0	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379436	379437	NA	NA	10	0	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379467	379468	2	4	NA	NA	NA	NA	NA	NA	6	0	7	2	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379468	379469	NA	NA	0	6	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379537	379538	6	0	9	0	13	0	NA	NA	7	0	6	0	8	0	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379538	379539	NA	NA	6	0	NA	NA	9	0	NA	NA	NA	NA	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379583	379584	NA	NA	12	0	11	0	NA	NA	NA	NA	8	0	8	0	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379584	379585	NA	NA	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379593	379594	NA	NA	11	0	13	0	NA	NA	NA	NA	9	0	8	0	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379594	379595	NA	NA	7	0	NA	NA	5	2	NA	NA	NA	NA	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379617	379618	8	0	10	0	11	0	NA	NA	NA	NA	10	0	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379618	379619	NA	NA	8	0	NA	NA	8	0	8	0	NA	NA	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379623	379624	7	0	10	0	9	0	NA	NA	NA	NA	9	2	7	0	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379624	379625	NA	NA	8	0	NA	NA	7	1	8	0	NA	NA	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379631	379632	9	0	10	0	10	0	NA	NA	NA	NA	10	0	8	0	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379632	379633	NA	NA	8	0	NA	NA	7	0	7	0	NA	NA	NA	NA	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379650	379651	10	0	10	0	8	2	NA	NA	NA	NA	9	2	9	1	NA	NA
chr20	379391	379692	0.3665	0.918125	0.6423125	NA	NA	0.551625	chr20	379651	379652	NA	NA	NA	NA	NA	NA	NA	NA	8	1	NA	NA	NA	NA	NA	NA
chr21	29565066	29565367	0.31005	0.8204	0.565225	NA	NA	0.51035	chr21	29565251	29565252	NA	NA	14	1	20	0	16	0	18	0	19	1	17	1	6	0
chr21	29565066	29565367	0.31005	0.8204	0.565225	NA	NA	0.51035	chr21	29565252	29565253	NA	NA	9	0	12	1	9	0	10	0	14	1	5	1	NA	NA
chr21	29565066	29565367	0.31005	0.8204	0.565225	NA	NA	0.51035	chr21	29565254	29565255	NA	NA	14	1	19	1	17	0	16	1	19	1	17	1	5	1
chr21	29565066	29565367	0.31005	0.8204	0.565225	NA	NA	0.51035	chr21	29565255	29565256	NA	NA	8	1	11	2	10	0	8	2	14	1	6	0	NA	NA
chr21	35982640	35982941	0.110425	0.6346	0.3725125	NA	0.5257625	0.524175	chr21	35982826	35982827	5	2	6	1	21	2	8	1	6	1	15	2	14	1	8	0
chr21	35982640	35982941	0.110425	0.6346	0.3725125	NA	0.5257625	0.524175	chr21	35982857	35982858	NA	NA	6	1	21	0	6	3	NA	NA	10	1	8	3	8	0
chr21	35982640	35982941	0.110425	0.6346	0.3725125	NA	0.5257625	0.524175	chr21	35982879	35982880	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA
chr21	35982640	35982941	0.110425	0.6346	0.3725125	NA	0.5257625	0.524175	chr21	35982880	35982881	NA	NA	NA	NA	18	1	8	1	NA	NA	10	1	9	1	5	2
chr21	47419547	47419848	0.68475	0.178	0.431375	0.647299029	0.2936375	0.50675	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr22	49050927	49051228	0.712975	0.1519	0.4324375	NA	NA	0.561075	chr22	49051007	49051008	NA	NA	9	3	14	2	11	0	11	2	18	6	7	0	NA	NA
chr22	49050927	49051228	0.712975	0.1519	0.4324375	NA	NA	0.561075	chr22	49051008	49051009	6	3	9	2	9	3	9	0	5	2	9	5	17	5	7	0
chr22	49050927	49051228	0.712975	0.1519	0.4324375	NA	NA	0.561075	chr22	49051162	49051163	5	3	8	2	4	5	7	2	NA	NA	6	7	6	1	NA	NA
chr22	49050927	49051228	0.712975	0.1519	0.4324375	NA	NA	0.561075	chr22	49051163	49051164	2	4	5	5	4	6	7	2	8	3	4	7	14	4	5	2
chr22	49050927	49051228	0.712975	0.1519	0.4324375	NA	NA	0.561075	chr22	49051190	49051191	NA	NA	11	0	10	0	11	0	NA	NA	7	0	NA	NA	NA	NA
chr22	49050927	49051228	0.712975	0.1519	0.4324375	NA	NA	0.561075	chr22	49051191	49051192	7	0	6	0	8	0	12	0	9	1	8	2	13	0	7	0
chr22	49050927	49051228	0.712975	0.1519	0.4324375	NA	NA	0.561075	chr22	49051200	49051201	NA	NA	12	0	7	1	7	1	6	0	4	2	6	0	NA	NA
chr22	49050927	49051228	0.712975	0.1519	0.4324375	NA	NA	0.561075	chr22	49051201	49051202	6	2	5	1	6	1	11	1	9	1	9	1	11	2	5	1
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233121	8233122	NA	NA	NA	NA	NA	NA	8	1	5	2	NA	NA	6	0	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233122	8233123	6	1	8	0	9	0	10	1	NA	NA	6	0	6	0	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233176	8233177	NA	NA	NA	NA	NA	NA	9	0	NA	NA	NA	NA	NA	NA	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233177	8233178	6	0	0	10	3	5	8	0	NA	NA	0	9	1	8	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233190	8233191	NA	NA	NA	NA	NA	NA	8	0	NA	NA	NA	NA	NA	NA	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233191	8233192	NA	NA	8	0	8	0	7	0	NA	NA	9	0	9	0	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233222	8233223	NA	NA	NA	NA	6	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233223	8233224	NA	NA	12	0	NA	NA	NA	NA	NA	NA	10	1	9	0	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233257	8233258	NA	NA	14	1	7	0	9	0	6	0	9	0	9	0	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233298	8233299	NA	NA	11	0	5	1	6	0	NA	NA	NA	NA	6	1	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233375	8233376	NA	NA	7	0	NA	NA	8	0	7	0	NA	NA	6	0	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233376	8233377	NA	NA	5	1	7	0	7	0	NA	NA	NA	NA	6	0	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233394	8233395	NA	NA	10	1	NA	NA	8	0	8	0	6	1	6	1	NA	NA
chr4	8233114	8233415	0.885325	0.342825	0.614075	NA	0.919075	0.5425	chr4	8233395	8233396	NA	NA	NA	NA	NA	NA	7	0	NA	NA	NA	NA	6	0	NA	NA
chr4	46381070	46381371	0.277075	0.8539	0.5654875	0.640363107	0.6576625	0.576825	chr4	46381244	46381245	5	1	9	0	13	2	10	3	6	4	14	0	9	1	8	0
chr4	46381070	46381371	0.277075	0.8539	0.5654875	0.640363107	0.6576625	0.576825	chr4	46381245	46381246	6	3	15	6	14	2	13	3	10	0	12	5	20	0	8	1
chr4	46381070	46381371	0.277075	0.8539	0.5654875	0.640363107	0.6576625	0.576825	chr4	46381326	46381327	7	0	8	0	7	1	11	0	6	0	14	2	7	3	NA	NA
chr4	46381070	46381371	0.277075	0.8539	0.5654875	0.640363107	0.6576625	0.576825	chr4	46381327	46381328	5	1	22	3	9	3	8	4	12	1	4	4	12	4	5	1
chr5	5585920	5586221	0.29015	0.811775	0.5509625	NA	NA	0.521625	chr5	5585957	5585958	16	1	0	11	6	5	4	5	3	6	0	7	0	19	2	9
chr5	5585920	5586221	0.29015	0.811775	0.5509625	NA	NA	0.521625	chr5	5585958	5585959	7	1	0	16	7	8	2	6	5	3	NA	NA	0	13	NA	NA
chr5	5585920	5586221	0.29015	0.811775	0.5509625	NA	NA	0.521625	chr5	5585962	5585963	16	1	10	1	13	0	7	1	9	0	7	0	12	6	10	1
chr5	5585920	5586221	0.29015	0.811775	0.5509625	NA	NA	0.521625	chr5	5585963	5585964	6	2	15	1	14	1	6	2	6	2	NA	NA	10	3	7	0
chr5	5585920	5586221	0.29015	0.811775	0.5509625	NA	NA	0.521625	chr5	5586112	5586113	5	6	15	1	20	2	5	1	10	1	8	1	18	1	6	0
chr5	5585920	5586221	0.29015	0.811775	0.5509625	NA	NA	0.521625	chr5	5586113	5586114	3	3	NA	NA	NA	NA	NA	NA	6	0	8	4	10	0	NA	NA
chr5	5585920	5586221	0.29015	0.811775	0.5509625	NA	NA	0.521625	chr5	5586144	5586145	9	3	13	1	17	2	10	1	9	1	6	1	13	2	6	1
chr5	5585920	5586221	0.29015	0.811775	0.5509625	NA	NA	0.521625	chr5	5586145	5586146	NA	NA	7	1	5	1	NA	NA	8	0	8	0	11	0	NA	NA
chr5	5585920	5586221	0.29015	0.811775	0.5509625	NA	NA	0.521625	chr5	5586183	5586184	8	3	7	2	11	4	7	2	7	2	7	0	11	3	6	1
chr5	5585920	5586221	0.29015	0.811775	0.5509625	NA	NA	0.521625	chr5	5586184	5586185	NA	NA	4	5	7	2	NA	NA	12	1	6	1	12	3	NA	NA
chr6	29427369	29427670	0.249475	0.750025	0.49975	0.655802913	0.6896875	0.50055	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr6	114224862	114225163	0.756925	0.25515	0.5060375	NA	0.8243125	0.501775	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050271	2050272	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050272	2050273	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050329	2050330	NA	NA	NA	NA	NA	NA	7	0	NA	NA	6	0	NA	NA	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050330	2050331	NA	NA	NA	NA	NA	NA	6	1	NA	NA	NA	NA	NA	NA	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050331	2050332	NA	NA	NA	NA	NA	NA	7	0	NA	NA	6	0	NA	NA	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050332	2050333	NA	NA	NA	NA	NA	NA	8	0	NA	NA	NA	NA	NA	NA	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050390	2050391	NA	NA	NA	NA	NA	NA	10	0	NA	NA	NA	NA	NA	NA	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050391	2050392	NA	NA	NA	NA	NA	NA	10	2	NA	NA	NA	NA	NA	NA	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050398	2050399	NA	NA	NA	NA	NA	NA	10	0	NA	NA	NA	NA	NA	NA	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050399	2050400	NA	NA	NA	NA	NA	NA	11	1	NA	NA	NA	NA	NA	NA	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050442	2050443	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050443	2050444	NA	NA	NA	NA	NA	NA	8	1	NA	NA	NA	NA	NA	NA	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050546	2050547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	NA	NA
chr7	2050251	2050552	0.8918	0.2919	0.59185	0.734278641	0.7707	0.5999	chr7	2050547	2050548	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA
chr7	33053130	33053431	0.22575	0.7807	0.503225	NA	NA	0.55495	chr7	33053204	33053205	9	0	18	5	8	4	8	0	12	3	13	4	14	2	6	1
chr7	33053130	33053431	0.22575	0.7807	0.503225	NA	NA	0.55495	chr7	33053205	33053206	NA	NA	9	1	9	1	6	1	8	3	8	3	13	3	4	3
chr7	33053130	33053431	0.22575	0.7807	0.503225	NA	NA	0.55495	chr7	33053263	33053264	NA	NA	6	1	3	7	3	6	2	4	4	3	NA	NA	NA	NA
chr7	33053130	33053431	0.22575	0.7807	0.503225	NA	NA	0.55495	chr7	33053264	33053265	NA	NA	6	7	8	7	2	4	2	7	3	8	3	9	2	5
chr7	33053130	33053431	0.22575	0.7807	0.503225	NA	NA	0.55495	chr7	33053280	33053281	NA	NA	5	1	4	3	8	1	4	2	NA	NA	NA	NA	NA	NA
chr7	33053130	33053431	0.22575	0.7807	0.503225	NA	NA	0.55495	chr7	33053281	33053282	NA	NA	7	5	12	2	3	3	4	3	2	10	9	6	6	2
chr7	33053130	33053431	0.22575	0.7807	0.503225	NA	NA	0.55495	chr7	33053344	33053345	NA	NA	NA	NA	NA	NA	3	3	NA	NA	7	2	5	2	NA	NA
chr7	33053130	33053431	0.22575	0.7807	0.503225	NA	NA	0.55495	chr7	33053345	33053346	NA	NA	9	2	13	7	5	4	5	4	NA	NA	10	4	6	2
chr8	39791982	39792283	0.139025	0.707975	0.4235	NA	NA	0.56895	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr9	80409661	80409962	0.3056	0.880825	0.5932125	NA	NA	0.575225	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chrX	111621777	111622078	0.3487	0.87495	0.611825	NA	0.3316875	0.52625	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
