chr,start,not_musc_avg,musc_average,dist,leuk_average,X.Sample_geo_accession,gene_id,closest.SNP,SNP.allele.freq,gene_name
7,612613,0.827845946,0.290216667,0.537629279,0.954875,cg02583740,NM_001164759;NM_001164762;NM_001164758;NM_001164760;NM_001164761;NM_002735,rs192654009;rs185395173;rs9886025,0.002396;0.003994;0.222644,PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B
11,132582488,0.827731532,0.293583333,0.534148198,0.9300625,cg13593391,NM_002545;NM_001012393,rs532086985,0.0002,OPCML;OPCML
17,7192940,0.902227928,0.372033333,0.530194595,0.9425875,cg06390585,NM_015982,rs556424912;rs576600949;rs542408693;rs148036764;rs142210139,0.000200;0.000200;0.000200;0.000599;0.000244,YBX2
19,3942217,0.867073874,0.33795,0.529123874,0.930775,cg24428653,NM_170678,rs201693415;rs141849847;rs150621748;rs140172193;rs143940174;rs146363585;rs35701787;rs149893927;rs547115351;rs144955421,0.000200;0.000253;0.000253;0.000252;0.000998;0.000799;0.002696;0.000200;0.000200;0.000282,ITGB1BP3
19,49223278,0.872330631,0.343833333,0.528497297,0.9558,cg03127558,NM_001130915,rs146083943,0.001597,MAMSTR
7,157551275,0.914381982,0.388633333,0.525748649,0.9346125,cg08192683,NM_002847;NM_130842;NM_130843,rs541193203;rs559531024;rs574545946,0.000200;0.000399;0.000200,PTPRN2;PTPRN2;PTPRN2
10,130828619,0.865145045,0.34245,0.522695045,0.907825,cg14464551,,rs183788797;rs117645436,0.001797;0.008986,
6,152126080,0.855203604,0.333116667,0.522086937,0.91765,cg07619683,NM_001122742;NM_001122741,rs140523600;rs191478947;rs549821181,0.000200;0.000998;0.000200,ESR1;ESR1
14,94423950,0.87852973,0.356916667,0.521613063,0.9099125,cg10325659,NM_016150,rs555494167;rs2402377;rs563817378,0.002995;0.408546;0.000399,ASB2
13,21303077,0.822846847,0.305016667,0.51783018,0.9119875,cg07980777,NM_174928,rs186906693,0.000599,N6AMT2
13,114065897,0.842253153,0.324816667,0.517436486,0.9582,cg26081974,,rs556394593;rs574405007;rs368114220;rs553677287,0.000399;0.000399;0.000399;0.000399,
4,186425697,0.804302703,0.288483333,0.515819369,0.9411,cg25999637,NM_001114107;NM_014476,rs199895839;rs150070443;rs61734674;rs141129783;rs539118406,0.001000;0.000220;0.006589;0.000220;0.000200,PDLIM3;PDLIM3
18,7231037,0.863230631,0.34875,0.514480631,0.9437875,cg15111351,NM_001105581,rs150350151;rs138164973;rs548505774,0.006390;0.003794;0.000200,LRRC30
4,100574455,0.915692793,0.401233333,0.514459459,0.9582625,cg08577953,,,,
2,11118564,0.868669369,0.354533333,0.514136036,0.965475,cg07702693,,rs112320413;rs114509184;rs577968799,0.057109;0.007588;0.000200,
3,43405550,0.810694595,0.296633333,0.514061261,0.958675,cg21445918,,rs34031620;rs73831271;rs73831272;rs4682882,0.190096;0.026358;0.105431;0.094249,
12,57644658,0.842414414,0.329133333,0.513281081,0.9704875,cg25189085,NM_145064,rs563996182;rs528408301,0.000200;0.000399,STAC3
16,65789547,0.852317117,0.340933333,0.511383784,0.9714375,cg10389262,,rs575673349;rs544416158;rs558297068;rs188369636;rs540428470,0.000399;0.000200;0.000799;0.000200;0.000200,
12,115256011,0.855941441,0.346916667,0.509024775,0.91235,cg11365710,,rs550788677,0.0002,
8,49493865,0.812092793,0.303566667,0.508526126,0.9695375,cg23055217,,rs77458577,0.030351,
6,163768551,0.874787387,0.366366667,0.508420721,0.9345,cg09432202,,rs552989661;rs77595119;rs9458811,0.000200;0.007987;0.097644,
17,65040983,0.92425045,0.4162,0.50805045,0.9650125,cg01541398,NM_000727,rs139913144;rs573783922;rs201674207;rs202082237;rs145671773,0.000200;0.000399;0.003500;0.000200;0.000599,CACNG1
19,45150725,0.815387387,0.307966667,0.507420721,0.919,cg23696432,NM_006505;NM_001135770;NM_001135769;NM_001135768,rs556820109;rs368911732,0.000399;0.000200,PVR;PVR;PVR;PVR
7,157860363,0.814903604,0.308016667,0.506886937,0.9016625,cg06041067,NM_002847;NM_130842;NM_130843,rs527621449;rs76275928;rs192143062;rs531537536;rs117416775,0.000200;0.015775;0.001398;0.000399;0.002995,PTPRN2;PTPRN2;PTPRN2
12,3142845,0.923592793,0.417033333,0.506559459,0.951275,cg05824174,NM_003213;NM_201441;NM_201443,rs562485235;rs531181955;rs544622513,0.000399;0.001198;0.000200,TEAD4;TEAD4;TEAD4
6,159049761,0.84122973,0.335716667,0.505513063,0.900875,cg12989041,NM_020823,rs563600026,0.0002,TMEM181
11,111154826,0.822737838,0.318866667,0.503871171,0.9475875,cg21127079,NM_198498,rs12276388;rs199502452;rs545544824;rs149023366;rs146156476,0.069489;0.001000;0.000399;0.000200;0.000220,C11orf53
2,30878576,0.881102703,0.380566667,0.500536036,0.956725,cg09472901,,rs182991662;rs79718076;rs188952252;rs114338414,0.000200;0.008387;0.002995;0.009984,
2,217675069,0.886707207,0.386766667,0.499940541,0.9449,cg27419470,,rs534749228;rs34573935,0.002796;0.500000,
10,1084935,0.874335135,0.375166667,0.499168468,0.939575,cg14453012,NR_024629;NR_027708;NR_027709;NR_024628,rs11250237;rs572895200;rs552209462;rs568833948,0.333333;0.000200;0.000200;0.002596,C10orf110;C10orf110;C10orf110;C10orf110
4,1192053,0.87976036,0.380716667,0.499043694,0.9688375,cg15986469,NR_024569;NR_033182,rs146523225;rs535384707;rs547090222,0.001997;0.000200;0.000399,LOC100130872;LOC100130872-SPON2
4,15376116,0.811240541,0.312833333,0.498407207,0.940175,cg05551114,NM_001135170;NM_001135171,,,C1QTNF7;C1QTNF7
10,2699291,0.856923423,0.36055,0.496373423,0.9431875,cg04633922,,rs536984952;rs553068462;rs573238217;rs545163968,0.000200;0.000200;0.000200;0.000200,
17,11461316,0.902500901,0.40695,0.495550901,0.9320125,cg11471805,NM_207386,rs192374370;rs7211268;rs114484608,0.000200;0.003195;0.003594,SHISA6
2,97501603,0.84274955,0.3484,0.49434955,0.936,cg18062128,,rs182419176;rs553430088,0.000399;0.000399,
8,131317969,0.898151351,0.404383333,0.493768018,0.9727875,cg14083403,NM_018482,rs567567069;rs78492421;rs553230722,0.000200;0.006190;0.000200,ASAP1
19,3958344,0.912201802,0.4194,0.492801802,0.9597875,cg20217938,,rs552231690;rs185520131,0.000799;0.000200,
7,28058989,0.886444144,0.394333333,0.492110811,0.9430375,cg17702455,NM_175061,rs566504366;rs533769980;rs558659950;rs576875734;rs10273628;rs373119116;rs146606360,0.000200;0.000399;0.000399;0.000998;0.495208;0.000200;0.008187,JAZF1
2,1605954,0.812456757,0.320433333,0.492023423,0.9037875,cg09340386,,rs73168423;rs139532633;rs577701712;rs545168699;rs560135403;rs527575259,0.403554;0.001997;0.000399;0.000200;0.000399;0.000200,
10,134894004,0.922096396,0.43015,0.491946396,0.97355,cg00612515,,rs373545877;rs116146725;rs541643208;rs144784996,0.001997;0.001597;0.000200;0.007788,
10,2978687,0.871978378,0.380733333,0.491245045,0.960375,cg09115646,,rs576680157;rs562003467;rs562329544,0.000200;0.001797;0.000200,
7,32183060,0.862445045,0.372033333,0.490411712,0.94895,cg05017646,,,,
2,1690592,0.809235135,0.318883333,0.490351802,0.9144,cg14671764,NM_012293,rs563125695;rs148209757;rs528644142,0.000599;0.000399;0.000799,PXDN
6,152125965,0.854145045,0.3642,0.489945045,0.940325,cg08907436,NM_001122742;NM_001122741,rs143606031;rs546654881,0.001398;0.000200,ESR1;ESR1
10,104512523,0.823014414,0.333416667,0.489597748,0.9667375,cg20340720,NM_001083913,rs12269418;rs529113536,0.019768;0.000200,C10orf26
17,11461244,0.876890991,0.387883333,0.489007658,0.941275,cg00627045,NM_207386,rs538524734;rs556936959,0.000399;0.000200,SHISA6
4,100574596,0.899645045,0.410983333,0.488661712,0.9445875,cg09176893,,rs578057741;rs545127115;rs563696687,0.000200;0.000200;0.000200,
17,55785087,0.813235135,0.325683333,0.487551802,0.9373875,cg06443678,,rs17737072,0.013778,
13,26496803,0.859145045,0.3718,0.487345045,0.917125,cg27650699,NM_016529,rs559820699,0.000399,ATP8A2
1,196619732,0.846955856,0.360016667,0.486939189,0.913625,cg18436810,NM_001014975;NM_000186,rs550804576,0.001398,CFH;CFH
13,114107554,0.859096396,0.372666667,0.48642973,0.9116875,cg14339867,NM_138430,rs201345954;rs138029763;rs149499588;rs200853560,0.001000;0.006589;0.000396;0.000200,ADPRHL1
14,94423192,0.840761261,0.354466667,0.486294595,0.9415375,cg18572214,NM_016150,rs201010176;rs560633028;rs199712784;rs146480080;rs377036265;rs532067660;rs148173529,0.000200;0.000200;0.000200;0.000599;0.000200;0.000200;0.000599,ASB2
7,5647182,0.875985586,0.391733333,0.484252252,0.9133,cg22112000,,,,
15,33165563,0.833847748,0.349783333,0.484064414,0.949675,cg09667289,NM_001103184,rs147202243,0.008986,FMN1
17,18854799,0.828721622,0.345016667,0.483704955,0.9159875,cg25567048,NM_152351;NM_001042450,rs11651570;rs7226255;rs535398396;rs372052604,0.196086;0.400000;0.000599;0.000200,SLC5A10;SLC5A10
6,2734480,0.845372072,0.362383333,0.482988739,0.9596625,cg01189926,NM_001012418,rs188024634;rs573091688;rs537606437;rs551014379,0.002596;0.000599;0.000200;0.000200,MYLK4
20,57457492,0.834077477,0.351716667,0.482360811,0.9688,cg01565918,NM_001077490;NM_016592;NM_080425,rs561639391;rs531767390,0.000399;0.000399,GNAS;GNAS;GNAS
8,144343915,0.884579279,0.40275,0.481829279,0.9334375,cg13261536,NM_173832,rs73378205;rs538111007,0.038538;0.000200,ZFP41
1,1028878,0.892904505,0.413533333,0.479371171,0.9377125,cg06181703,NM_017891,rs564920348;rs567093341;rs530786797;rs564516813,0.000399;0.000599;0.000200;0.000799,C1orf159
13,114107790,0.824241441,0.345016667,0.479224775,0.928075,cg27490101,NM_138430;NM_138430,rs148907390,0.008786,ADPRHL1;ADPRHL1
9,135279160,0.808130631,0.3297,0.478430631,0.9452125,cg21207320,NM_007344,rs528670384;rs546782071,0.000200;0.000599,TTF1
7,611487,0.915930631,0.437683333,0.478247297,0.9669125,cg15577180,NM_001164759;NM_001164762;NM_001164758;NM_001164760;NM_001164761;NM_002735,rs548830236;rs191159946;rs183831128;rs556194229,0.000200;0.004992;0.000200;0.000200,PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B
6,152125861,0.849927928,0.372183333,0.477744595,0.9484125,cg09646983,NM_001122742;NM_001122741,rs563382788,0.0002,ESR1;ESR1
13,111563046,0.848374775,0.371,0.477374775,0.953075,cg10242198,NM_017664,rs201123888;rs146756849;rs201363046;rs140379452,0.000200;0.000879;0.000200;0.000220,ANKRD10
2,88367018,0.861658559,0.385366667,0.476291892,0.9672,cg19074493,NM_198274,,,SMYD1
12,101961257,0.826409009,0.350866667,0.475542342,0.948575,cg26154851,,rs539052976,0.0002,
14,70316638,0.914404505,0.439066667,0.475337838,0.96575,cg23319601,,rs537782419,0.000998,
1,16342155,0.928425225,0.4535,0.474925225,0.96355,cg24140574,NM_014424,rs545441833;rs144366876;rs201996831;rs114208608;rs527794958;rs146609918;rs561575565;rs150618710,0.000200;0.000440;0.001000;0.000200;0.000200;0.000200;0.000200;0.000399,HSPB7
2,238187155,0.801435135,0.3266,0.474835135,0.93125,cg04256248,,rs182402554;rs144789458,0.000399;0.000399,
8,124665021,0.864441441,0.389716667,0.474724775,0.9251,cg00713972,NM_001081675,rs200890127;rs375513752,0.000200;0.000200,KLHL38
22,26137852,0.819471171,0.3452,0.474271171,0.9410625,cg09982918,NM_032608,rs115990658;rs116221875,0.003395;0.003395,MYO18B
13,103532339,0.843918919,0.36985,0.474068919,0.9414375,cg24427175,NR_026965,rs539641634;rs139676901;rs566610585;rs74112825;rs186651458,0.000200;0.000599;0.000200;0.041533;0.001597,LOC121952
18,76725495,0.805108108,0.332466667,0.472641441,0.90065,cg00852603,,,,
10,94594494,0.828227027,0.355983333,0.472243694,0.9602375,cg19780563,NM_001013848;NM_001013848,rs77134517;rs144304367;rs199986486;rs146562360,0.004593;0.000220;0.000200;0.000220,EXOC6;EXOC6
5,155061,0.840436036,0.368466667,0.471969369,0.9061625,cg22702334,NM_052909,rs114486034;rs141380436,0.000200;0.000220,PLEKHG4B
4,100573536,0.896898198,0.425433333,0.471464865,0.9315,cg07097374,,rs375438214;rs557320263,0.000399;0.002596,
12,6950123,0.819757658,0.348816667,0.470940991,0.9143875,cg16433737,NM_002075,,,GNB3
10,130831421,0.812315315,0.341416667,0.470898649,0.932125,cg02220418,,rs540208900;rs147848444,0.000200;0.000399,
17,79792777,0.916910811,0.446033333,0.470877477,0.92735,cg26066277,NM_001007533,rs546095206;rs558362319,0.000200;0.000000,DYSFIP1
21,44089142,0.859118018,0.388266667,0.470851351,0.974325,cg27160952,NM_001001582;NM_001001568;NM_001001573;NM_001001567;NM_001001578;NM_002606;NM_001001580;NM_001001579;NM_001001581;NM_001001571;NM_001001584;NM_001001576;NM_001001585;NM_001001574;NM_001001572;NM_001001569;NM_001001570;NM_001001577;NM_001001583;NM_001001575,rs547310655,0.000799,PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A;PDE9A
4,15376135,0.847601802,0.377416667,0.470185135,0.9623125,cg07538039,NM_001135170;NM_001135171,rs182476588,0.004193,C1QTNF7;C1QTNF7
17,40842804,0.879633333,0.409533333,0.4701,0.96055,cg10533978,NM_003632,rs1553469;rs201009923;rs564211340;rs147433219,0.019768;0.000200;0.000200;0.000220,CNTNAP1
16,89036698,0.907902703,0.439033333,0.468869369,0.9439875,cg26956157,NM_005187,rs576597164;rs139160505,0.000399;0.002396,CBFA2T3
15,72105880,0.899787387,0.431266667,0.468520721,0.93595,cg03256963,NM_014249;NM_016346,rs537802684;rs1805024;rs184906734,0.000599;0.000200;0.002796,NR2E3;NR2E3
4,186435617,0.889857658,0.422016667,0.467840991,0.9555125,cg12847662,NM_001114107;NM_014476,rs186364739,0.0002,PDLIM3;PDLIM3
2,103378506,0.827891892,0.360516667,0.467375225,0.9308375,cg26514942,NM_144632;NM_144632,rs115087473;rs111261034,0.001198;0.500000,TMEM182;TMEM182
12,130670760,0.883185586,0.4159,0.467285586,0.9600125,cg07684152,,rs556845942;rs56871663;rs541842650,0.000200;0.009585;0.000200,
8,133880105,0.806424324,0.339883333,0.466540991,0.9155625,cg23427666,NM_003235,rs550587134;rs146507875;rs568777815,0.000799;0.017971;0.000200,TG
10,69869364,0.830856757,0.365266667,0.46559009,0.949075,cg18901940,NM_032578;NM_032578,rs565280682,0.0002,MYPN;MYPN
17,11461572,0.8307,0.365283333,0.465416667,0.9380375,cg08012217,NM_207386,rs550203706;rs143963550,0.000200;0.003794,SHISA6
7,123302399,0.901913514,0.436516667,0.465396847,0.9736,cg13794687,NM_207163,,,LMOD2
19,46292479,0.877502703,0.41235,0.465152703,0.9496,cg26548718,NM_004943,rs532678472;rs148672228;rs559870452;rs528725839,0.000200;0.001997;0.000399;0.000200,DMWD
19,40873973,0.863043243,0.398283333,0.46475991,0.9729875,cg20690695,NM_001031696;NM_012268,rs555727732;rs577175304;rs151061575;rs140993999,0.000200;0.000200;0.000799;0.000998,PLD3;PLD3
8,99411691,0.849414414,0.3852,0.464214414,0.946725,cg02694884,,rs74463916;rs531979920;rs370586822;rs565791913,0.000200;0.000200;0.000200;0.000200,
11,19223517,0.842678378,0.378533333,0.464145045,0.91755,cg02002164,NM_003476;NM_001127656;NM_003476;NM_001127656,rs570058693;rs537504368;rs555496937;rs373296490,0.000599;0.000200;0.000200;0.000799,CSRP3;CSRP3;CSRP3;CSRP3
5,180030008,0.893444144,0.429483333,0.463960811,0.9444375,cg02328545,NM_182925,rs113604986;rs567113567;rs148756591,0.001797;0.000200;0.007788,FLT4
8,38508140,0.819452252,0.356116667,0.463335586,0.946175,cg11422851,,rs575034254,0.000399,
10,60097505,0.832883784,0.369783333,0.46310045,0.932575,cg19893670,NM_003338,rs184239718,0.000799,UBE2D1
2,236877461,0.855335135,0.392316667,0.463018468,0.92985,cg26110562,NM_014914;NM_001037131,rs546414560;rs182371952;rs185124888;rs370259797,0.000399;0.000200;0.000200;0.000200,AGAP1;AGAP1
1,38467704,0.867884685,0.404866667,0.463018018,0.9351375,cg25196440,NM_004468,rs574577711;rs184095015,0.000399;0.001597,FHL3
14,95585023,0.833347748,0.3707,0.462647748,0.9435375,cg23488578,NM_030621;NM_177438,,,DICER1;DICER1
6,105706081,0.814396396,0.352133333,0.462263063,0.915575,cg21109045,,rs116699514;rs535279647;rs555568662;rs572282617;rs2793412,0.021965;0.000399;0.000200;0.000599;0.019169,
10,95706927,0.810863063,0.348783333,0.46207973,0.9508625,cg20699274,,rs562220713,0.002796,
2,179664219,0.881026126,0.4194,0.461626126,0.947075,cg19356748,NM_133378;NM_133432;NM_003319;NM_133379;NM_133437,rs576505231;rs542289868;rs561976767;rs527648094,0.000599;0.000200;0.000399;0.000399,TTN;TTN;TTN;TTN;TTN
5,142422241,0.809452252,0.3491,0.460352252,0.955025,cg11796181,NM_015071;NM_001135608,rs545389574;rs144237918,0.000200;0.000200,ARHGAP26;ARHGAP26
19,5507344,0.853359459,0.393466667,0.459892793,0.9609375,cg18147865,,rs553787459;rs76219131;rs570785729,0.002196;0.027556;0.003594,
12,57645108,0.843002703,0.384016667,0.458986036,0.9436375,cg14747072,NM_145064,rs568528333;rs191296278,0.000200;0.000399,STAC3
7,187339,0.912395495,0.453483333,0.458912162,0.9045875,cg25980689,,rs533374923;rs117972724;rs566801595;rs527577587;rs549202715;rs567347918,0.000399;0.001797;0.000599;0.000200;0.001198;0.000200,
10,88466389,0.909285586,0.4504,0.458885586,0.91145,cg16183122,NM_001080114;NM_007078;NM_001171610,rs150209221;rs121908336;rs201968775;rs45555240;rs529277058;rs147042608,0.003594;0.000459;0.000200;0.056909;0.000399;0.000599,LDB3;LDB3;LDB3
8,13296060,0.855454054,0.397233333,0.458220721,0.964425,cg01070197,NM_182643;NM_024767,rs77229809;rs547674771,0.005791;0.000399,DLC1;DLC1
18,55923122,0.886563964,0.428933333,0.457630631,0.94655,cg05290572,NM_001144964;NM_015277;NM_001144971;NM_001144966;NM_001144965;NM_001144968;NM_001144967;NM_001144969;NM_001144970,rs551702746;rs569628375,0.000200;0.000200,NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L
7,143012960,0.83328018,0.3761,0.45718018,0.9027125,cg26756862,NM_000083,rs573869192;rs187454053;rs559955471,0.000200;0.001597;0.001198,CLCN1
17,33475031,0.836831532,0.3803,0.456531532,0.946425,cg25013053,NM_001033576;NM_173167,rs566432892,0.0002,UNC45B;UNC45B
7,5647145,0.872851351,0.416483333,0.456368018,0.9639875,cg26319015,,rs139930538;rs76505608,0.007388;0.023962,
5,3225856,0.835495495,0.379583333,0.455912162,0.92885,cg24593552,,rs543579413;rs148330800;rs550882190,0.000200;0.001797;0.000200,
1,59893192,0.808321622,0.352916667,0.455404955,0.9168,cg15594444,NM_018291;NM_001113411,rs530474636,0.000399,FGGY;FGGY
2,201342582,0.813117117,0.358,0.455117117,0.9663375,cg23046231,NM_001100422;NM_015535;NM_001100424;NM_001100423,rs376874333;rs187772138;rs117996228;rs369203308;rs540953425,0.001398;0.000200;0.030351;0.000399;0.000200,SPATS2L;SPATS2L;SPATS2L;SPATS2L
19,5507274,0.830497297,0.375416667,0.455080631,0.9633375,cg05992600,,rs534068870;rs553787459;rs76219131,0.000200;0.002196;0.027556,
7,4774448,0.865654955,0.410983333,0.454671622,0.958075,cg17760049,NM_001037165,rs183232716;rs563698508;rs559040059;rs188779649,0.000200;0.001597;0.000200;0.003395,FOXK1
18,55922747,0.86532973,0.411616667,0.453713063,0.94895,cg21585100,NM_001144964;NM_015277;NM_001144971;NM_001144966;NM_001144965;NM_001144968;NM_001144967;NM_001144969;NM_001144970,rs141191286,0.009385,NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L
19,1152189,0.801892793,0.349066667,0.452826126,0.9286125,cg08438705,NM_014963,rs558645735,0.000399,SBNO2
12,130262964,0.807146847,0.354333333,0.452813514,0.9538875,cg26411747,NM_133448,,,TMEM132D
17,10421910,0.801945045,0.3492,0.452745045,0.9023375,cg14833286,NM_005963,rs545160411;rs553689181,0.000799;0.000200,MYH1
1,147083949,0.855436036,0.402716667,0.452719369,0.9339375,cg03441279,NM_004326,rs188600987,0.003794,BCL9
7,2214790,0.924711712,0.472683333,0.452028378,0.9526125,cg18207099,NM_003550;NM_001013837;NM_001013836,rs555299818,0.000599,MAD1L1;MAD1L1;MAD1L1
1,7284226,0.854936937,0.403133333,0.451803604,0.9006,cg26253070,NM_015215,rs200754073,0.001597,CAMTA1
4,15376170,0.840354955,0.388566667,0.451788288,0.970575,cg22109796,NM_001135170;NM_001135171,,,C1QTNF7;C1QTNF7
7,120644149,0.802,0.35025,0.45175,0.955025,cg22092876,NM_001105533;NM_024913,,,C7orf58;C7orf58
7,92412319,0.841763964,0.390383333,0.451380631,0.9616625,cg01900030,NM_001259;NM_001145306,rs545084651,0.001198,CDK6;CDK6
11,19259298,0.885509009,0.434483333,0.451025676,0.966775,cg14731044,NM_024680,rs568955346;rs60143450,0.000200;0.038738,E2F8
8,49835988,0.811546847,0.36055,0.450996847,0.9186125,cg10861897,,rs562168823;rs529368866,0.001198;0.000200,
8,2024249,0.917889189,0.468633333,0.449255856,0.9562625,cg17665357,NM_003970,rs145411559;rs117189614;rs3817697;rs199659384;rs370886250,0.000224;0.004792;0.000399;0.001000;0.000399,MYOM2
3,52870543,0.873289189,0.424166667,0.449122523,0.9427125,cg00002591,NM_205853,,,MUSTN1
17,79792936,0.84268018,0.393683333,0.448996847,0.9185125,cg01847062,NM_001007533,rs111308799,0.097644,DYSFIP1
7,55573244,0.863727928,0.41515,0.448577928,0.9457875,cg13987029,NM_030796,rs73137625;rs118008025,0.001597;0.004992,VOPP1
15,42651086,0.809535135,0.36145,0.448085135,0.9204125,cg10005744,NM_000070;NM_212465;NM_024344;NR_027911;NR_027912;NM_173087,rs147543014;rs28364357,0.000200;0.094449,CAPN3;CAPN3;CAPN3;CAPN3;CAPN3;CAPN3
3,188272255,0.861397297,0.413583333,0.447813964,0.9597625,cg12298996,NM_005578;NM_001167671;NM_001167672,rs139838961,0.000599,LPP;LPP;LPP
4,148947436,0.817556757,0.370333333,0.447223423,0.9639125,cg01782668,NM_024605,,,ARHGAP10
11,66137134,0.822323423,0.375366667,0.446956757,0.959975,cg18145189,NM_001532,,,SLC29A2
10,88475771,0.809874775,0.363883333,0.445991441,0.935925,cg19185706,NM_001080114;NM_007078;NM_001171610,rs371369837;rs183204568;rs12218053,0.000599;0.002196;0.050919,LDB3;LDB3;LDB3
1,6131676,0.883957658,0.438066667,0.445890991,0.968625,cg00850612,NM_003636;NM_172130,rs556140284;rs116937269;rs539145362,0.001797;0.001597;0.000200,KCNAB2;KCNAB2
22,44394856,0.815925225,0.370483333,0.445441892,0.9614125,cg19172487,NM_001003828,rs567469556;rs190897298;rs546714046;rs567121007,0.000200;0.000200;0.000799;0.000998,PARVB
2,97509831,0.826936937,0.381716667,0.44522027,0.9279,cg25162794,NM_144994,,,ANKRD23
2,76705915,0.825453153,0.380416667,0.445036486,0.934475,cg19212767,,rs528477176;rs540756836;rs562185071,0.000200;0.000200;0.000200,
5,6491884,0.832797297,0.388,0.444797297,0.9512,cg16612423,NM_001145161,rs575464386;rs142098253,0.000599;0.003794,UBE2QL1
6,152126092,0.856484685,0.411716667,0.444768018,0.945525,cg07189962,NM_001122742;NM_001122741,rs191478947;rs549821181;rs569830451;rs372393183,0.000998;0.000200;0.000200;0.000200,ESR1;ESR1
3,45647141,0.801264865,0.357016667,0.444248198,0.9661125,cg00225067,NM_014240,rs577778367;rs147590364;rs575932678;rs563813102;rs185728040,0.000399;0.000200;0.000799;0.000599;0.000599,LIMD1
18,55924005,0.888663964,0.44485,0.443813964,0.967775,cg12079266,NM_001144964;NM_015277;NM_001144971;NM_001144966;NM_001144965;NM_001144968;NM_001144967;NM_001144969;NM_001144970,rs185872577,0.000599,NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L
16,88498132,0.807106306,0.363416667,0.44368964,0.9193625,cg10120897,NM_001127464,rs62047114,0.5,ZNF469
9,97856079,0.924023423,0.480683333,0.44334009,0.96175,cg13763287,,rs575408543;rs530974892,0.000599;0.000200,
6,3329936,0.880328829,0.4371,0.443228829,0.9686375,cg00132509,NM_021945;NM_015482,rs184445349;rs142969545;rs538877867;rs529056126;rs4640930;rs562182215;rs561205914;rs547803783,0.000200;0.000200;0.000399;0.000200;0.224840;0.000200;0.000200;0.000200,SLC22A23;SLC22A23
